SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household composition - 10 groups, collapsed and Household size - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 10 groups, collapsed","One person household: Aged 66 and over",,,,,"One person household: Aged under 66",,,,,"One family household: All aged 66 and over",,,,,"One family household: Couple family: No children",,,,,"One family household: Couple family: With dependent children",,,,,"One family household: Couple family: All children non-dependent",,,,,"One family household: Lone parent: With dependent children",,,,,"One family household: Lone parent: All children non-dependent",,,,,"Other household types: With dependent children",,,,,"Other household types: Other (including all full-time students and all aged 66 and over)",,,,,"Total",,,,,
"Household size - 5 groups, collapsed","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people",
"Intermediate Zone (2022)",
"Broughty Ferry East",382,0,0,0,0,196,0,0,0,0,0,277,0,0,0,0,273,0,0,0,0,0,126,134,39,0,0,88,22,1,0,23,24,7,2,0,46,6,2,0,0,2,3,12,8,0,12,4,4,1,578,633,250,180,51,
"Barnhill",414,0,0,0,0,377,0,0,0,0,0,330,0,0,0,0,345,0,0,0,0,0,127,152,44,0,0,101,17,0,0,43,12,8,4,0,55,9,1,0,0,0,6,6,12,0,15,11,3,0,791,784,271,186,58,
"Balgillo",93,0,0,0,0,152,0,0,0,0,0,85,0,0,0,0,270,0,0,0,0,0,148,238,80,0,0,92,35,3,0,27,27,7,1,0,34,11,3,0,0,1,6,7,5,0,3,4,1,1,245,417,289,288,89,
"West Pitkerro and Balmossie",121,0,0,0,0,229,0,0,0,0,0,126,0,0,0,0,325,0,0,0,0,0,122,139,52,0,0,90,26,3,0,19,23,4,1,0,29,3,1,0,0,0,6,9,5,0,7,6,5,4,354,515,253,185,65,
"Whitfield",285,0,0,0,0,628,0,0,0,0,0,138,0,0,0,0,351,0,0,0,0,0,132,198,96,0,0,141,43,4,0,135,140,72,22,0,162,24,0,0,0,8,21,18,21,0,31,19,11,3,914,824,473,339,146,
"Fintry",244,0,0,0,0,218,0,0,0,0,0,98,0,0,0,0,163,0,0,0,0,0,83,117,56,0,0,76,12,3,0,72,59,33,7,0,82,13,2,0,0,0,12,14,10,0,11,9,4,2,466,427,255,182,78,
"Claverhouse and North Ballumbie",155,0,0,0,0,237,0,0,0,0,0,96,0,0,0,0,378,0,0,0,0,0,149,233,100,0,0,119,40,2,0,56,41,23,18,0,59,13,0,0,0,4,9,10,20,0,12,10,8,3,390,606,341,317,144,
"Linlathen and Midcraigie",241,0,0,0,0,437,0,0,0,0,0,62,0,0,0,0,215,0,0,0,0,0,81,122,111,0,0,77,23,8,0,113,78,43,33,0,112,35,1,0,0,7,9,22,26,0,18,9,13,3,681,524,289,224,176,
"Caird Park",149,0,0,0,0,145,0,0,0,0,0,112,0,0,0,0,204,0,0,0,0,0,58,83,50,0,0,61,21,7,0,30,30,8,8,0,42,9,2,0,0,3,7,7,24,0,14,17,4,2,294,403,182,124,92,
"Kirkton",195,0,0,0,0,227,0,0,0,0,0,133,0,0,0,0,265,0,0,0,0,0,85,130,105,0,0,110,26,2,0,59,63,36,20,0,83,19,1,0,0,1,16,18,16,0,24,14,11,5,422,574,307,221,151,
"Downfield",382,0,0,0,0,334,0,0,0,0,0,270,0,0,0,0,384,0,0,0,0,0,107,150,67,0,0,123,36,4,0,45,46,15,8,0,98,22,0,0,0,7,5,13,13,0,10,14,6,3,716,815,313,220,96,
"Fairmuir",276,0,0,0,0,372,0,0,0,0,0,161,0,0,0,0,323,0,0,0,0,0,78,102,38,0,0,86,29,1,0,42,27,7,4,0,65,7,0,1,0,4,11,4,17,0,26,13,7,5,648,621,221,151,67,
"Law",886,0,0,0,0,1301,0,0,0,0,0,218,0,0,0,0,482,0,0,0,0,0,111,107,54,0,0,66,16,4,0,137,49,8,6,0,116,15,0,1,0,3,6,8,10,0,96,17,2,3,2187,1052,264,144,78,
"Balgay",310,0,0,0,0,382,0,0,0,0,0,176,0,0,0,0,273,0,0,0,0,0,106,139,46,0,0,75,15,8,0,54,31,6,0,0,59,2,0,0,0,4,3,7,8,0,23,15,6,2,692,587,227,173,66,
"Menzieshill",306,0,0,0,0,790,0,0,0,0,0,99,0,0,0,0,291,0,0,0,0,0,104,116,60,0,0,65,20,4,0,96,70,17,8,0,95,19,1,0,0,12,5,8,11,0,45,11,2,0,1096,637,270,164,81,
"Charleston",260,0,0,0,0,585,0,0,0,0,0,84,0,0,0,0,251,0,0,0,0,0,90,115,84,0,0,79,9,2,0,126,76,38,4,0,108,14,5,0,0,2,15,9,15,0,28,8,3,0,845,601,282,179,105,
"Lochee",485,0,0,0,0,766,0,0,0,0,0,155,0,0,0,0,338,0,0,0,0,0,109,186,95,0,0,99,34,8,0,106,64,17,5,0,108,27,6,0,0,6,13,15,16,0,52,23,6,4,1254,766,332,264,126,
"Ardler and St Marys",421,0,0,0,0,632,0,0,0,0,0,184,0,0,0,0,328,0,0,0,0,0,174,213,96,0,0,105,31,8,0,139,117,34,6,0,142,30,1,0,0,3,13,29,18,0,25,20,15,6,1053,827,459,322,132,
"Western Edge",116,0,0,0,0,220,0,0,0,0,0,163,0,0,0,0,470,0,0,0,0,0,217,250,74,0,0,98,42,4,0,30,21,3,5,0,46,4,5,0,0,2,3,8,15,0,14,12,13,3,337,724,354,319,100,
"Doon Valley South",209,0,0,0,0,323,0,0,0,0,0,101,0,0,0,0,221,0,0,0,0,0,54,67,44,0,0,75,18,1,0,56,35,15,1,0,71,18,0,0,0,5,5,12,6,0,16,5,8,1,530,470,193,122,53,
"Doon Valley North",265,0,0,0,0,351,0,0,0,0,0,187,0,0,0,0,310,0,0,0,0,0,93,135,47,0,0,115,25,2,0,78,54,24,8,0,72,9,2,1,0,5,9,7,11,0,10,13,5,3,616,662,291,197,71,
"Mauchline Rural",287,0,0,0,0,518,0,0,0,0,0,224,1,0,0,0,434,0,0,0,0,0,127,172,61,0,0,139,31,3,0,56,58,16,8,0,80,14,0,0,0,2,3,11,11,0,18,18,11,5,805,813,360,236,88,
"Drongan",229,0,0,0,0,302,0,0,0,0,0,124,0,0,0,0,238,0,0,0,0,0,55,88,51,0,0,76,21,3,0,43,65,19,6,0,57,11,1,0,0,0,4,8,14,0,6,8,0,3,531,469,216,139,77,
"Mauchline",304,0,0,0,0,295,0,0,0,0,0,188,0,0,0,0,346,0,0,0,0,0,86,141,36,0,0,98,26,3,0,45,37,15,4,0,55,7,0,0,0,3,9,6,4,0,19,12,5,0,599,661,249,195,45,
"Cumnock Rural",327,0,0,0,0,334,0,0,0,0,0,232,0,0,0,0,413,0,0,0,0,0,114,156,54,0,0,131,30,4,0,52,49,24,8,0,75,13,0,0,0,1,6,10,19,0,24,21,18,1,661,794,335,238,87,
"New Cumnock",214,0,0,0,0,306,0,0,0,0,0,133,0,0,0,0,214,0,0,0,0,0,68,71,22,0,0,64,19,0,0,44,29,9,6,0,63,0,3,0,0,3,4,9,10,0,15,7,3,2,520,475,175,110,38,
"Cumnock South and Craigens",305,0,0,0,0,466,0,0,0,0,0,179,0,0,0,0,304,0,0,0,0,0,106,176,80,0,0,112,41,0,0,84,94,23,3,0,102,13,1,0,0,1,9,9,10,0,14,11,8,2,767,686,345,258,97,
"Cumnock North",300,0,0,0,0,336,0,0,0,0,0,212,0,0,0,0,301,0,0,0,0,0,97,124,49,0,0,116,27,7,0,52,33,6,3,0,55,5,0,0,0,2,8,9,15,0,3,10,5,1,635,623,269,172,72,
"Auchinleck",277,0,0,0,0,339,0,0,0,0,0,137,0,0,0,0,265,0,0,0,0,0,86,102,56,0,0,93,25,4,0,63,46,23,10,0,73,15,2,0,0,3,7,10,13,0,16,10,7,2,616,557,254,167,87,
"Northern and Irvine Valley Rural",291,0,0,0,0,315,0,0,0,0,0,291,0,0,0,0,591,0,0,0,0,0,197,317,106,0,0,152,38,8,0,33,49,6,6,0,59,8,0,0,0,0,7,6,29,0,15,19,11,6,605,989,432,378,155,
"Stewarton East",291,0,0,0,0,316,0,0,0,0,0,223,0,0,0,0,306,0,0,0,0,0,134,157,55,0,0,104,38,4,0,41,41,8,0,0,57,11,0,0,0,0,9,7,10,0,11,9,3,2,606,638,311,218,66,
"Stewarton West",188,0,0,0,0,208,0,0,0,0,0,117,0,0,0,0,169,0,0,0,0,0,69,96,33,0,0,49,18,1,0,34,44,13,9,0,56,5,0,0,0,6,4,8,3,0,12,4,1,0,396,394,175,134,46,
"Darvel",267,0,0,0,0,308,0,0,0,0,0,220,0,0,0,0,317,0,0,0,0,0,83,128,66,0,0,72,32,1,0,37,32,2,2,0,55,12,0,0,0,3,4,5,8,0,3,14,2,0,574,637,214,166,83,
"Newmilns",202,0,0,0,0,300,0,0,0,0,0,142,0,0,0,0,226,0,0,0,0,0,56,66,36,0,0,54,18,4,0,27,18,10,2,0,52,11,2,0,0,0,1,1,10,0,14,6,4,0,502,464,145,102,53,
"Galston",355,0,0,0,0,397,0,0,0,0,0,222,2,0,0,0,387,0,0,0,0,0,114,140,62,0,0,126,40,5,0,56,49,19,7,0,82,5,1,0,0,5,11,6,9,0,11,10,6,4,752,763,321,216,81,
"Earlston and Hurlford Rural",355,0,0,0,0,577,0,0,0,0,0,202,0,0,0,0,462,0,0,0,0,0,99,125,65,0,0,130,49,4,0,71,49,12,7,0,106,14,1,0,0,5,9,19,14,0,25,16,9,1,932,871,316,210,91,
"Shortlees",227,0,0,0,0,438,0,0,0,0,0,111,0,0,0,0,248,0,0,0,0,0,78,125,94,0,0,76,28,2,0,107,92,53,17,0,127,30,2,0,0,8,16,7,9,0,25,11,8,0,666,624,303,224,126,
"Bellfield and Kirkstyle",302,0,0,0,0,490,0,0,0,0,0,139,0,0,0,0,342,0,0,0,0,0,111,125,63,0,0,97,33,3,0,89,67,29,6,0,100,15,3,0,0,4,7,9,5,0,18,8,8,2,792,686,305,205,79,
"Kilmarnock South Central and Caprington",258,0,0,0,0,485,0,0,0,0,0,133,0,0,0,0,259,0,0,0,0,0,77,57,10,0,0,62,13,1,0,47,17,10,1,0,44,8,0,2,0,0,4,7,2,0,10,2,3,1,743,495,170,90,16,
"Piersland",263,0,0,0,0,432,0,0,0,0,0,166,0,0,0,0,284,0,0,0,0,0,78,100,38,0,0,85,20,3,0,36,17,6,1,0,46,3,0,0,0,0,3,9,6,0,13,9,3,0,695,543,192,144,47,
"New Farm Loch South",231,0,0,0,0,267,0,0,0,0,0,155,0,0,0,0,168,0,0,0,0,0,74,105,31,0,0,77,12,2,0,61,47,10,4,0,59,12,2,0,0,0,6,10,2,0,10,6,2,2,498,453,225,141,42,
"Dean and New Farm Loch North",201,0,0,0,0,266,0,0,0,0,0,160,0,0,0,0,241,0,0,0,0,0,85,110,49,0,0,110,29,5,0,75,60,25,3,0,88,26,3,0,0,3,12,15,10,0,17,7,4,2,464,589,299,185,66,
"Southcraig and Beansburn",223,0,0,0,0,256,0,0,0,0,0,309,0,0,0,0,495,0,0,0,0,0,204,306,90,0,0,154,63,4,0,29,22,9,3,0,65,7,1,0,0,0,7,12,20,0,16,8,8,0,479,917,401,397,116,
"Altonhill North and Onthank",253,0,0,0,0,504,0,0,0,0,0,73,0,0,0,0,274,0,0,0,0,0,108,172,57,0,0,105,26,5,0,93,75,46,17,0,88,16,1,0,0,4,12,19,11,0,21,12,7,0,757,553,329,269,89,
"Altonhill South, Longpark and Hillhead",245,0,0,0,0,781,0,0,0,0,0,82,0,0,0,0,345,0,0,0,0,0,137,147,73,0,0,64,20,3,0,117,83,19,15,0,79,9,0,0,0,8,15,14,13,0,34,12,6,3,1026,663,320,205,108,
"Bonnyton and Town Centre",341,0,0,0,0,839,0,0,0,0,0,120,0,0,0,0,276,0,0,0,0,0,74,82,22,0,0,63,12,0,0,50,33,6,2,0,61,7,0,0,0,0,2,0,5,0,11,4,3,0,1180,516,180,110,29,
"Grange, Howard and Gargieston",325,0,0,0,0,408,0,0,0,0,0,361,0,0,0,0,483,0,0,0,0,0,197,332,83,0,0,161,56,3,0,45,31,10,5,0,64,11,3,0,0,0,8,3,17,0,11,7,4,4,733,958,415,408,112,
"Crosshouse, Gatehead and Kilmaurs Rural",227,0,0,0,0,320,0,0,0,0,0,202,0,0,0,0,451,0,0,0,0,0,173,243,72,0,0,114,33,0,0,49,39,13,6,0,62,9,0,0,0,6,3,5,12,0,11,8,3,3,547,787,346,299,94,
"Kilmaurs",224,0,0,0,0,207,0,0,0,0,0,162,0,0,0,0,220,0,0,0,0,0,52,88,37,0,0,61,27,1,0,40,22,5,1,0,38,6,1,0,0,0,9,3,5,0,8,8,2,2,433,469,155,126,43,
"West Clober and Mains Estate",123,0,0,0,0,112,0,0,0,0,0,143,0,0,0,0,188,0,0,0,0,0,72,173,33,0,0,78,28,4,0,12,14,9,0,0,27,8,2,0,0,0,1,5,6,0,9,2,1,0,235,382,178,217,44,
"East Clober and Mains Estate",256,0,0,0,0,222,0,0,0,0,0,155,0,0,0,0,184,0,0,0,0,0,69,154,61,0,0,107,27,5,0,41,54,23,1,0,88,16,2,0,0,0,9,10,4,0,7,9,1,3,478,475,265,218,74,
"Barloch",305,0,0,0,0,176,0,0,0,0,0,217,0,0,0,0,240,0,0,0,0,0,113,169,43,0,0,72,24,2,0,28,17,2,2,0,37,3,0,0,0,1,1,0,3,0,13,4,6,0,481,533,207,201,50,
"Keystone and Dougalston",491,0,0,0,0,287,0,0,0,0,0,301,0,0,0,0,255,0,0,0,0,0,114,175,68,0,0,93,27,0,0,25,21,4,0,0,52,7,1,0,0,0,1,6,11,0,9,9,6,0,778,642,245,220,82,
"Kilmardinny East",212,0,0,0,0,120,0,0,0,0,0,227,0,0,0,0,217,0,0,0,0,0,146,263,56,0,0,76,35,4,0,17,21,4,0,0,28,2,0,0,0,0,2,4,8,0,10,7,0,0,329,502,257,305,69,
"Kilmardinny West",302,0,0,0,0,143,0,0,0,0,0,225,0,0,0,0,220,0,0,0,0,0,92,232,66,0,0,89,31,5,0,21,16,11,4,0,31,7,1,0,0,0,0,3,7,0,6,7,3,0,445,501,211,281,84,
"North Castlehill and Thorn",232,0,0,0,0,157,0,0,0,0,0,256,0,0,0,0,227,0,0,0,0,0,125,240,70,0,0,133,51,8,0,24,30,15,1,0,32,11,3,0,0,5,1,4,14,0,2,0,3,2,389,545,302,316,97,
"South Castlehill and Thorn",238,0,0,0,0,119,0,0,0,0,0,227,0,0,0,0,263,0,0,0,0,0,120,250,72,0,0,107,36,6,0,27,28,9,4,0,82,7,1,3,0,2,4,8,16,0,4,3,8,0,357,606,275,312,103,
"Westerton West",195,0,0,0,0,103,0,0,0,0,0,161,0,0,0,0,199,0,0,0,0,0,94,145,29,0,0,86,25,0,0,31,24,8,1,0,38,13,0,0,0,3,3,4,9,0,7,6,0,3,288,439,219,183,42,
"Westerton East",206,0,0,0,0,144,0,0,0,0,0,230,0,0,0,0,250,0,0,0,0,0,104,178,48,0,0,104,40,0,0,18,18,2,2,0,45,8,1,1,0,1,4,3,7,0,10,7,4,4,350,551,249,233,61,
"Kessington West",268,0,0,0,0,107,0,0,0,0,0,321,0,0,0,0,153,0,0,0,0,0,83,146,47,0,0,79,36,1,0,6,12,3,1,0,30,10,0,3,0,0,2,4,11,0,10,4,12,1,375,522,187,203,70,
"Kessington East",179,0,0,0,0,72,0,0,0,0,0,165,0,0,0,0,181,0,0,0,0,0,101,171,52,0,0,61,33,4,0,15,11,6,0,0,34,4,2,0,0,2,2,3,19,0,7,7,6,0,251,404,184,216,79,
"Torrance and Balmore",145,0,0,0,0,111,0,0,0,0,0,165,0,0,0,0,217,0,0,0,0,0,67,138,43,0,0,92,38,4,0,22,21,6,2,0,44,8,0,0,0,2,2,4,4,0,4,8,6,2,256,454,203,193,56,
"Bishopbriggs North and Kenmure",390,0,0,0,0,183,0,0,0,0,0,299,1,0,0,0,345,0,0,0,0,0,139,293,68,0,0,159,59,9,0,25,24,8,0,0,65,9,1,2,0,1,4,5,16,0,12,10,6,1,576,747,345,373,96,
"Bishopbriggs West and Cadder",542,0,0,0,0,284,0,0,0,0,0,368,0,0,0,0,388,0,0,0,0,0,137,237,89,0,0,169,80,6,0,41,43,11,5,0,89,18,3,0,0,0,3,9,34,0,13,6,12,3,827,905,374,347,139,
"Auchinairn",416,0,0,0,0,508,0,0,0,0,0,136,0,0,0,0,324,0,0,0,0,0,126,260,90,0,0,129,51,11,0,102,87,23,6,0,135,32,10,1,0,4,11,13,24,0,24,12,6,3,924,721,399,356,139,
"Woodhill East",115,0,0,0,0,80,0,0,0,0,0,109,0,0,0,0,169,0,0,0,0,0,70,127,48,0,0,95,26,3,0,16,12,3,0,0,33,4,2,0,0,0,6,9,12,0,5,4,2,0,194,329,193,167,63,
"Woodhill West",328,0,0,0,0,159,0,0,0,0,0,239,0,0,0,0,264,0,0,0,0,0,120,190,52,0,0,137,42,4,0,26,30,7,0,0,65,5,4,0,0,0,9,7,16,0,6,6,11,2,487,600,308,262,74,
"Lenzie North",360,0,0,0,0,173,0,0,0,0,0,298,0,0,0,0,317,0,0,0,0,0,152,230,87,0,0,144,56,6,0,52,51,13,4,0,85,12,1,0,0,1,1,15,14,0,16,13,14,3,533,769,377,329,117,
"Lenzie South",213,0,0,0,0,123,0,0,0,0,0,251,0,0,0,0,231,0,0,0,0,0,104,187,42,0,0,98,39,0,0,19,18,4,3,0,24,3,0,0,0,2,2,3,5,0,3,5,5,0,336,529,233,238,54,
"Kirkintilloch South",211,0,0,0,0,306,0,0,0,0,0,124,0,0,0,0,282,0,0,0,0,0,83,134,42,0,0,79,36,2,0,45,31,13,3,0,53,14,0,0,0,0,2,6,10,0,10,10,7,4,519,514,217,196,61,
"Kirkintilloch West",380,0,0,0,0,544,0,0,0,0,0,205,0,0,0,0,304,0,0,0,0,0,108,189,57,0,0,93,29,2,0,61,51,5,3,0,68,13,1,0,0,1,9,2,8,0,19,5,2,7,921,658,275,227,76,
"Hillhead",309,0,0,0,0,532,0,0,0,0,0,96,0,0,0,0,221,0,0,0,0,0,76,133,67,0,0,81,29,5,0,106,65,26,7,0,139,27,3,0,0,8,7,5,19,0,21,7,5,2,835,591,261,198,99,
"Rosebank and Waterside",205,0,0,0,0,329,0,0,0,0,0,210,0,0,0,0,368,0,0,0,0,0,219,368,123,0,0,91,43,5,0,43,45,14,3,0,74,20,1,0,0,6,5,11,21,0,8,8,5,2,532,709,387,437,154,
"Twechar and Harestanes East",249,0,0,0,0,250,0,0,0,0,0,131,0,0,0,0,248,0,0,0,0,0,61,115,47,0,0,83,34,2,0,44,36,15,6,0,53,8,3,0,0,4,2,6,5,0,12,5,4,3,502,491,195,171,60,
"Harestanes",256,0,0,0,0,333,0,0,0,0,0,116,0,0,0,0,209,0,0,0,0,0,79,96,34,0,0,62,29,1,0,54,48,11,5,0,76,13,1,0,0,1,10,4,9,0,9,9,3,4,585,467,220,145,53,
"Milton of Campsie",299,0,0,0,0,235,0,0,0,0,0,240,0,0,0,0,290,0,0,0,0,0,91,146,52,0,0,127,31,7,0,27,33,7,0,0,66,15,0,0,0,0,5,12,5,0,5,8,4,0,533,628,277,204,60,
"Lennoxtown",273,0,0,0,0,387,0,0,0,0,0,182,0,0,0,0,340,0,0,0,0,0,99,158,73,0,0,120,51,6,0,44,48,11,3,0,87,18,1,0,0,3,16,13,10,0,16,7,12,0,662,672,308,246,95,
"Wallyford",168,0,0,0,0,218,0,0,0,0,0,104,0,0,0,0,279,0,0,0,0,0,114,157,75,0,0,89,39,2,0,66,32,16,7,0,77,16,3,0,0,5,0,8,16,0,13,23,3,4,386,535,273,228,107,
"Whitecraig",92,0,0,0,0,220,0,0,0,0,0,56,0,0,0,0,306,0,0,0,0,0,148,153,50,0,0,65,18,5,0,43,30,11,6,0,52,10,0,0,0,3,1,8,7,0,14,6,3,4,316,476,265,191,71,
"Musselburgh South",309,0,0,0,0,444,0,0,0,0,0,197,0,0,0,0,437,0,0,0,0,0,127,158,52,0,0,128,41,4,0,52,42,10,0,0,78,10,0,0,0,3,6,6,7,0,28,8,5,2,753,794,322,217,68,
"Musselburgh West",202,0,0,0,0,193,0,0,0,0,0,163,0,0,0,0,243,0,0,0,0,0,78,113,16,0,0,90,33,4,0,23,12,6,2,0,36,7,0,0,0,0,1,4,14,0,10,4,4,0,398,472,194,161,39,
"Musselburgh North",493,0,0,0,0,829,0,0,0,0,0,129,0,0,0,0,442,0,0,0,0,0,110,120,44,0,0,64,23,5,0,66,42,8,3,0,68,11,0,0,0,5,5,8,12,0,73,15,9,1,1322,779,243,169,65,
"Musselburgh East",364,0,0,0,0,435,0,0,0,0,0,172,0,0,0,0,371,0,0,0,0,0,120,186,76,0,0,103,33,1,0,46,33,35,12,0,87,13,0,0,0,7,8,11,19,0,41,7,8,6,799,724,289,274,115,
"Pinkie Braes",77,0,0,0,0,194,0,0,0,0,0,52,0,0,0,0,168,0,0,0,0,0,76,101,44,0,0,62,15,0,0,35,32,7,4,0,55,2,0,0,0,6,4,3,13,0,11,11,10,4,271,330,184,137,66,
"Prestonpans West",326,0,0,0,0,447,0,0,0,0,0,157,0,0,0,0,430,0,0,0,0,0,150,203,122,0,0,111,40,12,0,88,63,20,4,0,117,26,6,0,0,5,9,10,17,0,20,17,16,4,773,818,376,295,159,
"Prestonpans East",265,0,0,0,0,313,0,0,0,0,0,133,0,0,0,0,321,0,0,0,0,0,114,162,90,0,0,109,39,2,0,52,44,13,8,0,90,14,1,0,0,3,8,4,10,0,17,14,12,6,578,621,303,227,114,
"Cockenzie",381,0,0,0,0,386,0,0,0,0,0,263,0,0,0,0,450,0,0,0,0,0,124,185,46,0,0,158,71,15,0,41,37,12,2,0,106,3,2,0,0,3,5,12,11,0,18,18,21,1,767,879,343,298,75,
"Tranent East",265,0,0,0,0,327,0,0,0,0,0,185,0,0,0,0,283,0,0,0,0,0,91,120,79,0,0,116,39,10,0,67,50,24,13,0,78,16,0,0,0,4,4,8,19,0,14,10,15,0,592,631,285,204,119,
"Tranent North Blindwells Levenhall",68,0,0,0,0,208,0,0,0,0,0,84,0,0,0,0,312,0,0,0,0,0,126,175,51,0,0,66,28,0,0,19,28,13,1,0,24,9,2,0,0,6,3,11,6,0,4,4,5,3,271,449,236,229,61,
"Tranent South",268,0,0,0,0,423,0,0,0,0,0,201,0,0,0,0,440,0,0,0,0,0,226,329,108,0,0,148,51,5,0,80,77,20,6,0,79,18,2,0,0,2,7,10,20,0,18,11,11,7,691,822,487,421,143,
"Ormiston",148,0,0,0,0,231,0,0,0,0,0,119,0,0,0,0,215,0,0,0,0,0,98,114,35,0,0,56,16,3,0,37,17,12,1,0,47,1,0,0,0,0,6,5,9,0,11,3,10,3,376,429,187,157,55,
"Aberlady",206,0,0,0,0,153,0,0,0,0,0,152,0,0,0,0,248,0,0,0,0,0,69,137,25,0,0,61,17,3,0,8,6,5,0,0,26,7,3,0,0,2,2,7,4,0,5,7,4,3,359,442,159,176,39,
"Macmerry Longniddry",288,0,0,0,0,165,0,0,0,0,0,287,0,0,0,0,326,0,0,0,0,0,93,186,58,0,0,94,37,3,0,31,34,5,8,0,49,11,2,0,0,2,1,13,8,0,8,8,11,5,456,703,241,252,81,
"Haddington Rural",94,0,0,0,0,119,0,0,0,0,0,127,1,0,0,0,291,0,0,0,0,0,126,209,53,0,0,42,23,0,0,15,28,11,5,0,15,3,0,0,0,0,1,5,5,0,11,3,3,2,213,459,200,252,64,
"Humbie Gifford Garvald",300,0,0,0,0,257,0,0,0,0,0,303,0,0,0,0,578,0,0,0,0,0,153,274,78,0,0,111,51,5,0,30,31,10,4,0,61,10,0,0,0,1,4,12,14,0,20,11,7,7,557,995,327,351,108,
"Haddington North",255,0,0,0,0,233,0,0,0,0,0,206,0,0,0,0,359,0,0,0,0,0,115,230,60,0,0,103,42,2,0,40,36,12,5,0,67,19,0,0,0,3,8,3,9,0,13,11,5,3,488,688,290,289,80,
"Haddington South",470,0,0,0,0,507,0,0,0,0,0,227,0,0,0,0,366,0,0,0,0,0,105,152,72,0,0,102,28,0,0,63,39,15,13,0,100,19,1,0,0,5,4,5,11,0,23,10,9,2,972,786,283,210,92,
"Gullane and Drem",387,0,0,0,0,219,0,0,0,0,0,315,0,0,0,0,390,0,0,0,0,0,130,217,79,0,0,80,30,8,0,22,37,6,0,0,40,12,1,0,0,2,5,4,14,0,11,12,3,0,606,781,276,264,101,
"North Berwick North",457,0,0,0,0,193,0,0,0,0,0,248,0,0,0,0,238,0,0,0,0,0,53,113,38,0,0,51,9,0,0,19,16,0,0,0,29,2,0,0,0,1,4,1,8,0,9,5,6,0,651,544,129,131,44,
"North Berwick South",286,0,0,0,0,284,0,0,0,0,0,279,0,0,0,0,373,0,0,0,0,0,169,317,101,0,0,115,35,0,0,54,46,17,2,0,57,10,0,0,0,0,4,8,21,0,17,16,6,3,570,779,363,380,126,
"East Linton and Rural",355,0,0,0,0,304,0,0,0,0,0,330,0,0,0,0,580,0,0,0,0,0,195,294,108,0,0,103,34,3,0,40,34,5,2,0,69,15,0,0,0,1,6,7,21,0,11,7,12,6,656,1035,363,352,141,
"Dunbar West",340,0,0,0,0,356,0,0,0,0,0,227,0,0,0,0,435,0,0,0,0,0,195,332,113,0,0,107,28,6,0,61,70,18,4,0,84,11,2,0,0,5,7,13,12,0,19,21,12,2,697,831,411,409,139,
"Dunbar East",334,0,0,0,0,291,0,0,0,0,0,209,0,0,0,0,327,0,0,0,0,0,115,192,74,0,0,82,27,7,0,54,49,17,1,0,57,15,0,0,0,1,5,6,5,0,19,15,12,3,625,666,284,251,91,
"Neilston East",236,0,0,0,0,248,0,0,0,0,0,102,0,0,0,0,167,0,0,0,0,0,53,121,72,0,0,74,28,8,0,40,42,7,1,0,58,18,0,0,0,3,7,3,17,0,12,12,2,5,484,382,205,162,103,
"Neilston West and Uplawmoor",225,0,0,0,0,155,0,0,0,0,0,197,0,0,0,0,285,0,0,0,0,0,97,174,46,0,0,106,46,2,0,29,26,6,8,0,28,11,0,1,0,0,4,5,11,0,4,7,7,1,381,543,249,238,69,
"Cross Stobbs",248,0,0,0,0,195,0,0,0,0,0,229,0,0,0,0,301,0,0,0,0,0,108,148,35,0,0,108,40,5,0,29,21,5,2,0,47,10,1,0,0,2,2,4,6,0,7,9,5,0,443,618,256,203,50,
"Dunterlie, East Arthurlie and Dovecothall",572,0,0,0,0,894,0,0,0,0,0,148,0,0,0,0,390,0,0,0,0,0,114,162,81,0,0,118,55,4,0,99,104,21,6,0,145,27,10,1,0,2,11,8,22,0,51,13,3,1,1466,836,380,261,115,
"West Arthurlie, Gateside and Springhill",298,0,0,0,0,310,0,0,0,0,0,198,1,0,0,0,327,0,0,0,0,0,128,188,89,0,0,126,41,2,0,48,39,7,0,0,74,13,0,0,0,2,6,12,15,0,14,7,4,2,607,663,320,247,110,
"Auchenback and Barrhead Dams",213,0,0,0,0,345,0,0,0,0,0,71,0,0,0,0,231,0,0,0,0,0,104,175,83,0,0,89,45,5,0,68,72,16,4,0,110,22,0,0,0,2,5,13,24,0,21,14,11,0,558,508,304,259,116,
"Crookfur East, Fruin and Greenlaw East",338,0,0,0,0,259,0,0,0,0,0,232,0,0,0,0,194,0,0,0,0,0,111,260,106,0,0,56,34,9,0,27,34,11,2,0,33,9,0,0,0,0,1,3,29,0,3,7,7,3,597,493,222,316,149,
