SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household composition - 10 groups, collapsed and Household size - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 10 groups, collapsed","One person household: Aged 66 and over",,,,,"One person household: Aged under 66",,,,,"One family household: All aged 66 and over",,,,,"One family household: Couple family: No children",,,,,"One family household: Couple family: With dependent children",,,,,"One family household: Couple family: All children non-dependent",,,,,"One family household: Lone parent: With dependent children",,,,,"One family household: Lone parent: All children non-dependent",,,,,"Other household types: With dependent children",,,,,"Other household types: Other (including all full-time students and all aged 66 and over)",,,,,"Total",,,,,
"Household size - 5 groups, collapsed","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people",
"Intermediate Zone (2022)",
"Cove North",239,0,0,0,0,508,0,0,0,0,0,154,0,0,0,0,418,0,0,0,0,0,154,165,48,0,0,96,18,0,0,91,31,15,2,0,66,10,1,0,0,0,6,11,13,0,18,7,3,0,744,750,305,210,63,
"Torry West",216,0,0,0,0,1142,0,0,0,0,0,73,0,0,0,0,398,0,0,0,0,0,84,86,33,0,0,60,13,1,0,97,40,12,10,0,72,8,1,0,0,1,6,10,8,0,51,9,5,2,1354,690,207,128,55,
"Torry East",252,0,0,0,0,719,0,0,0,0,0,81,0,0,0,0,257,0,0,0,0,0,79,101,83,0,0,67,12,0,0,86,77,40,16,0,93,15,0,0,0,4,14,9,8,0,37,11,0,4,971,558,256,164,108,
"Hanover South",203,0,0,0,0,936,0,0,0,0,0,36,0,0,0,0,297,0,0,0,0,0,62,34,27,0,0,12,3,0,0,52,10,8,3,0,33,6,0,0,0,3,9,2,2,0,136,48,25,5,1137,553,155,71,36,
"Hanover North",80,0,0,0,0,1052,0,0,0,0,0,19,0,0,0,0,391,0,0,0,0,0,63,45,16,0,0,14,0,0,0,29,6,6,0,0,19,2,0,0,0,0,6,3,3,0,279,64,5,0,1130,732,157,60,21,
"George Street",278,0,0,0,0,1659,0,0,0,0,0,42,0,0,0,0,467,0,0,0,0,0,140,86,35,0,0,18,3,0,0,56,31,4,2,0,55,7,2,0,0,6,7,2,7,0,303,78,21,13,1934,928,281,115,56,
"Ashgrove",173,0,0,0,0,886,0,0,0,0,0,58,0,0,0,0,364,0,0,0,0,0,87,93,32,0,0,27,1,1,0,59,20,7,1,0,29,4,0,0,0,0,6,4,6,0,151,29,10,3,1059,661,176,113,43,
"Froghall, Powis and Sunnybank",146,0,0,0,0,1100,0,0,0,0,0,57,0,0,0,0,389,0,0,0,0,0,99,83,86,0,0,31,5,2,0,72,37,13,5,0,36,7,0,0,0,2,12,9,12,0,201,168,54,22,1246,757,356,164,123,
"Seaton",305,0,0,0,0,1146,0,0,0,0,0,65,0,0,0,0,372,0,0,0,0,0,69,44,10,0,0,21,4,0,0,67,18,5,0,0,44,9,0,0,0,1,6,4,7,0,161,51,8,7,1451,711,174,62,24,
"Old Aberdeen",218,0,0,0,0,508,0,0,0,0,0,53,0,0,0,0,176,0,0,0,0,0,48,56,7,0,0,24,6,0,0,44,26,5,2,0,53,6,0,0,0,3,6,1,4,0,61,23,4,4,726,388,135,73,21,
"Tillydrone",226,0,0,0,0,937,0,0,0,0,0,105,0,0,0,0,341,0,0,0,0,0,155,155,67,0,0,74,8,2,0,161,98,32,4,0,115,12,2,0,0,9,20,22,9,0,69,34,11,5,1163,800,392,234,89,
"Woodside",210,0,0,0,0,797,0,0,0,0,0,53,0,0,0,0,238,0,0,0,0,0,65,101,60,0,0,38,11,2,0,77,54,18,7,0,54,19,2,0,0,2,10,8,9,0,60,19,8,3,1007,484,199,152,84,
"Hilton",504,0,0,0,0,1009,0,0,0,0,0,194,0,0,0,0,572,0,0,0,0,0,173,154,67,0,0,86,7,4,0,95,32,13,7,0,97,12,1,0,0,5,7,4,10,0,100,45,22,9,1510,1063,346,203,97,
"Stockethill",496,0,0,0,0,787,0,0,0,0,0,196,0,0,0,0,316,0,0,0,0,0,109,149,66,0,0,59,24,3,0,108,51,7,3,0,92,17,1,0,0,4,12,14,7,0,57,10,8,3,1283,774,257,197,81,
"Mastrick",319,0,0,0,0,502,0,0,0,0,0,126,0,0,0,0,314,0,0,0,0,0,133,141,39,0,0,101,16,2,0,125,64,13,4,0,114,19,1,0,0,0,5,5,5,0,27,8,9,1,821,705,330,184,52,
"Sheddocksley",459,0,0,0,0,517,0,0,0,0,0,212,1,0,0,0,354,0,0,0,0,0,139,143,49,0,0,109,25,2,0,105,54,13,5,0,100,8,1,0,0,2,6,6,6,0,16,13,9,0,976,790,336,200,61,
"Cummings Park",228,0,0,0,0,225,0,0,0,0,0,128,0,0,0,0,201,0,0,0,0,0,78,131,56,0,0,81,17,2,0,38,48,24,5,0,74,18,0,0,0,2,7,4,10,0,20,19,7,1,452,465,252,183,74,
"Northfield",277,0,0,0,0,332,0,0,0,0,0,103,1,0,0,0,374,0,0,0,0,0,136,211,76,0,0,111,31,1,0,66,85,38,16,0,137,11,9,0,0,5,9,15,18,0,33,13,9,1,609,721,367,307,116,
"Heathryfold and Middlefield",212,0,0,0,0,465,0,0,0,0,0,97,0,0,0,0,252,0,0,0,0,0,132,133,80,0,0,99,16,3,0,115,107,43,23,0,100,20,2,0,0,5,15,23,25,0,32,20,9,0,676,601,393,226,132,
"Kingswells",119,0,0,0,0,153,0,0,0,0,0,136,0,0,0,0,295,0,0,0,0,0,141,198,42,0,0,76,28,1,0,24,15,3,0,0,25,3,0,0,0,0,1,4,5,0,9,5,3,0,272,492,244,234,50,
"Kingswells North and Newhills",76,0,0,0,0,308,0,0,0,0,0,85,0,0,0,0,337,0,0,0,0,0,136,190,52,0,0,55,28,0,0,56,22,7,3,0,30,6,0,0,0,0,2,3,3,0,10,3,3,2,384,510,224,231,60,
"Bucksburn South",267,0,0,0,0,858,0,0,0,0,0,127,0,0,0,0,457,0,0,0,0,0,210,213,74,0,0,59,8,2,0,96,40,16,3,0,52,8,2,0,0,7,4,8,8,0,34,12,8,4,1122,769,333,256,88,
"Bucksburn North",401,0,0,0,0,742,0,0,0,0,0,242,1,0,0,0,493,0,0,0,0,0,219,194,70,0,0,102,28,4,0,110,61,23,7,0,85,7,0,1,0,1,7,7,11,0,24,15,3,2,1144,958,408,255,98,
"Dyce",405,0,0,0,0,421,0,0,0,0,0,327,0,0,0,0,398,0,0,0,0,0,145,185,58,0,0,99,34,1,0,57,43,15,4,0,75,9,4,0,0,3,7,12,11,0,22,13,8,2,828,882,316,255,79,
"Danestone",180,0,0,0,0,474,0,0,0,0,0,220,0,0,0,0,383,0,0,0,0,0,93,143,46,0,0,73,26,4,0,27,25,3,0,0,35,4,1,0,0,0,2,1,3,0,13,4,2,0,654,678,202,176,50,
"Oldmachar West",299,0,0,0,0,453,0,0,0,0,0,201,0,0,0,0,508,0,0,0,0,0,181,237,71,0,0,103,29,3,0,25,11,5,0,0,47,6,1,0,0,1,2,9,14,0,8,9,5,3,752,790,312,285,89,
"Oldmachar East",250,0,0,0,0,246,0,0,0,0,0,312,0,0,0,0,406,0,0,0,0,0,123,209,66,0,0,139,37,2,0,35,24,6,5,0,45,8,2,0,0,0,6,3,10,0,10,5,3,2,496,808,305,260,85,
"Balgownie and Donmouth West",333,0,0,0,0,381,0,0,0,0,0,219,0,0,0,0,287,0,0,0,0,0,89,134,37,0,0,86,13,2,0,47,38,10,0,0,68,9,2,0,0,0,4,3,10,0,11,4,3,4,714,633,231,167,51,
"Balgownie and Donmouth East",195,0,0,0,0,257,0,0,0,0,0,171,0,0,0,0,233,0,0,0,0,0,69,89,23,0,0,48,15,0,0,17,18,5,0,0,35,4,0,0,0,1,1,2,7,0,6,4,3,1,451,463,141,118,31,
"Denmore",154,0,0,0,0,292,0,0,0,0,0,148,0,0,0,0,376,0,0,0,0,0,163,227,62,0,0,103,27,3,0,44,27,4,2,0,18,5,0,0,0,0,4,6,10,0,11,6,4,4,446,601,305,268,81,
"East Cairngorms",311,0,0,0,0,312,0,0,0,0,0,235,0,0,0,0,355,0,0,0,0,0,70,109,32,0,0,70,17,3,0,21,13,4,2,0,32,12,0,0,0,0,6,0,7,0,18,6,5,0,622,662,174,135,44,
"Aboyne and South Deeside",315,0,0,0,0,302,0,0,0,0,0,333,0,0,0,0,474,0,0,0,0,0,130,244,95,0,0,102,28,1,0,25,31,8,2,0,45,8,0,0,0,0,4,5,8,0,9,17,5,2,620,885,295,292,110,
"Mearns and Laurencekirk",196,0,0,0,0,215,0,0,0,0,0,156,0,0,0,0,298,0,0,0,0,0,127,171,67,0,0,52,24,3,0,40,37,9,1,0,27,4,2,0,0,0,1,0,6,0,6,6,2,0,411,523,227,213,77,
"Mearns South and Benholm",262,0,0,0,0,311,0,0,0,0,0,265,0,0,0,0,506,0,0,0,0,0,129,239,105,0,0,98,27,7,0,43,34,21,3,0,43,7,2,1,0,2,4,11,21,0,20,13,4,5,575,874,285,303,141,
"Mearns North and Inverbervie",291,0,0,0,0,434,0,0,0,0,0,238,0,0,0,0,551,0,0,0,0,0,200,294,123,0,0,122,37,2,0,47,40,16,7,0,52,8,1,0,0,2,2,6,19,0,6,15,13,1,725,896,387,369,150,
"Fetteresso, Netherley and Catter",149,0,0,0,0,251,0,0,0,0,0,171,0,0,0,0,472,0,0,0,0,0,196,285,67,0,0,102,27,3,0,26,24,11,3,0,31,5,1,0,0,2,4,8,10,0,13,15,5,1,398,718,346,333,83,
"Stonehaven South",362,0,0,0,0,549,0,0,0,0,0,238,0,0,0,0,424,0,0,0,0,0,156,223,74,0,0,125,37,3,0,71,73,16,2,0,86,13,2,0,0,2,5,7,4,0,12,9,3,3,911,833,381,286,86,
"Stonehaven North",466,0,0,0,0,414,0,0,0,0,0,309,0,0,0,0,527,0,0,0,0,0,149,280,74,0,0,125,38,2,0,50,47,19,5,0,54,17,0,0,0,0,5,2,7,0,13,17,5,0,882,953,360,344,86,
"Newtonhill",152,0,0,0,0,158,0,0,0,0,0,153,0,0,0,0,289,0,0,0,0,0,114,183,41,0,0,75,30,4,0,24,32,7,0,0,31,5,0,0,0,0,4,5,4,0,5,3,5,0,310,503,231,230,53,
"Portlethen",213,0,0,0,0,321,0,0,0,0,0,203,0,0,0,0,461,0,0,0,0,0,114,173,46,0,0,96,35,0,0,35,19,5,2,0,46,6,3,0,0,2,0,2,4,0,6,4,4,2,537,751,243,218,58,
"Banchory-Devenick and Findon",172,0,0,0,0,271,0,0,0,0,0,145,0,0,0,0,420,0,0,0,0,0,251,373,154,0,0,105,34,0,0,55,47,11,5,0,65,13,1,0,0,1,4,15,18,0,16,11,4,1,443,703,433,438,172,
"Dunecht, Durris and Drumoak",244,0,0,0,0,215,0,0,0,0,0,250,0,0,0,0,536,0,0,0,0,0,170,271,135,0,0,108,31,1,0,27,27,5,3,0,34,11,0,0,0,0,6,8,15,0,14,15,4,7,459,860,337,317,165,
"Banchory East",289,0,0,0,0,297,0,0,0,0,0,180,0,0,0,0,359,0,0,0,0,0,143,273,68,0,0,69,17,2,0,51,46,11,3,0,47,4,0,0,0,0,1,4,9,0,6,8,4,0,585,644,270,309,83,
"Banchory West",265,0,0,0,0,211,0,0,0,0,0,239,0,0,0,0,285,0,0,0,0,0,90,132,58,0,0,71,14,0,0,15,19,7,0,0,31,3,0,0,0,0,1,0,4,0,6,8,6,1,475,573,196,159,66,
"Crathes and Torphins",246,0,0,0,0,193,0,0,0,0,0,254,0,0,0,0,328,0,0,0,0,0,122,196,52,0,0,89,20,1,0,21,22,4,2,0,20,5,1,0,0,0,2,4,8,0,15,6,4,2,439,640,245,232,65,
"Cromar and Kildrummy",257,0,0,0,0,310,0,0,0,0,0,237,1,0,0,0,406,0,0,0,0,0,91,184,72,0,0,83,25,1,0,22,18,7,2,0,27,4,0,1,0,0,5,6,11,0,17,14,9,3,567,709,216,229,90,
"Howe of Alford",333,0,0,0,0,419,0,0,0,0,0,321,0,0,0,0,591,0,0,0,0,0,188,366,106,0,0,125,25,7,0,64,53,15,2,0,61,10,1,0,0,0,6,7,11,0,12,11,8,2,752,1049,391,421,127,
"Kemnay",238,0,0,0,0,300,0,0,0,0,0,180,0,0,0,0,292,0,0,0,0,0,129,161,65,0,0,92,15,0,0,53,42,19,6,0,51,12,4,1,0,0,5,7,6,0,7,5,3,0,538,587,282,210,82,
"Inverurie North",404,0,0,0,0,543,0,0,0,0,0,311,0,0,0,0,498,0,0,0,0,0,120,181,55,0,0,140,32,0,0,61,37,11,5,0,91,6,0,0,0,3,3,6,4,0,22,8,8,0,950,985,317,237,65,
"Inverurie South",491,0,0,0,0,752,0,0,0,0,0,291,0,0,0,0,414,0,0,0,0,0,114,145,59,0,0,90,28,4,0,85,56,8,6,0,96,11,1,0,0,4,1,3,14,0,26,9,2,2,1243,912,281,187,85,
"Inverurie - Harlaw",83,0,0,0,0,251,0,0,0,0,0,111,0,0,0,0,430,0,0,0,0,0,241,426,100,0,0,76,21,3,0,58,53,18,2,0,35,8,0,0,0,0,3,4,8,0,13,6,2,0,336,649,387,469,115,
"Durno and Chapel of Garioch",109,0,0,0,0,124,0,0,0,0,0,142,0,0,0,0,303,0,0,0,0,0,78,149,43,0,0,67,27,3,0,14,16,8,1,0,15,3,0,0,0,0,2,1,8,0,4,6,2,3,233,481,169,189,61,
"Kintore",246,0,0,0,0,334,0,0,0,0,0,303,0,0,0,0,480,0,0,0,0,0,195,381,115,0,0,100,52,2,0,44,59,11,2,0,49,9,0,0,0,0,3,8,11,0,4,17,4,3,578,877,379,453,132,
"Blackburn",93,0,0,0,0,168,0,0,0,0,0,101,0,0,0,0,249,0,0,0,0,0,144,220,81,0,0,66,32,2,0,20,21,12,3,0,23,15,0,0,0,0,3,3,7,0,1,6,6,2,261,391,255,273,95,
"Westhill North and South",115,0,0,0,0,221,0,0,0,0,0,211,0,0,0,0,394,0,0,0,0,0,122,303,80,0,0,98,48,1,0,35,32,5,0,0,42,12,0,0,0,1,3,5,7,0,5,3,4,1,339,686,271,366,91,
"Westhill Central",327,0,0,0,0,291,0,0,0,0,0,281,0,0,0,0,319,0,0,0,0,0,112,178,34,0,0,88,23,3,0,31,17,3,3,0,39,0,0,0,0,0,1,0,11,0,8,8,5,2,618,679,227,209,50,
"Garlogie and Elrick",158,0,0,0,0,246,0,0,0,0,0,143,0,0,0,0,305,0,0,0,0,0,138,297,67,0,0,88,27,3,0,25,34,10,3,0,41,7,0,0,0,0,1,3,6,0,7,1,5,2,400,525,270,342,83,
"Newmachar and Fintray",211,0,0,0,0,266,0,0,0,0,0,208,0,0,0,0,483,0,0,0,0,0,194,311,74,0,0,111,33,3,0,36,43,10,7,0,42,10,2,2,0,6,4,11,11,0,4,16,7,1,477,777,377,373,98,
"Balmedie and Potterton",217,0,0,0,0,242,0,0,0,0,0,213,0,0,0,0,453,0,0,0,0,0,164,257,92,0,0,108,31,6,0,47,40,9,3,0,40,11,0,0,0,1,3,2,10,0,9,6,1,5,463,760,335,303,118,
"Ellon East",397,0,0,0,0,506,0,0,0,0,0,320,0,0,0,0,525,0,0,0,0,0,206,330,88,0,0,120,26,3,0,44,48,12,1,0,66,5,0,0,0,1,3,6,8,0,8,12,5,2,903,964,394,376,104,
"Ellon West",310,0,0,0,0,298,0,0,0,0,0,238,0,0,0,0,380,0,0,0,0,0,114,151,59,0,0,98,21,1,0,36,31,9,3,0,41,4,0,0,0,0,3,6,5,0,17,10,6,1,608,712,261,194,69,
"Ythanside",150,0,0,0,0,237,0,0,0,0,0,245,0,0,0,0,502,0,0,0,0,0,154,241,79,0,0,106,43,5,0,26,36,9,3,0,41,7,0,0,0,0,3,5,13,0,11,13,8,5,392,825,319,303,107,
"Ythsie",298,0,0,0,0,316,0,0,0,0,0,253,0,0,0,0,573,0,0,0,0,0,172,322,92,0,0,137,46,4,0,43,28,14,1,0,58,3,0,0,0,4,3,11,15,0,9,13,4,3,614,940,354,394,117,
"Barrahill",219,0,0,0,0,239,0,0,0,0,0,234,0,0,0,0,435,0,0,0,0,0,156,275,78,0,0,111,48,2,0,41,57,21,4,0,35,16,1,0,0,3,0,6,14,0,11,11,5,4,455,759,353,358,104,
"Fyvie-Rothie",153,0,0,0,0,245,0,0,0,0,0,175,1,0,0,0,403,0,0,0,0,0,117,186,86,0,0,93,27,7,0,25,33,11,3,0,43,7,1,0,0,0,3,2,6,0,15,15,5,1,396,660,265,232,103,
"Insch, Oyne and Ythanwells",227,0,0,0,0,289,0,0,0,0,0,233,0,0,0,0,386,0,0,0,0,0,113,224,76,0,0,79,17,2,0,31,38,5,4,0,45,5,0,0,0,2,3,2,13,0,12,6,3,2,514,709,245,252,94,
"Clashindarroch",228,0,0,0,0,244,0,0,0,0,0,231,0,0,0,0,530,0,0,0,0,0,123,206,86,0,0,102,39,2,0,28,26,4,3,0,45,10,4,0,0,2,0,4,15,0,20,12,7,2,474,857,276,267,108,
