SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household size - 5 groups, collapsed and Number of cars or vans - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household size - 5 groups, collapsed","One person",,,"Two people",,,"Three people",,,"Four people",,,"Five or more people",,,"Total",,,
"Number of cars or vans - 3 groups, collapsed","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans",
"Data Zone (2022)",
"S01013544",293,128,6,61,52,16,13,5,5,5,8,2,4,2,1,373,195,29,
"S01013545",116,141,4,42,65,27,13,20,7,0,11,16,0,0,0,167,237,54,
"S01013546",238,89,4,56,42,17,6,10,2,4,5,3,4,1,0,308,147,30,
"S01013547",225,178,14,43,62,28,12,16,4,3,4,2,7,4,0,290,263,50,
"S01013548",86,79,1,18,41,22,1,13,3,2,7,8,0,5,2,108,145,36,
"S01013549",49,105,6,11,59,42,8,14,18,1,18,18,0,1,6,67,201,90,
"S01013550",70,122,13,43,101,66,12,28,18,3,16,14,2,8,6,130,275,116,
"S01013551",25,73,6,3,58,81,0,17,35,0,18,37,0,5,18,29,170,178,
"S01013552",9,57,6,3,49,55,3,14,31,1,19,31,1,6,6,17,144,135,
"S01013553",27,103,17,13,46,86,1,16,37,1,12,39,0,9,20,43,186,202,
"S01013554",57,87,12,14,57,64,6,21,25,1,24,33,1,3,10,77,192,141,
"S01013555",59,79,8,11,36,33,2,10,27,2,20,23,2,2,4,76,151,95,
"S01013556",83,145,10,22,54,32,5,15,25,0,8,12,0,7,5,116,232,84,
"S01013557",196,196,5,53,78,28,12,17,19,9,12,4,1,3,2,270,307,59,
"S01013558",188,164,0,49,63,33,8,17,4,6,13,1,0,2,0,244,259,39,
"S01013559",107,144,5,18,47,20,6,18,12,5,8,9,1,3,2,137,220,50,
"S01013560",26,94,5,8,57,89,2,17,32,1,16,30,1,4,8,38,188,164,
"S01013561",147,127,4,75,79,25,11,10,7,8,10,3,5,4,5,245,230,44,
"S01013562",104,108,4,47,69,22,24,12,9,2,3,1,1,0,0,177,193,38,
"S01013563",110,124,6,41,61,20,0,12,7,0,4,4,2,0,0,156,204,38,
"S01013564",203,100,5,55,57,18,14,26,3,8,6,1,13,2,1,293,186,28,
"S01013565",269,115,4,54,39,6,17,12,3,4,6,0,0,0,1,344,170,15,
"S01013566",185,54,5,57,40,14,11,8,2,4,5,1,1,3,0,255,110,20,
"S01013567",191,59,4,70,33,6,14,8,5,5,0,4,0,3,3,284,106,22,
"S01013568",128,59,4,61,55,5,17,10,2,6,8,4,3,1,0,209,132,16,
"S01013569",127,94,5,49,67,11,9,12,6,1,5,1,2,3,7,191,180,28,
"S01013570",96,87,2,35,67,23,10,17,7,1,6,8,3,5,6,151,182,41,
"S01013571",46,112,12,23,77,40,4,11,7,8,14,11,0,3,0,75,214,61,
"S01013572",70,120,8,26,53,35,5,11,14,4,8,10,0,4,1,105,196,63,
"S01013573",97,145,10,17,41,20,0,12,1,2,4,5,1,0,0,117,200,36,
"S01013574",97,207,14,38,72,43,5,14,9,3,11,8,2,5,2,146,309,73,
"S01013575",76,124,1,19,61,47,2,16,13,2,16,8,1,4,5,101,221,78,
"S01013576",157,120,7,33,35,13,6,6,2,0,2,4,0,0,0,192,163,19,
"S01013577",28,81,6,11,94,46,2,21,31,2,14,32,2,7,4,45,215,119,
"S01013578",155,159,7,46,77,34,13,12,8,6,4,1,0,0,0,220,253,51,
"S01013579",148,156,4,23,89,48,2,16,29,6,9,20,1,0,3,183,274,104,
"S01013580",136,145,6,19,71,47,10,11,14,1,13,17,0,10,10,163,250,94,
"S01013581",74,88,4,17,85,49,6,18,28,1,14,21,0,3,6,96,212,103,
"S01013582",85,49,3,19,52,26,5,15,19,4,10,15,5,4,2,117,138,67,
"S01013583",62,66,2,24,67,40,2,28,20,3,13,13,0,1,5,92,179,82,
"S01013584",104,43,0,18,47,16,8,15,20,0,11,10,3,3,0,133,119,45,
"S01013585",69,77,8,16,72,58,5,23,18,4,8,21,1,4,5,92,183,110,
"S01013586",53,62,4,18,67,26,13,27,25,8,23,21,3,4,11,93,186,87,
"S01013587",16,54,7,10,62,77,6,19,42,1,14,35,0,0,10,34,151,171,
"S01013588",10,71,10,2,46,48,2,33,37,0,25,37,0,4,12,18,179,144,
"S01013589",8,79,2,7,42,79,2,28,32,0,11,31,0,1,0,19,165,141,
"S01013590",92,77,3,30,75,40,5,38,31,1,14,18,1,6,4,130,210,96,
"S01013591",57,37,3,25,51,11,11,17,12,4,13,4,0,2,0,97,113,30,
"S01013592",90,79,4,29,72,37,13,29,26,4,15,21,5,7,5,137,203,93,
"S01013593",58,65,0,14,66,56,7,22,31,1,14,15,0,2,6,75,170,113,
"S01013594",18,70,4,2,42,38,0,9,21,1,11,9,0,4,5,18,134,78,
"S01013595",15,60,8,1,43,43,0,16,32,2,12,25,0,5,10,15,132,114,
"S01013596",5,23,4,3,43,44,2,8,45,0,15,60,3,4,12,11,89,163,
"S01013597",24,91,10,6,64,57,0,16,24,1,11,16,1,0,3,33,180,112,
"S01013598",35,62,5,14,49,49,4,12,25,1,12,19,0,1,4,52,137,102,
"S01013599",25,48,3,2,52,43,0,9,18,0,7,11,0,0,0,31,113,79,
"S01013600",46,84,8,17,63,54,4,24,36,0,16,35,2,2,8,68,192,143,
"S01013601",34,86,6,20,87,47,3,14,32,0,17,17,0,2,4,57,206,106,
"S01013602",27,61,5,7,42,34,1,9,18,0,8,9,0,2,6,36,123,74,
"S01013603",21,88,13,8,56,48,3,16,28,2,6,13,0,3,4,35,166,101,
"S01013604",69,76,4,42,72,20,13,38,21,5,16,25,5,1,5,133,201,71,
"S01013605",64,49,3,33,64,32,10,21,21,12,10,20,6,6,7,126,148,83,
"S01013606",183,124,6,35,82,39,6,15,13,6,12,11,2,7,7,232,240,76,
"S01013607",50,54,4,28,53,26,6,10,14,1,9,10,2,1,2,88,124,56,
"S01013608",97,53,1,30,43,11,9,17,6,2,10,4,1,2,1,139,125,19,
"S01013609",189,102,2,52,56,15,17,9,8,1,1,1,2,2,0,257,170,27,
"S01013610",257,110,3,53,47,12,13,10,2,10,9,3,1,0,2,335,174,21,
"S01013611",81,36,2,48,48,19,19,22,11,9,17,8,8,8,5,165,131,52,
"S01013612",148,90,5,43,66,24,10,24,21,9,13,9,3,11,5,211,204,59,
"S01013613",149,54,0,44,38,17,12,27,12,1,10,7,1,2,0,206,131,35,
"S01013614",82,36,1,21,37,11,7,15,11,6,18,11,8,1,13,124,109,47,
"S01013615",73,28,1,37,27,6,11,15,6,8,8,0,15,10,5,141,91,17,
"S01013616",80,43,0,23,53,21,9,17,13,7,17,7,1,9,3,120,134,44,
"S01013617",131,53,0,31,47,12,13,26,9,13,23,4,4,12,10,195,161,32,
"S01013618",99,68,2,27,47,19,4,11,7,4,8,2,2,0,0,133,137,29,
"S01013619",229,132,1,60,62,21,20,12,5,4,5,3,1,6,1,315,217,30,
"S01013620",308,91,0,79,56,12,23,17,6,4,13,3,1,0,1,415,177,22,
"S01013621",75,119,13,55,86,31,17,21,14,8,6,16,5,16,4,157,246,71,
"S01013622",197,136,7,73,82,29,23,23,7,8,11,7,8,0,0,309,244,45,
"S01013623",173,94,6,94,53,25,15,19,5,0,3,2,2,2,1,283,173,39,
"S01013624",119,96,2,55,32,27,22,7,5,3,3,0,0,1,0,202,139,34,
"S01013625",148,146,5,78,125,66,11,13,9,5,14,1,6,4,0,249,302,85,
"S01013626",158,54,2,49,37,10,19,7,1,7,7,4,0,3,0,236,105,17,
"S01013627",113,73,0,31,48,11,13,16,0,5,3,2,5,3,0,165,142,12,
"S01013628",95,72,4,50,33,8,24,17,4,8,3,0,3,4,3,180,132,19,
"S01013629",279,115,11,94,68,17,27,7,2,11,5,1,2,4,3,413,204,34,
"S01013630",242,107,3,58,70,24,23,22,9,12,12,2,0,5,1,334,213,39,
"S01013631",145,78,0,38,48,21,11,16,6,0,8,6,0,7,4,198,157,38,
"S01013632",175,51,2,53,23,8,15,6,2,1,5,0,3,4,0,245,90,10,
"S01013633",99,49,3,61,51,23,9,9,8,8,3,1,0,1,0,177,113,37,
"S01013634",56,90,7,25,54,24,9,8,13,2,4,12,0,7,4,91,163,58,
"S01013635",141,120,4,52,70,24,10,24,5,1,4,6,3,3,0,207,221,39,
"S01013636",103,143,3,29,88,61,4,23,17,3,19,13,0,3,4,142,284,99,
"S01013637",152,96,5,53,73,26,12,22,4,12,16,11,5,1,2,234,205,48,
"S01013638",77,56,4,26,48,8,9,9,7,1,4,2,0,4,3,113,121,18,
"S01013639",95,50,4,44,45,10,25,28,4,5,15,5,3,6,7,170,144,30,
"S01013640",123,81,4,59,43,14,24,21,7,10,5,2,0,3,3,216,153,31,
"S01013641",87,67,4,35,41,18,16,26,5,10,7,2,2,5,2,152,143,33,
"S01013642",68,24,5,32,16,11,10,17,4,10,2,2,8,12,5,127,75,24,
"S01013643",51,54,1,23,31,23,5,17,9,5,9,4,2,5,2,89,113,40,
"S01013644",78,31,1,31,21,5,33,17,6,5,7,4,8,10,6,157,89,24,
"S01013645",63,36,7,23,41,4,13,12,6,4,11,1,6,6,5,109,108,23,
"S01013646",58,40,2,42,34,11,7,8,7,4,3,9,3,4,0,114,87,24,
"S01013647",140,62,6,50,36,20,10,10,6,3,6,7,2,0,9,203,116,49,
"S01013648",219,120,5,52,94,36,16,25,17,4,7,10,0,2,2,289,245,70,
"S01013649",188,90,7,51,41,11,8,13,7,6,7,2,2,1,2,257,153,26,
"S01013650",109,77,9,70,65,21,12,8,13,7,2,5,5,2,1,200,156,53,
"S01013651",255,118,3,73,63,18,18,17,6,4,6,5,2,2,2,352,206,38,
"S01013652",145,95,5,36,61,21,6,5,4,1,2,2,0,2,0,190,169,31,
"S01013653",44,47,5,16,44,20,7,13,6,3,4,4,0,0,2,70,108,40,
"S01013654",112,61,0,48,30,13,19,9,11,7,15,3,4,5,5,190,116,38,
"S01013655",161,93,4,57,75,20,14,19,10,8,16,5,1,3,0,241,205,39,
"S01013656",147,51,5,20,40,9,6,12,6,3,4,3,0,2,0,176,105,21,
"S01013657",80,35,4,48,35,15,27,21,13,17,12,15,6,9,6,177,112,52,
"S01013658",110,47,2,45,27,17,14,19,15,3,10,8,0,1,4,173,108,42,
"S01013659",164,91,7,63,81,22,29,26,8,15,16,4,5,6,6,272,220,49,
"S01013660",90,55,4,43,50,21,27,20,17,6,14,11,2,7,8,171,145,63,
"S01013661",83,54,4,26,46,22,11,33,18,7,12,18,4,11,4,130,156,62,
"S01013662",43,72,10,23,65,43,6,14,15,3,9,4,0,2,0,76,162,72,
"S01013663",128,72,7,55,39,12,20,28,21,11,18,24,1,4,2,215,157,68,
"S01013664",131,146,9,24,48,46,7,16,7,3,5,8,3,3,3,169,219,69,
"S01013665",96,51,2,35,48,5,24,19,7,12,32,11,9,16,8,179,164,33,
