SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household tenure - 5 groups, collapsed and Household tenure - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household tenure - 5 groups, collapsed","Owned: Owned outright",,,"Owned: Owns with a mortgage or loan or shared ownership",,,"Social Rented: Council (LA) or Housing Association/ Registered Social Landlord",,,"Private rented",,,"Living rent free",,,"Total",,,
"Household tenure - 3 groups, collapsed","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free",
"Intermediate Zone (2022)",
"Mearns North and Inverbervie",949,0,0,965,0,0,0,360,0,0,0,196,0,0,57,1914,360,257,
"Fetteresso, Netherley and Catter",758,0,0,808,0,0,0,68,0,0,0,206,0,0,42,1562,68,248,
"Stonehaven South",976,0,0,703,0,0,0,559,0,0,0,224,0,0,32,1682,559,256,
"Stonehaven North",1150,0,0,856,0,0,0,349,0,0,0,248,0,0,28,2006,349,270,
"Newtonhill",544,0,0,608,0,0,0,114,0,0,0,50,0,0,10,1152,114,57,
"Portlethen",889,0,0,757,0,0,0,42,0,0,0,113,0,0,14,1642,42,130,
"Banchory-Devenick and Findon",621,0,0,1147,0,0,0,250,0,0,0,153,0,0,18,1768,250,171,
"Dunecht, Durris and Drumoak",849,0,0,764,0,0,0,136,0,0,0,329,0,0,57,1613,136,386,
"Banchory East",723,0,0,704,0,0,0,316,0,0,0,128,0,0,22,1427,316,150,
"Banchory West",771,0,0,405,0,0,0,135,0,0,0,135,0,0,28,1176,135,160,
"Crathes and Torphins",723,0,0,469,0,0,0,103,0,0,0,280,0,0,42,1192,103,318,
"Cromar and Kildrummy",820,0,0,489,0,0,0,176,0,0,0,270,0,0,59,1309,176,329,
"Howe of Alford",1092,0,0,1045,0,0,0,328,0,0,0,238,0,0,40,2133,328,278,
"Kemnay",605,0,0,554,0,0,0,477,0,0,0,51,0,0,12,1159,477,63,
"Inverurie North",1090,0,0,793,0,0,0,420,0,0,0,226,0,0,25,1883,420,251,
"Inverurie South",879,0,0,647,0,0,0,779,0,0,0,363,0,0,40,1526,779,406,
"Inverurie - Harlaw",445,0,0,1165,0,0,0,230,0,0,0,98,0,0,14,1614,230,116,
"Durno and Chapel of Garioch",559,0,0,428,0,0,0,44,0,0,0,83,0,0,18,984,44,101,
"Kintore",991,0,0,988,0,0,0,237,0,0,0,170,0,0,35,1979,237,205,
"Blackburn",427,0,0,576,0,0,0,112,0,0,0,152,0,0,12,1003,112,164,
"Westhill North and South",724,0,0,716,0,0,0,121,0,0,0,167,0,0,22,1440,121,189,
"Westhill Central",945,0,0,597,0,0,0,88,0,0,0,138,0,0,19,1538,88,157,
"Garlogie and Elrick",612,0,0,756,0,0,0,113,0,0,0,123,0,0,19,1369,113,142,
"Newmachar and Fintray",802,0,0,963,0,0,0,191,0,0,0,128,0,0,18,1767,191,146,
"Balmedie and Potterton",802,0,0,857,0,0,0,172,0,0,0,128,0,0,13,1659,172,143,
"Ellon East",1124,0,0,1107,0,0,0,215,0,0,0,271,0,0,27,2228,215,298,
"Ellon West",811,0,0,590,0,0,0,305,0,0,0,125,0,0,12,1401,305,137,
"Ythanside",868,0,0,773,0,0,0,98,0,0,0,165,0,0,38,1641,98,204,
"Ythsie",966,0,0,923,0,0,0,245,0,0,0,243,0,0,45,1889,245,291,
"Barrahill",797,0,0,789,0,0,0,259,0,0,0,142,0,0,38,1590,259,180,
"Fyvie-Rothie",681,0,0,607,0,0,0,158,0,0,0,182,0,0,26,1288,158,205,
"Insch, Oyne and Ythanwells",740,0,0,629,0,0,0,239,0,0,0,174,0,0,36,1368,239,210,
"Clashindarroch",937,0,0,611,0,0,0,159,0,0,0,232,0,0,42,1549,159,274,
"Huntly",784,0,0,431,0,0,0,693,0,0,0,227,0,0,36,1215,693,263,
"Auchterless and Monquhitter",500,0,0,404,0,0,0,27,0,0,0,146,0,0,29,904,27,179,
"Turriff",912,0,0,542,0,0,0,443,0,0,0,211,0,0,44,1457,443,253,
"Portsoy, Fordyce and Cornhill",744,0,0,342,0,0,0,297,0,0,0,110,0,0,28,1086,297,135,
"Aberchirder and Whitehills",855,0,0,463,0,0,0,293,0,0,0,163,0,0,42,1316,293,205,
"Banff",757,0,0,436,0,0,0,613,0,0,0,152,0,0,32,1193,613,187,
"Macduff",663,0,0,508,0,0,0,532,0,0,0,105,0,0,12,1171,532,118,
"Gardenstown and King Edward",672,0,0,426,0,0,0,110,0,0,0,141,0,0,28,1095,110,168,
"New Pitsligo",654,0,0,331,0,0,0,181,0,0,0,104,0,0,24,985,181,125,
"Deer and Mormond",920,0,0,737,0,0,0,260,0,0,0,186,0,0,29,1657,260,218,
"Mintlaw",578,0,0,443,0,0,0,297,0,0,0,63,0,0,14,1021,297,77,
"Auchnagatt",576,0,0,496,0,0,0,86,0,0,0,96,0,0,18,1072,86,115,
"Cruden",879,0,0,712,0,0,0,358,0,0,0,156,0,0,27,1591,358,187,
"Peterhead Links",844,0,0,529,0,0,0,350,0,0,0,117,0,0,20,1373,350,137,
"Peterhead Bay",383,0,0,316,0,0,0,400,0,0,0,124,0,0,15,699,400,140,
"Peterhead Harbour",823,0,0,555,0,0,0,1347,0,0,0,495,0,0,40,1379,1347,536,
"Peterhead Ugieside",845,0,0,561,0,0,0,304,0,0,0,115,0,0,28,1406,304,143,
"Longside and Rattray South",552,0,0,907,0,0,0,123,0,0,0,87,0,0,16,1459,123,105,
"Longside and Rattray North",647,0,0,511,0,0,0,238,0,0,0,106,0,0,29,1158,238,130,
"Rosehearty, Sandhaven and Tyrie",524,0,0,452,0,0,0,285,0,0,0,85,0,0,19,976,285,109,
