SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household tenure - 5 groups, collapsed and Household tenure - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household tenure - 5 groups, collapsed","Owned: Owned outright",,,"Owned: Owns with a mortgage or loan or shared ownership",,,"Social Rented: Council (LA) or Housing Association/ Registered Social Landlord",,,"Private rented",,,"Living rent free",,,"Total",,,
"Household tenure - 3 groups, collapsed","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free",
"Intermediate Zone (2022)",
"New Town East and Gayfield",484,0,0,304,0,0,0,66,0,0,0,612,0,0,18,788,66,630,
"New Town West",690,0,0,313,0,0,0,154,0,0,0,540,0,0,35,1003,154,575,
"Canonmills and New Town North",552,0,0,411,0,0,0,19,0,0,0,739,0,0,38,963,19,774,
"Stockbridge",1050,0,0,723,0,0,0,159,0,0,0,1230,0,0,53,1773,159,1283,
"Comely Bank",659,0,0,464,0,0,0,16,0,0,0,530,0,0,19,1119,16,549,
"Wester Coates",734,0,0,500,0,0,0,70,0,0,0,542,0,0,32,1234,70,574,
"Dean Village",551,0,0,375,0,0,0,63,0,0,0,510,0,0,25,926,63,534,
"Balgreen and Roseburn",922,0,0,682,0,0,0,140,0,0,0,392,0,0,24,1604,140,416,
"Murrayfield and Ravelston",1038,0,0,640,0,0,0,7,0,0,0,135,0,0,10,1678,7,145,
"Craigleith, Orchard Brae and Crewe Toll",1073,0,0,800,0,0,0,26,0,0,0,375,0,0,29,1873,26,400,
"Blackhall",1253,0,0,886,0,0,0,82,0,0,0,198,0,0,19,2139,82,220,
"Drylaw",599,0,0,617,0,0,0,577,0,0,0,252,0,0,27,1216,577,279,
"West Pilton",286,0,0,593,0,0,0,936,0,0,0,551,0,0,31,882,936,582,
"Boswall and Pilton",756,0,0,1104,0,0,0,193,0,0,0,488,0,0,31,1857,193,523,
"Granton South and Wardieburn",164,0,0,180,0,0,0,856,0,0,0,155,0,0,23,344,856,178,
"Granton and Royston Mains",349,0,0,584,0,0,0,914,0,0,0,521,0,0,28,933,914,549,
"Granton West and Salvesen",223,0,0,518,0,0,0,599,0,0,0,392,0,0,15,737,599,409,
"Muirhouse",275,0,0,523,0,0,0,1519,0,0,0,346,0,0,27,798,1519,373,
"Silverknowes and Davidson's Mains",916,0,0,720,0,0,0,23,0,0,0,124,0,0,12,1636,23,136,
"Cramond",528,0,0,416,0,0,0,18,0,0,0,97,0,0,7,944,18,104,
"Barnton, Cammo and Cramond South",1000,0,0,621,0,0,0,12,0,0,0,83,0,0,15,1621,12,98,
"Clermiston and Drumbrae",865,0,0,1015,0,0,0,623,0,0,0,315,0,0,56,1880,623,371,
"East Craigs North",853,0,0,897,0,0,0,396,0,0,0,321,0,0,33,1750,396,353,
"East Craigs South",1135,0,0,856,0,0,0,81,0,0,0,142,0,0,8,1989,81,150,
"Corstorphine North",708,0,0,673,0,0,0,86,0,0,0,85,0,0,16,1381,86,101,
"Corstorphine",1180,0,0,833,0,0,0,127,0,0,0,266,0,0,27,2013,127,293,
"Carrick Knowe",447,0,0,435,0,0,0,23,0,0,0,246,0,0,7,882,23,253,
"Corstorphine South",757,0,0,889,0,0,0,51,0,0,0,381,0,0,19,1645,51,396,
"South Gyle and Edinburgh Park",856,0,0,874,0,0,0,110,0,0,0,489,0,0,25,1730,110,514,
"Ratho, Ingliston and Gogar",384,0,0,414,0,0,0,152,0,0,0,89,0,0,9,798,152,98,
"Kirkliston",593,0,0,806,0,0,0,273,0,0,0,112,0,0,14,1399,273,129,
"Dalmeny and Newbridge",391,0,0,870,0,0,0,218,0,0,0,184,0,0,12,1261,218,197,
"Queensferry East",855,0,0,784,0,0,0,175,0,0,0,205,0,0,24,1636,175,224,
"Queensferry West",656,0,0,693,0,0,0,125,0,0,0,138,0,0,11,1347,125,146,
"Tullibody South",585,0,0,585,0,0,0,598,0,0,0,97,0,0,32,1175,598,129,
"Tullibody North and Glenochil",556,0,0,616,0,0,0,594,0,0,0,133,0,0,23,1175,594,152,
"Menstrie",521,0,0,446,0,0,0,150,0,0,0,106,0,0,12,967,150,114,
"Alva",967,0,0,682,0,0,0,495,0,0,0,272,0,0,54,1645,495,326,
"Fishcross, Devon Village and Coalsnaughton",410,0,0,323,0,0,0,272,0,0,0,90,0,0,13,733,272,103,
"Tillicoultry",894,0,0,599,0,0,0,606,0,0,0,213,0,0,19,1491,606,228,
"Dollar and Muckhart",767,0,0,514,0,0,0,116,0,0,0,110,0,0,23,1281,116,137,
"Clackmannan, Kennet and Forestmill",806,0,0,833,0,0,0,515,0,0,0,130,0,0,31,1639,515,160,
"Sauchie",682,0,0,548,0,0,0,897,0,0,0,181,0,0,33,1229,897,214,
"Alloa South and East",418,0,0,344,0,0,0,1303,0,0,0,353,0,0,38,762,1303,394,
"Alloa North",926,0,0,884,0,0,0,685,0,0,0,260,0,0,39,1810,685,299,
"Alloa West",609,0,0,649,0,0,0,216,0,0,0,182,0,0,21,1258,216,203,
"Stranraer West",370,0,0,215,0,0,0,549,0,0,0,139,0,0,28,585,549,169,
"Rhins North",846,0,0,300,0,0,0,96,0,0,0,158,0,0,39,1143,96,197,
"Stranraer East",475,0,0,275,0,0,0,266,0,0,0,248,0,0,25,753,266,273,
"Stranraer South",537,0,0,371,0,0,0,445,0,0,0,174,0,0,16,908,445,193,
"Rhins South",806,0,0,299,0,0,0,299,0,0,0,326,0,0,59,1105,299,387,
"Machars North",526,0,0,180,0,0,0,127,0,0,0,197,0,0,48,706,127,245,
"Machars South",1294,0,0,327,0,0,0,428,0,0,0,319,0,0,104,1621,428,423,
"Newton Stewart",1180,0,0,479,0,0,0,532,0,0,0,347,0,0,52,1659,532,401,
"Gatehouse",860,0,0,298,0,0,0,203,0,0,0,202,0,0,73,1158,203,278,
"Kirkcudbright",1261,0,0,383,0,0,0,383,0,0,0,360,0,0,94,1644,383,454,
"Castle Douglas",937,0,0,415,0,0,0,526,0,0,0,347,0,0,58,1355,526,405,
"Dalbeattie",976,0,0,451,0,0,0,439,0,0,0,217,0,0,31,1427,439,248,
"Dalbeattie Rural",687,0,0,204,0,0,0,40,0,0,0,129,0,0,48,894,40,177,
"Glenkens",844,0,0,380,0,0,0,188,0,0,0,249,0,0,73,1224,188,320,
"Upper Nithsdale",755,0,0,397,0,0,0,826,0,0,0,185,0,0,44,1152,826,233,
"Thornhill",883,0,0,344,0,0,0,310,0,0,0,292,0,0,75,1227,310,365,
"Mid Nithsdale",601,0,0,282,0,0,0,109,0,0,0,204,0,0,52,886,109,256,
"Shawhead",713,0,0,275,0,0,0,60,0,0,0,213,0,0,64,992,60,277,
"Lochside and Lincluden",621,0,0,514,0,0,0,1456,0,0,0,216,0,0,40,1135,1456,256,
"Summerville",985,0,0,755,0,0,0,863,0,0,0,359,0,0,32,1740,863,394,
"Troqueer",746,0,0,434,0,0,0,211,0,0,0,289,0,0,26,1180,211,315,
"New Abbey",757,0,0,335,0,0,0,153,0,0,0,220,0,0,27,1090,153,247,
"Kingholm",604,0,0,363,0,0,0,144,0,0,0,208,0,0,41,967,144,252,
"Calside",672,0,0,435,0,0,0,30,0,0,0,137,0,0,16,1109,30,156,
"Georgetown",707,0,0,433,0,0,0,20,0,0,0,135,0,0,18,1140,20,153,
"Dumfries Central",467,0,0,347,0,0,0,766,0,0,0,521,0,0,28,814,766,549,
"Nunholm",694,0,0,454,0,0,0,221,0,0,0,263,0,0,23,1148,221,286,
"Locharbriggs",531,0,0,400,0,0,0,247,0,0,0,142,0,0,14,931,247,160,
"Heathhall",586,0,0,426,0,0,0,59,0,0,0,149,0,0,26,1008,59,171,
"Collin",781,0,0,776,0,0,0,99,0,0,0,131,0,0,33,1557,99,164,
"Lochmaben",712,0,0,354,0,0,0,261,0,0,0,140,0,0,38,1067,261,178,
"Lockerbie",898,0,0,556,0,0,0,589,0,0,0,342,0,0,58,1454,589,397,
"Moffat",898,0,0,421,0,0,0,336,0,0,0,225,0,0,25,1319,336,250,
"Langholm and Eskdale",824,0,0,354,0,0,0,195,0,0,0,358,0,0,63,1178,195,421,
"Annandale East",745,0,0,376,0,0,0,243,0,0,0,322,0,0,54,1121,243,373,
"Annandale West",498,0,0,200,0,0,0,66,0,0,0,304,0,0,43,698,66,343,
"Annan West",591,0,0,339,0,0,0,477,0,0,0,240,0,0,20,926,477,253,
"Annan East",922,0,0,611,0,0,0,669,0,0,0,230,0,0,31,1533,669,261,
"Eastriggs",723,0,0,344,0,0,0,169,0,0,0,108,0,0,23,1066,169,130,
"Gretna",868,0,0,411,0,0,0,418,0,0,0,167,0,0,34,1280,418,201,
"Westend",1151,0,0,677,0,0,0,110,0,0,0,646,0,0,28,1826,110,674,
"Perth Road",301,0,0,264,0,0,0,571,0,0,0,1532,0,0,26,568,571,1558,
"Logie and Blackness",506,0,0,437,0,0,0,666,0,0,0,1449,0,0,30,943,666,1481,
"City Centre",250,0,0,297,0,0,0,557,0,0,0,1056,0,0,25,547,557,1081,
"Docks and Wellgate",371,0,0,412,0,0,0,815,0,0,0,1174,0,0,39,783,815,1211,
"Hilltown",212,0,0,200,0,0,0,712,0,0,0,604,0,0,17,412,712,622,
"Clepington",485,0,0,497,0,0,0,978,0,0,0,899,0,0,37,982,978,936,
"Stobswell",392,0,0,467,0,0,0,823,0,0,0,1533,0,0,24,859,823,1557,
"Baxter Park",651,0,0,438,0,0,0,59,0,0,0,178,0,0,17,1089,59,195,
"Craigie and Craigiebank",709,0,0,517,0,0,0,521,0,0,0,306,0,0,30,1226,521,336,
"Douglas West",447,0,0,443,0,0,0,835,0,0,0,264,0,0,22,888,835,285,
"West Ferry",812,0,0,393,0,0,0,64,0,0,0,88,0,0,15,1204,64,106,
"Douglas East",341,0,0,250,0,0,0,524,0,0,0,117,0,0,11,591,524,128,
"Broughty Ferry West",1236,0,0,565,0,0,0,115,0,0,0,575,0,0,29,1801,115,604,
"Broughty Ferry East",878,0,0,510,0,0,0,174,0,0,0,117,0,0,16,1385,174,133,
"Barnhill",1003,0,0,588,0,0,0,214,0,0,0,257,0,0,27,1591,214,285,
"Balgillo",477,0,0,734,0,0,0,19,0,0,0,93,0,0,9,1211,19,102,
"West Pitkerro and Balmossie",512,0,0,688,0,0,0,72,0,0,0,90,0,0,5,1200,72,97,
"Whitfield",470,0,0,487,0,0,0,1446,0,0,0,264,0,0,30,960,1446,294,
"Fintry",364,0,0,341,0,0,0,566,0,0,0,121,0,0,12,705,566,133,
"Claverhouse and North Ballumbie",491,0,0,838,0,0,0,338,0,0,0,117,0,0,14,1329,338,131,
"Linlathen and Midcraigie",317,0,0,390,0,0,0,1041,0,0,0,131,0,0,16,709,1041,147,
"Caird Park",394,0,0,398,0,0,0,216,0,0,0,80,0,0,7,792,216,87,
"Kirkton",513,0,0,488,0,0,0,547,0,0,0,107,0,0,16,1005,547,123,
"Downfield",973,0,0,732,0,0,0,273,0,0,0,159,0,0,24,1705,273,183,
"Fairmuir",648,0,0,579,0,0,0,263,0,0,0,203,0,0,17,1225,263,220,
"Law",790,0,0,588,0,0,0,1378,0,0,0,914,0,0,52,1378,1378,966,
"Balgay",719,0,0,527,0,0,0,211,0,0,0,270,0,0,14,1246,211,284,
"Menzieshill",506,0,0,418,0,0,0,816,0,0,0,482,0,0,29,924,816,508,
"Charleston",411,0,0,402,0,0,0,915,0,0,0,265,0,0,20,815,915,283,
"Lochee",698,0,0,502,0,0,0,1150,0,0,0,354,0,0,38,1200,1150,392,
"Ardler and St Marys",589,0,0,689,0,0,0,1322,0,0,0,165,0,0,28,1278,1322,193,
"Western Edge",680,0,0,1003,0,0,0,20,0,0,0,118,0,0,13,1683,20,131,
"Doon Valley South",377,0,0,238,0,0,0,623,0,0,0,99,0,0,35,615,623,134,
"Doon Valley North",648,0,0,512,0,0,0,533,0,0,0,109,0,0,32,1160,533,141,
"Mauchline Rural",821,0,0,618,0,0,0,560,0,0,0,261,0,0,44,1440,560,305,
"Drongan",459,0,0,352,0,0,0,501,0,0,0,105,0,0,15,811,501,120,
"Mauchline",753,0,0,510,0,0,0,309,0,0,0,161,0,0,20,1263,309,178,
"Cumnock Rural",889,0,0,480,0,0,0,520,0,0,0,174,0,0,54,1369,520,226,
"New Cumnock",438,0,0,233,0,0,0,523,0,0,0,111,0,0,12,671,523,122,
"Cumnock South and Craigens",644,0,0,532,0,0,0,745,0,0,0,217,0,0,21,1176,745,236,
"Cumnock North",716,0,0,515,0,0,0,350,0,0,0,154,0,0,36,1230,350,190,
"Auchinleck",511,0,0,364,0,0,0,659,0,0,0,128,0,0,17,875,659,145,
"Northern and Irvine Valley Rural",1029,0,0,1112,0,0,0,249,0,0,0,144,0,0,25,2141,249,165,
"Stewarton East",753,0,0,669,0,0,0,174,0,0,0,226,0,0,20,1422,174,246,
"Stewarton West",428,0,0,355,0,0,0,229,0,0,0,113,0,0,19,783,229,132,
"Darvel",682,0,0,520,0,0,0,288,0,0,0,163,0,0,19,1202,288,184,
"Newmilns",471,0,0,304,0,0,0,349,0,0,0,123,0,0,19,775,349,142,
"Galston",763,0,0,642,0,0,0,511,0,0,0,193,0,0,24,1405,511,217,
"Earlston and Hurlford Rural",834,0,0,622,0,0,0,727,0,0,0,202,0,0,38,1450,727,240,
"Shortlees",361,0,0,353,0,0,0,1045,0,0,0,168,0,0,12,710,1045,183,
"Bellfield and Kirkstyle",531,0,0,611,0,0,0,699,0,0,0,215,0,0,14,1142,699,229,
"Kilmarnock South Central and Caprington",493,0,0,383,0,0,0,395,0,0,0,223,0,0,19,877,395,242,
"Piersland",631,0,0,537,0,0,0,174,0,0,0,257,0,0,15,1170,174,272,
"New Farm Loch South",459,0,0,330,0,0,0,463,0,0,0,86,0,0,17,792,463,107,
"Dean and New Farm Loch North",537,0,0,485,0,0,0,357,0,0,0,207,0,0,13,1022,357,220,
"Southcraig and Beansburn",1044,0,0,1095,0,0,0,29,0,0,0,126,0,0,11,2143,29,137,
"Altonhill North and Onthank",304,0,0,491,0,0,0,1030,0,0,0,149,0,0,23,795,1030,172,
"Altonhill South, Longpark and Hillhead",322,0,0,571,0,0,0,1148,0,0,0,261,0,0,20,893,1148,285,
"Bonnyton and Town Centre",552,0,0,513,0,0,0,467,0,0,0,461,0,0,25,1062,467,486,
"Grange, Howard and Gargieston",1222,0,0,1100,0,0,0,52,0,0,0,221,0,0,29,2319,52,250,
"Crosshouse, Gatehead and Kilmaurs Rural",683,0,0,950,0,0,0,267,0,0,0,150,0,0,18,1633,267,168,
"Kilmaurs",500,0,0,362,0,0,0,269,0,0,0,74,0,0,20,855,269,94,
"West Clober and Mains Estate",554,0,0,432,0,0,0,20,0,0,0,44,0,0,9,980,20,53,
"East Clober and Mains Estate",573,0,0,455,0,0,0,366,0,0,0,95,0,0,17,1032,366,116,
"Barloch",824,0,0,471,0,0,0,61,0,0,0,107,0,0,9,1297,61,116,
"Keystone and Dougalston",1041,0,0,576,0,0,0,214,0,0,0,114,0,0,25,1617,214,136,
"Kilmardinny East",730,0,0,642,0,0,0,41,0,0,0,42,0,0,6,1375,41,48,
"Kilmardinny West",783,0,0,557,0,0,0,106,0,0,0,59,0,0,13,1340,106,72,
"North Castlehill and Thorn",840,0,0,707,0,0,0,24,0,0,0,63,0,0,15,1547,24,78,
"South Castlehill and Thorn",805,0,0,676,0,0,0,98,0,0,0,56,0,0,17,1482,98,73,
"Westerton West",583,0,0,494,0,0,0,46,0,0,0,40,0,0,12,1077,46,52,
"Westerton East",769,0,0,587,0,0,0,20,0,0,0,64,0,0,1,1356,20,65,
"Kessington West",838,0,0,440,0,0,0,9,0,0,0,57,0,0,10,1281,9,67,
"Kessington East",607,0,0,452,0,0,0,17,0,0,0,49,0,0,5,1059,17,53,
"Torrance and Balmore",585,0,0,414,0,0,0,91,0,0,0,57,0,0,15,998,91,71,
"Bishopbriggs North and Kenmure",1179,0,0,830,0,0,0,36,0,0,0,70,0,0,20,2009,36,90,
"Bishopbriggs West and Cadder",1416,0,0,938,0,0,0,82,0,0,0,128,0,0,20,2354,82,148,
"Auchinairn",787,0,0,923,0,0,0,563,0,0,0,244,0,0,20,1710,563,260,
"Woodhill East",464,0,0,419,0,0,0,5,0,0,0,51,0,0,4,883,5,55,
"Woodhill West",985,0,0,603,0,0,0,21,0,0,0,105,0,0,13,1588,21,122,
"Lenzie North",1064,0,0,759,0,0,0,198,0,0,0,91,0,0,13,1823,198,104,
"Lenzie South",761,0,0,539,0,0,0,7,0,0,0,75,0,0,8,1300,7,83,
"Kirkintilloch South",591,0,0,527,0,0,0,240,0,0,0,133,0,0,16,1118,240,149,
"Kirkintilloch West",810,0,0,674,0,0,0,364,0,0,0,290,0,0,29,1485,364,319,
"Hillhead",460,0,0,411,0,0,0,901,0,0,0,189,0,0,23,869,901,209,
"Rosebank and Waterside",810,0,0,1157,0,0,0,146,0,0,0,93,0,0,13,1967,146,106,
"Twechar and Harestanes East",495,0,0,485,0,0,0,370,0,0,0,56,0,0,14,980,370,71,
"Harestanes",489,0,0,464,0,0,0,376,0,0,0,122,0,0,20,950,376,142,
"Milton of Campsie",841,0,0,600,0,0,0,177,0,0,0,76,0,0,12,1441,177,85,
"Lennoxtown",697,0,0,709,0,0,0,440,0,0,0,116,0,0,21,1406,440,137,
"Wallyford",368,0,0,552,0,0,0,492,0,0,0,102,0,0,21,920,492,123,
"Whitecraig",277,0,0,625,0,0,0,312,0,0,0,89,0,0,17,900,312,103,
"Musselburgh South",795,0,0,731,0,0,0,404,0,0,0,194,0,0,29,1526,404,223,
"Musselburgh West",637,0,0,409,0,0,0,133,0,0,0,79,0,0,5,1046,133,84,
"Musselburgh North",736,0,0,762,0,0,0,552,0,0,0,489,0,0,40,1498,552,528,
"Musselburgh East",652,0,0,638,0,0,0,657,0,0,0,235,0,0,28,1286,657,263,
"Pinkie Braes",231,0,0,275,0,0,0,393,0,0,0,77,0,0,12,506,393,86,
"Prestonpans West",533,0,0,811,0,0,0,905,0,0,0,150,0,0,23,1343,905,173,
"Prestonpans East",519,0,0,580,0,0,0,590,0,0,0,133,0,0,22,1099,590,155,
"Cockenzie",1019,0,0,792,0,0,0,395,0,0,0,136,0,0,19,1813,395,155,
"Tranent East",573,0,0,482,0,0,0,642,0,0,0,108,0,0,25,1055,642,133,
"Tranent North Blindwells Levenhall",341,0,0,653,0,0,0,151,0,0,0,93,0,0,12,990,151,105,
"Tranent South",667,0,0,1036,0,0,0,725,0,0,0,109,0,0,27,1704,725,136,
"Ormiston",361,0,0,365,0,0,0,410,0,0,0,58,0,0,8,726,410,63,
"Aberlady",395,0,0,329,0,0,0,253,0,0,0,167,0,0,28,724,253,193,
"Macmerry Longniddry",769,0,0,489,0,0,0,385,0,0,0,77,0,0,10,1257,385,87,
"Haddington Rural",395,0,0,542,0,0,0,105,0,0,0,125,0,0,28,937,105,153,
"Humbie Gifford Garvald",1018,0,0,705,0,0,0,357,0,0,0,212,0,0,44,1721,357,256,
"Haddington North",755,0,0,610,0,0,0,341,0,0,0,116,0,0,13,1365,341,125,
"Haddington South",818,0,0,560,0,0,0,686,0,0,0,266,0,0,22,1378,686,285,
"Gullane and Drem",948,0,0,565,0,0,0,275,0,0,0,194,0,0,42,1513,275,237,
"North Berwick North",864,0,0,323,0,0,0,150,0,0,0,141,0,0,23,1187,150,164,
"North Berwick South",869,0,0,791,0,0,0,376,0,0,0,160,0,0,16,1662,376,180,
"East Linton and Rural",1094,0,0,790,0,0,0,289,0,0,0,319,0,0,53,1884,289,372,
"Dunbar West",768,0,0,890,0,0,0,628,0,0,0,156,0,0,36,1655,628,195,
"Dunbar East",800,0,0,581,0,0,0,314,0,0,0,198,0,0,23,1381,314,222,
"Neilston East",454,0,0,395,0,0,0,396,0,0,0,76,0,0,19,848,396,89,
"Neilston West and Uplawmoor",748,0,0,625,0,0,0,44,0,0,0,47,0,0,13,1375,44,60,
"Cross Stobbs",797,0,0,598,0,0,0,94,0,0,0,68,0,0,11,1396,94,76,
"Dunterlie, East Arthurlie and Dovecothall",846,0,0,645,0,0,0,1274,0,0,0,268,0,0,24,1491,1274,294,
"West Arthurlie, Gateside and Springhill",772,0,0,772,0,0,0,281,0,0,0,114,0,0,16,1544,281,130,
"Auchenback and Barrhead Dams",494,0,0,612,0,0,0,507,0,0,0,113,0,0,23,1106,507,136,
"Crookfur East, Fruin and Greenlaw East",786,0,0,656,0,0,0,151,0,0,0,163,0,0,16,1443,151,179,
"Crookfur West and Greenlaw West",568,0,0,702,0,0,0,34,0,0,0,106,0,0,15,1268,34,121,
"Mearns Village, Westacres and Greenfarm",803,0,0,911,0,0,0,340,0,0,0,157,0,0,25,1713,340,182,
"Whitecraigs and Broom North",872,0,0,543,0,0,0,3,0,0,0,32,0,0,16,1413,3,44,
"Kirkhill South and Broom South",913,0,0,618,0,0,0,13,0,0,0,98,0,0,14,1531,13,112,
"Mearnskirk and Maidenhill",527,0,0,847,0,0,0,119,0,0,0,44,0,0,22,1375,119,66,
"Eaglesham and Waterfoot",971,0,0,829,0,0,0,159,0,0,0,154,0,0,29,1799,159,186,
"Kirkhill North",620,0,0,616,0,0,0,6,0,0,0,129,0,0,11,1240,6,142,
"Busby",662,0,0,555,0,0,0,260,0,0,0,121,0,0,12,1222,260,133,
"Clarkston and Sheddens",1171,0,0,1006,0,0,0,15,0,0,0,72,0,0,23,2177,15,92,
"Williamwood",530,0,0,601,0,0,0,0,0,0,0,19,0,0,5,1131,0,23,
"Stamperland",721,0,0,655,0,0,0,13,0,0,0,49,0,0,7,1376,13,56,
"Netherlee",1067,0,0,650,0,0,0,71,0,0,0,57,0,0,11,1717,71,68,
"Merrylee and Braidbar",1146,0,0,670,0,0,0,30,0,0,0,82,0,0,20,1816,30,102,
"Lower Whitecraigs and Giffnock South",741,0,0,489,0,0,0,5,0,0,0,12,0,0,8,1230,5,22,
"Giffnock North and Thornliebank North",840,0,0,483,0,0,0,231,0,0,0,172,0,0,11,1323,231,183,
"Thornliebank South and Woodfarm",674,0,0,615,0,0,0,237,0,0,0,126,0,0,12,1293,237,140,
"Dunipace",490,0,0,455,0,0,0,500,0,0,0,110,0,0,29,945,500,140,
"Fankerton, Stoneywood and Denny Town",596,0,0,971,0,0,0,514,0,0,0,181,0,0,30,1567,514,211,
"Denny - Nethermains",619,0,0,494,0,0,0,532,0,0,0,166,0,0,17,1113,532,183,
"Head of Muir and Dennyloanhead",511,0,0,502,0,0,0,102,0,0,0,77,0,0,19,1013,102,96,
"Banknock, Haggs and Longcroft",586,0,0,496,0,0,0,449,0,0,0,79,0,0,31,1082,449,110,
"Bonnybridge",677,0,0,687,0,0,0,658,0,0,0,109,0,0,21,1364,658,130,
"High Bonnybridge and Greenhill",420,0,0,636,0,0,0,339,0,0,0,78,0,0,19,1056,339,97,
"Larbert - Inches",419,0,0,1425,0,0,0,127,0,0,0,184,0,0,20,1848,127,205,
"Larbert - North Broomage",461,0,0,473,0,0,0,245,0,0,0,104,0,0,18,934,245,122,
"Larbert - South Broomage and Village",751,0,0,626,0,0,0,153,0,0,0,118,0,0,17,1377,153,135,
"Stenhousemuir West",335,0,0,338,0,0,0,669,0,0,0,111,0,0,20,673,669,131,
"Stenhousemuir East",637,0,0,481,0,0,0,292,0,0,0,107,0,0,14,1122,292,121,
"Stenhousemuir - Antonshill",741,0,0,516,0,0,0,103,0,0,0,87,0,0,21,1260,103,108,
"Carron",515,0,0,413,0,0,0,123,0,0,0,104,0,0,10,928,123,114,
"Carronshore",340,0,0,403,0,0,0,296,0,0,0,61,0,0,17,739,296,77,
"Carse and Grangemouth Old Town",418,0,0,387,0,0,0,220,0,0,0,76,0,0,31,805,220,107,
"Falkirk - Bainsford and Langlees",297,0,0,296,0,0,0,981,0,0,0,154,0,0,17,593,981,171,
"Falkirk - Merchiston and New Carron Village",574,0,0,803,0,0,0,279,0,0,0,231,0,0,20,1377,279,251,
"Falkirk - Grahamston",465,0,0,431,0,0,0,571,0,0,0,467,0,0,24,896,571,491,
"Falkirk - Westfield",286,0,0,221,0,0,0,319,0,0,0,118,0,0,20,503,319,134,
"Falkirk - Middlefield",300,0,0,431,0,0,0,330,0,0,0,148,0,0,17,731,330,166,
"Falkirk - Town Centre and Callendar Park",509,0,0,375,0,0,0,856,0,0,0,373,0,0,46,884,856,419,
"Falkirk - Bantaskin",713,0,0,510,0,0,0,166,0,0,0,177,0,0,22,1225,166,199,
"Falkirk - Camelon East",343,0,0,259,0,0,0,694,0,0,0,259,0,0,29,603,694,288,
"Falkirk - Camelon West",293,0,0,304,0,0,0,506,0,0,0,79,0,0,23,597,506,102,
"Falkirk - Tamfourhill",448,0,0,327,0,0,0,468,0,0,0,102,0,0,16,772,468,114,
"Falkirk - Lochgreen and Lionthorn",737,0,0,621,0,0,0,31,0,0,0,82,0,0,15,1358,31,100,
"Hallglen and Glen Village",408,0,0,372,0,0,0,510,0,0,0,113,0,0,22,779,510,131,
"Shieldhill",397,0,0,371,0,0,0,191,0,0,0,31,0,0,16,769,191,44,
"Braes Villages",670,0,0,533,0,0,0,689,0,0,0,76,0,0,32,1203,689,105,
"Reddingmuirhead and Overton",449,0,0,1181,0,0,0,92,0,0,0,45,0,0,12,1630,92,57,
"Brightons and Wallacestone",765,0,0,658,0,0,0,141,0,0,0,108,0,0,18,1421,141,126,
"Maddiston and Rumford",618,0,0,861,0,0,0,445,0,0,0,84,0,0,14,1476,445,98,
"Polmont",977,0,0,625,0,0,0,93,0,0,0,212,0,0,20,1602,93,232,
"Redding",520,0,0,408,0,0,0,310,0,0,0,56,0,0,13,928,310,69,
"Laurieston and Westquarter",468,0,0,444,0,0,0,506,0,0,0,75,0,0,24,912,506,102,
"Grangemouth - Newlands",698,0,0,627,0,0,0,834,0,0,0,161,0,0,25,1321,834,186,
"Grangemouth - Town Centre",706,0,0,558,0,0,0,425,0,0,0,231,0,0,24,1264,425,255,
"Grangemouth - Kersiebank",673,0,0,480,0,0,0,712,0,0,0,156,0,0,28,1153,712,188,
"Grangemouth - Bowhouse",540,0,0,393,0,0,0,774,0,0,0,110,0,0,21,931,774,131,
"Bo'ness - Kinneil",801,0,0,612,0,0,0,364,0,0,0,122,0,0,29,1413,364,151,
"Bo'ness - Newtown",566,0,0,491,0,0,0,382,0,0,0,65,0,0,25,1057,382,88,
"Bo'ness - town centre",416,0,0,394,0,0,0,518,0,0,0,218,0,0,20,806,518,238,
"Blackness, Bo'ness - Carriden and Grahamsdyke",754,0,0,751,0,0,0,522,0,0,0,182,0,0,23,1505,522,202,
"Kincardine",659,0,0,430,0,0,0,273,0,0,0,139,0,0,17,1091,273,155,
"Comrie and Oakley",408,0,0,360,0,0,0,435,0,0,0,95,0,0,16,772,435,118,
"Blairhall Saline and Carnock",801,0,0,603,0,0,0,287,0,0,0,93,0,0,25,1404,287,118,
"Valleyfield Culross and Torryburn",585,0,0,514,0,0,0,502,0,0,0,136,0,0,22,1099,502,158,
"Cairneyhill and Crombie",617,0,0,444,0,0,0,123,0,0,0,104,0,0,19,1061,123,119,
"Crossford Charlestown and Limekilns",1036,0,0,568,0,0,0,60,0,0,0,157,0,0,24,1604,60,181,
"Dunfermline Milesmark and Wellwood",717,0,0,789,0,0,0,157,0,0,0,119,0,0,12,1504,157,131,
"Dunfermline Baldridgeburn",434,0,0,506,0,0,0,705,0,0,0,412,0,0,17,940,705,431,
