"Household composition - 10 groups, collapsed","One person household: Aged 66 and over",,,,,"One person household: Aged under 66",,,,,"One family household: All aged 66 and over",,,,,"One family household: Couple family: No children",,,,,"One family household: Couple family: With dependent children",,,,,"One family household: Couple family: All children non-dependent",,,,,"One family household: Lone parent: With dependent children",,,,,"One family household: Lone parent: All children non-dependent",,,,,"Other household types: With dependent children",,,,,"Other household types: Other (including all full-time students and all aged 66 and over)",,,,,"Total",,,,,
"Number of cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans",
"Intermediate Zone (2022)",
"Moffat",151,214,16,3,0,108,199,24,7,3,16,168,68,15,5,2,145,160,25,9,9,64,145,37,11,5,19,22,28,17,26,58,20,0,0,4,20,18,4,0,1,4,0,5,1,1,18,16,3,0,328,910,491,136,41,
"Langholm and Eskdale",149,184,9,0,2,95,205,23,1,1,19,172,56,9,4,4,123,167,38,9,1,56,127,32,13,0,14,45,31,15,18,47,7,2,1,8,27,17,6,3,0,0,1,4,1,1,14,9,10,3,297,850,466,132,49,
"Annandale East",83,168,18,2,0,68,192,36,2,1,13,126,89,7,1,6,97,219,37,13,2,35,136,47,21,4,10,39,47,31,15,43,7,2,2,4,16,15,12,0,3,4,11,9,4,2,12,17,6,3,203,702,584,171,78,
"Annandale West",46,119,9,1,1,25,120,21,3,3,6,90,57,8,3,7,59,151,32,7,1,26,97,31,13,1,7,28,27,20,2,18,9,0,1,5,11,15,1,0,0,2,3,1,3,2,3,9,5,1,94,460,396,105,53,
"Annan West",181,130,7,2,0,222,212,14,1,0,26,108,16,2,0,28,88,115,14,5,18,88,75,16,5,3,25,31,24,11,41,54,12,0,0,16,31,8,3,0,2,2,10,1,1,4,5,9,0,1,537,741,302,66,17,
"Annan East",163,174,6,0,1,186,270,31,1,1,24,163,46,6,3,31,157,215,31,12,27,118,175,47,24,15,33,54,40,24,82,124,25,4,2,19,41,21,5,0,3,5,12,2,0,5,13,14,7,0,552,1096,603,145,67,
"Eastriggs",94,97,10,1,0,61,119,21,0,2,11,142,66,7,2,9,84,167,25,8,11,39,115,23,7,1,15,35,32,15,23,37,8,2,0,2,18,11,0,3,1,1,3,0,6,1,4,5,6,3,214,563,445,97,51,
"Gretna",163,202,8,1,0,96,179,14,2,4,15,145,49,4,4,17,135,178,34,7,4,56,134,29,8,5,12,43,41,23,52,90,26,2,0,10,32,21,0,2,0,6,6,4,4,2,14,7,7,4,367,874,483,128,54,
"Westend",141,200,14,0,0,221,340,29,2,2,20,152,82,6,4,66,232,187,17,4,19,124,169,29,9,4,33,56,38,13,19,37,10,1,0,8,33,14,2,1,11,13,11,4,6,74,73,57,21,7,583,1240,623,120,46,
"Perth Road",154,55,4,0,0,668,327,23,2,4,17,20,7,0,0,117,154,56,3,0,35,88,27,2,1,4,17,5,2,1,35,29,2,0,0,15,23,9,2,0,7,8,7,3,0,309,252,155,45,16,1353,969,293,59,20,
"Logie and Blackness",228,125,2,0,0,781,492,25,0,0,29,56,19,3,1,135,233,103,14,0,46,118,74,5,7,8,15,12,2,3,52,46,5,3,0,31,27,7,0,0,11,12,5,0,0,159,113,57,14,9,1479,1238,309,45,20,
"City Centre",92,39,0,0,0,552,217,14,2,0,8,20,4,0,0,107,137,44,2,0,24,75,46,7,1,7,16,12,7,0,27,38,2,1,0,28,17,7,0,0,9,5,11,2,1,336,172,68,28,3,1190,738,201,50,3,
"Docks and Wellgate",199,50,2,0,0,695,392,16,2,1,25,30,2,0,0,174,240,76,6,0,57,110,49,0,1,11,17,18,1,1,51,62,4,0,0,30,21,11,1,2,17,15,8,3,0,221,114,63,10,1,1477,1051,250,24,7,
"Hilltown",229,67,4,0,0,440,215,8,2,1,16,24,1,0,0,67,114,33,4,0,57,85,42,3,2,11,12,17,4,0,58,44,5,1,0,19,26,12,2,0,17,21,2,2,0,44,27,7,2,1,962,631,130,18,5,
"Clepington",314,113,2,0,0,750,456,19,1,0,37,62,1,0,0,118,190,86,4,1,56,128,94,4,1,11,22,16,5,3,67,72,12,2,0,50,47,17,0,0,16,10,7,3,0,50,34,15,1,0,1466,1134,268,19,5,
"Stobswell",174,60,2,1,0,1012,527,19,2,2,24,21,4,1,0,179,236,83,2,4,82,143,57,11,2,9,38,18,6,0,89,55,7,1,0,41,40,11,0,0,21,10,11,2,0,109,88,29,2,4,1738,1221,245,27,8,
"Baxter Park",111,91,4,2,0,65,144,4,0,0,17,102,34,4,0,29,132,118,16,1,6,67,124,22,4,3,21,40,30,4,6,21,2,0,0,5,26,14,0,1,2,10,12,13,9,5,11,9,8,0,243,623,359,101,21,
"Craigie and Craigiebank",302,167,2,0,0,194,282,17,1,0,52,125,26,1,0,45,161,122,6,0,10,95,99,14,2,13,32,38,22,6,20,36,10,1,0,31,53,23,2,1,5,6,6,7,4,9,14,6,3,1,681,973,352,56,18,
"Douglas West",219,89,2,0,1,332,258,10,3,0,32,52,7,1,0,50,135,83,7,0,40,129,85,8,1,10,31,27,16,2,88,90,11,0,0,42,33,16,2,0,13,24,8,5,0,19,15,4,3,4,847,852,252,50,9,
"West Ferry",151,171,3,1,2,44,109,10,0,1,26,152,81,7,2,5,80,116,15,5,4,60,101,13,6,5,17,30,22,9,4,16,7,0,0,8,12,14,4,1,0,11,9,6,4,1,4,10,1,1,246,631,389,73,32,
"Douglas East",163,69,2,2,2,148,97,8,0,2,21,49,7,1,0,28,78,45,7,0,27,86,49,12,0,7,31,24,12,1,68,71,9,1,0,27,33,15,2,0,3,14,5,0,0,8,7,0,0,0,498,536,166,38,2,
"Broughty Ferry West",279,265,11,1,0,171,329,25,2,3,29,229,89,11,0,32,176,200,24,1,16,104,154,39,7,2,34,39,26,13,10,60,5,1,0,15,28,29,2,0,3,4,10,8,1,6,7,11,0,3,565,1238,565,117,30,
"Broughty Ferry East",192,186,6,0,0,57,128,6,3,0,29,178,72,2,1,6,104,141,18,4,5,93,158,28,11,5,23,44,29,10,11,43,2,0,0,8,22,25,1,2,1,7,12,6,0,4,5,11,0,1,312,786,476,89,29,
"Barnhill",191,217,9,2,0,138,224,13,2,2,29,171,117,6,3,20,119,186,15,3,6,96,176,32,9,2,27,41,34,12,12,44,4,2,1,13,30,21,3,1,2,5,5,9,2,4,5,10,4,4,420,946,582,110,35,
"Balgillo",38,51,4,0,0,13,122,12,5,1,3,53,29,0,0,3,77,158,19,11,7,99,291,57,11,2,18,40,57,9,7,43,11,0,2,3,15,24,6,0,2,3,11,2,1,0,0,3,4,3,78,487,580,147,35,
"West Pitkerro and Balmossie",39,82,0,0,0,45,160,20,3,2,13,90,21,8,0,12,126,167,19,1,7,89,184,28,8,2,14,45,42,12,2,45,4,0,0,2,17,11,3,0,0,6,10,4,1,1,8,4,5,3,125,637,469,107,30,
"Whitfield",204,79,4,0,0,354,253,17,1,1,29,95,16,1,0,62,167,113,6,2,56,179,144,38,7,23,55,73,23,7,169,173,22,4,4,77,78,25,3,3,16,22,21,4,2,20,31,12,2,2,1010,1137,444,82,31,
"Fintry",176,67,0,1,0,113,95,10,0,0,33,55,9,0,0,25,87,51,0,0,42,102,94,14,4,10,37,31,15,1,64,92,14,1,0,27,46,21,3,2,5,16,10,6,0,4,16,5,2,0,499,611,247,39,7,
"Claverhouse and North Ballumbie",86,65,2,0,0,82,143,10,5,0,16,61,18,2,0,15,141,195,23,3,23,144,252,49,11,15,41,53,39,18,38,84,11,3,0,17,28,17,13,0,2,13,20,5,1,4,17,5,7,2,295,732,591,139,39,
"Linlathen and Midcraigie",191,48,0,1,0,254,176,7,3,1,20,37,5,0,0,38,107,68,1,1,59,122,109,21,5,14,44,27,19,3,109,136,19,2,0,63,51,25,5,1,19,20,10,5,0,11,15,9,7,1,775,757,287,64,12,
"Caird Park",91,56,2,0,0,55,81,8,1,0,17,73,17,4,0,22,91,84,12,2,15,70,95,10,0,12,27,32,17,1,22,41,12,1,0,9,29,9,3,0,6,11,13,4,8,7,10,14,5,1,260,486,282,55,12,
"Kirkton",112,78,4,1,0,94,120,11,2,1,20,90,21,0,1,27,122,109,8,1,32,123,139,25,1,21,44,49,23,7,77,86,12,2,1,45,41,18,1,0,15,18,16,8,0,11,23,12,2,4,451,748,388,75,13,
"Downfield",214,164,4,0,0,97,216,17,4,0,42,176,46,5,0,25,176,161,22,1,7,120,161,33,4,10,39,74,29,11,28,76,8,2,0,30,53,29,3,2,7,14,10,4,2,6,18,7,2,3,466,1052,517,100,29,
"Fairmuir",156,119,0,0,0,141,205,20,1,1,20,105,29,4,1,24,170,115,9,3,12,81,105,16,2,4,27,42,39,8,28,54,1,0,1,15,33,15,5,1,7,4,16,6,3,6,22,13,6,4,421,826,359,84,28,
"Law",638,243,5,0,0,718,547,32,4,0,84,121,14,0,0,113,254,106,9,0,43,132,84,11,4,14,37,26,5,4,97,94,8,1,0,53,54,23,2,0,10,10,4,2,1,48,45,20,4,4,1820,1535,320,40,7,
"Balgay",187,119,1,0,1,173,193,10,2,0,23,124,28,1,0,28,130,101,12,2,24,123,123,19,3,4,27,35,25,8,26,57,3,0,0,15,32,11,3,0,1,10,6,4,0,19,14,6,0,2,506,829,332,65,11,
"Menzieshill",216,89,1,0,0,475,302,12,0,1,33,58,7,1,0,73,151,61,5,1,48,155,68,8,0,19,30,23,12,4,89,90,12,0,0,54,36,22,3,0,3,14,10,5,1,18,25,14,2,0,1028,951,230,35,7,
"Charleston",185,72,3,0,0,336,226,18,1,4,27,52,4,0,0,57,135,55,2,4,67,139,74,8,4,19,32,23,13,1,117,114,11,1,0,57,53,19,2,0,12,16,11,1,0,27,11,4,2,0,904,847,221,31,10,
"Lochee",342,138,6,0,1,460,275,27,5,2,45,98,11,2,0,69,165,93,10,1,50,177,142,18,6,22,46,42,17,11,88,84,17,0,0,53,60,20,4,2,12,19,16,4,1,32,31,18,0,0,1170,1095,392,60,25,
"Ardler and St Marys",294,124,2,0,1,341,278,13,0,0,36,132,16,0,0,48,152,117,10,1,50,188,212,31,6,16,53,44,25,4,127,149,15,1,0,59,74,35,6,0,15,19,24,6,3,14,29,17,5,0,996,1198,499,84,12,
"Western Edge",37,77,0,1,0,20,182,14,4,0,6,120,33,3,1,13,154,284,15,4,6,126,357,50,6,2,26,62,43,12,8,37,10,1,2,4,22,23,2,1,0,6,10,5,0,4,11,18,11,3,99,765,812,129,29,
"Doon Valley South",134,74,1,0,0,163,147,11,1,0,9,77,15,0,0,22,85,93,16,4,19,73,59,10,4,11,20,25,33,10,44,60,5,4,0,26,40,18,4,1,8,7,8,4,1,10,8,8,3,2,447,590,242,71,26,
"Doon Valley North",129,127,9,0,0,129,192,28,0,3,26,115,38,7,2,18,116,147,27,3,9,69,147,35,11,11,27,48,42,12,45,98,22,0,1,27,38,16,2,2,5,10,12,3,1,7,5,11,7,2,401,797,475,126,37,
"Mauchline Rural",140,142,4,1,0,172,317,26,4,0,21,136,54,6,6,24,140,225,37,8,9,93,194,47,20,5,27,50,55,33,32,87,15,4,0,27,34,27,4,3,4,6,6,8,2,8,10,17,14,3,440,990,615,178,79,
"Drongan",138,89,0,1,0,130,159,12,3,1,18,86,17,0,1,11,109,100,12,2,19,64,84,20,7,9,18,28,28,14,49,71,14,3,0,20,31,9,1,1,2,8,10,7,0,4,8,3,2,1,403,643,282,77,27,
"Mauchline",152,148,4,0,0,82,194,14,6,1,20,128,37,3,0,17,128,176,23,6,11,71,134,36,7,2,20,53,37,9,30,57,10,4,0,14,24,20,3,0,3,10,4,4,3,2,13,12,9,3,337,793,468,121,35,
"Cumnock Rural",160,157,8,0,0,115,189,28,1,1,15,154,51,8,1,14,143,202,45,9,14,68,181,50,13,6,29,55,48,26,54,67,10,2,0,16,29,26,7,4,3,6,17,2,6,6,18,14,15,11,407,869,591,174,70,
"New Cumnock",126,85,3,0,0,132,161,14,3,0,26,83,23,0,1,24,98,79,11,0,7,55,81,14,4,9,14,27,25,7,36,45,7,0,0,22,28,15,2,1,4,5,10,4,0,10,16,7,3,2,394,586,261,61,17,
"Cumnock South and Craigens",182,115,5,0,0,224,215,20,2,0,23,138,18,0,0,21,147,121,14,3,41,132,154,31,8,8,33,53,45,12,64,121,14,4,2,35,51,26,4,0,8,7,9,4,1,6,14,10,3,2,612,977,430,111,27,
"Cumnock North",171,125,3,0,0,130,182,22,2,2,18,150,41,4,0,19,122,134,26,0,10,76,144,26,15,4,29,46,43,23,30,59,7,0,0,19,19,19,4,0,2,9,9,5,5,2,7,8,1,2,398,781,434,110,48,
"Auchinleck",167,105,4,0,1,169,159,10,1,0,15,94,20,0,1,29,110,116,6,4,24,75,107,25,9,6,36,42,29,9,58,72,18,0,0,28,39,18,5,0,2,16,9,3,2,6,12,12,4,0,503,720,355,77,27,
"Northern and Irvine Valley Rural",82,192,11,3,2,61,221,25,2,4,16,132,123,16,7,7,141,351,73,23,10,117,372,74,44,4,21,51,84,38,11,66,11,3,3,7,16,29,8,0,1,3,17,6,14,2,8,17,15,9,201,918,1016,284,144,
"Stewarton East",139,147,6,1,0,89,202,21,0,1,25,137,58,5,2,8,124,154,17,3,5,99,192,41,10,4,26,52,58,11,21,56,12,0,0,17,24,24,4,0,1,9,9,4,5,4,7,10,4,0,310,831,541,128,33,
"Stewarton West",108,76,1,0,0,74,115,17,5,0,19,73,25,0,0,7,75,77,8,2,6,65,110,15,5,2,12,27,20,10,28,57,10,0,0,13,35,12,3,0,2,7,8,4,2,5,2,7,0,1,260,521,290,58,16,
"Darvel",110,151,5,0,1,116,177,13,0,0,14,160,40,5,2,18,120,143,40,2,7,69,159,31,11,0,17,25,42,18,19,43,9,1,1,16,23,18,7,1,2,12,4,4,1,3,8,2,3,2,307,777,418,133,39,
"Newmilns",100,96,4,1,1,113,169,15,2,0,12,93,35,4,0,9,88,105,18,1,15,44,75,17,7,3,17,27,18,12,17,30,7,3,0,16,26,16,4,1,2,3,5,3,0,4,8,7,2,4,292,577,296,72,29,
"Galston",177,170,6,2,0,154,224,14,3,2,23,168,30,4,1,22,155,188,18,4,18,72,182,32,14,5,24,56,50,29,38,74,15,3,1,22,39,25,3,0,3,13,8,4,3,7,11,12,3,1,466,954,541,120,51,
"Earlston and Hurlford Rural",194,150,6,1,1,235,305,29,5,3,34,125,36,3,3,35,173,217,28,9,16,78,153,31,12,10,55,48,46,25,43,70,13,4,0,29,44,34,12,2,2,20,17,10,5,7,15,17,7,5,612,1028,573,144,71,
"Shortlees",141,85,2,0,0,223,197,15,2,2,22,77,12,0,0,34,109,93,12,0,48,116,107,19,7,11,36,28,23,9,125,123,20,1,0,69,62,26,4,1,8,19,5,6,2,17,20,8,5,0,693,841,312,70,22,
"Bellfield and Kirkstyle",183,114,4,0,0,191,271,25,3,1,25,98,12,1,1,24,170,134,11,1,18,122,137,18,3,8,40,48,29,11,57,119,16,1,1,31,47,31,8,0,2,8,8,7,0,7,10,9,4,0,547,999,424,88,18,
"Kilmarnock South Central and Caprington",154,102,1,1,0,239,219,25,1,0,19,93,21,0,0,26,116,106,7,5,8,43,73,17,2,6,16,33,16,5,28,42,8,0,0,15,27,8,3,2,4,3,9,1,0,6,4,2,3,2,502,663,282,51,16,
"Piersland",137,122,3,0,0,168,229,29,4,2,13,128,26,1,0,24,121,128,4,7,1,63,122,22,6,2,24,36,29,20,15,38,3,2,0,12,18,16,2,1,3,6,2,6,1,5,7,8,2,0,383,752,370,72,40,
"New Farm Loch South",143,86,3,0,0,144,117,3,2,1,21,108,19,1,0,18,77,66,10,4,17,83,89,17,4,5,28,34,21,3,50,59,11,3,0,28,26,18,3,0,2,8,8,0,0,3,6,9,1,0,432,596,263,57,12,
"Dean and New Farm Loch North",130,69,1,1,0,111,141,10,4,2,27,114,21,1,1,26,104,100,9,2,24,85,108,19,4,11,35,48,35,15,57,95,8,2,0,38,47,27,1,1,12,9,14,2,0,7,11,9,3,0,443,710,340,78,25,
"Southcraig and Beansburn",60,160,3,0,0,42,190,23,1,0,12,190,99,3,2,8,158,288,31,14,6,98,407,71,17,3,26,77,79,31,12,36,13,0,1,7,24,35,6,1,0,4,19,10,2,2,12,13,4,3,150,896,977,211,71,
"Altonhill North and Onthank",179,73,1,0,0,271,214,16,1,2,25,43,5,0,0,38,119,107,6,4,33,129,138,30,3,12,47,42,30,10,107,100,19,1,0,40,42,19,2,0,12,16,11,10,0,13,17,8,4,3,726,798,369,81,22,
"Altonhill South, Longpark and Hillhead",156,88,1,0,0,432,320,27,3,0,16,56,3,0,0,56,129,140,10,2,31,128,172,19,4,11,23,29,16,7,103,108,21,2,0,37,40,13,3,0,21,14,9,2,2,20,22,9,4,2,887,927,431,59,17,
"Bonnyton and Town Centre",216,122,2,1,1,429,382,15,11,4,27,72,23,0,0,32,130,103,12,4,22,54,88,17,0,10,14,30,13,7,31,51,7,0,0,9,33,22,2,0,2,3,1,2,1,3,6,3,1,3,773,867,288,62,19,
"Grange, Howard and Gargieston",133,185,9,1,1,93,274,32,5,3,25,212,110,10,0,20,134,295,27,11,4,96,423,64,19,0,17,83,83,37,12,64,13,2,0,8,31,31,5,0,0,4,11,6,7,2,3,10,5,6,293,1022,1015,211,85,
"Crosshouse, Gatehead and Kilmaurs Rural",119,96,7,2,0,81,213,22,3,1,21,116,57,5,5,23,145,256,22,7,9,99,321,41,18,0,21,54,48,23,21,73,9,4,0,14,29,28,2,0,3,6,11,7,0,5,7,5,2,1,298,808,767,140,56,
"Kilmaurs",108,111,5,0,0,55,134,18,2,0,21,91,46,2,2,9,104,86,19,4,8,48,83,24,11,3,12,37,16,13,16,43,8,1,0,6,23,17,0,0,2,6,5,1,2,1,4,7,4,1,229,579,313,70,31,
"West Clober and Mains Estate",25,91,1,0,0,13,90,8,0,0,9,81,50,4,0,4,50,126,7,1,2,57,186,24,9,2,18,32,44,15,2,26,8,0,1,1,8,20,3,0,0,2,7,3,0,0,9,0,1,0,63,439,440,85,26,
"East Clober and Mains Estate",133,122,0,0,0,81,133,7,1,0,22,90,39,1,1,16,81,82,5,0,5,110,141,22,5,6,35,61,28,9,24,85,5,5,0,23,40,31,4,1,3,11,8,2,0,7,5,6,1,1,320,716,384,75,15,
"Barloch",123,175,7,1,0,56,110,8,2,0,17,115,83,4,2,6,89,120,19,5,4,113,180,25,7,1,20,35,26,14,3,38,3,5,1,7,24,9,2,0,0,2,1,1,0,0,10,6,3,0,219,679,457,86,33,
"Keystone and Dougalston",222,251,16,1,1,103,162,18,4,0,16,158,116,5,3,17,95,115,27,4,8,106,211,31,10,4,21,51,32,17,11,33,7,1,0,9,35,13,3,0,2,1,2,6,2,4,7,8,7,0,396,871,558,110,32,
"Kilmardinny East",65,138,6,0,0,29,83,8,0,0,12,128,84,4,0,6,79,119,12,0,4,139,288,31,4,3,21,43,35,16,2,32,7,0,0,1,11,19,0,0,0,3,4,4,4,4,5,10,1,0,128,636,589,86,23,
"Kilmardinny West",117,176,3,3,3,47,86,11,2,2,13,108,102,5,2,6,73,124,15,2,9,94,236,42,13,0,21,54,35,16,5,40,4,1,1,4,12,18,6,0,0,0,2,4,1,1,4,4,4,0,199,607,558,118,37,
"North Castlehill and Thorn",76,149,7,0,0,20,120,13,0,0,12,146,98,2,1,3,63,143,15,1,4,98,277,38,15,6,27,66,61,38,5,53,12,2,1,6,16,14,2,4,2,2,11,6,5,0,4,3,0,1,138,682,642,125,62,
"South Castlehill and Thorn",72,152,12,1,1,23,87,11,2,0,9,103,107,9,0,5,67,153,34,5,10,126,250,46,10,1,26,51,49,17,11,42,11,4,0,19,41,27,7,1,1,8,12,7,2,1,9,7,1,2,150,660,644,163,32,
"Westerton West",89,101,2,0,0,24,73,3,0,0,13,110,36,4,0,10,91,89,10,0,7,105,120,28,4,0,22,50,28,11,8,42,6,1,0,8,25,14,2,1,1,9,6,3,1,5,4,7,2,4,165,583,332,76,19,
"Westerton East",54,147,5,0,0,18,117,9,0,0,22,126,82,2,1,9,107,111,14,2,4,121,168,30,6,2,25,63,42,13,2,31,7,1,0,4,21,20,8,0,0,10,7,6,0,1,5,14,1,2,115,708,488,105,27,
"Kessington West",93,161,11,0,0,26,76,5,0,0,17,162,137,4,1,6,40,95,13,4,4,80,164,20,12,0,19,47,36,16,3,9,4,0,2,4,15,21,0,3,0,3,7,8,2,2,7,10,8,2,154,575,493,90,42,
"Kessington East",53,122,6,0,1,13,57,0,0,0,12,78,71,5,0,6,58,103,13,3,3,104,183,24,11,3,21,34,31,9,1,20,7,2,1,6,21,9,2,0,1,3,8,8,5,2,4,7,5,3,100,485,431,81,33,
"Torrance and Balmore",49,89,5,0,0,16,82,10,2,1,10,87,65,3,0,3,58,129,19,4,2,62,152,23,8,1,13,43,56,24,9,32,8,1,0,2,29,20,5,0,0,2,5,5,2,1,2,8,2,7,95,456,443,122,46,
"Bishopbriggs North and Kenmure",197,191,5,0,0,39,133,7,1,0,30,194,72,4,0,10,155,165,12,3,7,149,296,38,7,3,37,92,73,22,7,42,6,1,1,10,34,31,4,0,0,7,10,6,0,7,6,9,6,0,309,945,692,150,37,
"Bishopbriggs West and Cadder",280,255,9,2,0,93,175,13,1,0,51,232,81,4,0,18,186,159,23,1,7,149,267,28,9,12,47,110,59,20,15,61,18,4,1,22,47,38,4,0,0,6,25,10,7,5,7,14,5,3,502,1166,738,137,41,
"Auchinairn",253,163,0,0,0,235,254,11,3,3,27,87,20,2,0,32,173,109,7,3,29,163,241,42,5,6,36,69,59,19,61,134,21,1,2,41,83,45,5,0,4,14,26,2,2,8,19,10,7,1,697,1132,553,122,35,
"Woodhill East",56,55,4,0,0,17,59,3,0,0,13,66,25,4,0,11,74,79,5,0,4,83,135,16,7,4,16,57,39,8,3,22,5,2,0,3,18,15,2,3,0,7,12,5,0,1,5,6,1,0,112,406,341,74,15,
"Woodhill West",149,174,5,0,0,37,112,6,0,0,26,161,49,4,0,5,137,109,10,3,7,120,209,25,3,2,24,96,49,13,5,56,5,1,0,11,32,26,4,2,0,11,20,5,0,1,8,12,4,0,239,834,532,106,20,
"Lenzie North",157,193,7,0,2,60,103,8,5,1,22,160,110,6,0,15,131,145,16,7,11,150,260,41,8,6,41,73,71,23,20,77,22,1,0,17,46,30,7,0,0,5,17,10,1,7,14,16,5,3,313,916,687,163,46,
"Lenzie South",66,135,8,0,0,20,87,12,4,0,12,132,103,3,1,7,87,121,15,1,4,85,204,31,9,1,14,59,46,20,4,35,5,0,0,1,10,14,2,0,0,0,6,1,3,1,7,6,1,1,119,590,538,109,35,
"Kirkintilloch South",115,92,3,3,0,137,159,8,4,1,12,81,29,1,1,25,121,116,19,3,7,90,133,24,5,4,22,45,32,17,15,64,12,0,1,16,29,14,5,3,0,6,8,3,0,4,9,10,7,2,334,668,376,96,33,
"Kirkintilloch West",198,177,4,1,0,229,292,20,1,1,26,113,57,6,0,28,126,128,20,2,7,90,216,32,9,3,26,47,37,11,34,74,11,0,2,22,29,25,4,3,0,8,4,2,5,9,14,6,2,4,558,953,518,103,39,
"Hillhead",218,89,4,0,0,285,234,11,0,0,24,62,11,0,0,39,97,79,5,2,33,103,114,14,4,14,38,36,20,5,87,98,20,0,0,65,69,27,6,1,7,14,11,5,2,13,12,7,3,1,784,818,316,52,14,
"Rosebank and Waterside",85,117,3,0,0,66,248,13,0,0,20,130,62,1,0,5,124,219,18,2,4,157,476,56,16,3,22,48,48,17,20,65,17,1,0,14,35,34,6,2,3,10,20,9,4,0,9,8,5,2,221,912,899,142,45,
"Twechar and Harestanes East",129,115,5,0,0,94,150,9,0,0,20,72,34,0,0,17,91,130,7,3,7,72,103,25,7,7,16,46,38,12,30,56,12,3,0,19,18,22,5,0,1,3,6,0,2,2,7,9,2,2,328,602,380,83,29,
"Harestanes",157,99,0,0,0,135,180,8,2,0,13,83,19,0,0,19,106,74,6,2,12,74,95,22,4,4,21,31,26,7,27,84,6,0,0,24,41,19,5,1,4,4,9,5,2,7,11,8,2,1,409,703,268,75,18,
"Milton of Campsie",121,165,9,2,1,63,152,18,2,0,14,139,87,3,1,11,101,145,30,7,4,59,175,34,13,3,21,66,54,21,14,45,8,1,1,8,39,26,10,0,0,7,6,6,2,5,3,7,5,0,242,731,549,141,43,
"Lennoxtown",132,140,2,0,2,125,240,18,4,2,15,108,47,9,0,19,122,171,23,8,14,81,177,45,13,2,38,55,55,27,36,55,13,2,1,29,42,29,11,1,3,18,12,7,4,1,12,10,8,3,379,856,528,160,60,
"Wallyford",99,62,5,2,0,80,119,9,4,0,22,73,8,2,0,35,136,96,9,0,17,145,156,21,6,9,32,36,41,10,34,78,8,1,0,31,34,18,10,3,3,10,12,3,2,9,14,11,7,2,346,710,358,96,24,
"Whitecraig",37,50,4,0,1,63,145,13,2,2,5,37,16,0,0,20,132,143,11,0,23,141,159,25,7,5,16,33,22,9,30,47,8,2,0,14,26,17,7,2,2,10,8,2,1,5,8,8,3,0,201,610,409,74,22,
"Musselburgh South",161,143,4,1,0,168,263,12,1,0,20,122,49,2,0,48,226,146,12,3,20,148,140,22,4,12,43,73,31,15,32,63,5,1,0,21,39,26,4,0,5,9,4,2,2,12,20,7,2,3,503,1077,462,78,29,
"Musselburgh West",104,98,2,1,0,74,110,6,4,2,22,99,41,1,0,19,113,100,12,1,5,95,91,17,1,4,20,60,34,12,9,23,4,2,2,11,17,12,3,0,2,6,7,4,0,6,6,3,4,0,258,587,326,79,17,
"Musselburgh North",312,174,5,0,0,395,403,25,6,0,27,78,11,1,0,105,233,100,3,1,37,128,98,11,1,16,28,29,9,6,47,65,3,0,0,25,39,14,1,0,5,8,16,1,1,40,38,14,3,2,1018,1201,313,35,11,
"Musselburgh East",234,129,4,0,0,192,228,13,1,0,30,115,24,4,0,52,206,110,6,2,37,179,135,23,10,17,54,47,22,3,56,53,17,1,0,34,36,29,1,0,9,13,16,4,2,21,23,17,3,0,675,1033,411,68,17,
