SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household composition - 10 groups, collapsed and Household composition - 4 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 10 groups, collapsed","One person household: Aged 66 and over",,,,"One person household: Aged under 66",,,,"One family household: All aged 66 and over",,,,"One family household: Couple family: No children",,,,"One family household: Couple family: With dependent children",,,,"One family household: Couple family: All children non-dependent",,,,"One family household: Lone parent: With dependent children",,,,"One family household: Lone parent: All children non-dependent",,,,"Other household types: With dependent children",,,,"Other household types: Other (including all full-time students and all aged 66 and over)",,,,"Total",,,,
"Household composition - 4 groups, collapsed","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types",
"Intermediate Zone (2022)",
"Annandale West",176,0,0,0,172,0,0,0,0,159,0,0,0,256,0,0,0,169,0,0,0,80,0,0,0,0,30,0,0,0,32,0,0,0,0,10,0,0,0,24,348,663,60,34,
"Annan West",323,0,0,0,449,0,0,0,0,153,0,0,0,250,0,0,0,205,0,0,0,87,0,0,0,0,104,0,0,0,55,0,0,0,0,15,0,0,0,15,776,702,159,34,
"Annan East",343,0,0,0,489,0,0,0,0,242,0,0,0,444,0,0,0,387,0,0,0,166,0,0,0,0,237,0,0,0,90,0,0,0,0,23,0,0,0,42,832,1239,330,63,
"Eastriggs",203,0,0,0,203,0,0,0,0,226,0,0,0,294,0,0,0,196,0,0,0,98,0,0,0,0,79,0,0,0,35,0,0,0,0,13,0,0,0,18,406,814,114,31,
"Gretna",374,0,0,0,294,0,0,0,0,222,0,0,0,372,0,0,0,231,0,0,0,124,0,0,0,0,166,0,0,0,66,0,0,0,0,16,0,0,0,35,668,948,232,55,
"Westend",353,0,0,0,588,0,0,0,0,261,0,0,0,504,0,0,0,350,0,0,0,148,0,0,0,0,67,0,0,0,61,0,0,0,0,39,0,0,0,235,938,1267,128,277,
"Perth Road",207,0,0,0,1026,0,0,0,0,44,0,0,0,327,0,0,0,152,0,0,0,28,0,0,0,0,68,0,0,0,49,0,0,0,0,23,0,0,0,776,1228,556,114,799,
"Logie and Blackness",355,0,0,0,1298,0,0,0,0,107,0,0,0,488,0,0,0,247,0,0,0,38,0,0,0,0,106,0,0,0,64,0,0,0,0,31,0,0,0,355,1653,882,170,385,
"City Centre",128,0,0,0,783,0,0,0,0,33,0,0,0,291,0,0,0,153,0,0,0,37,0,0,0,0,69,0,0,0,52,0,0,0,0,25,0,0,0,606,915,516,121,633,
"Docks and Wellgate",251,0,0,0,1105,0,0,0,0,57,0,0,0,496,0,0,0,220,0,0,0,48,0,0,0,0,117,0,0,0,66,0,0,0,0,44,0,0,0,409,1356,821,181,453,
"Hilltown",298,0,0,0,665,0,0,0,0,41,0,0,0,220,0,0,0,188,0,0,0,44,0,0,0,0,104,0,0,0,63,0,0,0,0,42,0,0,0,81,963,495,167,123,
"Clepington",429,0,0,0,1224,0,0,0,0,100,0,0,0,399,0,0,0,280,0,0,0,57,0,0,0,0,151,0,0,0,114,0,0,0,0,36,0,0,0,103,1653,839,265,139,
"Stobswell",240,0,0,0,1561,0,0,0,0,53,0,0,0,501,0,0,0,294,0,0,0,71,0,0,0,0,151,0,0,0,96,0,0,0,0,45,0,0,0,229,1801,918,247,270,
"Baxter Park",206,0,0,0,207,0,0,0,0,157,0,0,0,297,0,0,0,220,0,0,0,95,0,0,0,0,29,0,0,0,48,0,0,0,0,47,0,0,0,35,416,771,77,79,
"Craigie and Craigiebank",471,0,0,0,494,0,0,0,0,204,0,0,0,336,0,0,0,224,0,0,0,108,0,0,0,0,67,0,0,0,110,0,0,0,0,32,0,0,0,36,965,870,177,68,
"Douglas West",312,0,0,0,604,0,0,0,0,88,0,0,0,277,0,0,0,263,0,0,0,89,0,0,0,0,187,0,0,0,95,0,0,0,0,46,0,0,0,49,916,720,282,93,
"West Ferry",327,0,0,0,164,0,0,0,0,268,0,0,0,222,0,0,0,188,0,0,0,87,0,0,0,0,29,0,0,0,41,0,0,0,0,30,0,0,0,17,492,765,70,44,
"Douglas East",238,0,0,0,257,0,0,0,0,78,0,0,0,158,0,0,0,174,0,0,0,75,0,0,0,0,147,0,0,0,77,0,0,0,0,22,0,0,0,17,492,484,225,38,
"Broughty Ferry West",550,0,0,0,533,0,0,0,0,357,0,0,0,431,0,0,0,321,0,0,0,119,0,0,0,0,81,0,0,0,80,0,0,0,0,23,0,0,0,24,1084,1227,161,49,
"Broughty Ferry East",382,0,0,0,196,0,0,0,0,278,0,0,0,273,0,0,0,295,0,0,0,111,0,0,0,0,57,0,0,0,56,0,0,0,0,24,0,0,0,20,578,957,113,44,
"Barnhill",414,0,0,0,377,0,0,0,0,330,0,0,0,345,0,0,0,327,0,0,0,117,0,0,0,0,66,0,0,0,67,0,0,0,0,24,0,0,0,27,791,1119,133,45,
"Balgillo",93,0,0,0,152,0,0,0,0,85,0,0,0,270,0,0,0,466,0,0,0,125,0,0,0,0,55,0,0,0,48,0,0,0,0,19,0,0,0,10,245,943,109,29,
"West Pitkerro and Balmossie",121,0,0,0,229,0,0,0,0,126,0,0,0,325,0,0,0,316,0,0,0,123,0,0,0,0,51,0,0,0,33,0,0,0,0,19,0,0,0,23,354,890,84,43,
"Whitfield",285,0,0,0,628,0,0,0,0,138,0,0,0,351,0,0,0,424,0,0,0,185,0,0,0,0,372,0,0,0,186,0,0,0,0,67,0,0,0,66,914,1099,558,131,
"Fintry",244,0,0,0,218,0,0,0,0,98,0,0,0,163,0,0,0,256,0,0,0,94,0,0,0,0,171,0,0,0,97,0,0,0,0,37,0,0,0,30,466,610,268,63,
"Claverhouse and North Ballumbie",155,0,0,0,237,0,0,0,0,96,0,0,0,378,0,0,0,482,0,0,0,162,0,0,0,0,141,0,0,0,72,0,0,0,0,43,0,0,0,33,390,1119,213,76,
"Linlathen and Midcraigie",241,0,0,0,437,0,0,0,0,62,0,0,0,215,0,0,0,314,0,0,0,107,0,0,0,0,264,0,0,0,145,0,0,0,0,56,0,0,0,43,681,698,412,105,
"Caird Park",149,0,0,0,145,0,0,0,0,112,0,0,0,204,0,0,0,191,0,0,0,89,0,0,0,0,76,0,0,0,50,0,0,0,0,41,0,0,0,38,294,596,122,79,
"Kirkton",195,0,0,0,227,0,0,0,0,133,0,0,0,265,0,0,0,320,0,0,0,138,0,0,0,0,178,0,0,0,106,0,0,0,0,57,0,0,0,50,422,859,286,110,
"Downfield",382,0,0,0,334,0,0,0,0,270,0,0,0,384,0,0,0,325,0,0,0,163,0,0,0,0,114,0,0,0,117,0,0,0,0,38,0,0,0,36,716,1140,231,74,
"Fairmuir",276,0,0,0,372,0,0,0,0,161,0,0,0,323,0,0,0,218,0,0,0,117,0,0,0,0,84,0,0,0,69,0,0,0,0,35,0,0,0,51,648,820,149,87,
"Law",886,0,0,0,1301,0,0,0,0,218,0,0,0,482,0,0,0,272,0,0,0,86,0,0,0,0,200,0,0,0,132,0,0,0,0,27,0,0,0,121,2187,1058,332,148,
"Balgay",310,0,0,0,382,0,0,0,0,176,0,0,0,273,0,0,0,291,0,0,0,98,0,0,0,0,90,0,0,0,61,0,0,0,0,21,0,0,0,42,692,836,150,63,
"Menzieshill",306,0,0,0,790,0,0,0,0,99,0,0,0,291,0,0,0,280,0,0,0,88,0,0,0,0,191,0,0,0,115,0,0,0,0,32,0,0,0,59,1096,755,306,91,
"Charleston",260,0,0,0,585,0,0,0,0,84,0,0,0,251,0,0,0,289,0,0,0,90,0,0,0,0,243,0,0,0,127,0,0,0,0,42,0,0,0,43,845,714,369,84,
"Lochee",485,0,0,0,766,0,0,0,0,155,0,0,0,338,0,0,0,390,0,0,0,138,0,0,0,0,193,0,0,0,140,0,0,0,0,50,0,0,0,84,1254,1021,333,134,
"Ardler and St Marys",421,0,0,0,632,0,0,0,0,184,0,0,0,328,0,0,0,483,0,0,0,144,0,0,0,0,296,0,0,0,174,0,0,0,0,66,0,0,0,66,1053,1139,470,130,
"Western Edge",116,0,0,0,220,0,0,0,0,163,0,0,0,470,0,0,0,541,0,0,0,145,0,0,0,0,57,0,0,0,52,0,0,0,0,27,0,0,0,42,337,1319,109,69,
"Doon Valley South",209,0,0,0,323,0,0,0,0,101,0,0,0,221,0,0,0,165,0,0,0,96,0,0,0,0,107,0,0,0,90,0,0,0,0,28,0,0,0,33,530,583,196,61,
"Doon Valley North",265,0,0,0,351,0,0,0,0,187,0,0,0,310,0,0,0,271,0,0,0,143,0,0,0,0,164,0,0,0,81,0,0,0,0,31,0,0,0,32,616,911,247,63,
"Mauchline Rural",287,0,0,0,518,0,0,0,0,224,0,0,0,434,0,0,0,360,0,0,0,170,0,0,0,0,136,0,0,0,90,0,0,0,0,27,0,0,0,52,805,1188,230,79,
"Drongan",229,0,0,0,302,0,0,0,0,124,0,0,0,238,0,0,0,196,0,0,0,101,0,0,0,0,133,0,0,0,66,0,0,0,0,27,0,0,0,14,531,657,199,45,
"Mauchline",304,0,0,0,295,0,0,0,0,188,0,0,0,346,0,0,0,263,0,0,0,124,0,0,0,0,100,0,0,0,64,0,0,0,0,24,0,0,0,37,599,931,165,61,
"Cumnock Rural",327,0,0,0,334,0,0,0,0,232,0,0,0,413,0,0,0,327,0,0,0,164,0,0,0,0,133,0,0,0,85,0,0,0,0,37,0,0,0,64,661,1136,214,100,
"New Cumnock",214,0,0,0,306,0,0,0,0,133,0,0,0,214,0,0,0,162,0,0,0,80,0,0,0,0,88,0,0,0,68,0,0,0,0,24,0,0,0,30,520,589,156,54,
"Cumnock South and Craigens",305,0,0,0,466,0,0,0,0,179,0,0,0,304,0,0,0,366,0,0,0,155,0,0,0,0,201,0,0,0,116,0,0,0,0,31,0,0,0,35,767,1004,320,66,
"Cumnock North",300,0,0,0,336,0,0,0,0,212,0,0,0,301,0,0,0,267,0,0,0,146,0,0,0,0,94,0,0,0,57,0,0,0,0,30,0,0,0,21,635,930,151,55,
"Auchinleck",277,0,0,0,339,0,0,0,0,137,0,0,0,265,0,0,0,240,0,0,0,122,0,0,0,0,145,0,0,0,86,0,0,0,0,31,0,0,0,35,616,764,233,65,
"Northern and Irvine Valley Rural",291,0,0,0,315,0,0,0,0,291,0,0,0,591,0,0,0,620,0,0,0,198,0,0,0,0,94,0,0,0,64,0,0,0,0,42,0,0,0,54,605,1703,158,93,
"Stewarton East",291,0,0,0,316,0,0,0,0,223,0,0,0,306,0,0,0,347,0,0,0,147,0,0,0,0,90,0,0,0,68,0,0,0,0,26,0,0,0,27,606,1023,158,53,
"Stewarton West",188,0,0,0,208,0,0,0,0,117,0,0,0,169,0,0,0,197,0,0,0,68,0,0,0,0,95,0,0,0,61,0,0,0,0,22,0,0,0,17,396,551,159,39,
"Darvel",267,0,0,0,308,0,0,0,0,220,0,0,0,317,0,0,0,277,0,0,0,104,0,0,0,0,77,0,0,0,65,0,0,0,0,21,0,0,0,18,574,919,142,39,
"Newmilns",202,0,0,0,300,0,0,0,0,142,0,0,0,226,0,0,0,158,0,0,0,76,0,0,0,0,57,0,0,0,65,0,0,0,0,13,0,0,0,24,502,605,122,37,
"Galston",355,0,0,0,397,0,0,0,0,224,0,0,0,387,0,0,0,316,0,0,0,171,0,0,0,0,131,0,0,0,88,0,0,0,0,31,0,0,0,32,752,1099,218,63,
"Earlston and Hurlford Rural",355,0,0,0,577,0,0,0,0,202,0,0,0,462,0,0,0,289,0,0,0,183,0,0,0,0,134,0,0,0,122,0,0,0,0,47,0,0,0,51,932,1136,255,98,
"Shortlees",227,0,0,0,438,0,0,0,0,111,0,0,0,248,0,0,0,294,0,0,0,106,0,0,0,0,269,0,0,0,160,0,0,0,0,40,0,0,0,45,666,762,429,85,
"Bellfield and Kirkstyle",302,0,0,0,490,0,0,0,0,139,0,0,0,342,0,0,0,298,0,0,0,136,0,0,0,0,191,0,0,0,120,0,0,0,0,25,0,0,0,32,792,913,308,57,
"Kilmarnock South Central and Caprington",258,0,0,0,485,0,0,0,0,133,0,0,0,259,0,0,0,144,0,0,0,76,0,0,0,0,75,0,0,0,54,0,0,0,0,14,0,0,0,16,743,612,128,27,
"Piersland",263,0,0,0,432,0,0,0,0,166,0,0,0,284,0,0,0,216,0,0,0,105,0,0,0,0,58,0,0,0,48,0,0,0,0,19,0,0,0,22,695,774,107,41,
"New Farm Loch South",231,0,0,0,267,0,0,0,0,155,0,0,0,168,0,0,0,208,0,0,0,92,0,0,0,0,122,0,0,0,73,0,0,0,0,21,0,0,0,20,498,625,195,41,
"Dean and New Farm Loch North",201,0,0,0,266,0,0,0,0,160,0,0,0,241,0,0,0,240,0,0,0,148,0,0,0,0,159,0,0,0,116,0,0,0,0,40,0,0,0,30,464,790,280,67,
"Southcraig and Beansburn",223,0,0,0,256,0,0,0,0,309,0,0,0,495,0,0,0,600,0,0,0,218,0,0,0,0,65,0,0,0,75,0,0,0,0,36,0,0,0,32,479,1622,140,68,
"Altonhill North and Onthank",253,0,0,0,504,0,0,0,0,73,0,0,0,274,0,0,0,336,0,0,0,136,0,0,0,0,227,0,0,0,105,0,0,0,0,46,0,0,0,43,757,819,332,89,
"Altonhill South, Longpark and Hillhead",245,0,0,0,781,0,0,0,0,82,0,0,0,345,0,0,0,355,0,0,0,88,0,0,0,0,234,0,0,0,85,0,0,0,0,49,0,0,0,55,1026,870,326,104,
"Bonnyton and Town Centre",341,0,0,0,839,0,0,0,0,120,0,0,0,276,0,0,0,178,0,0,0,78,0,0,0,0,89,0,0,0,68,0,0,0,0,12,0,0,0,17,1180,652,157,26,
"Grange, Howard and Gargieston",325,0,0,0,408,0,0,0,0,361,0,0,0,483,0,0,0,612,0,0,0,220,0,0,0,0,89,0,0,0,75,0,0,0,0,28,0,0,0,23,733,1673,166,53,
"Crosshouse, Gatehead and Kilmaurs Rural",227,0,0,0,320,0,0,0,0,202,0,0,0,451,0,0,0,486,0,0,0,145,0,0,0,0,107,0,0,0,71,0,0,0,0,25,0,0,0,20,547,1293,174,51,
"Kilmaurs",224,0,0,0,207,0,0,0,0,162,0,0,0,220,0,0,0,174,0,0,0,85,0,0,0,0,71,0,0,0,45,0,0,0,0,18,0,0,0,17,433,641,113,35,
"West Clober and Mains Estate",123,0,0,0,112,0,0,0,0,143,0,0,0,188,0,0,0,278,0,0,0,111,0,0,0,0,38,0,0,0,36,0,0,0,0,10,0,0,0,12,235,720,74,24,
"East Clober and Mains Estate",256,0,0,0,222,0,0,0,0,155,0,0,0,184,0,0,0,284,0,0,0,141,0,0,0,0,119,0,0,0,106,0,0,0,0,24,0,0,0,21,478,762,225,45,
"Barloch",305,0,0,0,176,0,0,0,0,217,0,0,0,240,0,0,0,325,0,0,0,93,0,0,0,0,48,0,0,0,40,0,0,0,0,5,0,0,0,21,481,877,88,26,
"Keystone and Dougalston",491,0,0,0,287,0,0,0,0,301,0,0,0,255,0,0,0,360,0,0,0,120,0,0,0,0,51,0,0,0,60,0,0,0,0,16,0,0,0,26,778,1036,108,42,
"Kilmardinny East",212,0,0,0,120,0,0,0,0,227,0,0,0,217,0,0,0,464,0,0,0,118,0,0,0,0,43,0,0,0,35,0,0,0,0,13,0,0,0,18,329,1026,76,34,
"Kilmardinny West",302,0,0,0,143,0,0,0,0,225,0,0,0,220,0,0,0,394,0,0,0,124,0,0,0,0,51,0,0,0,40,0,0,0,0,7,0,0,0,16,445,961,91,25,
"North Castlehill and Thorn",232,0,0,0,157,0,0,0,0,256,0,0,0,227,0,0,0,435,0,0,0,196,0,0,0,0,72,0,0,0,46,0,0,0,0,24,0,0,0,8,389,1110,119,32,
"South Castlehill and Thorn",238,0,0,0,119,0,0,0,0,227,0,0,0,263,0,0,0,445,0,0,0,149,0,0,0,0,68,0,0,0,95,0,0,0,0,30,0,0,0,18,357,1089,163,48,
"Westerton West",195,0,0,0,103,0,0,0,0,161,0,0,0,199,0,0,0,264,0,0,0,111,0,0,0,0,62,0,0,0,48,0,0,0,0,20,0,0,0,18,288,735,112,34,
"Westerton East",206,0,0,0,144,0,0,0,0,230,0,0,0,250,0,0,0,330,0,0,0,145,0,0,0,0,41,0,0,0,54,0,0,0,0,19,0,0,0,24,350,956,94,43,
"Kessington West",268,0,0,0,107,0,0,0,0,321,0,0,0,153,0,0,0,280,0,0,0,118,0,0,0,0,21,0,0,0,44,0,0,0,0,18,0,0,0,27,375,868,65,45,
"Kessington East",179,0,0,0,72,0,0,0,0,165,0,0,0,181,0,0,0,324,0,0,0,94,0,0,0,0,32,0,0,0,40,0,0,0,0,25,0,0,0,21,251,761,72,46,
"Torrance and Balmore",145,0,0,0,111,0,0,0,0,165,0,0,0,217,0,0,0,248,0,0,0,137,0,0,0,0,50,0,0,0,58,0,0,0,0,14,0,0,0,20,256,767,107,34,
"Bishopbriggs North and Kenmure",390,0,0,0,183,0,0,0,0,300,0,0,0,345,0,0,0,500,0,0,0,227,0,0,0,0,58,0,0,0,77,0,0,0,0,26,0,0,0,29,576,1372,135,55,
"Bishopbriggs West and Cadder",542,0,0,0,284,0,0,0,0,368,0,0,0,388,0,0,0,461,0,0,0,251,0,0,0,0,97,0,0,0,105,0,0,0,0,49,0,0,0,34,827,1468,206,83,
"Auchinairn",416,0,0,0,508,0,0,0,0,136,0,0,0,324,0,0,0,480,0,0,0,186,0,0,0,0,218,0,0,0,174,0,0,0,0,52,0,0,0,45,924,1126,392,95,
"Woodhill East",115,0,0,0,80,0,0,0,0,109,0,0,0,169,0,0,0,245,0,0,0,124,0,0,0,0,31,0,0,0,41,0,0,0,0,28,0,0,0,12,194,644,72,36,
"Woodhill West",328,0,0,0,159,0,0,0,0,239,0,0,0,264,0,0,0,362,0,0,0,185,0,0,0,0,63,0,0,0,74,0,0,0,0,32,0,0,0,25,487,1050,137,57,
"Lenzie North",360,0,0,0,173,0,0,0,0,298,0,0,0,317,0,0,0,469,0,0,0,211,0,0,0,0,120,0,0,0,98,0,0,0,0,30,0,0,0,46,533,1295,218,79,
"Lenzie South",213,0,0,0,123,0,0,0,0,251,0,0,0,231,0,0,0,333,0,0,0,143,0,0,0,0,44,0,0,0,27,0,0,0,0,10,0,0,0,15,336,958,71,25,
"Kirkintilloch South",211,0,0,0,306,0,0,0,0,124,0,0,0,282,0,0,0,259,0,0,0,119,0,0,0,0,92,0,0,0,67,0,0,0,0,18,0,0,0,29,519,782,155,47,
"Kirkintilloch West",380,0,0,0,544,0,0,0,0,205,0,0,0,304,0,0,0,354,0,0,0,124,0,0,0,0,121,0,0,0,82,0,0,0,0,20,0,0,0,34,921,987,203,54,
"Hillhead",309,0,0,0,532,0,0,0,0,96,0,0,0,221,0,0,0,268,0,0,0,115,0,0,0,0,203,0,0,0,168,0,0,0,0,37,0,0,0,38,835,700,369,72,
"Rosebank and Waterside",205,0,0,0,329,0,0,0,0,210,0,0,0,368,0,0,0,714,0,0,0,136,0,0,0,0,103,0,0,0,91,0,0,0,0,46,0,0,0,23,532,1424,194,69,
"Twechar and Harestanes East",249,0,0,0,250,0,0,0,0,131,0,0,0,248,0,0,0,218,0,0,0,119,0,0,0,0,98,0,0,0,61,0,0,0,0,17,0,0,0,24,502,713,165,41,
"Harestanes",256,0,0,0,333,0,0,0,0,116,0,0,0,209,0,0,0,209,0,0,0,93,0,0,0,0,117,0,0,0,90,0,0,0,0,24,0,0,0,29,585,624,207,53,
"Milton of Campsie",299,0,0,0,235,0,0,0,0,240,0,0,0,290,0,0,0,285,0,0,0,165,0,0,0,0,71,0,0,0,81,0,0,0,0,22,0,0,0,15,533,980,152,41,
"Lennoxtown",273,0,0,0,387,0,0,0,0,182,0,0,0,340,0,0,0,330,0,0,0,177,0,0,0,0,103,0,0,0,106,0,0,0,0,42,0,0,0,37,662,1029,213,79,
"Wallyford",168,0,0,0,218,0,0,0,0,104,0,0,0,279,0,0,0,346,0,0,0,130,0,0,0,0,121,0,0,0,96,0,0,0,0,30,0,0,0,47,386,856,220,75,
"Whitecraig",92,0,0,0,220,0,0,0,0,56,0,0,0,306,0,0,0,355,0,0,0,85,0,0,0,0,87,0,0,0,66,0,0,0,0,24,0,0,0,25,316,802,155,48,
"Musselburgh South",309,0,0,0,444,0,0,0,0,197,0,0,0,437,0,0,0,334,0,0,0,175,0,0,0,0,101,0,0,0,88,0,0,0,0,21,0,0,0,43,753,1141,189,64,
"Musselburgh West",202,0,0,0,193,0,0,0,0,163,0,0,0,243,0,0,0,209,0,0,0,130,0,0,0,0,39,0,0,0,43,0,0,0,0,19,0,0,0,19,398,746,82,40,
"Musselburgh North",493,0,0,0,829,0,0,0,0,129,0,0,0,442,0,0,0,277,0,0,0,88,0,0,0,0,119,0,0,0,80,0,0,0,0,30,0,0,0,97,1322,934,198,128,
"Musselburgh East",364,0,0,0,435,0,0,0,0,172,0,0,0,371,0,0,0,381,0,0,0,138,0,0,0,0,127,0,0,0,100,0,0,0,0,48,0,0,0,64,799,1063,227,112,
"Pinkie Braes",77,0,0,0,194,0,0,0,0,52,0,0,0,168,0,0,0,218,0,0,0,79,0,0,0,0,82,0,0,0,57,0,0,0,0,24,0,0,0,32,271,517,139,58,
"Prestonpans West",326,0,0,0,447,0,0,0,0,157,0,0,0,430,0,0,0,475,0,0,0,164,0,0,0,0,179,0,0,0,148,0,0,0,0,41,0,0,0,57,773,1227,323,98,
"Prestonpans East",265,0,0,0,313,0,0,0,0,133,0,0,0,321,0,0,0,366,0,0,0,146,0,0,0,0,120,0,0,0,105,0,0,0,0,27,0,0,0,47,578,968,222,74,
"Cockenzie",381,0,0,0,386,0,0,0,0,263,0,0,0,450,0,0,0,351,0,0,0,241,0,0,0,0,92,0,0,0,114,0,0,0,0,29,0,0,0,56,767,1307,210,85,
"Tranent East",265,0,0,0,327,0,0,0,0,185,0,0,0,283,0,0,0,291,0,0,0,167,0,0,0,0,153,0,0,0,93,0,0,0,0,31,0,0,0,38,592,926,247,69,
"Tranent North Blindwells Levenhall",68,0,0,0,208,0,0,0,0,84,0,0,0,312,0,0,0,349,0,0,0,94,0,0,0,0,62,0,0,0,34,0,0,0,0,23,0,0,0,15,271,839,99,38,
"Tranent South",268,0,0,0,423,0,0,0,0,201,0,0,0,440,0,0,0,662,0,0,0,204,0,0,0,0,181,0,0,0,99,0,0,0,0,39,0,0,0,47,691,1507,280,86,
"Ormiston",148,0,0,0,231,0,0,0,0,119,0,0,0,215,0,0,0,251,0,0,0,72,0,0,0,0,67,0,0,0,50,0,0,0,0,21,0,0,0,25,376,660,113,46,
"Aberlady",206,0,0,0,153,0,0,0,0,152,0,0,0,248,0,0,0,235,0,0,0,83,0,0,0,0,21,0,0,0,36,0,0,0,0,17,0,0,0,19,359,718,57,36,
"Macmerry Longniddry",288,0,0,0,165,0,0,0,0,287,0,0,0,326,0,0,0,340,0,0,0,134,0,0,0,0,78,0,0,0,63,0,0,0,0,24,0,0,0,28,456,1084,141,52,
"Haddington Rural",94,0,0,0,119,0,0,0,0,128,0,0,0,291,0,0,0,388,0,0,0,65,0,0,0,0,59,0,0,0,18,0,0,0,0,11,0,0,0,19,213,872,77,30,
"Humbie Gifford Garvald",300,0,0,0,257,0,0,0,0,303,0,0,0,578,0,0,0,505,0,0,0,170,0,0,0,0,77,0,0,0,71,0,0,0,0,33,0,0,0,45,557,1553,146,78,
"Haddington North",255,0,0,0,233,0,0,0,0,206,0,0,0,359,0,0,0,406,0,0,0,150,0,0,0,0,87,0,0,0,86,0,0,0,0,25,0,0,0,32,488,1121,172,57,
"Haddington South",470,0,0,0,507,0,0,0,0,227,0,0,0,366,0,0,0,329,0,0,0,132,0,0,0,0,127,0,0,0,121,0,0,0,0,26,0,0,0,47,972,1049,248,73,
"Gullane and Drem",387,0,0,0,219,0,0,0,0,315,0,0,0,390,0,0,0,426,0,0,0,118,0,0,0,0,65,0,0,0,55,0,0,0,0,24,0,0,0,26,606,1250,120,50,
"North Berwick North",457,0,0,0,193,0,0,0,0,248,0,0,0,238,0,0,0,200,0,0,0,59,0,0,0,0,35,0,0,0,34,0,0,0,0,12,0,0,0,23,651,747,66,37,
"North Berwick South",286,0,0,0,284,0,0,0,0,279,0,0,0,373,0,0,0,589,0,0,0,150,0,0,0,0,125,0,0,0,66,0,0,0,0,27,0,0,0,42,570,1395,188,69,
"East Linton and Rural",355,0,0,0,304,0,0,0,0,330,0,0,0,580,0,0,0,596,0,0,0,140,0,0,0,0,81,0,0,0,84,0,0,0,0,35,0,0,0,39,656,1643,165,78,
"Dunbar West",340,0,0,0,356,0,0,0,0,227,0,0,0,435,0,0,0,646,0,0,0,141,0,0,0,0,153,0,0,0,96,0,0,0,0,35,0,0,0,51,697,1448,249,85,
"Dunbar East",334,0,0,0,291,0,0,0,0,209,0,0,0,327,0,0,0,381,0,0,0,119,0,0,0,0,116,0,0,0,72,0,0,0,0,18,0,0,0,49,625,1037,188,67,
"Neilston East",236,0,0,0,248,0,0,0,0,102,0,0,0,167,0,0,0,246,0,0,0,112,0,0,0,0,90,0,0,0,76,0,0,0,0,29,0,0,0,32,484,625,166,61,
"Neilston West and Uplawmoor",225,0,0,0,155,0,0,0,0,197,0,0,0,285,0,0,0,317,0,0,0,154,0,0,0,0,66,0,0,0,40,0,0,0,0,18,0,0,0,20,381,953,108,38,
"Cross Stobbs",248,0,0,0,195,0,0,0,0,229,0,0,0,301,0,0,0,293,0,0,0,153,0,0,0,0,58,0,0,0,58,0,0,0,0,13,0,0,0,21,443,976,113,34,
"Dunterlie, East Arthurlie and Dovecothall",572,0,0,0,894,0,0,0,0,148,0,0,0,390,0,0,0,357,0,0,0,173,0,0,0,0,231,0,0,0,178,0,0,0,0,48,0,0,0,65,1466,1068,406,116,
"West Arthurlie, Gateside and Springhill",298,0,0,0,310,0,0,0,0,198,0,0,0,327,0,0,0,405,0,0,0,169,0,0,0,0,94,0,0,0,88,0,0,0,0,37,0,0,0,27,607,1100,179,59,
"Auchenback and Barrhead Dams",213,0,0,0,345,0,0,0,0,71,0,0,0,231,0,0,0,362,0,0,0,137,0,0,0,0,162,0,0,0,133,0,0,0,0,46,0,0,0,47,558,803,295,92,
"Crookfur East, Fruin and Greenlaw East",338,0,0,0,259,0,0,0,0,232,0,0,0,194,0,0,0,478,0,0,0,97,0,0,0,0,74,0,0,0,42,0,0,0,0,36,0,0,0,20,597,1007,116,55,
"Crookfur West and Greenlaw West",135,0,0,0,132,0,0,0,0,127,0,0,0,207,0,0,0,526,0,0,0,120,0,0,0,0,79,0,0,0,53,0,0,0,0,26,0,0,0,18,267,980,132,44,
"Mearns Village, Westacres and Greenfarm",297,0,0,0,347,0,0,0,0,170,0,0,0,308,0,0,0,600,0,0,0,212,0,0,0,0,129,0,0,0,102,0,0,0,0,47,0,0,0,29,643,1284,234,76,
"Whitecraigs and Broom North",229,0,0,0,72,0,0,0,0,292,0,0,0,208,0,0,0,395,0,0,0,150,0,0,0,0,36,0,0,0,29,0,0,0,0,33,0,0,0,14,305,1043,65,47,
"Kirkhill South and Broom South",338,0,0,0,138,0,0,0,0,281,0,0,0,183,0,0,0,426,0,0,0,129,0,0,0,0,61,0,0,0,47,0,0,0,0,24,0,0,0,22,481,1023,105,46,
"Mearnskirk and Maidenhill",140,0,0,0,149,0,0,0,0,130,0,0,0,204,0,0,0,639,0,0,0,117,0,0,0,0,82,0,0,0,36,0,0,0,0,40,0,0,0,21,289,1091,123,55,
