SuperWEB2(tm)

"Household"
"Data Zone (2022) by Type of accomodation - 3 groups, collapsed and Type of accomodation"
"Counting: Households"

Filters:
"Default Summation","Households"

"Type of accomodation - 3 groups, collapsed","Whole house or bungalow",,,,,,,"Flat, maisonette or apartment",,,,,,,"Caravan or other mobile or temporary structure",,,,,,,"Total",,,,,,,
"Type of accomodation","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure",
"Data Zone (2022)",
"S01013520",17,327,12,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,17,327,12,4,0,0,0,
"S01013521",98,109,54,0,0,0,0,0,0,0,228,17,7,0,0,0,0,0,0,0,0,98,109,54,228,17,7,0,
"S01013522",74,159,67,0,0,0,0,0,0,0,256,6,1,0,0,0,0,0,0,0,0,74,159,67,256,6,1,0,
"S01013523",52,187,1,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,52,187,1,23,0,0,0,
"S01013524",112,35,69,0,0,0,0,0,0,0,204,6,1,0,0,0,0,0,0,0,1,112,35,69,204,6,1,1,
"S01013525",149,91,91,0,0,0,0,0,0,0,67,1,0,0,0,0,0,0,0,0,0,149,91,91,67,1,0,0,
"S01013526",165,77,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,165,77,30,30,0,0,0,
"S01013527",24,277,2,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,24,277,2,6,2,0,0,
"S01013528",168,142,7,0,0,0,0,0,0,0,72,6,1,0,0,0,0,0,0,0,0,168,142,7,72,6,1,0,
"S01013529",147,220,11,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,147,220,11,7,3,0,0,
"S01013530",31,37,65,0,0,0,0,0,0,0,138,8,0,0,0,0,0,0,0,0,0,31,37,65,138,8,0,0,
"S01013531",101,167,70,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,101,167,70,124,0,0,0,
"S01013532",150,87,90,0,0,0,0,0,0,0,70,1,0,0,0,0,0,0,0,0,0,150,87,90,70,1,0,0,
"S01013533",67,81,54,0,0,0,0,0,0,0,179,1,2,0,0,0,0,0,0,0,0,67,81,54,179,1,2,0,
"S01013534",2,24,39,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,2,24,39,166,0,0,0,
"S01013535",15,94,128,0,0,0,0,0,0,0,149,2,2,0,0,0,0,0,0,0,0,15,94,128,149,2,2,0,
"S01013536",21,84,126,0,0,0,0,0,0,0,162,0,2,0,0,0,0,0,0,0,0,21,84,126,162,0,2,0,
"S01013537",9,11,77,0,0,0,0,0,0,0,211,41,0,0,0,0,0,0,0,0,0,9,11,77,211,41,0,0,
"S01013538",16,61,44,0,0,0,0,0,0,0,101,35,1,0,0,0,0,0,0,0,0,16,61,44,101,35,1,0,
"S01013539",29,113,90,0,0,0,0,0,0,0,173,52,0,0,0,0,0,0,0,0,2,29,113,90,173,52,0,2,
"S01013540",44,121,81,0,0,0,0,0,0,0,64,20,0,0,0,0,0,0,0,0,0,44,121,81,64,20,0,0,
"S01013541",124,107,59,0,0,0,0,0,0,0,126,5,0,0,0,0,0,0,0,0,0,124,107,59,126,5,0,0,
"S01013542",26,107,85,0,0,0,0,0,0,0,172,22,1,0,0,0,0,0,0,0,0,26,107,85,172,22,1,0,
"S01013543",8,10,15,0,0,0,0,0,0,0,604,9,3,0,0,0,0,0,0,0,0,8,10,15,604,9,3,0,
"S01013544",4,10,13,0,0,0,0,0,0,0,534,19,17,0,0,0,0,0,0,0,0,4,10,13,534,19,17,0,
"S01013545",6,39,60,0,0,0,0,0,0,0,313,42,1,0,0,0,0,0,0,0,0,6,39,60,313,42,1,0,
