SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household size - 5 groups, collapsed and Household tenure - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household size - 5 groups, collapsed","One person",,,,,"Two people",,,,,"Three people",,,,,"Four people",,,,,"Five or more people",,,,,"Total",,,,,
"Household tenure - 5 groups, collapsed","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free",
"Intermediate Zone (2022)",
"Helensburgh Centre",394,166,163,275,18,273,124,44,119,8,42,76,17,34,1,17,36,4,14,0,8,17,2,7,0,734,416,230,445,27,
"Helensburgh East",282,90,201,49,14,276,170,112,50,6,69,119,51,47,4,28,135,41,37,0,9,55,22,21,1,664,566,427,204,25,
"Lomond Shore",253,86,81,44,18,424,206,44,43,8,79,122,21,18,5,34,128,14,10,1,22,50,5,5,0,812,592,165,120,28,
"Balerno",389,112,67,41,10,608,182,32,71,7,110,182,12,34,5,75,318,8,22,4,26,89,4,9,0,1213,880,123,177,27,
"Currie West",255,75,93,26,10,319,196,45,38,5,73,190,23,22,3,38,240,5,13,0,12,54,3,7,0,696,753,169,106,18,
"Currie East",249,63,53,17,4,346,128,30,24,0,71,126,12,3,3,44,187,5,11,0,6,48,5,6,0,716,553,105,58,10,
"Baberton and Juniper Green",361,82,55,33,6,479,171,13,37,3,77,135,3,11,0,33,189,1,11,1,0,51,1,8,1,951,624,69,101,11,
"Bonaly and The Pentlands",300,91,23,34,8,466,170,7,23,3,106,160,3,24,1,65,274,5,15,2,12,70,2,13,0,955,765,39,112,14,
"Colinton and Kingsknowe",229,49,137,59,7,387,140,21,69,5,53,102,2,53,3,44,133,4,55,1,17,39,1,12,1,730,463,167,247,17,
"Clovenstone and Wester Hailes South",40,63,347,60,8,28,59,214,57,3,13,50,136,38,3,2,40,106,10,4,0,23,106,31,2,87,235,912,196,19,
"The Calders",169,115,577,79,26,113,93,268,94,11,24,67,137,68,1,10,44,80,36,0,7,16,49,24,0,326,335,1111,301,31,
"Murrayburn and Wester Hailes North",109,39,711,31,20,59,57,277,50,4,17,35,160,24,4,6,26,73,15,0,4,7,54,25,1,195,164,1275,146,29,
"Parkhead and Sighthill",227,132,12,67,9,218,142,20,112,4,37,109,11,61,3,13,86,5,43,0,2,24,5,25,0,497,497,50,308,12,
"Broomhouse and Bankhead",149,103,220,41,12,113,146,140,64,7,27,99,103,34,2,9,94,74,58,0,1,35,64,40,3,301,481,601,235,24,
"Stenhouse and Saughton Mains",339,303,566,258,29,199,208,200,346,8,36,110,98,123,0,13,54,38,107,2,4,19,19,28,1,591,696,922,859,38,
"Longstone",228,165,191,50,7,247,166,96,109,6,61,120,55,48,4,29,123,21,40,0,9,32,12,33,0,574,609,375,280,16,
"Slateford and Chesser",400,321,290,244,23,266,282,94,327,10,49,99,29,103,2,18,63,20,68,2,7,18,9,17,0,740,785,441,755,34,
"Gorgie West",261,431,389,670,20,106,191,123,531,6,23,77,57,126,2,9,29,26,46,0,4,7,16,5,0,401,735,611,1375,30,
"Gorgie East",188,257,236,504,19,64,161,41,477,2,12,26,14,97,0,1,12,12,39,0,1,0,10,19,2,264,458,311,1131,21,
"Shandon",480,302,30,244,25,264,311,13,400,5,42,158,7,116,2,33,113,7,43,1,3,21,1,18,0,825,908,58,821,33,
"Craiglockhart",422,93,6,32,7,564,194,2,68,8,98,169,4,18,1,53,213,3,31,2,16,46,0,5,0,1153,716,14,158,17,
"Morningside West and Craighouse",462,157,34,231,11,326,154,14,245,9,63,117,4,67,2,43,145,2,41,0,9,44,0,8,0,900,615,54,596,22,
"Greenbank and The Braids",355,68,6,21,10,514,141,0,46,6,103,138,4,15,1,62,205,2,24,0,18,63,1,7,1,1052,615,11,111,17,
"Colinton Mains and Firrhill",278,155,282,99,13,173,168,96,146,8,35,90,69,82,0,11,89,37,33,3,8,27,24,20,3,513,525,505,372,26,
"Oxgangs",190,104,234,39,12,123,110,87,81,3,38,66,55,33,5,19,63,25,23,2,6,26,19,5,0,375,365,420,177,22,
"Comiston and Swanston",402,80,9,46,12,636,176,6,84,3,115,166,2,48,0,67,211,2,46,2,12,59,2,25,1,1232,688,21,249,19,
"Fairmilehead",281,60,10,11,5,605,155,11,23,5,123,212,7,11,0,68,354,4,11,3,17,91,2,8,0,1094,869,36,64,16,
"Gilmerton South and the Murrays",182,147,82,46,4,196,346,74,56,0,50,243,55,34,3,18,172,23,10,1,10,63,14,6,2,456,971,248,154,11,
"Burdiehouse South and Broomhills",81,117,71,18,4,113,332,49,51,4,26,215,32,17,1,11,156,12,12,2,3,42,15,6,0,235,862,179,106,10,
"Mortonhall and Anwickhill",297,122,12,43,5,284,128,14,44,4,48,68,7,10,1,21,61,0,14,0,4,18,2,6,0,657,397,42,121,8,
"Gracemount, Southhouse and Burdiehouse",226,172,447,66,27,173,189,264,104,15,52,116,175,57,5,9,108,98,33,3,12,49,101,27,7,472,634,1087,287,57,
"Hyvots and Gilmerton",162,111,372,47,9,157,175,145,50,4,40,132,75,37,1,18,88,44,15,1,7,31,31,18,1,380,543,667,169,12,
"Fernieside and Moredun South",219,109,223,65,10,178,165,110,71,3,51,117,54,44,6,21,102,29,30,0,8,42,27,17,1,476,536,445,227,20,
"Moredun and Craigour",178,42,384,34,8,133,95,141,46,4,38,56,54,36,3,10,65,33,14,1,8,25,17,11,0,367,283,630,143,13,
"Liberton East",258,96,7,46,6,319,147,7,45,3,44,117,3,14,0,33,91,0,14,0,13,22,0,8,0,667,477,18,127,9,
"Liberton West",260,94,70,27,12,363,174,29,51,6,57,103,8,24,3,39,119,3,11,0,13,28,0,4,0,731,522,110,123,21,
"The Inch",327,185,291,82,14,222,208,129,163,8,56,152,61,100,4,22,102,40,47,2,10,48,22,26,2,637,697,546,418,27,
"Blackford, West Mains and Mayfield Road",585,136,53,101,12,503,213,30,211,17,117,213,9,66,4,71,240,8,67,2,23,87,2,21,0,1299,892,105,464,37,
"Prestonfield",223,117,231,134,18,227,155,52,154,2,50,63,11,74,4,23,60,8,47,2,7,20,5,20,2,530,418,314,429,28,
"Newington and Dalkeith Road",228,90,81,167,15,196,117,10,349,5,55,62,6,165,3,26,79,2,80,3,12,40,6,36,1,521,392,105,797,27,
"The Grange",545,118,60,133,10,490,188,6,197,18,116,144,3,101,2,73,175,0,50,2,14,69,5,25,0,1238,694,75,507,29,
"Marchmont East and Sciennes",271,76,55,230,13,186,120,22,397,10,36,81,7,216,0,37,58,3,141,2,13,16,2,34,2,541,348,86,1016,26,
"Marchmont West",249,68,4,53,12,186,103,2,161,0,67,98,5,253,1,39,119,2,267,0,13,26,1,99,3,554,420,10,832,18,
"Morningside East",409,134,55,205,19,415,205,16,260,13,87,136,2,95,4,51,156,0,59,2,21,50,2,22,0,983,688,78,641,38,
"Merchiston and Greenhill",455,127,23,168,11,411,176,4,178,9,71,100,1,88,0,49,136,0,90,1,15,38,1,38,1,1001,577,30,558,24,
"Bruntsfield",376,193,121,238,15,218,234,27,450,9,66,121,4,201,2,29,116,1,114,3,11,29,4,71,3,699,692,157,1074,30,
"Polwarth",284,320,129,493,21,138,210,23,551,6,32,73,10,97,0,11,54,1,61,3,10,10,2,22,0,473,667,164,1222,30,
"Dalry",129,175,266,356,13,54,104,37,429,7,10,33,19,133,0,5,15,15,41,0,0,0,10,10,3,198,330,347,965,17,
"Fountainbridge",158,192,429,549,15,74,93,55,451,9,5,24,15,98,3,6,14,8,28,1,0,2,2,8,0,243,323,509,1132,28,
"Tollcross",294,191,323,531,24,121,141,77,712,8,33,47,34,214,5,9,35,11,125,1,6,10,5,78,2,463,421,450,1658,39,
"Southside",151,74,27,166,15,79,55,13,322,7,15,26,9,169,1,7,13,6,142,1,2,2,5,106,0,250,171,58,905,24,
"Meadows",198,58,176,476,30,113,51,89,302,13,32,27,32,121,3,13,26,20,95,0,7,12,11,32,0,366,173,326,1028,46,
"Old Town, Princes Street and Leith Street",259,98,379,507,19,75,84,71,516,15,20,23,20,137,2,5,10,10,91,5,2,1,13,58,3,358,215,492,1303,41,
"Canongate, St. Leonards and Dumbiedykes",274,112,704,400,21,73,78,199,555,18,15,28,59,190,2,6,17,22,102,1,4,6,18,31,0,376,239,1000,1278,43,
"Abbeyhill",157,201,227,299,7,47,125,61,276,2,6,22,20,34,1,4,12,9,11,0,0,4,3,8,0,215,364,319,626,11,
"Meadowbank and Abbeyhill North",375,478,217,443,14,176,346,51,514,6,21,112,28,72,0,6,51,15,23,1,4,10,7,7,0,580,998,318,1058,21,
"Willowbrae and Duddingston Village",437,225,77,149,15,407,324,20,230,15,76,192,10,59,2,43,135,1,29,2,8,40,3,9,1,971,915,111,476,31,
"Greendykes",38,181,214,52,3,23,276,134,86,3,8,157,89,41,0,7,105,40,26,0,3,41,24,6,0,82,757,501,211,6,
"Craigmillar",55,117,387,168,9,22,122,207,198,6,8,56,130,68,2,4,51,75,39,4,1,25,52,23,0,90,373,859,496,19,
"Niddrie",96,111,584,46,16,64,114,279,63,8,17,91,183,56,2,8,78,95,26,2,11,36,73,10,3,196,429,1214,202,30,
"Bingham, Magdalene and The Christians",187,101,441,50,10,124,109,176,43,9,38,75,102,26,0,21,56,47,16,1,2,21,15,17,0,372,362,784,154,22,
"Jewel, Brunstane and Newcraighall",212,187,56,68,6,307,380,44,92,7,73,251,28,35,1,28,208,12,26,0,12,48,5,22,0,629,1074,144,243,17,
"Joppa",433,130,141,83,9,448,192,38,69,5,124,162,9,30,4,57,226,5,6,1,7,61,1,6,1,1072,767,192,196,21,
"Portobello",391,275,148,223,13,239,314,69,169,0,72,132,26,61,0,31,124,21,21,1,4,26,6,7,0,737,871,263,483,14,
"Duddingston and Durhams",307,58,34,19,8,420,119,8,17,3,75,147,4,11,3,48,225,2,8,0,13,61,0,4,1,863,611,48,59,15,
"Mountcastle",261,76,49,27,6,243,105,9,37,1,64,79,5,13,3,14,123,4,10,0,12,29,1,7,0,589,412,67,96,13,
"Northfield and Piershill",268,195,151,110,11,176,182,87,134,4,30,88,43,55,1,10,77,22,37,1,2,15,13,4,0,491,558,315,340,17,
"Craigentinny",281,42,10,15,5,362,138,1,20,5,64,95,2,12,0,22,90,2,12,1,7,36,3,7,0,735,405,17,63,7,
"Restalrig (Loganlea) and Craigentinny West",200,253,371,141,16,107,132,114,188,5,25,76,45,48,2,9,44,23,27,1,3,11,9,4,0,345,516,568,406,23,
"Restalrig and Lochend",191,216,500,107,21,129,150,182,136,3,37,93,87,50,2,14,55,43,18,1,2,9,21,10,3,376,521,834,326,30,
"Leith (Hermitage and Prospect Bank)",338,213,46,93,10,334,331,25,132,3,92,178,9,30,1,30,164,4,14,0,9,32,0,8,0,803,915,87,277,14,
"Western Harbour and Leith Docks",220,282,302,284,7,176,376,178,356,8,33,127,70,141,3,6,63,49,53,0,0,12,18,16,0,433,860,614,847,18,
"North Leith and Newhaven",283,355,465,283,10,187,271,165,283,1,41,97,58,75,4,13,81,34,16,0,4,26,30,8,0,528,833,753,666,17,
"The Shore and Constitution Street",266,418,274,412,11,153,364,156,513,8,13,66,51,79,1,5,32,27,24,0,0,5,8,10,0,437,888,522,1040,20,
"Great Junction Street",210,268,367,242,14,90,200,132,314,5,18,47,55,66,2,8,32,41,23,1,0,6,10,14,0,330,557,618,659,22,
"South Leith",281,386,432,402,17,153,305,92,471,2,23,70,43,72,4,10,44,18,38,0,3,13,11,12,1,468,822,595,991,24,
"Easter Road and Hawkhill Avenue",188,373,131,381,10,71,202,45,414,2,19,42,18,73,0,5,23,10,19,0,1,7,3,7,4,283,647,208,894,13,
"Leith (Albert Street)",166,223,185,379,11,55,103,53,371,0,6,32,18,54,2,5,14,12,23,1,0,2,12,14,0,234,374,280,841,10,
"Hillside and Calton Hill",416,336,205,392,23,208,270,42,557,7,53,100,25,122,1,39,48,7,41,0,10,12,2,18,0,722,766,283,1130,34,
"Pilrig",290,291,299,328,16,143,264,68,404,6,36,87,35,84,1,11,70,14,23,2,5,19,11,15,0,488,734,427,854,25,
"Bonnington",223,294,241,174,4,144,298,107,265,1,24,101,34,56,2,10,67,15,26,0,5,8,4,5,0,406,765,401,526,9,
"Trinity East and The Dudleys",296,122,18,66,5,293,175,7,91,2,63,137,2,29,0,37,182,2,15,0,11,39,2,4,0,696,657,31,205,8,
"Trinity West and Wardie",417,142,72,125,15,401,202,25,142,5,97,125,9,33,1,57,179,4,22,0,11,53,2,4,0,982,701,121,323,22,
"Inverleith, Goldenacre and Warriston",381,122,41,79,10,314,160,14,88,6,73,102,2,37,5,33,86,3,19,0,9,27,4,10,0,810,500,61,231,21,
"Broughton North and Powderhall",340,312,160,421,21,181,264,33,425,7,41,83,14,53,0,13,57,3,29,0,6,8,0,7,0,581,720,208,935,27,
"Broughton South",307,250,97,246,11,175,271,51,434,5,37,103,12,114,2,20,73,1,62,0,8,20,2,13,0,544,717,166,869,18,
"New Town East and Gayfield",272,127,51,206,12,162,120,12,258,5,28,33,0,83,1,17,23,2,37,1,4,4,2,28,0,484,304,66,612,18,
"New Town West",365,100,137,207,19,256,124,9,228,11,42,46,3,51,3,20,34,4,43,0,8,9,1,11,0,690,313,154,540,35,
"Canonmills and New Town North",321,151,7,278,23,184,158,10,325,12,30,58,4,68,2,14,37,0,52,0,3,7,0,20,0,552,411,19,739,38,
"Stockbridge",592,285,122,535,36,346,254,31,552,13,70,96,5,88,4,29,71,4,48,1,7,10,0,5,0,1050,723,159,1230,53,
"Comely Bank",380,160,8,164,13,218,174,3,254,2,43,62,2,67,2,14,62,0,39,0,4,6,1,6,0,659,464,16,530,19,
"Wester Coates",409,156,52,151,23,251,182,11,235,5,47,77,4,82,4,19,66,2,31,2,8,15,0,40,0,734,500,70,542,32,
"Dean Village",274,124,52,178,10,227,161,7,231,11,34,42,3,53,1,13,34,1,24,2,1,10,0,18,0,551,375,63,510,25,
"Balgreen and Roseburn",482,208,76,119,15,342,245,41,174,7,71,105,12,57,0,25,97,7,40,2,8,26,5,2,0,922,682,140,392,24,
"Murrayfield and Ravelston",362,82,1,42,1,507,168,2,49,9,103,142,3,23,0,50,191,0,19,0,15,57,0,7,0,1038,640,7,135,10,
"Craigleith, Orchard Brae and Crewe Toll",504,215,16,126,15,428,230,6,145,4,89,147,4,55,4,42,166,1,39,2,10,42,0,10,0,1073,800,26,375,29,
"Blackhall",471,111,62,73,10,559,188,7,61,5,138,178,3,26,1,66,336,4,24,2,23,76,6,18,2,1253,886,82,198,19,
"Drylaw",287,146,250,51,14,213,175,164,78,10,64,122,101,69,1,28,117,34,41,2,6,60,29,16,0,599,617,577,252,27,
"West Pilton",147,213,335,148,15,94,188,246,171,7,35,95,170,107,5,7,66,90,68,3,3,31,92,54,1,286,593,936,551,31,
"Boswall and Pilton",315,268,83,116,14,320,331,63,208,14,82,240,33,95,4,31,224,10,58,2,7,42,8,14,0,756,1104,193,488,31,
"Granton South and Wardieburn",101,60,429,46,17,41,55,226,57,1,10,28,110,30,2,8,31,58,12,0,0,5,28,4,0,164,180,856,155,23,
"Granton and Royston Mains",171,194,477,149,14,132,227,247,221,11,38,81,111,89,3,5,71,55,46,0,3,11,24,16,3,349,584,914,521,28,
"Granton West and Salvesen",84,180,206,99,10,104,174,183,161,2,19,83,98,72,4,8,58,65,32,0,5,23,43,25,0,223,518,599,392,15,
"Muirhouse",147,154,677,91,11,83,147,339,144,9,32,113,241,43,1,9,80,157,42,4,7,29,102,29,0,275,523,1519,346,27,
"Silverknowes and Davidson's Mains",369,82,7,45,7,402,163,12,47,2,81,149,4,9,0,48,254,3,11,0,12,66,1,12,0,916,720,23,124,12,
"Cramond",189,47,9,24,3,251,96,4,44,0,47,70,1,8,3,32,158,3,13,1,9,45,1,8,1,528,416,18,97,7,
"Barnton, Cammo and Cramond South",406,67,2,28,10,457,119,2,22,2,78,155,2,17,0,48,211,6,18,2,9,68,3,7,0,1000,621,12,83,15,
"Clermiston and Drumbrae",374,216,370,68,30,356,292,130,103,21,89,236,58,73,2,32,215,39,47,0,18,56,25,24,2,865,1015,623,315,56,
"East Craigs North",358,217,252,111,15,352,250,72,119,10,87,188,39,39,4,46,191,20,36,3,7,52,11,14,1,853,897,396,321,33,
"East Craigs South",392,133,36,28,4,563,212,22,44,2,108,184,13,42,0,57,263,6,16,0,12,66,4,12,1,1135,856,81,142,8,
"Corstorphine North",245,72,41,7,8,358,176,19,30,3,63,166,12,24,3,34,214,11,15,2,7,45,3,6,0,708,673,86,85,16,
"Corstorphine",492,156,89,91,17,521,240,29,118,5,98,182,5,31,3,50,204,3,23,2,22,53,1,7,1,1180,833,127,266,27,
"Carrick Knowe",180,92,5,54,5,204,159,6,92,1,44,92,8,42,0,13,75,0,50,1,5,14,2,8,0,447,435,23,246,7,
"Corstorphine South",353,228,11,88,8,308,254,24,136,5,70,213,7,87,1,21,163,9,50,1,5,32,0,20,0,757,889,51,381,19,
"South Gyle and Edinburgh Park",401,247,60,176,14,347,254,25,170,4,79,187,12,82,2,24,161,10,55,2,7,29,4,6,2,856,874,110,489,25,
"Ratho, Ingliston and Gogar",129,55,72,27,4,182,117,41,27,1,48,101,28,17,3,16,114,11,15,0,8,27,5,4,1,384,414,152,89,9,
"Kirkliston",197,93,112,29,10,286,196,70,38,0,71,178,40,22,3,31,271,26,11,0,8,68,24,9,0,593,806,273,112,14,
"Dalmeny and Newbridge",124,106,74,49,6,170,251,73,84,4,57,198,37,32,3,32,257,21,10,2,10,58,13,7,0,391,870,218,184,12,
"Queensferry East",327,131,64,72,10,388,234,56,66,7,84,171,36,26,1,41,193,10,23,1,12,55,9,10,0,855,784,175,205,24,
"Queensferry West",204,115,68,46,6,321,195,32,48,2,84,146,13,26,1,39,194,9,18,0,4,45,3,4,0,656,693,125,138,11,
"Tullibody South",215,105,286,38,14,274,171,160,33,13,64,134,76,11,2,28,136,47,11,0,4,37,31,4,2,585,585,598,97,32,
"Tullibody North and Glenochil",186,79,149,33,6,285,203,166,45,9,51,158,122,13,1,31,132,104,21,0,6,44,54,17,3,556,616,594,133,23,
"Menstrie",204,66,55,41,7,253,103,45,30,4,42,107,26,17,1,18,127,13,11,0,6,40,7,3,0,521,446,150,106,12,
"Alva",382,164,266,160,36,461,223,136,67,11,80,146,54,26,3,38,112,20,14,0,6,33,19,5,0,967,682,495,272,54,
"Fishcross, Devon Village and Coalsnaughton",127,77,110,32,10,219,94,82,40,2,35,82,41,12,0,22,48,32,1,0,5,18,10,3,0,410,323,272,90,13,
"Tillicoultry",339,154,369,120,12,440,198,125,61,6,76,125,65,20,3,24,91,31,11,1,11,29,16,1,0,894,599,606,213,19,
"Dollar and Muckhart",244,64,58,43,12,399,140,40,27,8,74,125,9,18,2,38,136,8,13,2,15,43,1,6,0,767,514,116,110,23,
"Clackmannan, Kennet and Forestmill",288,116,247,39,17,382,273,144,52,9,99,206,64,18,1,30,181,31,13,2,11,57,29,6,4,806,833,515,130,31,
"Sauchie",240,111,403,84,23,330,172,286,52,8,75,129,106,21,0,26,102,68,21,0,10,34,34,6,2,682,548,897,181,33,
"Alloa South and East",211,125,651,205,27,156,87,320,102,12,32,67,147,26,0,13,46,115,16,0,6,18,67,11,1,418,344,1303,353,38,
"Alloa North",339,199,361,124,32,458,262,193,77,5,90,216,65,34,2,36,159,38,19,1,4,49,25,7,0,926,884,685,260,39,
"Alloa West",249,165,140,99,14,266,197,47,53,7,51,136,18,24,0,29,121,8,5,0,16,29,3,2,0,609,649,216,182,21,
"Stranraer West",156,57,279,70,22,146,54,156,36,6,47,41,61,18,1,14,50,37,11,0,8,13,19,7,1,370,215,549,139,28,
"Rhins North",266,57,48,78,27,458,89,30,39,11,60,62,5,18,4,50,66,8,15,1,14,22,5,8,0,846,300,96,158,39,
"Stranraer East",228,73,188,135,14,179,82,45,60,9,47,49,16,31,0,12,49,11,14,0,8,27,6,5,1,475,275,266,248,25,
"Stranraer South",210,73,209,74,11,245,113,126,37,4,62,77,62,31,0,19,87,28,25,0,3,22,25,8,0,537,371,445,174,16,
"Rhins South",286,63,172,125,29,400,103,78,115,17,81,57,30,38,3,27,50,8,27,6,12,26,11,13,1,806,299,299,326,59,
"Machars North",181,39,72,85,24,255,74,34,71,20,52,32,12,16,1,23,16,9,10,0,12,16,0,15,2,526,180,127,197,48,
"Machars South",504,73,194,157,49,624,111,150,88,34,89,58,43,38,11,50,60,17,26,6,27,25,24,10,7,1294,327,428,319,104,
"Newton Stewart",452,102,272,151,35,580,148,136,101,10,92,85,55,50,1,34,110,49,35,2,16,31,21,17,4,1180,479,532,347,52,
"Gatehouse",307,55,83,66,24,449,85,56,75,27,60,63,27,30,8,27,62,29,27,13,17,33,8,6,3,860,298,203,202,73,
"Kirkcudbright",510,73,227,174,41,585,135,92,114,26,96,65,37,33,17,54,79,20,27,12,19,31,12,14,1,1261,383,383,360,94,
"Castle Douglas",291,86,306,166,39,503,115,127,94,9,94,78,42,38,9,38,89,33,34,3,11,44,21,15,2,937,415,526,347,58,
"Dalbeattie",414,99,251,102,19,451,128,113,57,10,73,93,43,33,2,30,98,27,19,0,8,32,9,5,0,976,451,439,217,31,
"Dalbeattie Rural",232,29,20,42,20,360,72,7,55,12,61,38,8,18,7,31,49,1,8,11,6,19,1,5,1,687,204,40,129,48,
"Glenkens",276,69,78,98,38,450,136,57,92,13,68,72,26,31,8,32,78,17,15,6,18,25,10,10,3,844,380,188,249,73,
"Upper Nithsdale",280,68,400,72,21,368,107,242,57,15,64,96,81,19,7,37,98,63,26,6,4,25,40,8,0,755,397,826,185,44,
"Thornhill",336,71,168,112,30,433,107,74,91,26,72,58,42,52,9,29,78,14,29,11,15,30,14,9,2,883,344,310,292,75,
"Mid Nithsdale",156,32,38,65,22,341,108,28,77,17,66,79,30,20,4,29,42,9,29,5,12,24,3,7,3,601,282,109,204,52,
"Shawhead",217,45,24,60,24,384,110,18,94,20,59,50,3,29,9,43,56,7,21,10,10,16,4,8,1,713,275,60,213,64,
"Lochside and Lincluden",278,143,682,77,22,260,171,364,65,8,56,83,206,34,1,23,88,122,26,6,6,31,79,9,0,621,514,1456,216,40,
"Summerville",446,136,441,146,17,401,228,214,117,9,94,179,123,55,2,30,153,62,31,2,14,58,23,10,1,985,755,863,359,32,
"Troqueer",314,127,112,157,13,340,116,45,77,11,66,84,29,34,0,29,88,17,10,1,6,23,8,6,1,746,434,211,289,26,
"New Abbey",257,53,85,79,13,382,113,40,77,15,69,60,10,31,2,37,80,10,25,1,15,25,9,8,0,757,335,153,220,27,
"Kingholm",187,94,75,79,31,335,107,35,69,9,49,79,18,34,2,25,67,11,14,0,7,22,5,13,0,604,363,144,208,41,
"Calside",222,109,16,55,4,362,107,6,47,7,60,95,7,24,1,23,100,3,8,2,5,27,0,2,0,672,435,30,137,16,
"Georgetown",278,79,9,57,11,352,117,2,43,5,62,100,1,17,2,17,115,6,11,0,3,22,0,1,0,707,433,20,135,18,
"Dumfries Central",284,121,521,301,21,128,106,142,133,6,37,58,62,50,1,9,48,28,28,0,9,14,15,6,0,467,347,766,521,28,
"Nunholm",302,118,152,148,14,303,128,47,75,8,52,90,15,22,0,23,79,5,8,1,11,36,2,8,0,694,454,221,263,23,
"Locharbriggs",210,88,113,41,9,261,149,72,49,4,40,75,34,25,3,19,64,17,17,3,0,17,9,7,0,531,400,247,142,14,
"Heathhall",190,104,31,34,9,288,108,19,63,12,64,91,3,33,2,35,104,4,13,2,5,18,2,8,1,586,426,59,149,26,
"Collin",262,114,50,41,10,392,249,17,41,12,85,163,17,29,3,29,194,8,12,7,13,56,7,8,2,781,776,99,131,33,
"Lochmaben",217,58,135,50,25,382,119,61,50,5,68,72,41,18,7,36,83,12,15,0,10,22,12,4,0,712,354,261,140,38,
"Lockerbie",364,114,296,134,28,419,172,151,119,19,75,113,74,36,2,33,120,44,35,6,7,33,23,19,0,898,556,589,342,58,
"Moffat",356,87,186,85,18,439,144,74,78,4,55,83,41,26,0,34,75,20,28,1,14,33,7,8,1,898,421,336,225,25,
"Langholm and Eskdale",306,66,128,146,28,406,113,39,133,27,81,71,16,37,6,22,81,7,34,1,9,24,7,8,2,824,354,195,358,63,
"Annandale East",240,60,127,127,16,377,134,54,108,18,69,82,42,44,17,41,77,12,29,5,20,28,8,11,2,745,376,243,322,54,
"Annandale West",168,36,31,93,19,249,67,21,119,14,41,43,6,36,2,25,34,4,42,5,9,20,2,11,3,498,200,66,304,43,
"Annan West",263,68,299,127,15,240,109,109,73,1,57,67,37,13,1,29,72,26,21,0,5,20,6,9,0,591,339,477,240,20,
"Annan East",322,117,293,78,22,454,195,183,72,5,82,128,98,33,1,46,126,66,32,2,14,46,27,11,0,922,611,669,230,31,
"Eastriggs",219,61,79,39,6,398,121,38,33,9,76,63,29,19,1,20,80,7,14,4,8,21,12,3,3,723,344,169,108,23,
"Gretna",319,77,192,56,24,421,141,122,63,6,70,98,50,18,1,48,70,34,17,2,7,28,24,13,1,868,411,418,167,34,
"Westend",453,162,70,234,22,511,196,20,242,5,111,128,11,71,0,54,130,5,53,0,20,58,4,46,1,1151,677,110,646,28,
"Perth Road",173,97,394,546,19,96,96,111,533,6,21,45,39,209,1,10,16,19,124,0,3,9,10,120,0,301,264,571,1532,26,
"Logie and Blackness",280,144,482,723,24,173,153,119,467,4,38,71,29,114,3,15,52,22,93,1,4,17,13,49,0,506,437,666,1449,30,
"City Centre",112,99,389,297,20,89,96,94,401,5,28,52,44,186,2,6,35,17,111,0,12,16,13,62,0,250,297,557,1056,25,
"Docks and Wellgate",218,154,557,404,27,106,148,152,476,9,30,48,53,144,2,8,36,29,90,0,9,26,28,61,2,371,412,815,1174,39,
"Hilltown",120,73,434,319,14,68,50,116,177,4,17,39,78,48,0,5,20,56,34,0,2,18,27,21,0,212,200,712,604,17,
"Clepington",306,217,644,460,26,146,127,211,272,7,18,81,68,81,0,8,50,33,68,4,7,22,22,18,0,485,497,978,899,37,
"Stobswell",246,201,535,811,11,105,131,164,479,7,21,54,67,126,1,11,52,42,73,3,9,29,19,48,1,392,467,823,1533,24,
"Baxter Park",241,76,27,65,7,295,136,13,66,5,50,89,10,19,0,28,81,5,18,1,34,54,2,10,4,651,438,59,178,17,
"Craigie and Craigiebank",345,163,317,113,25,285,149,149,113,4,51,91,24,47,1,17,83,19,25,0,11,30,9,7,0,709,517,521,306,30,
"Douglas West",218,126,489,72,11,155,141,184,78,6,46,102,91,53,2,21,54,47,43,1,7,19,24,15,0,447,443,835,264,22,
"West Ferry",321,74,51,41,4,389,121,12,18,2,61,86,3,11,4,21,71,2,10,3,21,36,2,8,3,812,393,64,88,15,
"Douglas East",165,57,240,26,7,128,79,136,42,3,35,47,76,19,1,10,51,46,24,0,4,20,26,6,0,341,250,524,117,11,
"Broughty Ferry West",547,130,77,309,21,545,185,19,153,10,78,109,10,65,0,51,105,7,32,0,15,42,1,13,0,1236,565,115,575,29,
"Broughty Ferry East",320,78,132,40,8,422,142,32,29,8,84,141,4,21,0,39,116,6,19,0,10,33,0,8,0,878,510,174,117,16,
