SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household composition - 10 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 10 groups, collapsed","One person household: Aged 66 and over","One person household: Aged under 66","One family household: All aged 66 and over","One family household: Couple family: No children","One family household: Couple family: With dependent children","One family household: Couple family: All children non-dependent","One family household: Lone parent: With dependent children","One family household: Lone parent: All children non-dependent","Other household types: With dependent children","Other household types: Other (including all full-time students and all aged 66 and over)","Total",
"Data Zone (2022)",
"S01013583",46,83,20,82,54,28,17,15,5,7,353,
"S01013584",58,80,13,37,36,13,19,14,16,5,297,
"S01013585",76,75,38,74,52,15,16,18,6,11,385,
"S01013586",45,76,20,58,74,24,31,20,5,12,366,
"S01013587",42,35,51,76,84,28,13,13,8,10,352,
"S01013588",5,86,0,77,131,6,28,4,9,5,341,
"S01013589",5,83,6,104,86,9,22,4,5,0,325,
"S01013590",78,97,31,70,70,18,34,24,5,8,436,
"S01013591",40,57,14,39,23,15,26,18,5,6,240,
"S01013592",61,108,20,81,75,27,30,20,3,5,433,
"S01013593",58,67,30,85,59,25,14,14,5,6,358,
"S01013594",18,77,15,61,36,22,7,3,1,2,234,
"S01013595",12,68,10,63,70,19,9,4,1,3,261,
"S01013596",8,22,22,58,99,31,12,6,6,3,264,
"S01013597",30,95,20,96,42,19,10,3,4,4,325,
"S01013598",51,54,32,63,43,19,11,9,4,6,291,
"S01013599",45,36,26,67,24,14,4,5,0,4,225,
"S01013600",54,87,33,78,85,23,13,15,10,5,403,
"S01013601",54,72,51,80,62,21,10,13,3,4,369,
"S01013602",37,57,27,48,42,12,5,4,1,4,231,
"S01013603",18,109,10,81,40,21,16,5,4,2,304,
"S01013604",33,115,11,51,79,13,70,20,10,5,407,
"S01013605",43,73,22,72,56,23,23,16,9,10,356,
"S01013606",37,277,16,112,51,15,15,14,0,10,548,
"S01013607",38,70,17,61,26,15,19,16,3,7,268,
"S01013608",34,117,13,37,22,11,19,17,3,4,283,
"S01013609",45,248,9,78,20,9,27,4,5,11,454,
"S01013610",31,341,7,69,30,6,19,8,4,22,529,
"S01013611",33,86,15,36,54,19,61,22,9,12,348,
"S01013612",86,155,26,65,45,21,42,21,6,9,477,
"S01013613",42,161,10,38,46,7,33,21,5,11,372,
"S01013614",22,97,10,28,41,12,29,24,12,7,280,
"S01013615",19,87,6,32,32,7,38,12,6,11,246,
"S01013616",28,94,15,53,43,18,21,17,2,7,298,
"S01013617",55,129,15,41,59,9,54,13,3,9,388,
"S01013618",41,127,11,51,17,4,9,9,3,23,299,
"S01013619",49,317,7,76,28,2,14,10,4,56,562,
"S01013620",102,299,10,78,32,6,34,9,1,46,614,
"S01013621",13,191,6,92,53,3,14,9,6,90,477,
"S01013622",25,316,4,111,56,5,18,4,3,63,602,
"S01013623",21,256,9,73,18,8,9,6,0,94,495,
"S01013624",9,205,0,62,15,1,0,1,2,73,372,
"S01013625",24,279,1,144,37,5,17,9,7,118,634,
"S01013626",30,187,7,37,30,2,20,19,5,27,361,
"S01013627",41,145,4,56,27,0,1,0,1,44,319,
"S01013628",29,141,4,42,39,2,23,17,5,28,333,
"S01013629",41,365,10,95,34,6,9,0,0,90,652,
"S01013630",33,318,1,78,57,4,12,13,5,68,586,
"S01013631",26,196,6,55,34,4,7,6,4,56,393,
"S01013632",66,164,10,46,15,2,10,2,1,35,348,
"S01013633",12,139,1,62,27,0,11,6,0,69,327,
"S01013634",29,124,8,53,33,4,4,5,5,44,313,
"S01013635",66,203,11,63,31,9,34,14,0,38,467,
"S01013636",42,209,25,117,83,4,6,7,0,32,524,
"S01013637",30,223,7,89,55,7,32,2,2,41,490,
"S01013638",10,127,3,42,12,5,11,5,5,38,256,
"S01013639",11,138,1,50,46,7,33,2,10,43,348,
"S01013640",13,195,1,59,43,1,22,6,3,55,399,
"S01013641",23,137,15,49,24,4,7,4,0,65,328,
"S01013642",7,94,1,25,39,2,23,1,4,32,226,
"S01013643",37,73,15,41,22,4,3,8,3,40,242,
"S01013644",14,96,2,26,39,9,23,12,9,40,270,
"S01013645",14,92,7,33,23,0,4,3,2,62,239,
"S01013646",9,93,5,55,17,6,5,2,1,35,229,
"S01013647",18,187,6,52,16,4,13,4,0,72,368,
"S01013648",86,261,7,112,41,15,25,18,4,43,607,
"S01013649",43,242,8,44,29,1,22,11,5,25,434,
"S01013650",31,167,7,81,20,4,7,9,1,80,409,
"S01013651",109,268,28,77,26,5,25,9,2,35,591,
"S01013652",40,207,14,58,9,2,5,5,0,44,387,
"S01013653",32,64,13,40,18,2,11,11,3,19,212,
"S01013654",38,129,6,41,41,11,20,18,2,32,340,
"S01013655",43,215,14,71,36,18,29,17,6,37,483,
"S01013656",105,96,18,24,20,1,13,16,3,7,302,
"S01013657",9,110,4,39,56,16,60,23,10,16,341,
"S01013658",42,122,12,33,39,9,30,17,5,17,321,
"S01013659",35,228,13,81,57,5,60,15,13,36,544,
"S01013660",32,117,8,46,59,14,50,21,4,23,379,
"S01013661",28,111,14,42,66,8,42,13,8,14,344,
"S01013662",35,90,40,71,30,12,9,12,6,4,307,
"S01013663",42,167,17,31,75,19,44,28,12,13,439,
"S01013664",83,204,19,71,32,10,15,9,4,9,458,
"S01013665",46,101,11,24,79,8,53,15,9,26,376,
"S01013666",12,117,7,41,68,17,49,27,7,18,364,
"S01013667",29,212,10,46,26,7,18,11,3,24,390,
"S01013668",39,162,5,52,25,9,21,10,4,10,341,
"S01013669",32,95,8,46,24,9,16,19,4,6,263,
"S01013670",62,126,27,62,54,2,30,28,0,16,402,
"S01013671",171,98,50,73,48,21,10,15,1,7,495,
"S01013672",33,186,21,109,87,16,12,6,6,57,535,
"S01013673",52,86,7,47,42,13,25,6,1,21,299,
"S01013674",39,113,20,69,43,11,9,6,0,27,338,
"S01013675",55,88,37,75,30,8,7,9,4,21,339,
"S01013676",54,217,20,91,61,14,41,23,7,21,548,
"S01013677",139,172,42,39,49,14,42,18,2,12,530,
"S01013678",46,74,34,42,61,16,12,15,8,13,321,
"S01013679",66,97,25,40,56,24,23,23,4,10,365,
"S01013680",53,123,25,58,52,15,36,23,5,8,399,
"S01013681",72,176,14,46,26,8,26,9,9,10,396,
"S01013682",27,46,13,38,31,5,11,10,3,5,196,
"S01013683",93,97,36,52,50,8,22,9,3,21,393,
"S01013684",39,87,18,42,32,19,35,26,4,6,316,
"S01013685",46,60,36,69,52,19,17,18,3,8,328,
"S01013686",45,67,15,42,44,21,29,15,1,7,280,
