SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Type of accomodation and Household tenure - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Type of accomodation","Whole house or bungalow: Detached",,,"Whole house or bungalow: Semi-detached",,,"Whole house or bungalow: Terraced (including end-terrace)",,,"Flat, maisonette or apartment: Purpose-built block of flats or tenement",,,"Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)",,,"Flat, maisonette or apartment: In a commercial building",,,"Caravan or other mobile or temporary structure",,,"Total",,,
"Household tenure - 3 groups, collapsed","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free",
"Intermediate Zone (2022)",
"Bucksburn South",140,12,14,324,63,33,670,176,80,324,240,422,26,6,11,0,0,1,3,0,19,1488,499,578,
"Bucksburn North",373,16,23,774,117,59,339,102,25,331,430,180,38,6,28,4,1,6,0,2,0,1862,673,323,
"Dyce",417,8,40,739,126,55,342,63,19,239,195,98,7,8,5,0,0,1,0,0,1,1744,392,220,
"Danestone",456,0,22,622,0,39,195,2,22,240,12,128,10,0,4,0,0,1,2,0,0,1524,16,220,
"Oldmachar West",559,4,37,822,25,80,387,40,40,125,49,44,10,0,5,0,0,0,2,0,0,1905,115,207,
"Oldmachar East",632,3,27,940,40,45,144,17,21,64,2,15,5,0,0,0,0,0,0,0,0,1783,68,107,
"Balgownie and Donmouth West",193,9,8,596,102,43,267,87,21,203,170,70,14,3,4,0,0,1,0,2,0,1273,373,147,
"Balgownie and Donmouth East",188,2,10,573,19,37,115,11,17,115,35,72,7,0,5,2,0,0,0,0,0,995,65,141,
"Denmore",549,4,16,545,27,30,247,20,20,118,50,48,5,9,0,0,0,2,0,0,7,1464,112,124,
"East Cairngorms",696,7,251,214,126,98,41,47,26,21,40,21,8,4,13,7,0,10,3,0,1,990,227,420,
"Aboyne and South Deeside",1262,12,182,320,132,62,37,39,10,26,43,18,10,10,12,2,2,7,10,0,1,1665,241,293,
"Mearns and Laurencekirk",678,9,57,254,112,35,109,46,21,26,71,15,7,5,3,8,0,2,0,0,0,1078,243,131,
"Mearns South and Benholm",1042,12,145,341,168,111,180,66,33,12,40,8,4,0,5,5,0,1,4,0,0,1592,286,301,
"Mearns North and Inverbervie",1185,9,126,424,178,82,206,67,15,65,103,26,27,1,7,6,0,3,1,0,0,1914,360,257,
"Fetteresso, Netherley and Catter",1049,4,164,297,42,37,186,10,14,20,16,26,2,0,3,1,0,1,10,0,0,1562,68,248,
"Stonehaven South",621,11,24,442,164,59,393,118,54,192,257,109,32,3,13,2,3,2,0,0,0,1682,559,256,
"Stonehaven North",959,13,50,598,106,49,225,29,22,174,200,120,37,4,19,19,0,12,0,0,0,2006,349,270,
"Newtonhill",601,4,29,417,34,17,135,55,7,1,21,1,4,0,1,0,0,1,0,0,0,1152,114,57,
"Portlethen",637,5,23,816,25,52,86,4,9,101,4,39,1,2,1,0,0,2,2,0,0,1642,42,130,
"Banchory-Devenick and Findon",975,10,80,432,111,41,304,71,21,20,57,12,2,0,2,0,1,0,32,0,11,1768,250,171,
"Dunecht, Durris and Drumoak",1313,6,272,237,86,88,55,35,9,1,9,6,5,1,7,0,0,2,2,0,2,1613,136,386,
"Banchory East",902,13,35,334,103,51,131,97,22,60,91,37,2,4,5,0,0,2,0,0,0,1427,316,150,
"Banchory West",790,6,39,212,77,35,53,32,12,92,17,53,21,3,8,4,0,11,0,0,4,1176,135,160,
"Crathes and Torphins",922,4,220,157,77,55,62,19,16,41,2,21,6,2,9,4,0,1,0,0,0,1192,103,318,
"Cromar and Kildrummy",1063,11,234,183,105,66,38,50,6,10,9,26,9,1,2,2,0,1,5,0,0,1309,176,329,
"Howe of Alford",1613,13,152,356,149,54,114,87,34,37,76,30,8,3,5,6,0,3,4,0,1,2133,328,278,
"Kemnay",514,21,17,430,210,24,169,171,9,30,72,7,14,3,5,2,0,2,0,0,0,1159,477,63,
"Inverurie North",641,10,22,821,203,54,174,56,22,232,151,148,15,2,4,0,1,1,0,0,0,1883,420,251,
"Inverurie South",463,6,43,470,194,73,242,129,39,311,436,221,29,9,16,14,6,14,0,0,0,1526,779,406,
"Inverurie - Harlaw",1248,2,63,256,87,26,95,39,12,8,101,9,3,1,2,0,0,0,0,0,1,1614,230,116,
"Durno and Chapel of Garioch",833,0,57,114,24,26,22,7,12,0,12,0,0,0,5,0,0,0,15,0,3,984,44,101,
"Kintore",1476,4,111,331,81,47,92,28,12,43,126,29,15,1,3,7,1,0,18,0,3,1979,237,205,
"Blackburn",720,3,76,233,55,53,30,20,12,16,31,14,3,0,8,0,0,0,0,0,1,1003,112,164,
"Westhill North and South",1061,11,96,328,55,33,27,26,35,20,32,22,3,0,2,0,0,1,1,0,0,1440,121,189,
"Westhill Central",578,5,22,710,29,38,120,2,15,126,51,77,2,1,5,2,0,1,0,0,0,1538,88,157,
"Garlogie and Elrick",822,8,51,333,72,32,110,17,10,95,13,46,0,2,0,0,2,0,9,1,1,1369,113,142,
"Newmachar and Fintray",1100,5,71,521,127,35,68,25,9,61,32,22,8,2,6,2,0,0,6,0,0,1767,191,146,
"Balmedie and Potterton",1073,17,59,425,71,49,123,22,14,27,62,15,5,0,2,0,0,0,3,0,2,1659,172,143,
"Ellon East",1192,8,65,648,66,56,113,13,18,250,115,141,19,13,9,4,0,6,4,0,0,2228,215,298,
"Ellon West",522,9,18,740,151,61,63,40,5,64,102,45,10,3,8,0,0,0,0,0,0,1401,305,137,
"Ythanside",1260,4,123,251,59,55,92,23,9,28,13,11,9,0,8,1,0,1,0,0,0,1641,98,204,
"Ythsie",1276,8,150,498,125,101,94,76,17,15,33,12,3,1,2,2,0,3,1,0,0,1889,245,291,
"Barrahill",1182,23,115,292,182,47,71,23,8,35,30,9,7,0,0,3,0,0,0,0,0,1590,259,180,
"Fyvie-Rothie",1018,3,132,204,84,51,45,42,14,7,29,3,4,0,5,4,0,6,8,0,1,1288,158,205,
"Insch, Oyne and Ythanwells",974,9,128,251,103,41,90,84,11,36,42,28,7,1,1,4,0,1,8,0,0,1368,239,210,
"Clashindarroch",1274,10,184,213,75,68,40,38,10,10,32,8,2,0,5,1,0,0,8,0,0,1549,159,274,
"Huntly",482,18,40,354,224,70,240,174,43,103,273,83,18,3,18,17,0,9,1,0,0,1215,693,263,
"Auchterless and Monquhitter",759,2,149,132,21,20,7,2,2,2,1,3,0,0,2,0,0,0,3,0,0,904,27,179,
"Turriff",627,12,46,483,171,81,246,105,39,77,144,59,10,10,13,12,1,17,0,0,0,1457,443,253,
"Portsoy, Fordyce and Cornhill",657,14,79,342,160,33,55,31,9,11,82,6,18,7,10,2,0,2,3,0,0,1086,297,135,
"Aberchirder and Whitehills",909,11,113,266,149,56,117,98,11,16,31,15,2,3,3,0,0,4,5,0,1,1316,293,205,
"Banff",465,18,24,429,196,62,223,134,26,42,255,56,24,6,12,12,2,7,0,0,0,1193,613,187,
"Macduff",487,11,18,431,197,37,202,165,26,33,157,23,14,3,8,8,0,8,0,0,2,1171,532,118,
"Gardenstown and King Edward",812,10,98,197,67,49,66,15,11,7,17,5,3,1,4,0,0,2,8,0,4,1095,110,168,
"New Pitsligo",663,6,69,249,112,37,64,52,8,2,17,5,0,1,4,4,0,1,4,1,2,985,181,125,
"Deer and Mormond",1101,8,102,371,136,65,137,74,20,13,38,17,22,2,6,2,0,2,11,0,2,1657,260,218,
"Mintlaw",555,13,20,420,189,36,44,41,8,0,53,11,0,2,0,0,0,0,1,0,0,1021,297,77,
"Auchnagatt",845,4,68,182,41,29,36,21,8,2,23,3,3,0,1,0,0,0,6,0,1,1072,86,115,
"Cruden",837,12,77,506,194,45,184,109,25,51,33,31,10,5,6,1,0,2,0,0,0,1591,358,187,
"Peterhead Links",298,17,13,564,90,44,484,168,50,20,73,29,2,2,1,0,0,0,1,0,0,1373,350,137,
"Peterhead Bay",196,8,11,315,81,23,60,44,12,115,255,74,14,11,13,1,0,2,0,0,1,699,400,140,
"Peterhead Harbour",199,26,44,541,207,76,189,182,47,352,925,287,78,10,72,20,0,13,0,0,0,1379,1347,536,
"Peterhead Ugieside",599,15,27,684,155,70,94,45,20,17,81,18,6,4,5,1,2,1,2,0,0,1406,304,143,
"Longside and Rattray South",1056,9,49,338,69,29,30,27,10,33,21,14,2,0,5,0,0,0,0,0,0,1459,123,105,
"Longside and Rattray North",876,12,85,210,124,26,64,73,12,1,26,5,1,3,4,0,0,1,8,0,0,1158,238,130,
"Rosehearty, Sandhaven and Tyrie",569,14,52,301,137,37,85,59,10,12,71,4,7,4,4,1,0,2,1,0,0,976,285,109,
"Cairnbulg/Inverallochy and Memsie",957,10,83,193,70,13,46,66,3,3,18,2,0,1,0,0,0,0,3,0,0,1205,165,108,
"Fraserburgh Smiddyhill",931,2,27,368,27,32,125,41,15,30,29,29,26,1,9,3,0,0,0,0,0,1482,94,112,
"Fraserburgh Lochpots",74,18,16,192,170,47,185,240,34,16,65,37,4,2,5,0,0,0,0,0,0,474,495,140,
"Fraserburgh Central-Academy",98,9,10,355,96,56,193,64,34,77,233,62,24,10,15,5,0,3,1,0,0,754,412,182,
"Fraserburgh Harbour and Broadsea",90,42,23,292,197,54,169,207,49,96,395,91,18,12,9,0,1,10,7,0,0,672,851,236,
"South Angus",1275,3,88,465,43,58,138,18,14,59,51,38,18,4,6,1,1,0,0,0,1,1960,114,208,
"Monikie and Wellbank",962,4,67,228,47,39,82,15,14,16,4,7,12,0,5,0,0,0,3,0,0,1303,70,132,
"Barry and Panbride",687,4,50,171,61,38,28,7,6,1,0,6,2,0,2,1,0,2,146,0,1,1039,74,107,
"Monifieth West",569,2,17,347,36,27,89,44,24,100,17,23,9,0,3,2,0,2,0,0,0,1116,99,97,
"Monifieth East",875,5,28,609,23,57,179,39,14,273,158,102,29,8,7,0,0,5,3,0,0,1969,230,213,
"Carnoustie West",450,16,39,645,152,129,403,136,80,174,209,127,13,2,8,5,0,6,0,0,0,1690,514,389,
"Carnoustie East",932,6,33,769,95,77,181,34,23,69,66,43,31,0,20,7,2,5,1,0,0,1990,207,197,
"Arbroath Landward",714,0,125,129,18,62,66,16,9,9,42,4,6,0,3,0,0,0,97,0,5,1021,76,208,
"Arbroath Kirkton",740,14,34,504,133,91,351,155,37,81,203,38,2,4,6,1,1,0,0,0,0,1679,510,205,
