SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Type of accomodation and Household tenure - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Type of accomodation","Whole house or bungalow: Detached",,,"Whole house or bungalow: Semi-detached",,,"Whole house or bungalow: Terraced (including end-terrace)",,,"Flat, maisonette or apartment: Purpose-built block of flats or tenement",,,"Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)",,,"Flat, maisonette or apartment: In a commercial building",,,"Caravan or other mobile or temporary structure",,,"Total",,,
"Household tenure - 3 groups, collapsed","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free",
"Intermediate Zone (2022)",
"Newington and Dalkeith Road",58,0,7,177,6,12,93,12,15,454,85,743,125,2,36,3,0,6,0,0,0,910,105,820,
"The Grange",262,0,15,285,3,22,230,4,10,785,55,444,365,17,43,5,0,8,0,0,0,1932,75,536,
"Marchmont East and Sciennes",42,0,5,91,2,12,59,0,10,630,78,996,65,6,17,1,0,6,0,0,0,888,86,1042,
"Marchmont West",19,0,3,13,2,0,34,0,9,844,8,810,59,0,24,2,0,1,0,0,0,974,10,849,
"Morningside East",143,0,5,246,1,11,253,6,15,853,61,626,168,12,22,2,0,0,0,0,0,1667,78,679,
"Merchiston and Greenhill",176,0,16,146,1,8,133,1,5,804,9,517,318,19,36,1,0,2,0,0,0,1578,30,582,
"Bruntsfield",40,0,2,52,2,7,140,5,25,1017,142,1020,138,8,36,0,1,8,1,0,0,1391,157,1104,
"Polwarth",5,0,1,16,2,9,55,5,23,1054,155,1204,6,1,15,2,1,3,0,0,0,1140,164,1253,
"Dalry",4,2,3,4,1,5,33,4,24,469,329,927,9,3,19,6,5,9,0,0,0,528,347,986,
"Fountainbridge",5,2,0,6,0,2,13,10,7,533,493,1127,10,2,18,1,3,5,0,0,1,562,509,1160,
"Tollcross",12,0,5,19,2,0,36,8,17,774,440,1593,20,1,51,18,4,32,4,0,1,884,450,1701,
"Southside",5,1,1,11,2,0,11,0,9,383,49,875,5,5,20,0,0,26,0,0,0,420,58,929,
"Meadows",8,1,2,8,1,7,10,2,7,496,321,1028,11,0,19,3,0,9,0,0,0,539,326,1074,
"Old Town, Princes Street and Leith Street",8,0,4,17,0,2,17,4,16,491,473,1236,32,6,32,12,4,56,0,0,0,576,492,1347,
"Canongate, St. Leonards and Dumbiedykes",6,8,4,8,17,9,36,31,20,547,917,1213,20,17,39,0,12,36,0,1,0,615,1000,1321,
"Abbeyhill",7,1,1,14,2,2,32,5,8,526,305,622,3,5,3,0,0,1,0,0,0,579,319,637,
"Meadowbank and Abbeyhill North",9,3,3,194,5,3,144,11,42,1222,297,1014,10,3,8,0,1,5,1,0,0,1580,318,1079,
"Willowbrae and Duddingston Village",298,2,17,324,9,20,417,10,26,827,88,431,14,4,10,1,0,1,1,0,0,1886,111,507,
"Greendykes",158,22,11,169,54,18,272,94,24,232,327,164,3,0,2,0,1,0,0,3,0,839,501,217,
"Craigmillar",23,32,6,40,83,25,104,131,32,287,601,439,4,7,5,4,3,2,5,2,5,465,859,515,
"Niddrie",33,42,14,200,228,41,204,157,36,184,784,138,3,3,4,1,0,0,1,0,0,626,1214,232,
"Bingham, Magdalene and The Christians",48,23,12,152,77,16,295,156,31,236,513,112,6,14,5,0,1,0,0,0,0,731,784,176,
"Jewel, Brunstane and Newcraighall",474,5,22,560,18,57,516,29,50,149,92,126,3,0,3,1,0,1,0,0,0,1703,144,260,
"Joppa",433,2,20,271,12,17,519,14,22,455,163,139,155,2,27,4,2,0,0,0,0,1837,192,218,
"Portobello",56,3,1,128,14,8,356,17,28,980,227,431,67,0,23,23,1,1,0,0,0,1608,263,493,
"Duddingston and Durhams",865,0,22,330,4,7,94,3,10,142,40,34,43,0,1,2,0,0,0,0,0,1477,48,74,
"Mountcastle",69,0,7,303,0,15,420,13,21,200,52,61,7,0,4,2,0,1,0,0,0,1001,67,107,
"Northfield and Piershill",56,0,1,112,20,7,134,22,12,738,269,334,7,3,2,2,0,1,0,0,0,1049,315,357,
"Craigentinny",485,2,14,332,5,12,186,0,12,114,10,33,16,1,2,1,0,1,0,0,0,1137,17,74,
"Restalrig (Loganlea) and Craigentinny West",29,5,3,82,19,10,57,23,14,687,517,396,4,0,8,0,1,0,0,1,0,860,568,426,
"Restalrig and Lochend",19,10,3,120,42,14,85,31,10,657,747,327,13,4,1,3,0,0,0,0,0,897,834,355,
"Leith (Hermitage and Prospect Bank)",36,0,9,255,3,9,634,4,42,742,80,213,50,0,20,0,0,1,1,0,0,1718,87,287,
"Western Harbour and Leith Docks",32,3,3,33,3,2,125,8,6,1091,598,841,11,2,9,1,0,8,0,0,0,1289,614,868,
"North Leith and Newhaven",19,8,1,75,34,7,162,63,34,1050,645,617,56,2,20,2,0,1,0,0,0,1363,753,682,
"The Shore and Constitution Street",19,6,3,8,2,4,24,6,7,1209,509,1006,53,0,31,10,0,10,0,0,2,1325,522,1061,
"Great Junction Street",5,5,3,16,6,4,44,37,5,778,559,643,34,2,17,5,3,7,0,0,0,879,618,681,
"South Leith",16,2,0,6,10,3,53,5,10,1171,562,981,31,14,17,6,0,4,0,0,0,1286,595,1013,
"Easter Road and Hawkhill Avenue",2,0,2,4,1,1,6,3,3,913,199,894,6,2,8,1,0,0,0,0,0,926,208,907,
"Leith (Albert Street)",5,2,2,6,7,6,17,6,13,578,265,825,0,0,3,0,0,5,0,0,2,606,280,855,
"Hillside and Calton Hill",4,0,0,11,4,4,97,6,34,1317,259,1079,54,17,43,1,0,2,0,0,0,1488,283,1164,
"Pilrig",7,0,4,52,5,9,278,22,30,854,398,803,26,5,23,4,1,10,0,0,0,1222,427,879,
"Bonnington",24,1,1,44,1,5,149,1,12,924,392,503,36,1,12,0,1,2,0,0,0,1174,401,535,
"Trinity East and The Dudleys",45,3,4,180,4,12,386,7,9,654,19,178,84,1,14,2,0,0,0,0,0,1351,31,213,
"Trinity West and Wardie",163,4,6,307,13,14,436,17,26,647,88,276,126,0,19,5,0,3,0,0,0,1684,121,345,
"Inverleith, Goldenacre and Warriston",89,0,9,156,8,13,214,4,15,721,43,196,130,3,18,0,0,2,0,0,0,1309,61,252,
"Broughton North and Powderhall",10,0,2,31,0,6,197,4,14,1015,201,905,48,4,27,1,0,5,0,0,0,1305,208,963,
"Broughton South",13,2,10,57,4,13,216,3,23,957,157,829,16,0,7,2,1,5,0,0,2,1261,166,887,
"New Town East and Gayfield",10,0,8,16,0,12,87,0,21,617,66,552,53,0,34,1,0,4,0,0,1,788,66,630,
"New Town West",10,0,3,16,0,10,110,0,27,626,151,449,233,3,76,5,0,9,0,0,1,1003,154,575,
"Canonmills and New Town North",6,0,0,17,1,8,47,0,13,813,17,728,74,0,26,5,0,0,0,1,0,963,19,774,
"Stockbridge",15,2,4,30,1,7,328,5,92,1244,148,1093,153,2,82,4,0,5,0,0,0,1773,159,1283,
"Comely Bank",11,0,4,24,0,1,87,3,11,868,13,500,130,0,36,1,0,1,0,0,0,1119,16,549,
"Wester Coates",52,4,2,67,14,13,211,16,36,611,38,446,292,0,76,3,0,2,0,0,0,1234,70,574,
"Dean Village",25,1,7,28,0,9,137,1,23,505,54,426,226,2,55,5,0,11,0,0,1,926,63,534,
"Balgreen and Roseburn",140,1,8,207,3,17,403,3,36,835,132,348,18,4,2,1,0,0,0,0,0,1604,140,416,
"Murrayfield and Ravelston",583,0,16,286,1,16,293,2,14,364,6,81,149,0,14,0,0,0,0,0,0,1678,7,145,
"Craigleith, Orchard Brae and Crewe Toll",301,0,12,491,0,21,277,0,22,789,26,341,13,0,3,0,0,1,0,0,0,1873,26,400,
"Blackhall",979,2,37,518,1,13,242,4,9,379,72,150,11,3,7,4,0,6,0,0,0,2139,82,220,
"Drylaw",68,11,12,316,55,41,291,45,26,539,461,190,2,4,5,0,1,4,0,0,0,1216,577,279,
"West Pilton",12,14,6,51,46,26,63,78,20,743,792,519,9,5,9,0,0,1,0,1,1,882,936,582,
"Boswall and Pilton",57,4,8,333,23,54,298,14,23,1152,153,421,12,1,13,6,0,0,0,0,0,1857,193,523,
"Granton South and Wardieburn",10,8,7,16,12,6,10,21,3,303,801,159,3,11,2,1,0,0,0,3,0,344,856,178,
"Granton and Royston Mains",16,11,9,52,6,40,105,23,14,750,866,484,0,8,8,7,0,1,0,0,1,933,914,549,
"Granton West and Salvesen",15,31,8,232,160,57,59,108,29,422,302,306,4,1,5,0,0,0,0,0,1,737,599,409,
"Muirhouse",46,39,10,175,155,42,194,223,38,377,1095,283,6,5,4,0,2,0,0,0,1,798,1519,373,
"Silverknowes and Davidson's Mains",405,1,14,705,1,19,149,4,10,361,17,79,14,0,11,5,0,1,0,0,0,1636,23,136,
"Cramond",461,0,10,75,0,10,197,6,5,207,12,76,4,0,4,0,0,0,0,0,0,944,18,104,
"Barnton, Cammo and Cramond South",850,0,26,193,7,9,163,0,5,397,6,54,17,0,0,0,0,1,0,0,0,1621,12,98,
"Clermiston and Drumbrae",166,27,16,584,100,59,538,102,37,590,389,255,5,6,2,1,0,2,0,0,0,1880,623,371,
"East Craigs North",336,17,40,381,24,51,667,87,69,359,262,187,6,5,9,0,1,0,0,0,0,1750,396,353,
"East Craigs South",940,2,22,594,6,18,175,10,15,273,63,94,6,1,0,2,0,0,0,0,0,1989,81,150,
"Corstorphine North",540,0,11,485,6,16,161,7,11,193,73,58,1,0,2,0,0,0,1,0,0,1381,86,101,
"Corstorphine",497,4,7,556,14,37,282,9,18,619,94,217,49,6,14,12,0,1,0,0,1,2013,127,293,
"Carrick Knowe",104,1,7,107,3,38,123,5,18,538,14,179,10,0,9,0,0,1,0,0,0,882,23,253,
"Corstorphine South",80,0,3,495,0,45,298,4,41,757,47,301,9,0,5,1,0,1,0,0,0,1645,51,396,
"South Gyle and Edinburgh Park",187,4,18,612,13,70,532,19,71,393,75,341,7,0,16,3,0,1,0,0,0,1730,110,514,
"Ratho, Ingliston and Gogar",281,5,13,278,44,32,194,57,17,37,46,31,8,0,5,0,0,0,1,0,0,798,152,98,
"Kirkliston",623,14,19,523,68,35,177,67,21,67,114,42,8,3,4,0,0,2,0,0,0,1399,273,129,
"Dalmeny and Newbridge",624,6,45,204,23,37,282,35,45,144,153,66,6,1,1,0,0,0,0,0,0,1261,218,197,
"Queensferry East",378,7,14,282,30,23,702,57,64,239,81,109,32,0,11,7,0,1,0,0,0,1636,175,224,
"Queensferry West",380,0,11,482,8,26,320,20,33,161,93,74,4,0,9,0,0,0,0,0,0,1347,125,146,
"Tullibody South",421,18,23,434,152,33,195,168,21,112,256,47,9,4,2,0,0,4,1,0,0,1175,598,129,
"Tullibody North and Glenochil",498,28,21,350,211,50,254,181,45,75,166,37,0,0,1,0,0,2,1,5,0,1175,594,152,
"Menstrie",429,5,22,230,33,19,201,61,25,101,51,47,6,0,1,0,0,2,0,0,0,967,150,114,
"Alva",578,17,24,512,106,58,281,108,46,231,258,171,32,4,14,6,0,13,1,0,0,1645,495,326,
"Fishcross, Devon Village and Coalsnaughton",291,4,12,210,107,29,181,70,27,44,99,31,6,0,3,0,0,2,1,0,0,733,272,103,
"Tillicoultry",521,23,15,449,79,35,291,145,40,194,349,130,32,10,9,5,1,7,0,0,0,1491,606,228,
"Dollar and Muckhart",813,6,35,312,57,36,86,21,20,45,28,25,21,3,11,4,2,6,0,0,0,1281,116,137,
"Clackmannan, Kennet and Forestmill",767,22,48,466,207,28,283,137,34,104,149,43,6,0,6,16,0,1,0,0,0,1639,515,160,
"Sauchie",373,44,17,512,247,55,232,185,40,107,411,96,3,6,6,0,1,1,0,1,1,1229,897,214,
"Alloa South and East",87,68,11,222,280,49,253,440,50,160,487,237,25,6,12,13,23,35,0,0,0,762,1303,394,
"Alloa North",598,12,24,632,124,51,383,198,53,195,341,154,4,4,10,0,1,7,0,0,0,1810,685,299,
"Alloa West",409,4,18,419,24,29,142,43,20,229,140,125,57,3,8,1,2,0,0,0,0,1258,216,203,
"Stranraer West",155,42,26,241,125,28,137,59,36,49,316,68,1,3,8,2,0,1,0,0,0,585,549,169,
"Rhins North",821,3,100,210,56,49,80,20,24,16,20,19,7,1,7,5,0,1,4,0,0,1143,96,197,
"Stranraer East",173,1,21,151,35,34,357,66,76,38,148,88,9,16,22,20,3,28,0,0,0,753,266,273,
"Stranraer South",271,28,34,437,239,82,185,88,42,11,87,36,1,2,2,2,1,2,0,0,0,908,445,193,
"Rhins South",524,13,197,391,184,125,169,61,46,7,37,12,6,1,3,3,0,1,2,0,1,1105,299,387,
"Machars North",454,2,138,162,72,52,73,22,21,9,25,16,4,0,17,1,0,1,3,4,0,706,127,245,
"Machars South",878,45,203,343,224,109,354,82,65,26,73,32,6,5,9,17,0,3,1,0,1,1621,428,423,
"Newton Stewart",797,22,119,484,258,117,316,110,70,25,136,63,9,6,20,21,0,5,2,0,1,1659,532,401,
"Gatehouse",643,8,151,275,132,64,213,43,40,16,20,12,6,0,6,5,0,4,1,0,0,1158,203,278,
"Kirkcudbright",919,11,186,370,137,117,288,77,73,33,153,47,21,7,17,16,0,16,3,0,0,1644,383,454,
"Castle Douglas",630,11,106,398,184,117,237,80,67,63,241,87,16,2,16,16,2,12,0,1,0,1355,526,405,
"Dalbeattie",531,12,51,423,155,75,409,118,77,50,152,32,13,4,4,5,0,6,0,0,0,1427,439,248,
"Dalbeattie Rural",712,2,123,131,27,41,28,10,4,9,4,2,4,0,1,0,0,2,13,0,1,894,40,177,
"Glenkens",734,16,179,301,103,81,167,59,39,4,7,9,9,2,4,7,0,6,3,0,0,1224,188,320,
"Upper Nithsdale",308,49,66,466,406,84,346,183,49,21,175,21,4,2,7,8,10,6,0,0,0,1152,826,233,
"Thornhill",590,9,158,359,201,103,272,67,81,4,36,6,3,0,7,1,0,13,0,0,0,1227,310,365,
"Mid Nithsdale",578,6,144,234,77,68,67,22,29,2,4,8,3,0,8,1,0,4,1,0,0,886,109,256,
"Shawhead",699,0,188,186,34,57,75,15,27,3,6,2,2,0,1,0,0,2,25,0,1,992,60,277,
"Lochside and Lincluden",83,65,21,387,364,87,590,376,94,70,643,52,2,2,0,3,0,1,0,0,1,1135,1456,256,
"Summerville",694,31,51,564,201,103,324,119,52,143,507,161,14,7,15,1,0,11,0,0,0,1740,863,394,
"Troqueer",384,6,28,438,74,48,151,30,31,183,101,201,25,0,9,1,0,0,0,0,0,1180,211,315,
"New Abbey",617,4,115,304,102,77,134,31,40,29,16,9,4,0,3,1,0,2,1,0,1,1090,153,247,
"Kingholm",533,9,98,203,57,64,147,29,36,75,48,49,8,1,4,0,0,1,1,0,0,967,144,252,
"Calside",633,2,29,351,6,54,102,13,31,13,11,40,4,0,0,2,0,0,0,0,0,1109,30,156,
"Georgetown",442,4,24,642,8,79,23,2,7,28,6,42,2,0,7,0,0,0,0,0,0,1140,20,153,
"Dumfries Central",80,15,19,158,88,37,206,63,51,315,582,353,32,17,48,22,2,43,0,0,0,814,766,549,
"Nunholm",421,10,25,376,20,33,155,16,33,153,170,163,38,4,31,0,1,3,0,0,0,1148,221,286,
"Locharbriggs",133,20,16,454,68,62,338,119,52,6,37,22,3,0,3,0,0,1,0,0,0,931,247,160,
"Heathhall",478,3,43,409,34,97,120,17,33,2,4,2,2,0,0,0,0,0,0,0,0,1008,59,171,
"Collin",1041,4,69,357,30,50,103,36,15,38,25,23,3,0,2,1,0,2,12,1,1,1557,99,164,
"Lochmaben",618,14,78,184,104,47,239,99,40,14,42,5,8,2,2,3,0,3,0,0,0,1067,261,178,
"Lockerbie",644,29,150,308,169,86,394,200,75,88,189,63,7,2,17,12,0,6,4,0,0,1454,589,397,
"Moffat",684,15,86,290,163,63,215,89,44,63,65,36,49,2,11,16,0,6,5,2,0,1319,336,250,
"Langholm and Eskdale",464,10,133,214,47,95,405,57,112,58,77,57,23,5,19,14,0,5,0,0,0,1178,195,421,
"Annandale East",708,21,193,256,118,91,107,75,44,11,31,32,7,0,11,4,0,0,28,0,2,1121,243,373,
"Annandale West",442,7,197,162,23,114,88,30,25,2,6,3,3,0,4,2,0,0,0,0,0,698,66,343,
"Annan West",204,15,35,278,141,60,373,140,101,65,178,51,9,4,5,1,0,7,0,0,0,926,477,253,
"Annan East",609,22,60,544,277,82,364,208,99,15,157,18,1,4,1,0,1,0,0,0,0,1533,669,261,
"Eastriggs",533,3,40,268,71,38,260,61,40,5,27,6,1,0,4,0,1,0,0,0,0,1066,169,130,
"Gretna",573,49,53,407,174,78,247,158,45,7,37,18,0,3,2,6,0,4,40,0,1,1280,418,201,
"Westend",700,6,29,503,4,66,182,4,49,263,95,449,177,0,79,1,0,0,0,0,0,1826,110,674,
"Perth Road",50,8,19,58,39,81,64,22,94,350,475,1260,47,22,75,2,3,23,0,0,0,568,571,1558,
"Logie and Blackness",137,7,11,185,47,55,86,35,37,453,565,1331,80,13,45,2,0,2,0,0,2,943,666,1481,
"City Centre",39,1,7,110,7,19,37,5,13,302,533,886,53,9,56,6,2,100,0,0,0,547,557,1081,
"Docks and Wellgate",30,11,6,59,53,31,157,50,67,497,681,1030,34,18,26,6,10,48,0,1,0,783,815,1211,
"Hilltown",15,16,7,93,117,23,119,45,24,181,517,544,5,16,17,1,2,6,0,0,2,412,712,622,
"Clepington",103,5,3,78,53,11,76,53,8,719,869,907,0,2,3,4,0,1,0,0,0,982,978,936,
"Stobswell",32,11,10,71,62,26,118,33,35,627,694,1467,9,18,10,4,5,9,0,0,0,859,823,1557,
"Baxter Park",312,5,16,495,25,41,101,2,8,120,27,116,59,0,17,1,0,0,0,0,0,1089,59,195,
"Craigie and Craigiebank",279,3,18,369,58,36,200,73,50,356,374,225,22,9,4,0,0,0,0,0,0,1226,521,336,
"Douglas West",34,7,6,352,134,82,301,84,58,200,605,143,0,2,0,0,1,0,0,0,0,888,835,285,
"West Ferry",537,2,33,443,3,24,22,2,5,147,45,28,53,20,12,0,1,1,0,0,0,1204,64,106,
"Douglas East",15,16,5,256,167,48,290,112,48,29,228,23,0,1,2,0,0,0,0,0,0,591,524,128,
"Broughty Ferry West",531,5,38,498,11,47,183,10,24,435,85,431,149,0,43,7,1,21,0,0,0,1801,115,604,
"Broughty Ferry East",502,0,21,759,7,36,56,13,10,62,149,61,6,5,4,0,0,1,0,0,0,1385,174,133,
"Barnhill",667,6,18,514,24,63,183,45,29,184,135,159,43,3,15,0,0,0,0,0,1,1591,214,285,
"Balgillo",870,0,30,231,8,24,60,8,5,52,2,43,0,0,0,0,0,0,0,0,0,1211,19,102,
"West Pitkerro and Balmossie",417,4,19,608,54,40,98,5,8,71,9,26,4,0,2,0,0,0,0,0,0,1200,72,97,
"Whitfield",58,46,12,474,595,79,339,248,50,86,543,153,2,7,1,1,0,0,0,0,0,960,1446,294,
"Fintry",22,7,3,289,170,42,258,60,42,134,324,45,2,9,1,0,0,0,0,0,0,705,566,133,
"Claverhouse and North Ballumbie",447,12,23,509,140,42,264,91,35,98,95,29,9,3,0,1,1,0,0,0,1,1329,338,131,
"Linlathen and Midcraigie",37,48,10,468,528,70,156,114,25,42,339,36,4,11,6,0,6,6,0,0,0,709,1041,147,
"Caird Park",112,15,11,506,101,32,151,68,25,21,34,15,2,1,1,0,0,0,0,0,0,792,216,87,
"Kirkton",199,30,15,530,359,51,239,111,33,32,39,21,8,5,2,0,0,1,0,0,0,1005,547,123,
"Downfield",269,18,16,929,140,60,354,37,45,130,77,49,21,1,10,0,0,3,1,0,0,1705,273,183,
"Fairmuir",230,13,8,520,100,27,188,13,17,241,131,155,45,4,8,1,2,4,0,0,0,1225,263,220,
"Law",101,22,16,185,81,30,147,75,31,919,1199,867,22,4,18,1,0,8,0,0,0,1378,1378,966,
"Balgay",249,6,16,640,15,43,70,16,16,276,172,201,8,3,7,0,0,0,0,0,1,1246,211,284,
"Menzieshill",77,9,23,217,67,54,276,65,64,351,660,366,5,19,2,0,1,1,0,0,0,924,816,508,
"Charleston",10,10,15,373,173,89,294,83,66,130,644,107,5,2,0,0,0,2,0,0,0,815,915,283,
"Lochee",137,9,15,511,167,75,311,99,38,220,855,238,13,12,14,5,3,15,0,6,0,1200,1150,392,
"Ardler and St Marys",205,41,14,651,586,86,356,210,35,65,484,58,2,3,0,0,0,0,0,0,0,1278,1322,193,
"Western Edge",986,0,38,524,12,42,67,3,12,94,4,36,10,0,6,2,0,0,0,0,0,1683,20,131,
"Doon Valley South",148,13,21,199,162,28,148,222,21,108,221,58,10,1,0,6,0,4,0,0,0,615,623,134,
"Doon Valley North",371,29,28,471,207,48,269,234,36,44,66,27,4,0,0,2,0,1,0,0,0,1160,533,141,
"Mauchline Rural",636,16,86,366,114,59,304,150,56,114,272,92,13,2,11,6,0,2,1,0,0,1440,560,305,
"Drongan",215,19,8,341,154,37,218,273,54,35,51,18,0,0,0,2,0,0,0,0,0,811,501,120,
"Mauchline",557,14,38,323,87,49,255,95,39,122,108,46,4,6,6,1,0,2,0,0,0,1263,309,178,
"Cumnock Rural",677,26,108,404,266,61,211,189,28,65,39,24,8,1,3,4,0,1,2,0,0,1369,520,226,
"New Cumnock",185,24,15,283,238,52,97,140,20,100,122,33,1,2,1,0,1,1,0,0,0,671,523,122,
"Cumnock South and Craigens",197,32,19,435,176,58,418,228,65,123,305,93,0,4,1,3,0,0,0,0,0,1176,745,236,
"Cumnock North",571,17,44,405,67,49,183,70,41,58,184,46,5,6,6,4,0,2,1,0,0,1230,350,190,
"Auchinleck",196,30,21,347,199,35,250,241,51,74,173,38,3,14,2,2,2,0,0,0,0,875,659,145,
"Northern and Irvine Valley Rural",1437,10,71,370,91,41,263,89,30,29,59,18,37,0,8,1,0,1,2,0,0,2141,249,165,
"Stewarton East",628,25,21,319,29,18,308,33,55,138,80,130,16,7,8,10,0,9,0,0,0,1422,174,246,
"Stewarton West",273,8,18,224,69,23,212,91,24,71,62,63,2,0,0,0,0,0,0,0,0,783,229,132,
"Darvel",413,5,6,435,77,37,262,60,46,78,145,85,13,0,6,3,1,3,0,0,0,1202,288,184,
"Newmilns",217,10,6,241,80,35,233,64,26,57,189,63,22,6,11,5,0,1,0,0,0,775,349,142,
"Galston",381,10,17,547,96,42,299,111,38,155,295,106,11,1,9,12,0,5,0,0,0,1405,511,217,
"Earlston and Hurlford Rural",380,20,36,489,218,51,457,249,60,110,237,82,18,2,3,1,2,8,0,0,2,1450,727,240,
"Shortlees",30,87,7,475,447,98,120,163,30,81,343,49,3,9,1,0,0,0,0,0,0,710,1045,183,
"Bellfield and Kirkstyle",27,18,5,561,236,67,431,209,53,123,235,101,0,0,1,0,0,0,0,0,0,1142,699,229,
"Kilmarnock South Central and Caprington",110,6,4,447,73,26,124,52,13,184,260,192,4,2,4,7,0,4,0,0,0,877,395,242,
"Piersland",173,2,9,560,50,25,115,8,13,285,115,222,40,0,7,1,0,0,0,0,0,1170,174,272,
"New Farm Loch South",117,7,11,181,74,15,466,196,57,22,184,24,0,1,0,0,1,1,0,0,0,792,463,107,
"Dean and New Farm Loch North",206,21,7,244,77,61,534,203,124,38,49,27,0,6,1,0,2,0,0,0,0,1022,357,220,
"Southcraig and Beansburn",1405,2,55,651,7,36,43,5,17,38,14,29,5,0,0,2,0,0,0,0,0,2143,29,137,
"Altonhill North and Onthank",142,46,13,339,382,68,271,373,48,38,222,33,1,14,3,1,0,0,0,0,1,795,1030,172,
"Altonhill South, Longpark and Hillhead",197,53,17,387,396,58,131,248,39,171,445,168,11,6,2,0,1,0,0,0,0,893,1148,285,
"Bonnyton and Town Centre",120,7,8,309,85,22,113,34,17,501,337,420,10,5,12,9,0,7,1,0,0,1062,467,486,
"Grange, Howard and Gargieston",1081,0,27,832,24,37,91,15,5,266,15,172,46,0,3,1,0,2,0,0,1,2319,52,250,
"Crosshouse, Gatehead and Kilmaurs Rural",712,8,18,590,76,45,219,68,21,104,119,75,5,0,3,2,0,4,2,1,4,1633,267,168,
"Kilmaurs",299,16,16,329,95,32,182,76,24,41,75,21,4,4,0,1,0,1,0,0,0,855,269,94,
"West Clober and Mains Estate",564,0,13,243,7,7,125,6,15,45,7,23,1,0,0,0,0,0,1,0,0,980,20,53,
"East Clober and Mains Estate",139,8,15,453,118,23,292,143,32,138,98,40,9,1,0,0,0,1,0,0,1,1032,366,116,
"Barloch",430,0,6,479,5,16,98,12,7,278,38,89,11,3,3,2,0,0,0,0,0,1297,61,116,
"Keystone and Dougalston",720,6,11,478,27,21,92,32,4,314,139,91,9,7,2,1,3,4,0,0,0,1617,214,136,
"Kilmardinny East",633,0,3,569,3,19,41,2,2,130,34,24,2,0,0,0,0,0,0,0,0,1375,41,48,
"Kilmardinny West",821,0,13,239,0,6,59,18,7,188,87,44,25,5,4,11,0,1,0,0,0,1340,106,72,
"North Castlehill and Thorn",719,2,14,484,0,21,230,5,20,113,14,23,1,1,0,0,0,0,0,0,0,1547,24,78,
"South Castlehill and Thorn",680,3,10,546,20,21,105,20,10,124,51,31,23,0,1,4,0,0,0,0,0,1482,98,73,
"Westerton West",191,0,6,550,0,21,314,19,17,18,27,6,0,0,0,3,0,0,0,0,0,1077,46,52,
"Westerton East",662,3,6,314,8,6,144,3,10,224,9,41,12,0,2,3,0,0,0,0,0,1356,20,65,
"Kessington West",713,0,9,271,0,12,39,1,1,246,7,45,12,0,0,1,0,0,0,0,0,1281,9,67,
"Kessington East",635,0,16,350,7,21,26,8,1,46,1,14,2,2,3,0,0,2,0,0,0,1059,17,53,
"Torrance and Balmore",660,2,27,209,22,20,71,23,8,57,44,14,1,0,3,1,0,0,1,0,0,998,91,71,
"Bishopbriggs North and Kenmure",593,2,12,1235,17,47,71,6,6,104,9,26,8,1,0,0,0,0,0,0,0,2009,36,90,
"Bishopbriggs West and Cadder",715,2,17,1041,8,31,294,12,23,297,56,70,4,3,1,0,0,5,0,0,1,2354,82,148,
"Auchinairn",480,7,19,496,100,54,380,107,47,332,344,142,2,5,6,1,0,1,15,0,0,1710,563,260,
"Woodhill East",263,0,5,562,3,24,46,0,11,15,5,10,0,0,0,0,0,2,0,0,0,883,5,55,
"Woodhill West",561,0,14,841,2,50,77,2,10,106,17,43,3,0,4,0,0,1,0,0,0,1588,21,122,
"Lenzie North",782,6,22,713,73,28,186,53,21,80,65,33,62,0,0,2,0,0,0,0,0,1823,198,104,
"Lenzie South",599,0,12,535,3,34,68,3,3,73,0,32,25,0,4,0,0,0,0,0,0,1300,7,83,
"Kirkintilloch South",336,1,5,498,87,21,96,23,5,180,129,108,7,0,0,0,0,1,1,0,0,1118,240,149,
"Kirkintilloch West",501,6,17,422,34,22,122,42,28,413,270,233,23,1,8,4,10,10,2,0,0,1485,364,319,
"Hillhead",95,23,3,361,208,35,229,185,47,186,486,122,0,2,6,0,0,1,0,0,0,869,901,209,
"Rosebank and Waterside",902,4,19,706,22,27,159,43,19,199,71,46,2,2,1,0,0,0,0,0,0,1967,146,106,
"Twechar and Harestanes East",206,3,6,428,96,20,290,150,22,50,115,24,4,0,0,1,0,0,0,0,0,980,370,71,
"Harestanes",84,11,7,148,55,15,626,155,62,90,157,58,2,0,0,0,0,0,0,0,1,950,376,142,
"Milton of Campsie",689,7,19,457,48,27,139,61,15,143,60,21,4,0,3,2,0,0,0,0,0,1441,177,85,
