SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household size - 5 groups, collapsed and Household composition - 4 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household size - 5 groups, collapsed","One person",,,,"Two people",,,,"Three people",,,,"Four people",,,,"Five or more people",,,,
"Household composition - 4 groups, collapsed","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types","One person household","One family household: Couple family","One family household: Lone parent","Other household types",
"Data Zone (2022)",
"S01013543",431,0,0,0,0,92,21,22,0,24,11,9,0,17,2,0,0,9,3,7,
"S01013544",427,0,0,0,0,97,19,17,0,12,4,8,0,11,1,1,0,4,0,0,
"S01013545",257,0,0,0,0,102,12,25,0,28,4,5,0,24,0,4,0,0,0,0,
"S01013546",335,0,0,0,0,75,18,19,0,6,3,10,0,12,0,0,0,4,0,1,
"S01013547",417,0,0,0,0,101,11,21,0,21,7,5,0,9,0,0,0,11,0,0,
"S01013548",166,0,0,0,0,59,12,8,0,7,5,5,0,12,2,3,0,6,0,1,
"S01013549",160,0,0,0,0,96,12,8,0,29,9,4,0,35,0,1,0,5,0,2,
"S01013550",205,0,0,0,0,170,22,18,0,45,7,6,0,32,2,0,0,11,2,0,
"S01013551",103,0,0,0,0,126,15,1,0,48,4,2,0,56,0,3,0,18,1,4,
"S01013552",72,0,0,0,0,95,6,4,0,40,7,3,0,47,0,1,0,12,1,1,
"S01013553",150,0,0,0,0,127,18,4,0,50,2,2,0,47,0,6,0,22,0,7,
"S01013554",153,0,0,0,0,114,8,11,0,40,7,7,0,54,2,4,0,14,0,2,
"S01013555",146,0,0,0,0,65,6,4,0,38,3,2,0,43,1,2,0,7,0,2,
"S01013556",241,0,0,0,0,99,10,3,0,31,7,7,0,22,0,1,0,10,0,1,
"S01013557",397,0,0,0,0,121,16,23,0,41,1,1,0,22,2,0,0,6,0,0,
