SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household size - 5 groups, collapsed and Household tenure - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household size - 5 groups, collapsed","One person",,,"Two people",,,"Three people",,,"Four people",,,"Five or more people",,,
"Household tenure - 3 groups, collapsed","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free","Owned","Social Rented by Council (LA) or Housing Association/ Registered Social Landlord","Private rented or living rent free",
"Data Zone (2022)",
"S01013557",180,33,184,58,6,97,26,0,21,7,0,18,2,0,4,
"S01013558",159,6,185,50,2,93,8,0,21,5,0,16,0,0,2,
"S01013559",119,9,129,54,1,33,23,0,12,14,0,6,5,0,1,
"S01013560",102,1,22,134,1,19,43,0,8,37,0,10,10,0,3,
"S01013561",99,37,139,38,9,131,5,4,19,7,3,11,4,0,10,
"S01013562",104,9,101,36,6,96,3,6,34,0,3,4,0,0,3,
"S01013563",111,11,118,36,4,85,6,0,12,6,2,6,0,0,2,
"S01013564",97,104,105,30,26,74,14,11,14,2,7,7,0,6,9,
"S01013565",96,38,258,22,2,78,12,3,20,2,1,6,0,0,1,
"S01013566",59,53,132,23,24,62,7,4,10,1,2,7,1,0,3,
"S01013567",71,42,141,25,15,73,0,8,16,4,0,5,1,1,5,
"S01013568",51,46,94,25,18,77,6,4,15,2,6,10,0,0,4,
"S01013569",86,28,114,36,6,84,15,1,15,3,1,3,3,1,9,
"S01013570",83,18,84,47,8,71,15,6,10,11,0,3,3,0,8,
"S01013571",89,2,76,56,0,76,12,0,11,11,1,15,3,0,4,
"S01013572",128,7,64,53,4,61,18,1,11,10,0,7,2,0,1,
"S01013573",95,52,105,26,13,37,9,3,5,7,0,4,0,0,1,
"S01013574",171,9,131,63,11,80,14,0,12,12,1,9,2,0,4,
"S01013575",102,9,94,71,3,53,22,2,10,22,0,6,3,0,5,
"S01013576",127,20,137,28,0,50,3,1,7,4,0,4,0,0,0,
"S01013577",94,0,21,128,0,20,48,0,6,37,0,11,4,0,9,
"S01013578",144,99,78,65,24,64,12,3,23,6,0,3,0,1,1,
"S01013579",136,103,71,108,10,42,37,2,9,29,0,10,8,0,0,
"S01013580",141,70,74,95,3,43,19,1,12,23,0,8,8,5,8,
"S01013581",138,2,27,126,0,24,35,0,12,31,0,4,5,0,3,
"S01013582",68,61,9,58,29,9,26,9,4,18,11,4,6,5,2,
"S01013583",85,31,16,103,18,7,33,14,8,25,5,2,3,4,0,
"S01013584",57,86,3,43,31,7,20,16,4,8,13,2,1,3,5,
"S01013585",100,42,9,124,16,6,37,6,5,24,5,3,6,3,1,
"S01013586",85,27,8,78,28,5,42,17,4,33,13,8,7,7,4,
"S01013587",65,3,9,134,6,8,54,9,4,45,2,2,12,0,2,
"S01013588",72,5,14,72,8,20,55,12,8,57,0,5,13,0,4,
"S01013589",78,3,5,106,10,12,51,6,5,45,2,0,1,0,0,
"S01013590",103,60,8,94,41,10,42,25,7,28,5,1,8,1,2,
"S01013591",45,41,12,42,33,8,23,12,0,13,3,2,0,0,1,
"S01013592",100,64,9,87,41,10,49,13,6,27,10,1,10,4,0,
"S01013593",98,17,10,120,11,6,42,12,3,33,2,1,5,1,1,
"S01013594",77,2,13,78,0,4,27,0,2,16,0,4,9,0,0,
"S01013595",78,1,0,78,0,5,41,0,4,30,0,7,11,0,4,
"S01013596",29,0,0,83,0,4,51,0,3,72,0,3,14,0,2,
"S01013597",102,4,20,120,1,6,35,0,3,30,0,0,4,0,1,
"S01013598",78,17,7,98,7,7,31,4,3,31,0,1,7,0,1,
"S01013599",71,3,6,97,3,1,26,0,2,14,0,2,0,0,0,
"S01013600",109,16,12,120,10,4,58,3,2,49,0,2,11,1,2,
"S01013601",97,20,10,125,19,7,41,5,1,30,4,4,6,0,0,
"S01013602",78,5,6,77,2,5,23,4,1,15,2,2,6,2,0,
"S01013603",105,3,15,99,2,11,35,2,4,19,0,2,4,3,0,
"S01013604",79,56,18,52,67,15,26,36,10,17,20,5,6,1,2,
"S01013605",52,53,11,81,35,13,35,11,6,18,18,4,5,11,3,
"S01013606",111,84,114,60,48,48,18,12,4,10,12,7,6,6,6,
"S01013607",67,22,19,73,20,10,19,8,3,12,8,2,1,0,1,
"S01013608",44,87,22,36,34,14,8,14,4,13,3,1,0,3,1,
"S01013609",109,112,76,53,38,28,16,16,6,2,2,1,0,2,2,
"S01013610",101,103,166,51,14,50,7,4,11,8,6,8,0,2,1,
"S01013611",37,74,7,47,62,6,9,38,5,13,20,4,6,14,1,
"S01013612",90,118,34,64,52,15,17,34,4,6,25,3,0,16,1,
"S01013613",39,142,22,27,63,9,15,27,8,3,12,0,1,4,0,
"S01013614",24,91,5,26,39,4,14,16,3,13,21,2,4,16,2,
"S01013615",15,80,7,23,40,5,4,25,4,3,11,2,5,19,2,
"S01013616",44,58,20,53,31,13,22,12,3,10,13,4,3,7,1,
"S01013617",24,149,11,17,72,1,9,37,2,3,36,1,3,23,0,
"S01013618",57,59,52,39,17,35,8,4,10,5,4,6,0,0,2,
"S01013619",112,112,142,41,18,84,11,2,22,5,3,2,1,5,2,
"S01013620",75,220,104,21,46,78,11,18,17,5,7,7,0,0,2,
"S01013621",79,27,98,38,8,127,6,5,40,8,0,19,1,2,21,
"S01013622",115,81,145,45,20,112,8,8,32,12,0,15,0,0,8,
"S01013623",90,57,132,38,9,121,11,2,24,0,1,2,1,0,3,
"S01013624",81,28,108,24,4,84,10,0,24,1,1,7,0,0,1,
"S01013625",115,55,129,76,19,174,10,6,21,4,10,5,0,0,8,
"S01013626",34,155,28,21,41,34,4,19,5,4,10,9,1,1,1,
"S01013627",48,45,93,21,6,61,6,3,20,2,0,7,0,0,6,
"S01013628",57,70,47,23,40,34,4,28,13,0,9,5,3,4,4,
"S01013629",119,134,157,45,17,113,5,4,27,5,4,10,5,2,1,
"S01013630",70,162,119,29,27,94,7,16,28,2,10,10,1,0,6,
"S01013631",68,45,115,33,8,66,10,6,17,4,3,9,4,2,7,
"S01013632",38,121,69,22,12,46,1,0,25,1,0,4,2,1,3,
"S01013633",40,43,68,25,10,101,8,5,11,0,0,13,1,0,0,
"S01013634",82,19,52,49,2,56,15,3,13,8,0,8,7,0,4,
"S01013635",91,114,60,37,52,57,14,18,7,6,3,2,0,3,3,
"S01013636",151,42,58,119,9,50,35,0,11,32,0,7,7,1,3,
"S01013637",96,67,87,40,22,90,10,11,18,7,15,18,3,0,5,
"S01013638",38,61,41,24,20,39,6,7,10,1,0,6,2,0,4,
"S01013639",44,51,54,15,33,51,9,30,18,1,14,6,5,6,4,
"S01013640",48,73,87,23,26,67,4,21,25,3,8,10,0,2,4,
"S01013641",75,5,78,51,0,44,19,2,27,2,2,16,3,0,6,
"S01013642",31,14,57,12,17,27,6,10,13,1,7,6,2,23,2,
"S01013643",69,1,35,53,0,26,8,2,23,6,0,12,2,0,6,
"S01013644",28,49,35,23,17,15,6,25,28,1,14,3,1,17,5,
"S01013645",45,10,51,27,2,41,10,3,16,3,3,11,4,4,11,
"S01013646",29,16,57,27,9,49,6,2,15,2,3,11,0,0,7,
"S01013647",51,41,112,33,11,61,5,4,26,4,3,9,1,2,8,
"S01013648",71,224,47,52,72,58,13,37,8,6,9,0,0,0,3,
"S01013649",31,218,36,12,59,27,5,17,6,1,8,3,0,3,2,
"S01013650",73,58,67,37,14,103,11,3,21,0,5,6,0,2,7,
"S01013651",52,242,80,30,77,50,8,15,19,7,5,5,0,0,5,
"S01013652",89,77,81,32,18,63,4,4,4,1,3,1,2,0,0,
"S01013653",48,20,28,34,13,33,7,12,9,4,2,5,2,0,0,
"S01013654",29,96,45,11,41,39,10,15,13,6,13,9,6,1,5,
"S01013655",52,160,46,45,58,46,5,26,12,8,20,4,0,1,3,
"S01013656",43,140,18,13,50,10,1,18,2,3,6,0,0,2,0,
