SuperWEB2(tm)

"Household"
"Data Zone (2022) by Number of cars or vans and Type of accomodation - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans","Number of cars or vans in household: No cars or vans",,,"Number of cars or vans in household: One car or van",,,"Number of cars or vans in household: Two cars or vans",,,"Number of cars or vans in household: Three cars or vans",,,"Number of cars or vans in household: Four or more cars or vans",,,
"Type of accomodation - 3 groups, collapsed","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure","Whole house or bungalow","Flat, maisonette or apartment","Caravan or other mobile or temporary structure",
"Data Zone (2022)",
"S01015063",8,6,0,91,23,0,92,6,0,8,0,0,1,0,0,
"S01015064",20,23,0,99,12,0,108,0,0,32,0,0,11,1,0,
"S01015065",4,1,0,88,2,0,138,0,0,16,0,0,4,0,0,
"S01015066",6,3,0,55,3,0,89,2,0,18,0,0,8,0,0,
"S01015067",28,4,0,90,8,0,57,3,0,14,0,0,2,0,0,
"S01015068",7,16,0,74,35,0,92,6,0,11,2,0,10,0,0,
"S01015069",4,1,0,49,1,0,115,0,0,20,0,0,6,0,0,
"S01015070",21,5,0,112,13,0,73,4,0,10,0,0,3,0,0,
"S01015071",8,30,0,78,97,0,71,26,0,8,4,0,0,1,0,
"S01015072",6,37,0,77,56,0,57,9,0,13,0,0,5,0,0,
"S01015073",37,17,0,128,58,0,128,11,0,21,2,0,8,1,0,
"S01015074",37,12,0,126,14,0,60,0,0,14,0,0,1,0,0,
"S01015075",40,21,0,132,25,0,52,11,0,12,2,0,2,0,0,
"S01015076",53,25,0,131,34,0,51,20,0,15,2,0,4,0,0,
"S01015077",61,17,0,124,9,0,49,3,0,14,2,0,4,0,0,
"S01015078",25,55,0,120,99,0,89,29,0,9,3,0,8,2,0,
"S01015079",11,108,0,27,71,0,6,26,0,3,2,0,0,2,0,
"S01015080",24,24,0,134,53,0,124,9,0,27,2,0,8,0,0,
"S01015081",14,4,0,138,5,0,125,0,0,22,0,0,7,0,0,
"S01015082",13,4,0,143,7,0,94,2,0,28,0,0,4,0,0,
"S01015083",31,5,0,149,10,0,102,4,0,35,1,0,9,0,0,
"S01015084",14,7,0,86,44,0,79,5,0,17,0,0,12,0,0,
"S01015085",74,13,0,112,9,0,62,1,0,17,0,0,2,0,0,
"S01015086",74,135,0,160,70,0,33,17,0,13,2,0,1,0,0,
"S01015087",33,9,0,75,8,0,50,3,0,20,1,0,4,0,0,
"S01015088",14,15,0,112,63,1,114,17,0,31,4,0,12,0,0,
"S01015089",8,1,0,61,2,0,133,0,0,28,0,0,13,0,0,
"S01015090",72,26,0,157,20,0,90,6,0,12,1,0,3,0,0,
"S01015091",60,4,0,97,2,0,43,0,0,12,0,0,0,0,0,
"S01015092",20,4,0,146,25,0,156,5,0,36,1,0,11,1,0,
"S01015093",55,15,0,110,15,0,62,13,0,20,0,0,4,0,0,
"S01015094",34,44,0,85,63,0,62,22,0,18,10,0,7,0,0,
"S01015095",5,8,2,84,1,3,135,1,1,35,0,0,9,0,0,
"S01015096",24,11,0,82,34,0,96,12,0,14,5,0,4,0,0,
"S01015097",18,23,0,91,60,0,54,10,0,11,0,0,4,0,0,
"S01015098",32,14,0,121,27,0,111,2,0,20,1,0,3,1,0,
"S01015099",44,0,0,142,0,0,117,4,0,28,0,0,6,0,0,
"S01015100",22,32,0,149,29,0,114,5,0,34,2,0,8,0,0,
"S01015101",49,62,0,132,81,0,79,23,0,16,4,0,6,0,0,
"S01015102",48,29,0,107,40,0,62,14,0,10,2,0,6,0,0,
"S01015103",64,90,0,118,101,1,62,21,0,16,2,0,4,0,0,
"S01015104",26,44,0,116,85,0,112,19,0,12,5,0,5,0,0,
"S01015105",28,11,0,72,24,0,45,6,0,11,1,0,4,2,0,
"S01015106",18,1,0,92,0,0,75,0,0,23,0,0,3,0,0,
"S01015107",41,16,0,140,24,0,125,14,1,23,3,0,15,0,0,
"S01015108",56,0,0,188,14,0,143,7,0,37,2,0,17,0,0,
"S01015109",34,49,0,62,39,0,20,12,0,8,1,0,2,2,0,
"S01015110",32,39,0,90,70,0,64,9,0,19,0,0,5,0,0,
"S01015111",48,88,0,44,104,0,28,36,0,5,0,0,0,0,0,
"S01015112",25,55,0,37,48,0,37,9,0,11,2,0,2,0,0,
"S01015113",57,52,0,100,53,0,55,7,0,10,1,0,8,0,0,
"S01015114",45,37,0,113,68,0,51,9,0,10,2,0,3,0,0,
"S01015115",49,7,0,119,20,0,66,10,0,11,3,0,5,0,0,
"S01015116",12,0,0,87,1,0,94,0,0,25,0,0,6,0,0,
"S01015117",6,1,0,87,2,0,83,0,0,14,0,0,9,0,0,
"S01015118",41,15,0,140,12,0,132,5,0,33,0,0,4,2,0,
"S01015119",39,18,0,139,66,0,153,11,0,35,0,0,14,0,0,
"S01015120",9,0,0,101,0,0,126,0,0,26,0,0,4,0,0,
"S01015121",2,1,0,41,7,0,93,9,0,24,0,0,15,0,0,
"S01015122",12,1,0,74,1,0,81,0,0,30,0,0,20,0,0,
"S01015123",31,7,0,148,19,0,167,7,0,37,1,0,20,0,0,
"S01015124",41,47,0,155,58,0,100,7,0,22,5,0,8,1,0,
"S01015125",78,13,0,133,22,0,69,5,0,14,0,0,4,0,0,
"S01015126",49,9,0,122,13,0,69,5,0,22,0,0,6,0,0,
"S01015127",7,13,0,78,57,0,137,11,0,31,2,0,9,0,0,
"S01015128",33,4,0,60,14,0,51,1,0,16,0,0,5,0,0,
"S01015129",7,5,0,64,6,0,157,0,0,25,0,0,12,0,0,
"S01015130",30,3,0,81,3,0,62,0,0,18,2,0,8,0,0,
"S01015131",90,31,1,144,15,0,65,5,0,15,0,0,7,0,0,
"S01015132",37,117,0,32,123,0,33,29,0,9,5,0,0,1,0,
"S01015133",43,65,0,126,61,0,95,10,0,34,1,0,11,0,0,
"S01015134",22,0,0,89,4,0,67,2,0,26,0,0,8,1,0,
"S01015135",47,4,0,136,3,0,81,2,0,19,0,0,7,0,0,
"S01015136",51,73,2,119,60,0,78,10,0,18,0,0,6,1,0,
"S01015137",43,120,0,59,84,0,22,17,0,8,0,0,3,3,0,
"S01015138",34,62,0,78,75,0,58,29,0,16,4,0,5,0,0,
"S01015139",148,23,0,135,16,0,76,5,0,13,0,0,1,0,0,
"S01015140",121,27,0,124,15,0,39,4,0,9,0,0,0,0,0,
"S01015141",117,45,0,106,35,0,58,4,0,9,1,0,1,0,0,
"S01015142",57,262,0,77,150,0,24,21,0,6,1,0,2,1,0,
"S01015143",45,112,0,138,116,0,70,18,0,17,0,0,9,0,0,
"S01015144",23,16,0,130,30,0,74,4,0,14,2,0,6,2,0,
"S01015145",33,23,0,147,20,0,122,2,0,29,0,0,6,0,0,
"S01015146",22,97,0,44,94,0,33,18,0,8,2,0,6,0,0,
"S01015147",33,11,0,79,6,0,52,1,0,13,1,0,5,0,0,
"S01015148",54,8,0,126,12,0,50,2,0,13,0,0,6,0,0,
"S01015149",36,34,0,73,28,0,40,8,0,7,0,0,1,0,0,
"S01015150",15,7,0,82,6,0,72,3,0,22,0,0,7,0,0,
"S01015151",27,11,0,116,23,0,143,3,0,29,0,0,6,0,0,
"S01015152",38,6,0,154,10,0,99,2,0,28,2,0,9,0,0,
"S01015153",18,23,0,73,36,0,59,11,0,15,0,0,8,1,0,
"S01015154",24,79,0,89,129,0,90,30,0,23,5,0,3,1,0,
"S01015155",11,36,0,63,84,0,51,21,0,12,2,0,6,0,0,
"S01015156",20,25,0,103,53,0,94,11,0,20,1,0,7,0,0,
"S01015157",28,42,0,86,37,0,39,3,0,6,0,0,4,0,0,
"S01015158",47,13,0,132,6,0,70,0,0,18,1,0,1,0,0,
"S01015159",28,84,0,55,29,0,47,2,0,8,0,0,7,0,0,
"S01015160",91,144,0,137,78,0,40,6,0,7,1,0,4,0,0,
"S01015161",51,7,0,208,7,0,131,1,0,28,0,0,11,0,0,
"S01015162",26,0,0,99,6,0,79,2,0,20,0,0,9,0,0,
"S01015163",21,1,0,123,2,0,124,1,1,34,0,0,24,0,0,
"S01015164",40,14,0,180,24,0,122,6,1,21,0,0,10,0,0,
"S01015165",63,136,0,94,62,0,38,11,0,6,1,0,0,1,0,
"S01015166",73,71,0,194,32,0,78,7,0,19,4,0,7,0,0,
"S01015167",66,18,0,161,20,0,96,6,0,21,1,0,5,0,0,
"S01015168",99,15,0,199,13,0,63,2,0,19,0,0,7,0,0,
"S01015169",91,55,0,207,19,0,93,5,0,18,1,0,7,0,0,
"S01015170",38,4,0,135,4,0,74,1,0,11,0,0,3,0,0,
"S01015171",66,10,0,181,5,0,84,2,0,17,0,0,2,0,0,
"S01015172",63,6,1,223,7,1,141,2,0,36,1,0,13,0,0,
"S01015173",47,1,0,136,1,0,54,0,0,15,0,0,5,0,0,
"S01015174",48,2,0,171,6,2,130,0,2,29,0,0,16,0,0,
"S01015175",42,7,0,127,9,0,72,0,0,22,0,0,12,0,0,
"S01015176",28,11,0,141,12,0,106,4,0,23,0,0,7,0,0,
"S01015177",48,31,0,174,21,3,137,5,0,25,1,0,19,1,0,
"S01015178",38,1,0,134,2,0,97,1,0,31,0,0,11,0,0,
"S01015179",17,0,0,125,4,0,101,2,1,26,0,0,14,1,0,
"S01015180",21,0,0,120,5,0,79,1,0,26,1,1,19,0,0,
"S01015181",71,34,0,212,28,0,80,5,0,17,0,0,12,2,0,
"S01015182",36,5,0,136,13,0,96,0,0,26,3,0,12,0,0,
"S01015183",20,0,0,108,3,0,109,0,0,34,0,0,8,0,0,
"S01015184",50,9,0,217,17,1,136,1,0,34,2,0,19,0,0,
"S01015185",82,16,0,165,10,0,88,3,0,18,0,0,6,0,0,
"S01015186",20,5,0,116,7,0,74,1,0,24,1,0,6,0,0,
"S01015187",71,50,0,202,24,0,99,1,0,17,0,0,7,0,0,
"S01015188",40,40,0,85,29,0,39,9,0,9,0,0,6,0,0,
"S01015189",21,6,0,136,13,0,91,0,0,19,1,0,4,0,0,
"S01015190",55,21,0,112,13,0,49,1,0,17,0,0,3,1,0,
"S01015191",24,17,0,112,14,0,48,3,0,19,1,0,3,0,0,
"S01015192",84,14,0,154,8,0,81,0,0,16,0,0,7,0,0,
"S01015193",24,4,0,143,4,2,124,1,0,30,2,1,11,0,0,
"S01015194",45,2,0,184,10,0,78,2,0,22,2,0,6,0,0,
"S01015195",17,4,0,84,0,0,76,1,0,23,0,0,12,0,0,
"S01015196",76,12,0,234,15,1,115,6,0,28,0,0,11,0,0,
"S01015197",17,0,0,95,2,0,86,1,0,25,0,0,18,0,0,
"S01015198",22,3,0,149,8,0,145,4,0,50,2,0,15,0,0,
"S01015199",35,1,0,128,1,0,79,2,0,21,0,0,6,0,0,
"S01015200",59,61,0,158,58,0,42,8,0,6,0,0,1,1,0,
"S01015201",61,11,0,219,9,0,99,0,0,20,4,0,6,1,0,
"S01015202",53,45,0,115,49,1,63,11,0,13,0,0,7,1,0,
"S01015203",39,6,0,133,17,0,97,0,0,21,0,0,8,0,0,
"S01015204",16,1,0,94,1,0,94,0,0,30,0,1,9,0,0,
"S01015205",29,4,0,123,9,0,88,4,0,40,0,0,15,0,0,
"S01015206",15,3,0,105,4,0,84,3,0,22,0,0,5,0,1,
"S01015207",17,0,0,74,5,0,61,0,0,21,0,0,11,0,0,
"S01015208",73,28,0,166,33,0,102,8,1,20,2,0,11,2,0,
"S01015209",35,66,0,178,57,0,114,6,0,30,2,0,15,0,0,
"S01015210",72,28,0,210,45,0,102,11,0,25,2,0,7,2,0,
"S01015211",61,61,0,186,76,0,105,25,0,21,2,0,8,2,0,
"S01015212",18,3,0,112,3,0,109,2,0,30,1,0,16,0,0,
"S01015213",31,7,0,132,8,0,82,3,0,29,0,0,16,0,0,
"S01015214",98,33,0,177,37,0,94,10,0,20,0,0,9,1,0,
"S01015215",67,6,0,167,4,0,93,3,0,30,0,0,8,0,0,
"S01015216",53,57,0,150,53,0,88,16,0,13,3,0,8,0,0,
"S01015217",109,14,0,212,7,0,118,1,0,30,0,0,4,0,0,
"S01015218",28,5,0,206,4,3,185,1,2,48,2,0,36,0,0,
"S01015219",37,1,0,118,3,4,138,0,5,38,0,0,22,0,0,
"S01015220",16,2,0,81,1,1,91,0,0,24,0,0,15,0,0,
"S01015221",21,0,0,125,4,0,104,2,0,22,0,0,15,0,0,
"S01015222",27,2,0,122,1,0,100,1,0,27,0,0,18,0,0,
"S01015223",35,1,0,123,3,0,115,3,0,39,0,0,11,0,0,
"S01015224",55,6,0,221,4,0,118,12,0,40,3,0,11,0,0,
"S01015225",15,1,0,158,3,1,116,1,3,26,1,0,20,1,0,
"S01015226",61,23,0,79,15,0,66,1,0,12,0,0,8,0,0,
"S01015227",139,24,0,219,20,0,61,4,0,12,1,0,11,0,0,
"S01015228",103,2,0,116,6,0,38,2,0,5,0,0,5,0,0,
"S01015229",46,0,0,124,2,0,65,3,0,22,0,0,6,0,0,
"S01015230",38,45,0,81,27,0,32,4,0,10,1,0,3,0,0,
"S01015231",95,30,0,179,27,0,89,9,0,21,1,0,10,1,0,
"S01015232",21,4,0,96,0,0,60,0,0,20,0,0,11,0,0,
"S01015233",16,1,0,136,3,0,108,1,0,31,0,0,20,0,0,
"S01015234",76,16,0,215,24,0,106,3,0,31,1,0,12,0,0,
"S01015235",82,3,0,171,3,0,82,0,0,21,0,0,6,0,0,
"S01015236",41,0,0,143,5,0,123,0,0,34,0,0,13,0,0,
"S01015237",43,2,0,161,2,0,116,4,0,27,2,0,13,0,0,
"S01015238",31,3,0,186,5,0,140,0,0,49,1,0,29,0,0,
"S01015239",17,0,0,91,0,0,108,0,0,32,0,0,14,0,0,
"S01015240",8,1,0,66,1,0,108,2,0,33,0,0,17,0,0,
"S01015241",22,1,0,124,5,0,107,1,0,31,1,1,12,0,0,
"S01015242",18,0,0,129,1,1,125,2,1,38,0,0,13,0,0,
"S01015243",13,1,4,143,0,18,128,0,0,39,0,0,16,0,0,
"S01015244",38,4,0,133,3,0,152,0,0,44,0,0,23,0,0,
"S01015245",18,0,0,80,2,0,93,0,0,35,0,0,10,0,0,
"S01015246",56,2,1,111,0,0,50,0,0,13,0,0,2,2,0,
"S01015247",97,1,0,184,8,0,77,0,0,10,0,0,5,0,0,
"S01015248",109,93,0,117,34,0,38,8,0,4,1,0,3,0,0,
"S01015249",83,79,0,68,29,0,19,0,0,4,0,0,0,1,0,
"S01015250",74,97,0,82,34,0,32,7,0,12,1,0,3,0,0,
"S01015251",75,86,0,125,37,0,27,8,0,8,0,0,2,0,0,
"S01015252",72,49,0,98,34,0,47,2,0,5,0,0,1,0,0,
"S01015253",72,35,0,86,48,0,41,6,0,5,4,0,2,0,0,
"S01015254",39,31,0,77,23,0,34,7,0,6,1,0,6,1,0,
"S01015255",10,1,0,99,1,0,107,0,0,22,0,0,3,0,0,
"S01015256",10,2,0,59,1,0,77,2,0,24,0,0,2,0,0,
"S01015257",105,42,0,133,38,0,58,7,0,10,2,0,3,0,0,
"S01015258",41,240,0,75,138,0,12,31,0,4,4,0,0,0,0,
"S01015259",49,57,0,82,33,0,46,3,0,16,0,0,3,0,0,
"S01015260",79,13,0,270,4,0,112,4,0,45,0,0,10,0,0,
"S01015261",86,103,0,163,38,0,76,5,0,9,2,0,3,0,0,
"S01015262",36,41,0,111,36,0,67,7,0,17,1,0,8,0,0,
"S01015263",48,2,0,150,5,0,119,3,0,33,0,0,10,0,0,
"S01015264",34,65,0,110,96,0,67,21,0,5,5,0,0,0,0,
"S01015265",39,2,0,122,8,0,80,4,0,27,0,0,6,1,0,
"S01015266",30,34,0,98,48,0,57,9,0,8,0,0,4,1,0,
"S01015267",39,73,0,71,116,0,26,20,0,9,6,0,0,0,0,
"S01015268",68,7,0,204,29,0,134,6,0,23,2,0,14,0,0,
"S01015269",43,1,0,121,0,0,107,0,0,37,0,0,14,0,0,
"S01015270",55,3,0,163,2,0,155,3,0,48,0,0,17,0,0,
"S01015271",29,3,0,95,4,2,66,2,0,18,0,0,8,0,0,
"S01015272",14,0,0,84,0,0,108,2,0,31,2,0,16,0,0,
"S01015273",22,1,0,105,3,0,91,2,0,29,0,0,13,0,0,
"S01015274",55,11,0,182,7,1,114,0,0,27,0,0,3,0,0,
"S01015275",36,72,0,117,71,0,86,13,0,27,0,0,9,2,0,
"S01015276",45,19,0,129,25,0,74,4,0,20,0,0,5,0,0,
"S01015277",27,6,0,126,7,0,77,1,0,25,0,0,1,0,0,
"S01015278",35,0,0,120,0,0,121,0,0,31,0,0,12,0,0,
"S01015279",47,1,0,170,2,0,122,1,0,30,1,0,6,0,0,
"S01015280",25,2,0,181,2,0,117,0,0,32,0,0,8,0,0,
"S01015281",26,20,0,132,37,0,80,6,0,10,1,0,3,0,0,
"S01015282",29,0,0,145,1,0,78,0,0,15,0,0,5,0,0,
"S01015283",27,7,0,166,5,0,118,1,0,25,0,0,7,0,0,
"S01015284",45,98,0,95,126,0,54,23,0,11,5,0,1,3,0,
"S01015285",32,53,0,62,44,0,39,12,0,7,0,0,3,0,0,
"S01015286",53,289,0,86,185,0,30,9,0,5,5,0,5,0,0,
"S01015287",21,171,0,31,135,0,18,21,0,1,0,0,0,0,0,
"S01015288",36,157,0,50,75,0,25,8,0,3,1,0,2,1,0,
"S01015289",28,29,0,104,41,0,91,9,0,17,0,0,4,0,0,
"S01015290",30,7,0,172,24,0,128,6,0,21,2,0,9,0,0,
"S01015291",46,67,0,168,92,0,105,10,0,20,0,0,4,0,0,
"S01015292",30,142,0,63,132,0,31,12,0,10,1,0,0,0,0,
"S01015293",33,17,0,98,7,0,51,0,0,7,0,0,6,0,0,
"S01015294",58,0,0,103,0,0,51,1,0,12,0,0,5,0,0,
"S01015295",77,20,0,132,5,0,64,0,0,16,0,0,4,0,0,
"S01015296",29,2,0,128,10,0,86,3,0,19,0,0,4,0,0,
"S01015297",28,0,0,149,0,0,89,0,0,9,0,0,5,0,0,
"S01015298",51,2,0,116,0,0,55,0,0,14,0,0,8,0,0,
"S01015299",25,1,0,109,2,0,79,0,0,21,0,0,7,0,0,
"S01015300",27,0,0,119,1,0,80,1,0,28,0,0,4,0,0,
"S01015301",25,0,0,111,0,0,71,0,0,14,0,0,4,0,0,
"S01015302",19,2,0,119,2,0,108,0,0,13,0,0,7,0,0,
"S01015303",16,3,0,143,4,0,161,4,0,27,2,0,5,0,0,
"S01015304",9,4,0,160,13,0,194,4,0,25,0,0,6,0,0,
"S01015305",43,23,0,133,24,0,105,3,0,18,1,0,13,0,0,
"S01015306",27,3,0,90,5,3,102,0,0,36,0,0,20,0,0,
"S01015307",18,1,2,121,2,9,156,0,4,57,1,0,21,0,0,
"S01015308",14,0,0,108,1,1,105,0,0,28,0,0,14,0,0,
"S01015309",71,18,0,231,20,2,127,5,0,40,1,0,12,0,0,
"S01015310",59,12,0,199,23,0,131,4,0,32,2,0,11,0,0,
"S01015311",20,1,0,80,0,0,86,0,0,32,0,0,17,0,0,
"S01015312",31,0,0,176,3,0,94,0,0,31,0,0,10,0,0,
"S01015313",74,72,0,173,68,0,91,9,0,21,2,0,2,0,0,
"S01015314",79,19,0,170,20,1,102,1,1,25,0,0,10,0,0,
"S01015315",54,63,0,124,69,0,76,21,0,13,1,0,6,0,0,
"S01015316",93,17,0,183,7,1,94,1,0,21,0,0,7,0,0,
"S01015317",22,0,0,123,4,1,106,0,0,30,0,0,21,0,0,
"S01015318",54,1,0,163,1,0,127,0,0,33,0,0,12,1,0,
"S01015319",49,40,2,168,68,0,89,11,0,17,4,0,8,1,0,
"S01015320",65,17,0,175,47,0,77,12,1,23,1,0,4,0,0,
"S01015321",75,11,0,173,27,0,83,6,0,27,0,0,2,0,0,
"S01015322",13,1,0,82,0,0,85,0,2,30,0,0,13,0,0,
"S01015323",26,4,0,131,7,0,105,3,0,35,0,0,15,0,0,
"S01015324",35,42,0,121,49,0,74,9,0,12,2,0,8,0,0,
"S01015325",54,24,0,133,51,0,72,14,0,18,2,0,3,2,0,
"S01015326",61,9,0,143,27,0,66,0,0,12,0,0,4,0,0,
"S01015327",39,3,0,183,3,0,117,1,0,52,1,0,19,0,0,
"S01015328",18,0,0,73,0,2,91,0,0,35,0,0,16,0,0,
"S01015329",20,6,3,97,11,8,78,4,3,29,0,0,11,1,0,
"S01015330",35,2,1,135,1,0,161,4,0,32,2,0,9,0,0,
"S01015331",76,22,1,207,33,8,115,5,4,35,0,0,23,0,0,
"S01015332",24,0,0,122,3,0,118,2,0,38,0,0,21,0,0,
"S01015333",22,0,0,127,0,0,135,2,0,40,0,0,18,0,0,
"S01015334",6,1,0,89,1,0,58,0,0,21,1,0,10,0,0,
"S01015335",14,2,0,94,0,0,74,0,0,16,0,0,13,0,0,
"S01015336",44,3,0,143,4,0,125,0,0,27,0,0,12,0,0,
"S01015337",128,33,0,163,34,0,45,6,0,6,1,0,1,0,0,
"S01015338",57,67,0,100,50,0,66,6,0,21,0,0,2,0,0,
"S01015339",93,64,0,184,46,0,76,2,0,21,2,0,12,0,0,
"S01015340",91,5,0,166,4,0,101,0,0,16,0,0,6,0,0,
"S01015341",71,31,0,97,23,0,38,2,0,11,1,0,3,0,0,
"S01015342",58,4,0,135,3,0,79,0,0,17,0,0,6,0,0,
"S01015343",10,0,0,82,0,0,61,0,0,14,0,0,7,0,0,
"S01015344",24,1,0,121,4,0,94,0,0,23,0,0,11,0,0,
"S01015345",108,20,0,205,11,0,87,4,0,14,0,0,8,0,0,
"S01015346",51,44,0,129,20,0,58,0,0,17,0,0,13,0,0,
"S01015347",97,15,0,181,9,0,83,2,0,13,0,0,2,0,0,
"S01015348",8,1,0,76,2,0,94,0,0,35,0,0,17,0,0,
"S01015349",32,0,0,112,5,0,110,0,0,22,0,0,6,0,0,
"S01015350",14,1,0,90,1,0,84,2,0,22,2,0,15,0,0,
"S01015351",45,2,0,128,3,0,94,2,0,23,0,0,10,0,0,
"S01015352",96,18,0,217,6,0,149,0,0,27,0,0,17,0,0,
"S01015353",21,0,1,80,4,0,85,0,0,35,0,0,19,0,0,
"S01015354",54,2,0,144,9,1,114,0,0,22,0,0,10,2,0,
"S01015355",113,13,1,138,17,0,56,2,0,15,0,0,7,0,0,
"S01015356",73,12,4,172,8,30,59,4,4,18,0,0,5,0,0,
"S01015357",30,0,0,153,3,0,102,0,0,24,0,0,9,0,0,
"S01015358",40,2,0,116,0,0,59,0,0,10,0,0,3,0,0,
"S01015359",34,17,0,152,45,0,96,21,0,21,0,0,10,0,0,
"S01015360",34,35,0,109,31,0,75,7,0,12,0,0,5,3,0,
"S01015361",25,8,0,144,34,0,108,12,0,23,1,0,8,0,0,
"S01015362",18,15,0,83,32,0,76,16,0,17,6,0,4,2,0,
"S01015363",35,31,0,107,53,0,64,10,0,7,0,0,5,1,0,
"S01015364",23,83,0,83,116,0,48,22,0,9,6,0,4,1,0,
"S01015365",17,202,0,53,192,0,26,38,0,8,9,0,1,0,0,
"S01015366",12,121,0,20,103,0,11,20,0,4,1,0,0,2,0,
"S01015367",31,153,0,36,111,0,13,38,0,5,8,0,1,1,0,
"S01015368",3,188,0,4,63,0,0,15,0,1,4,0,0,0,0,
"S01015369",15,140,0,20,117,0,7,40,0,6,9,0,2,1,0,
"S01015370",21,157,0,29,138,0,20,30,0,0,5,0,5,5,0,
"S01015371",4,246,0,12,121,0,9,28,0,2,3,0,1,0,0,
"S01015372",36,230,0,58,137,0,35,26,0,12,0,0,1,1,0,
"S01015373",11,283,0,19,237,0,12,26,0,1,1,0,0,1,0,
"S01015374",15,255,2,27,94,0,17,16,0,2,2,0,4,1,0,
"S01015375",22,261,0,30,265,0,13,31,0,1,6,0,2,0,0,
"S01015376",28,276,0,33,155,0,25,35,0,7,1,0,2,0,0,
"S01015377",22,214,0,30,138,0,6,19,0,4,2,0,0,0,0,
"S01015378",33,60,0,132,75,0,82,28,0,14,3,0,7,1,0,
"S01015379",8,189,0,10,85,0,0,21,0,1,3,0,1,0,0,
"S01015380",3,115,0,32,84,0,9,26,0,3,4,0,0,0,0,
"S01015381",18,107,0,57,128,0,30,32,0,8,8,0,0,2,0,
"S01015382",7,287,0,17,140,0,4,26,0,2,3,0,2,0,0,
"S01015383",8,182,0,7,74,0,1,15,0,1,8,0,0,2,0,
"S01015384",3,262,0,6,100,0,1,36,0,0,10,0,0,0,0,
"S01015385",15,140,0,57,222,0,26,58,0,3,0,0,0,1,0,
"S01015386",35,163,0,29,120,0,12,19,0,3,3,0,1,0,0,
"S01015387",32,150,0,22,89,0,11,11,0,0,0,0,0,0,0,
"S01015388",4,286,0,6,156,0,6,31,0,1,0,0,0,1,0,
"S01015389",34,254,1,28,92,0,9,10,0,3,2,0,2,0,0,
"S01015390",25,237,0,24,123,0,6,23,0,0,5,0,0,0,0,
"S01015391",19,90,0,29,52,0,14,14,0,3,1,0,0,2,0,
"S01015392",35,155,2,72,61,0,26,12,0,4,5,0,2,1,0,
"S01015393",42,137,0,76,87,0,22,10,0,1,1,0,1,1,0,
"S01015394",33,332,0,46,153,0,13,20,0,2,0,0,0,0,0,
"S01015395",26,200,0,36,108,0,15,11,0,2,1,0,1,0,0,
"S01015396",21,126,0,37,146,0,38,36,0,0,4,0,2,1,0,
"S01015397",35,203,0,54,170,0,29,29,0,5,0,0,0,3,0,
"S01015398",9,303,0,57,206,0,28,25,0,2,1,0,1,0,0,
"S01015399",4,283,0,7,184,0,2,42,0,0,0,0,1,0,0,
"S01015400",24,191,0,18,91,0,3,14,0,1,0,0,0,0,0,
"S01015401",3,260,0,4,157,0,1,26,0,0,1,0,0,2,0,
"S01015402",30,248,0,28,141,0,18,13,0,3,2,0,1,2,0,
"S01015403",36,261,0,41,128,0,12,19,0,3,2,0,3,1,0,
"S01015404",9,311,0,19,159,0,12,27,0,2,3,0,1,0,0,
"S01015405",13,259,0,24,180,0,16,23,0,0,0,0,0,0,0,
"S01015406",6,201,0,6,166,0,2,20,0,2,0,0,0,0,0,
"S01015407",13,190,0,26,162,0,8,35,0,1,5,0,0,0,0,
"S01015408",10,148,0,34,107,0,16,25,0,1,0,0,0,1,0,
"S01015409",31,49,0,97,65,0,96,13,0,29,0,0,2,0,0,
"S01015410",44,33,0,130,48,0,93,11,0,18,0,0,4,0,0,
"S01015411",32,11,0,157,26,0,86,6,0,29,4,0,5,0,0,
"S01015412",24,19,0,55,40,0,43,13,0,19,0,0,8,2,0,
"S01015413",28,105,0,84,147,0,37,36,0,7,3,0,5,0,0,
"S01015414",62,39,0,127,62,0,61,9,0,13,2,0,4,0,0,
"S01015415",40,80,0,52,41,0,39,3,0,4,0,0,4,0,0,
"S01015416",26,37,0,79,50,0,42,14,0,9,0,0,1,0,0,
"S01015417",52,95,0,101,58,0,36,9,0,13,0,0,0,0,0,
"S01015418",30,88,0,78,94,0,49,20,0,8,0,0,2,0,0,
"S01015419",56,119,0,104,85,0,38,22,0,7,6,0,1,0,0,
"S01015420",66,110,0,71,67,0,29,12,0,1,1,0,0,0,0,
"S01015421",28,104,0,71,62,0,26,6,0,8,0,0,1,0,0,
"S01015422",63,69,0,111,45,0,48,4,0,15,0,0,4,0,0,
"S01015423",36,34,0,86,10,0,34,5,0,2,0,0,0,0,0,
"S01015424",41,120,0,70,68,0,22,5,0,7,0,0,1,0,0,
"S01015425",28,5,0,141,3,0,82,3,0,16,0,0,5,1,0,
"S01015426",35,7,0,156,25,0,111,4,0,24,1,0,11,1,0,
"S01015427",25,14,0,102,37,0,100,15,0,17,3,0,9,0,0,
"S01015428",33,95,0,90,79,0,64,10,0,12,0,0,3,1,0,
