SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household composition - 4 groups, collapsed and Type of accomodation"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 4 groups, collapsed","One person household",,,,,,,"One family household: Couple family",,,,,,,"One family household: Lone parent",,,,,,,"Other household types",,,,,,,"Total",,,,,,,
"Type of accomodation","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure",
"Intermediate Zone (2022)",
"South Angus",267,178,71,103,13,1,0,1000,319,79,36,13,2,0,55,46,12,9,0,0,0,47,22,7,0,0,0,0,1369,565,169,150,26,3,0,
"Monikie and Wellbank",158,80,38,12,13,0,3,798,193,54,9,4,0,0,48,33,12,5,0,0,0,26,6,7,1,0,0,0,1033,314,111,27,19,0,3,
"Barry and Panbride",96,63,14,4,0,0,59,592,147,19,3,4,3,87,37,57,6,3,0,0,0,19,4,2,0,0,0,1,744,270,42,10,4,3,147,
"Monifieth West",135,125,58,76,7,0,0,406,235,57,48,5,1,0,34,36,33,7,0,0,0,13,13,5,5,0,0,0,588,410,157,140,12,3,0,
"Monifieth East",180,231,94,362,24,3,0,658,381,106,123,13,2,3,52,63,28,39,1,0,0,18,14,4,9,2,0,0,908,689,232,534,44,6,3,
"Carnoustie West",108,303,229,303,11,0,0,339,507,279,127,9,8,0,31,102,97,73,0,1,0,31,20,10,12,0,0,0,507,926,615,514,25,11,0,
"Carnoustie East",210,298,91,101,18,6,0,683,520,130,47,30,6,1,52,103,13,20,2,2,0,26,20,4,6,0,0,0,971,941,238,177,51,15,1,
"Arbroath Landward",180,67,21,23,2,0,52,606,124,53,20,5,0,48,29,18,11,7,2,0,1,28,2,2,1,1,0,0,839,209,91,55,9,0,98,
"Arbroath Kirkton",137,236,224,198,7,0,0,578,382,244,73,4,4,0,52,92,66,46,1,0,0,20,19,5,6,0,0,0,787,728,543,322,12,4,0,
"Arbroath Keptie",136,110,107,318,30,1,1,331,222,158,119,26,3,0,29,27,27,43,4,0,0,13,8,4,15,2,0,0,509,372,296,495,62,2,1,
"Arbroath Harbour",54,94,207,1053,85,26,0,89,112,239,309,24,31,0,9,29,53,132,9,2,0,6,13,7,38,6,6,0,158,248,503,1533,121,65,0,
"Arbroath Cliffburn",87,208,202,213,6,0,0,242,436,302,121,1,0,0,31,130,121,76,3,1,0,12,20,24,21,2,1,0,375,794,652,431,14,2,0,
"Arbroath Warddykes",37,149,260,353,6,3,0,115,282,389,171,11,0,1,9,71,75,105,2,0,0,7,18,20,16,0,0,0,166,516,747,645,20,3,1,
"Lunan",113,149,115,91,21,1,1,370,208,101,28,11,2,0,17,32,25,21,2,0,0,11,14,2,0,0,0,0,507,403,243,145,35,3,1,
"Montrose South",61,136,169,1006,114,27,0,153,205,202,342,63,22,1,12,43,51,163,13,3,0,7,7,15,32,8,1,0,234,401,437,1542,198,56,1,
"Montrose North",126,136,243,326,21,8,0,384,233,376,72,12,7,0,33,57,86,43,1,1,0,11,8,9,10,0,0,0,554,436,718,451,37,15,0,
"Hillside",173,121,72,25,4,1,22,626,200,106,12,4,1,25,53,41,35,11,1,0,1,23,2,6,0,0,0,1,875,365,219,49,8,2,50,
"Friockheim",230,109,60,16,12,1,4,645,230,72,10,7,2,1,26,33,14,8,0,0,0,24,14,3,0,2,0,0,924,386,151,33,21,3,7,
"Brechin East",44,130,114,437,23,7,0,117,236,166,166,26,0,1,13,57,48,53,6,2,0,7,15,6,13,0,1,1,178,434,334,669,57,12,2,
"Brechin West",154,190,99,251,43,14,0,402,267,141,73,42,11,0,29,65,33,43,6,0,0,10,5,2,8,5,0,0,598,527,275,371,97,22,0,
"Letham and Glamis",375,197,108,49,7,2,1,1192,318,120,17,4,2,0,72,39,29,7,0,2,0,61,10,6,0,1,0,0,1700,569,263,73,14,4,3,
"Forfar East",191,171,92,270,19,3,0,627,300,128,59,11,5,0,38,50,22,44,3,2,0,25,20,3,7,0,0,0,882,541,245,380,33,10,0,
"Forfar Central",75,144,245,562,36,26,0,152,227,212,229,18,21,1,22,59,57,117,3,4,1,15,17,4,29,1,3,0,260,447,518,933,58,50,2,
"Forfar West",107,197,320,266,8,7,0,290,316,374,91,8,1,0,36,69,105,63,1,0,0,10,12,8,8,0,0,0,442,594,806,431,13,8,0,
"Kirriemuir Landward",191,117,54,24,2,0,3,480,166,78,17,2,3,1,24,26,15,4,0,0,0,26,4,5,1,1,0,1,721,314,152,48,5,3,7,
"Kirriemuir",241,271,173,423,24,16,0,731,368,194,119,12,13,0,51,71,45,97,1,0,0,22,12,10,11,2,0,0,1048,726,422,647,39,26,0,
"Angus Glens",288,122,60,14,7,3,0,712,186,45,8,4,1,2,54,22,13,3,0,0,0,36,4,1,1,0,0,0,1094,334,115,26,12,4,2,
"Mull, Iona, Coll and Tiree",382,148,46,118,19,9,15,701,205,64,47,10,11,8,53,34,8,7,0,3,0,59,13,2,6,0,0,0,1193,400,120,176,29,23,21,
"Oban South",150,188,91,715,27,6,1,361,374,92,352,6,3,0,30,73,25,123,1,0,0,26,31,10,36,5,1,0,569,668,215,1226,38,12,1,
"Oban North",99,94,70,320,30,23,0,210,106,92,141,12,12,0,18,22,17,55,2,0,0,10,5,8,18,0,0,0,337,229,185,536,43,32,0,
"Benderloch Trail",204,84,36,32,4,1,0,474,137,25,11,4,1,6,44,20,2,1,0,0,0,27,11,4,0,0,0,0,746,252,69,40,8,2,8,
"Glen Lonan",192,162,48,53,4,0,3,462,210,107,53,10,4,11,35,47,32,13,0,0,0,43,22,5,1,0,0,3,732,447,189,121,16,4,17,
"Loch Awe",176,104,80,9,2,1,8,443,142,62,6,2,4,5,31,22,13,1,0,2,0,27,6,4,1,0,1,0,678,274,159,12,4,7,17,
"Mid Argyll",201,136,73,39,16,7,16,482,223,103,38,12,5,6,26,35,10,6,0,0,0,30,10,5,3,2,0,1,743,404,187,86,29,12,23,
"Greater Lochgilphead",103,211,173,305,24,14,0,297,270,169,75,19,8,1,23,60,71,35,1,0,0,13,4,5,5,2,0,0,436,548,421,420,47,22,1,
"Knapdale",201,108,32,156,38,1,4,420,139,35,51,15,4,0,27,21,7,22,6,1,0,18,5,3,3,0,0,1,662,273,79,230,62,10,6,
"Whisky Isles",205,224,169,100,12,1,1,361,277,201,18,6,6,11,26,32,35,8,2,1,0,21,23,9,2,0,0,0,611,556,414,131,19,8,12,
"Kintyre Trail",222,170,83,8,4,0,0,534,203,92,7,3,9,1,25,19,21,2,0,0,0,39,21,1,2,1,1,0,817,413,197,19,10,7,0,
"Campbeltown",129,188,162,605,41,8,0,234,300,186,216,18,6,0,16,52,24,88,2,0,0,16,8,4,19,1,0,0,399,552,374,931,62,15,0,
"Bute",115,94,16,241,84,2,2,291,158,34,146,59,1,1,11,16,10,17,2,0,0,22,8,0,8,5,1,0,439,279,62,416,145,5,3,
"Rothesay Town",41,105,107,770,49,15,0,63,164,127,265,52,7,0,5,41,33,69,7,1,0,6,9,8,22,2,0,2,109,319,275,1126,113,23,2,
"Cowal South",489,210,66,135,99,4,5,888,303,96,60,83,7,7,39,37,15,11,7,0,0,55,13,6,1,6,1,0,1471,563,183,205,195,12,12,
"Hunter's Quay",211,201,115,420,91,2,14,516,253,105,175,76,3,7,42,69,49,68,13,2,0,37,21,15,4,4,0,0,805,544,285,667,184,6,19,
"Dunoon",192,177,111,433,115,11,1,370,193,107,129,113,7,1,42,49,45,65,21,2,0,25,17,6,9,8,1,2,627,439,269,636,257,21,3,
"Garelochhead",184,93,159,126,34,8,12,512,176,276,56,51,5,12,33,37,70,18,6,0,1,31,10,17,1,2,0,0,757,312,524,197,93,11,25,
"Helensburgh West and Rhu",183,59,73,229,53,0,0,729,206,118,125,53,1,0,43,31,21,43,5,1,0,30,11,4,2,3,0,0,986,307,217,395,114,0,0,
"Helensburgh North",169,39,66,97,40,0,2,645,133,197,38,69,0,0,38,16,63,12,3,0,0,36,5,8,3,3,0,0,890,194,327,147,111,0,2,
"Helensburgh Centre",66,47,20,793,80,12,0,192,56,22,318,81,6,0,8,13,5,81,14,1,0,7,5,1,22,7,1,0,273,117,48,1211,182,21,0,
"Helensburgh East",70,133,59,353,21,0,0,248,447,122,143,33,1,0,25,61,28,83,3,0,0,14,26,11,13,3,0,0,352,665,221,592,60,1,0,
"Lomond Shore",164,116,48,124,30,2,1,579,240,119,89,24,7,5,31,26,13,28,2,0,0,51,16,9,6,4,0,0,825,394,189,245,57,7,4,
"Balerno",193,110,95,213,6,0,0,996,312,133,146,7,1,1,39,34,22,43,2,0,0,32,10,8,17,2,1,0,1261,463,258,415,17,5,1,
"Currie West",70,174,84,124,3,0,0,299,463,241,103,0,2,0,20,43,51,19,0,0,0,9,27,6,6,1,0,0,391,707,385,248,6,2,0,
"Currie East",106,141,27,104,1,3,0,384,398,81,70,4,0,0,16,35,12,18,4,0,0,14,12,2,9,0,0,0,524,585,122,199,6,4,0,
"Baberton and Juniper Green",79,175,77,190,6,2,0,326,518,112,106,20,0,0,18,34,16,26,0,0,0,9,23,5,5,1,0,0,432,757,207,327,27,2,0,
"Bonaly and The Pentlands",166,68,59,146,19,4,0,752,237,170,106,23,2,0,36,22,13,16,3,0,0,21,7,7,7,2,0,0,975,331,249,277,46,2,0,
"Colinton and Kingsknowe",128,83,29,216,25,0,0,483,378,43,108,8,0,0,27,32,6,10,1,0,0,20,18,3,7,1,0,0,659,512,81,337,35,0,0,
"Clovenstone and Wester Hailes South",3,19,26,468,2,0,0,17,56,72,350,5,2,0,8,31,24,237,0,2,0,5,10,13,94,4,0,1,33,116,134,1149,13,4,1,
"The Calders",8,65,36,840,14,1,0,12,85,103,403,7,3,0,13,36,47,262,4,0,0,9,20,12,124,2,1,0,42,206,200,1630,24,4,0,
"Murrayburn and Wester Hailes North",16,18,34,846,1,2,1,7,37,48,339,7,0,0,4,21,25,288,0,1,0,2,7,15,93,0,0,2,32,79,122,1567,8,4,4,
"Parkhead and Sighthill",3,32,34,368,5,0,0,11,54,77,507,6,0,0,6,15,16,130,1,0,0,1,9,5,67,11,0,0,24,110,132,1072,23,0,0,
"Broomhouse and Bankhead",14,67,104,340,0,0,0,49,151,206,306,6,0,0,4,42,44,161,0,0,0,11,24,29,74,9,0,0,81,283,383,878,14,0,0,
"Stenhouse and Saughton Mains",10,65,80,1321,13,6,0,18,105,62,847,14,9,1,4,28,28,242,0,2,0,6,27,5,207,7,2,4,43,224,173,2615,34,22,4,
"Longstone",23,105,130,381,1,0,0,53,271,257,311,5,0,0,9,47,58,74,0,0,0,4,30,17,71,4,3,0,86,453,463,834,12,3,0,
"Slateford and Chesser",16,46,83,1116,12,5,0,32,93,142,746,7,4,0,7,12,12,159,4,0,0,0,19,7,224,10,0,0,57,167,246,2245,32,9,0,
"Gorgie West",6,25,20,1699,13,5,1,7,35,21,845,1,8,0,4,12,4,125,0,0,0,5,2,8,295,7,2,0,26,73,51,2965,21,17,1,
"Gorgie East",8,3,18,1169,3,0,0,3,8,25,559,3,0,0,0,1,4,63,0,0,0,0,0,3,313,5,0,0,9,16,50,2103,14,0,0,
"Shandon",8,8,88,946,25,3,1,25,39,208,854,53,2,0,0,5,13,83,2,0,0,3,3,16,244,5,3,0,35,55,333,2127,87,7,1,
"Craiglockhart",149,89,69,232,20,2,0,579,232,212,251,26,1,0,28,18,21,27,2,0,0,28,11,12,39,3,1,0,788,350,314,553,57,5,0,
"Morningside West and Craighouse",7,20,71,788,9,1,0,65,108,304,534,15,2,0,2,7,28,71,1,0,0,1,7,8,132,7,0,0,75,142,411,1525,29,2,0,
"Greenbank and The Braids",112,33,57,242,13,0,0,500,129,291,277,26,2,0,14,8,16,39,4,0,0,12,5,8,15,4,0,0,638,175,372,573,47,2,0,
"Colinton Mains and Firrhill",6,74,85,650,6,0,0,12,89,100,544,12,0,0,8,24,34,192,0,0,0,1,21,13,74,1,1,0,30,208,233,1458,19,1,0,
"Oxgangs",14,54,94,409,2,0,1,17,91,149,245,1,1,0,0,23,39,124,0,0,0,1,10,11,76,0,1,0,33,175,293,852,4,4,1,
"Comiston and Swanston",247,158,46,97,1,0,0,902,409,90,74,2,1,0,47,39,13,20,0,0,0,32,12,9,6,2,0,0,1231,616,158,197,6,1,0,
"Fairmilehead",156,88,50,68,2,0,0,898,373,187,70,0,2,0,47,36,23,20,2,0,0,20,20,5,10,0,0,0,1125,509,266,165,6,2,0,
"Gilmerton South and the Murrays",85,121,116,133,4,0,0,526,279,182,94,1,1,0,28,61,39,81,1,0,0,36,16,15,11,0,0,0,679,476,356,321,6,1,0,
"Burdiehouse South and Broomhills",74,67,46,103,1,0,0,378,201,240,79,3,0,0,37,28,25,44,0,0,0,24,14,16,10,0,0,0,511,310,330,233,6,0,0,
"Mortonhall and Anwickhill",93,98,143,146,5,0,0,232,162,134,87,11,0,0,21,14,23,11,0,0,0,14,11,7,13,2,0,0,353,287,307,254,18,0,0,
"Gracemount, Southhouse and Burdiehouse",69,172,170,525,6,1,0,103,277,277,322,6,2,0,23,122,62,204,0,0,2,18,62,39,78,4,0,0,213,633,542,1129,15,2,3,
"Hyvots and Gilmerton",21,171,155,337,14,9,0,47,250,216,191,10,0,0,10,79,61,90,5,0,0,9,41,14,38,2,1,0,89,535,449,656,29,10,0,
"Fernieside and Moredun South",36,162,228,195,7,4,0,58,291,319,88,8,0,0,17,81,65,37,2,5,0,11,33,37,15,3,2,0,123,566,649,339,21,11,0,
"Moredun and Craigour",59,110,65,411,0,1,2,67,171,137,126,4,0,0,14,35,40,99,0,2,0,10,23,21,40,4,0,0,149,339,266,673,9,3,2,
"Liberton East",102,76,65,173,3,0,0,337,182,129,105,6,0,0,17,17,7,16,1,0,0,24,13,8,12,0,0,0,483,288,209,308,10,0,0,
"Liberton West",95,113,59,192,10,2,0,309,341,126,116,15,2,0,13,29,18,17,3,1,0,14,6,9,18,1,1,0,431,488,210,339,28,6,0,
"The Inch",28,132,256,468,15,1,1,35,187,383,314,14,4,0,10,49,85,96,0,3,0,9,48,66,117,5,0,1,82,416,789,997,34,7,4,
"Blackford, West Mains and Mayfield Road",76,82,125,521,84,2,0,202,328,326,529,126,2,0,13,29,33,68,10,0,0,14,26,24,148,17,0,0,303,468,513,1269,238,4,0,
"Prestonfield",62,78,61,502,23,1,0,134,129,96,292,12,0,1,10,7,19,63,1,0,0,14,18,8,177,2,2,0,222,234,183,1030,35,3,1,
"Newington and Dalkeith Road",12,34,26,463,50,2,0,45,140,74,332,87,5,0,0,9,2,47,6,0,0,8,13,16,445,23,3,0,65,196,120,1280,166,9,0,
"The Grange",39,63,48,551,164,4,0,211,221,178,476,234,6,0,10,8,7,46,10,0,0,13,18,13,207,13,5,0,273,310,246,1280,421,13,0,
"Marchmont East and Sciennes",4,13,12,585,25,4,0,39,73,43,432,47,2,0,1,10,2,79,2,0,0,3,9,8,608,13,2,0,47,108,67,1704,85,6,0,
"Marchmont West",3,1,9,347,29,2,0,17,14,27,574,40,1,0,0,1,1,69,0,0,0,2,3,6,672,15,0,0,22,19,43,1662,86,3,0,
"Morningside East",20,33,41,664,68,2,0,114,196,213,602,128,0,0,7,13,12,66,4,0,0,7,13,11,211,4,0,0,148,259,277,1540,204,2,0,
"Merchiston and Greenhill",39,32,28,561,127,0,0,138,106,103,500,222,1,0,3,10,9,52,16,0,0,9,5,3,217,8,4,0,191,153,143,1330,373,3,0,
"Bruntsfield",10,17,24,813,73,3,1,28,34,110,782,90,0,0,1,6,16,73,3,3,0,5,3,13,519,13,4,0,41,60,167,2183,186,11,1,
"Polwarth",2,8,23,1199,10,2,0,6,12,49,782,4,2,0,0,4,8,72,1,0,0,0,3,4,356,6,2,0,7,27,86,2409,22,6,0,
"Dalry",1,6,28,877,15,7,0,4,2,25,438,14,4,0,1,0,5,61,0,0,0,3,3,7,347,6,4,0,9,11,64,1725,35,17,0,
"Fountainbridge",0,6,20,1308,6,7,0,3,3,11,491,12,1,0,1,1,1,69,1,0,0,0,0,1,282,7,1,1,5,8,30,2153,29,9,1,
"Tollcross",9,4,16,1267,32,34,4,6,17,22,646,22,9,1,1,1,12,106,1,0,0,3,2,8,788,17,10,0,17,23,62,2807,69,53,8,
"Southside",0,3,6,408,9,6,0,3,6,3,244,4,4,0,3,2,1,38,1,0,0,2,3,10,622,16,13,0,8,12,21,1312,32,23,0,
"Meadows",4,4,5,910,11,6,0,8,7,8,427,13,2,0,0,3,2,86,1,1,0,2,2,3,423,12,4,0,11,16,19,1846,34,12,0,
"Old Town, Princes Street and Leith Street",5,10,17,1170,33,25,0,3,6,13,396,16,13,0,0,3,2,57,4,4,0,2,1,7,580,15,32,0,10,19,39,2203,74,74,0,
"Canongate, St. Leonards and Dumbiedykes",9,14,41,1375,48,24,0,4,9,18,500,16,2,1,0,6,7,159,2,1,0,3,8,18,643,10,19,0,13,37,84,2678,76,45,1,
"Abbeyhill",1,6,9,869,5,1,0,7,7,24,375,3,0,0,0,1,4,55,0,0,0,0,1,6,159,2,0,0,9,18,43,1454,10,1,0,
"Meadowbank and Abbeyhill North",6,73,78,1361,10,4,1,8,118,88,862,7,0,0,2,10,12,84,2,0,0,0,7,14,226,5,2,0,15,203,196,2531,20,6,0,
"Willowbrae and Duddingston Village",83,84,115,604,10,1,1,211,228,290,536,13,1,0,13,23,25,71,3,0,0,10,18,18,139,0,0,0,317,353,451,1350,28,4,1,
"Greendykes",15,54,90,329,0,0,0,148,142,221,272,3,1,3,13,27,51,81,0,0,0,13,22,30,41,2,0,0,189,245,390,723,5,1,4,
"Craigmillar",11,22,48,647,5,3,4,29,64,131,434,7,0,8,19,47,64,143,0,3,0,0,12,21,101,4,4,0,61,148,267,1324,16,10,10,
"Niddrie",24,114,117,597,3,0,1,28,211,192,263,4,0,0,28,105,56,181,3,0,0,11,39,28,65,0,1,0,88,469,397,1106,12,1,1,
"Bingham, Magdalene and The Christians",25,86,187,471,15,1,0,36,102,205,190,3,0,0,14,29,65,159,2,0,0,5,22,21,41,2,0,0,83,243,482,861,25,1,0,
"Jewel, Brunstane and Newcraighall",66,146,169,147,3,1,0,375,388,357,151,2,1,0,34,65,48,44,1,0,0,26,36,20,24,2,1,0,501,635,595,366,7,3,0,
"Joppa",104,72,141,398,79,4,0,304,184,351,270,92,1,0,23,24,40,66,7,0,0,24,17,23,20,4,0,0,455,297,555,754,181,5,0,
"Portobello",21,41,117,826,36,8,0,30,86,229,619,49,11,0,4,16,38,137,4,5,0,9,9,15,57,1,1,0,62,150,401,1636,91,27,0,
"Duddingston and Durhams",182,87,24,117,19,1,0,624,218,73,77,29,2,0,51,24,8,19,0,0,0,34,10,7,4,0,0,0,887,341,107,219,44,2,0,
"Mountcastle",15,97,144,159,4,1,0,56,193,258,113,4,1,0,4,22,37,21,0,0,0,4,10,15,16,1,0,0,76,320,454,313,9,3,0,
"Northfield and Piershill",8,34,57,623,8,2,0,41,82,89,442,3,0,0,5,13,12,174,1,0,0,1,11,8,102,0,1,0,58,139,168,1341,9,3,0,
"Craigentinny",105,102,54,77,11,1,0,346,219,115,65,8,1,0,24,15,22,11,1,0,0,25,11,8,10,0,0,0,500,347,199,158,19,1,0,
"Restalrig (Loganlea) and Craigentinny West",12,30,40,893,3,1,0,23,58,46,464,5,0,0,4,10,3,153,1,0,1,0,6,5,90,4,0,0,37,109,96,1600,12,1,1,
"Restalrig and Lochend",7,54,35,940,4,2,0,19,103,69,475,7,0,0,4,12,16,207,2,1,0,4,8,6,113,5,0,0,34,176,126,1731,16,3,0,
"Leith (Hermitage and Prospect Bank)",8,58,187,418,31,0,0,26,183,424,496,33,1,1,1,17,43,76,2,0,0,7,8,28,45,5,0,0,45,267,677,1035,70,1,1,
"Western Harbour and Leith Docks",6,6,26,1039,14,4,0,27,17,99,1133,2,1,0,4,7,9,193,2,0,0,1,4,8,163,2,0,0,38,38,140,2530,19,7,0,
"North Leith and Newhaven",5,36,84,1241,29,0,0,16,53,128,720,39,2,0,2,18,24,191,4,0,0,5,12,23,157,6,0,0,30,119,259,2309,78,4,0,
"The Shore and Constitution Street",5,5,12,1301,42,4,2,12,6,18,986,32,11,0,2,3,2,187,4,1,0,6,1,4,246,7,1,0,28,14,40,2720,84,22,2,
"Great Junction Street",3,8,40,1026,22,9,0,5,11,33,575,22,4,0,2,3,13,155,3,4,0,0,5,4,224,4,1,0,15,27,88,1980,50,16,0,
"South Leith",3,3,23,1454,26,5,0,11,7,31,857,24,5,0,3,3,6,129,4,0,0,1,6,8,273,9,0,0,18,22,68,2714,61,12,0,
"Easter Road and Hawkhill Avenue",0,0,4,1066,11,0,0,2,5,3,663,4,1,0,0,0,4,66,0,0,0,1,2,0,210,2,0,0,3,7,7,2006,16,3,0,
"Leith (Albert Street)",3,3,13,945,0,0,0,5,12,16,456,0,0,0,2,3,3,65,0,0,0,0,1,4,199,3,5,2,9,19,35,1668,3,5,2,
"Hillside and Calton Hill",2,4,31,1294,40,1,0,6,8,76,935,59,3,0,0,3,8,79,3,0,0,0,5,22,348,10,1,0,8,19,137,2656,110,5,0,
"Pilrig",1,18,103,1064,33,10,0,9,34,185,615,16,2,0,0,9,25,105,1,2,0,0,3,14,270,4,2,0,11,66,327,2055,54,15,0,
"Bonnington",3,9,37,865,21,0,0,19,32,98,655,21,2,0,0,4,12,155,3,1,0,0,7,14,145,4,1,0,23,53,161,1823,49,4,0,
"Trinity East and The Dudleys",9,21,74,378,26,0,0,37,148,295,385,63,1,0,1,5,15,52,4,0,0,4,23,12,36,3,1,0,56,196,396,852,98,2,0,
"Trinity West and Wardie",33,60,122,512,51,3,0,131,246,315,423,96,4,0,3,23,28,45,2,0,0,5,12,14,33,0,1,0,173,334,479,1011,145,8,0,
"Inverleith, Goldenacre and Warriston",8,43,62,454,65,2,0,81,120,147,405,80,0,0,5,8,18,56,11,0,0,5,6,6,45,1,0,0,99,177,234,960,153,2,0,
"Broughton North and Powderhall",0,10,62,1135,37,4,0,6,21,137,759,31,4,0,1,4,12,60,4,0,0,0,3,8,166,8,0,0,10,34,219,2120,77,8,0,
"Broughton South",8,26,74,792,7,4,0,11,40,139,778,6,1,0,3,0,19,77,1,2,2,5,5,10,296,7,1,0,27,73,242,1943,21,7,2,
"New Town East and Gayfield",3,8,36,594,25,2,0,11,13,57,376,42,1,0,2,1,4,39,4,0,0,1,6,11,222,17,3,1,16,28,108,1235,91,5,1,
"New Town West",6,9,27,636,139,12,0,6,14,94,438,157,2,0,1,1,7,41,4,0,0,0,0,10,111,14,0,1,13,26,139,1226,312,14,1,
"Canonmills and New Town North",1,6,18,697,53,4,0,6,14,34,637,37,1,1,0,4,3,37,1,0,0,0,2,4,184,9,0,0,6,26,60,1558,100,7,1,
"Stockbridge",4,13,154,1306,85,3,0,12,20,231,888,132,0,0,1,1,20,103,10,2,0,0,5,17,189,8,3,0,20,38,426,2487,239,8,0,
"Comely Bank",5,4,32,615,74,3,0,9,20,66,593,85,0,0,2,2,4,69,4,0,0,1,0,3,101,2,0,0,18,26,101,1378,166,3,0,
"Wester Coates",12,36,97,489,156,2,0,35,50,144,406,179,0,0,2,6,12,33,14,0,0,6,4,10,167,18,2,0,56,94,263,1094,367,6,0,
"Dean Village",6,13,52,446,115,6,0,21,20,97,400,148,5,0,3,4,5,29,4,0,0,5,0,9,111,19,5,1,33,36,163,988,286,16,1,
"Balgreen and Roseburn",30,78,127,645,13,3,0,108,124,274,505,11,0,0,3,13,27,86,1,0,0,5,8,16,79,0,0,0,149,226,442,1315,25,3,0,
"Murrayfield and Ravelston",109,59,47,203,68,2,0,465,222,243,214,84,0,0,13,13,10,21,4,0,0,17,9,7,11,7,0,0,604,303,309,449,163,2,0,
"Craigleith, Orchard Brae and Crewe Toll",83,120,77,595,2,1,0,210,354,200,437,11,0,0,10,35,13,51,1,0,0,9,9,6,77,0,0,0,313,510,299,1156,16,1,0,
"Blackhall",190,118,53,354,8,2,0,775,381,180,191,13,5,0,40,24,17,28,1,1,0,17,10,5,22,2,3,0,1022,532,255,600,27,10,0,
"Drylaw",20,129,104,490,2,1,0,56,212,201,387,3,1,0,10,43,37,232,2,1,0,9,30,20,78,2,0,0,91,415,362,1190,11,3,0,
"West Pilton",9,25,41,781,2,1,1,17,60,83,700,10,0,1,5,21,30,341,4,0,0,5,15,10,233,6,0,0,32,123,161,2055,21,2,3,
"Boswall and Pilton",17,82,55,631,5,2,0,44,257,239,804,17,2,0,3,53,26,163,1,0,0,3,15,14,128,3,1,0,67,410,334,1726,26,6,0,
"Granton South and Wardieburn",13,13,19,602,9,0,0,10,14,6,342,5,1,3,0,4,5,250,0,0,0,0,1,2,72,1,0,0,23,35,32,1263,15,1,3,
"Granton and Royston Mains",8,19,36,932,7,1,0,18,51,87,759,4,3,1,4,14,13,274,0,0,0,3,16,6,134,0,3,0,36,95,142,2099,16,8,1,
"Granton West and Salvesen",14,105,52,405,7,0,0,30,251,103,399,0,0,1,6,57,29,129,1,0,0,4,41,10,102,2,0,0,54,452,194,1033,11,0,1,
"Muirhouse",21,77,109,867,4,2,0,44,197,227,452,6,1,1,22,67,88,290,3,0,0,8,29,31,142,2,0,0,91,370,455,1751,15,4,1,
"Silverknowes and Davidson's Mains",88,151,46,209,10,4,0,304,509,102,172,12,4,0,7,44,14,58,1,0,0,16,20,1,18,2,1,0,420,724,161,457,25,8,0,
"Cramond",69,14,42,141,3,0,0,377,60,148,131,3,0,0,16,7,14,12,0,0,0,9,4,4,10,0,0,0,471,84,208,293,7,0,0,
"Barnton, Cammo and Cramond South",159,44,32,264,10,0,0,662,144,119,167,10,1,0,29,9,15,20,0,0,0,26,7,3,6,0,0,0,880,207,170,457,20,1,0,
"Clermiston and Drumbrae",46,206,217,583,6,0,0,127,448,371,399,4,0,0,19,54,60,174,2,1,0,12,34,27,79,2,0,0,205,742,677,1234,12,5,0,
"East Craigs North",71,119,260,496,10,2,0,282,295,457,214,7,0,0,28,31,80,69,2,0,0,12,10,29,29,0,0,0,393,456,823,807,18,2,0,
"East Craigs South",180,163,55,192,3,0,0,720,392,120,176,3,2,0,38,44,22,40,0,0,0,24,19,4,26,0,0,0,966,615,200,430,7,2,0,
"Corstorphine North",101,123,36,115,1,0,0,426,343,124,142,1,0,1,21,32,17,47,1,0,0,7,13,2,19,0,0,0,554,507,179,324,2,0,1,
