SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Household composition - 4 groups, collapsed and Type of accomodation"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 4 groups, collapsed","One person household",,,,,,,"One family household: Couple family",,,,,,,"One family household: Lone parent",,,,,,,"Other household types",,,,,,,"Total",,,,,,,
"Type of accomodation","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure",
"Intermediate Zone (2022)",
"Ashgrove",5,31,65,908,47,5,0,30,56,116,424,35,0,1,2,5,8,104,1,0,0,11,6,10,160,22,0,0,52,98,198,1596,106,1,1,
"Froghall, Powis and Sunnybank",17,63,83,977,103,3,0,26,95,81,496,52,2,2,2,13,13,142,2,0,0,20,49,41,296,72,2,0,64,219,218,1911,229,6,2,
"Seaton",10,25,18,1364,26,7,0,18,23,17,517,11,3,0,3,8,2,129,1,0,0,8,8,9,205,13,1,0,39,65,48,2211,51,11,0,
"Old Aberdeen",23,28,26,625,16,6,0,38,28,11,287,7,1,0,4,1,2,121,1,0,0,1,11,6,82,8,0,0,65,68,45,1118,32,8,0,
"Tillydrone",15,120,123,886,12,7,0,40,145,178,541,7,0,0,3,30,57,329,2,2,0,13,16,26,119,4,0,0,69,314,387,1873,27,7,0,
"Woodside",11,47,39,882,23,4,0,32,64,44,415,13,3,0,7,10,9,200,1,2,0,5,8,9,91,8,1,0,56,125,102,1584,45,10,0,
"Hilton",42,134,120,1137,76,1,0,123,272,118,701,38,0,1,6,32,20,201,6,0,0,8,32,15,121,21,2,0,179,468,270,2160,139,1,1,
"Stockethill",42,97,193,942,6,3,0,76,190,320,328,4,0,0,10,29,54,183,0,0,0,4,11,26,73,1,0,0,132,327,592,1526,11,3,0,
"Mastrick",17,130,366,305,0,1,0,18,187,492,174,3,0,0,5,73,130,128,5,0,0,0,11,26,21,0,0,0,43,401,1013,628,7,1,0,
"Sheddocksley",35,207,421,301,9,1,2,23,314,618,73,6,0,0,9,93,129,59,1,0,0,3,17,33,9,0,0,0,70,629,1201,442,18,1,2,
"Cummings Park",21,151,176,100,2,2,0,23,321,276,73,4,0,0,6,84,82,32,0,1,0,1,38,16,16,0,0,0,51,597,550,219,6,3,0,
"Northfield",15,180,312,94,6,2,0,26,399,525,88,7,1,0,16,120,140,89,1,0,0,5,34,44,14,4,0,0,59,730,1021,285,18,2,0,
"Heathryfold and Middlefield",9,121,133,403,7,2,0,29,204,266,306,7,0,0,5,85,76,243,4,0,0,5,29,34,60,3,0,0,48,436,508,1012,20,2,0,
"Kingswells",128,105,35,4,0,0,0,626,240,34,12,1,0,0,35,24,10,4,0,0,0,19,7,1,2,1,0,0,808,374,80,26,4,0,0,
"Kingswells North and Newhills",94,82,87,119,0,2,0,457,216,136,66,3,0,1,18,27,29,45,2,0,0,15,4,2,5,0,0,0,584,329,250,235,4,2,1,
"Bucksburn South",40,130,364,551,18,0,20,118,242,457,309,18,0,1,7,36,81,93,2,0,0,7,17,24,33,2,1,0,171,420,926,986,42,1,21,
"Bucksburn North",95,299,141,551,49,7,0,284,551,259,239,14,6,0,19,77,57,137,7,0,2,11,24,14,15,2,0,0,412,951,470,941,72,11,2,
"Dyce",119,284,132,277,11,1,0,300,538,239,159,6,0,1,31,68,40,67,1,0,0,14,29,13,22,0,0,0,461,920,424,528,18,1,1,
"Danestone",87,215,75,269,7,0,0,363,394,134,86,7,0,2,25,41,9,19,0,0,0,7,10,2,6,0,1,0,481,665,223,383,14,1,2,
"Oldmachar West",107,290,184,156,12,0,0,447,572,257,49,5,0,2,25,48,16,4,0,0,0,20,15,8,5,0,0,0,600,925,470,218,14,0,2,
"Oldmachar East",106,274,69,42,0,0,0,505,657,94,33,5,0,0,34,70,17,3,0,0,0,11,24,2,0,0,0,0,660,1025,182,84,4,0,0,
"Balgownie and Donmouth West",41,246,144,269,12,0,2,150,409,182,116,8,0,0,8,73,41,50,0,0,0,12,13,8,3,1,1,0,210,741,377,443,21,1,2,
"Balgownie and Donmouth East",44,215,51,137,5,1,0,136,363,81,61,7,0,0,12,35,9,22,0,0,0,7,12,3,1,2,0,0,195,621,142,222,12,2,0,
"Denmore",92,121,76,143,9,0,5,441,424,186,53,3,2,1,20,46,20,14,0,0,0,16,14,5,10,2,0,1,569,605,287,220,14,2,7,
"East Cairngorms",279,206,56,64,13,8,0,621,186,51,10,10,9,4,31,41,6,2,1,0,0,26,9,1,6,0,0,0,957,438,114,82,23,17,4,
"Aboyne and South Deeside",273,200,36,76,21,5,3,1092,256,40,12,6,3,8,55,56,12,2,0,1,0,39,6,0,0,0,0,0,1455,514,86,93,32,8,11,
"Mearns and Laurencekirk",152,118,54,72,12,3,0,546,228,92,23,1,6,0,28,50,27,12,0,0,0,14,5,5,1,0,0,0,743,402,176,108,15,9,0,
"Mearns South and Benholm",230,198,98,42,5,1,1,862,345,141,15,3,3,3,58,56,33,4,1,2,0,49,21,6,1,0,0,0,1200,620,283,60,9,6,4,
"Mearns North and Inverbervie",257,230,109,106,23,3,0,966,374,153,59,12,6,1,47,72,21,30,1,0,0,44,11,7,2,1,0,0,1316,684,291,194,37,9,1,
"Fetteresso, Netherley and Catter",194,94,63,35,6,1,7,923,243,127,20,3,1,4,61,25,13,4,0,0,2,37,18,4,1,0,0,0,1216,376,210,60,6,0,10,
"Stonehaven South",104,191,197,387,27,5,0,494,364,281,116,17,0,0,44,93,69,50,4,0,0,10,12,13,6,0,0,0,659,664,564,559,48,6,0,
"Stonehaven North",176,216,88,357,30,15,0,765,444,159,104,20,8,0,56,83,19,29,6,2,0,14,12,9,5,3,1,0,1015,755,275,494,59,29,0,
"Newtonhill",90,140,59,14,2,1,0,501,279,101,8,1,0,0,28,39,27,4,1,0,0,15,6,8,0,0,0,0,634,464,193,23,5,1,0,
"Portlethen",117,273,34,113,1,2,2,491,555,52,27,2,0,0,49,53,5,4,0,0,0,10,13,2,1,0,0,0,667,894,99,145,5,2,2,
