SuperWEB2(tm)

"Household"
"Intermediate Zone (2022) by Number of cars or vans and Number of cars or vans - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans","Number of cars or vans in household: No cars or vans",,,"Number of cars or vans in household: One car or van",,,"Number of cars or vans in household: Two cars or vans",,,"Number of cars or vans in household: Three cars or vans",,,"Number of cars or vans in household: Four or more cars or vans",,,"Total",,,
"Number of cars or vans - 3 groups, collapsed","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans",
"Intermediate Zone (2022)",
"Dean Village",544,0,0,0,743,0,0,0,196,0,0,30,0,0,10,544,743,236,
"Balgreen and Roseburn",699,0,0,0,1103,0,0,0,313,0,0,34,0,0,11,699,1103,358,
"Murrayfield and Ravelston",199,0,0,0,889,0,0,0,593,0,0,118,0,0,31,199,889,738,
"Craigleith, Orchard Brae and Crewe Toll",495,0,0,0,1285,0,0,0,446,0,0,58,0,0,16,495,1285,519,
"Blackhall",358,0,0,0,1142,0,0,0,793,0,0,114,0,0,34,358,1142,941,
"Drylaw",863,0,0,0,895,0,0,0,273,0,0,31,0,0,10,863,895,314,
"West Pilton",1241,0,0,0,892,0,0,0,240,0,0,22,0,0,2,1241,892,264,
"Boswall and Pilton",676,0,0,0,1391,0,0,0,432,0,0,60,0,0,10,676,1391,502,
"Granton South and Wardieburn",819,0,0,0,451,0,0,0,83,0,0,12,0,0,7,819,451,102,
"Granton and Royston Mains",1040,0,0,0,1092,0,0,0,231,0,0,21,0,0,10,1040,1092,263,
"Granton West and Salvesen",665,0,0,0,834,0,0,0,217,0,0,27,0,0,5,665,834,246,
"Muirhouse",1365,0,0,0,986,0,0,0,286,0,0,41,0,0,14,1365,986,339,
"Silverknowes and Davidson's Mains",320,0,0,0,861,0,0,0,482,0,0,106,0,0,26,320,861,614,
"Cramond",96,0,0,0,473,0,0,0,405,0,0,68,0,0,24,96,473,497,
"Barnton, Cammo and Cramond South",247,0,0,0,733,0,0,0,593,0,0,126,0,0,36,247,733,751,
"Clermiston and Drumbrae",972,0,0,0,1310,0,0,0,468,0,0,98,0,0,22,972,1310,592,
"East Craigs North",622,0,0,0,1223,0,0,0,535,0,0,83,0,0,37,622,1223,655,
"East Craigs South",306,0,0,0,1137,0,0,0,624,0,0,121,0,0,31,306,1137,775,
"Corstorphine North",231,0,0,0,797,0,0,0,455,0,0,68,0,0,18,231,797,540,
"Corstorphine",576,0,0,0,1181,0,0,0,580,0,0,80,0,0,16,576,1181,682,
"Carrick Knowe",284,0,0,0,632,0,0,0,209,0,0,25,0,0,8,284,632,242,
"Corstorphine South",552,0,0,0,1125,0,0,0,347,0,0,41,0,0,23,552,1125,412,
"South Gyle and Edinburgh Park",656,0,0,0,1244,0,0,0,389,0,0,61,0,0,8,656,1244,458,
"Ratho, Ingliston and Gogar",162,0,0,0,442,0,0,0,378,0,0,51,0,0,15,162,442,444,
"Kirkliston",264,0,0,0,772,0,0,0,624,0,0,105,0,0,33,264,772,762,
"Dalmeny and Newbridge",186,0,0,0,751,0,0,0,604,0,0,98,0,0,37,186,751,739,
"Queensferry East",400,0,0,0,1006,0,0,0,505,0,0,91,0,0,33,400,1006,629,
"Queensferry West",238,0,0,0,737,0,0,0,493,0,0,120,0,0,30,238,737,643,
"Tullibody South",398,0,0,0,808,0,0,0,519,0,0,137,0,0,40,398,808,694,
"Tullibody North and Glenochil",343,0,0,0,808,0,0,0,593,0,0,140,0,0,37,343,808,766,
"Menstrie",168,0,0,0,557,0,0,0,404,0,0,83,0,0,19,168,557,506,
"Alva",513,0,0,0,1145,0,0,0,637,0,0,134,0,0,34,513,1145,805,
"Fishcross, Devon Village and Coalsnaughton",202,0,0,0,467,0,0,0,326,0,0,77,0,0,36,202,467,439,
"Tillicoultry",556,0,0,0,1052,0,0,0,563,0,0,117,0,0,42,556,1052,718,
"Dollar and Muckhart",135,0,0,0,580,0,0,0,608,0,0,149,0,0,57,135,580,814,
"Clackmannan, Kennet and Forestmill",343,0,0,0,951,0,0,0,781,0,0,174,0,0,65,343,951,1020,
"Sauchie",614,0,0,0,997,0,0,0,534,0,0,150,0,0,51,614,997,736,
"Alloa South and East",1056,0,0,0,961,0,0,0,357,0,0,73,0,0,15,1056,961,442,
"Alloa North",607,0,0,0,1268,0,0,0,713,0,0,153,0,0,53,607,1268,919,
"Alloa West",277,0,0,0,794,0,0,0,460,0,0,108,0,0,33,277,794,606,
"Stranraer West",471,0,0,0,565,0,0,0,209,0,0,41,0,0,15,471,565,268,
"Rhins North",165,0,0,0,648,0,0,0,468,0,0,103,0,0,54,165,648,625,
"Stranraer East",427,0,0,0,563,0,0,0,237,0,0,53,0,0,13,427,563,301,
"Stranraer South",379,0,0,0,759,0,0,0,324,0,0,66,0,0,18,379,759,408,
"Rhins South",258,0,0,0,835,0,0,0,516,0,0,126,0,0,50,258,835,692,
"Machars North",134,0,0,0,473,0,0,0,344,0,0,83,0,0,44,134,473,471,
"Machars South",373,0,0,0,1159,0,0,0,672,0,0,186,0,0,82,373,1159,940,
"Newton Stewart",515,0,0,0,1242,0,0,0,633,0,0,154,0,0,46,515,1242,833,
"Gatehouse",185,0,0,0,715,0,0,0,515,0,0,150,0,0,63,185,715,732,
"Kirkcudbright",415,0,0,0,1170,0,0,0,648,0,0,178,0,0,71,415,1170,895,
"Castle Douglas",445,0,0,0,1062,0,0,0,585,0,0,136,0,0,57,445,1062,778,
"Dalbeattie",476,0,0,0,956,0,0,0,511,0,0,125,0,0,49,476,956,682,
"Dalbeattie Rural",88,0,0,0,421,0,0,0,421,0,0,108,0,0,73,88,421,602,
"Glenkens",166,0,0,0,761,0,0,0,569,0,0,160,0,0,76,166,761,803,
"Upper Nithsdale",633,0,0,0,991,0,0,0,431,0,0,102,0,0,51,633,991,587,
"Thornhill",287,0,0,0,861,0,0,0,544,0,0,146,0,0,66,287,861,759,
"Mid Nithsdale",84,0,0,0,481,0,0,0,465,0,0,148,0,0,72,84,481,686,
"Shawhead",95,0,0,0,509,0,0,0,502,0,0,156,0,0,63,95,509,716,
"Lochside and Lincluden",1147,0,0,0,1200,0,0,0,401,0,0,72,0,0,27,1147,1200,500,
"Summerville",912,0,0,0,1282,0,0,0,619,0,0,154,0,0,30,912,1282,803,
"Troqueer",367,0,0,0,825,0,0,0,404,0,0,90,0,0,20,367,825,514,
"New Abbey",208,0,0,0,623,0,0,0,473,0,0,129,0,0,57,208,623,659,
"Kingholm",211,0,0,0,575,0,0,0,418,0,0,115,0,0,44,211,575,577,
"Calside",177,0,0,0,582,0,0,0,404,0,0,107,0,0,24,177,582,532,
"Georgetown",138,0,0,0,669,0,0,0,396,0,0,87,0,0,19,138,669,506,
"Dumfries Central",951,0,0,0,886,0,0,0,239,0,0,37,0,0,14,951,886,295,
"Nunholm",377,0,0,0,789,0,0,0,393,0,0,73,0,0,15,377,789,489,
"Locharbriggs",263,0,0,0,636,0,0,0,349,0,0,66,0,0,21,263,636,433,
"Heathhall",147,0,0,0,579,0,0,0,398,0,0,90,0,0,31,147,579,519,
"Collin",145,0,0,0,705,0,0,0,734,0,0,166,0,0,66,145,705,966,
"Lochmaben",198,0,0,0,662,0,0,0,458,0,0,140,0,0,51,198,662,645,
"Lockerbie",515,0,0,0,1126,0,0,0,593,0,0,144,0,0,60,515,1126,797,
"Moffat",328,0,0,0,910,0,0,0,491,0,0,136,0,0,41,328,910,664,
"Langholm and Eskdale",297,0,0,0,850,0,0,0,466,0,0,132,0,0,49,297,850,647,
"Annandale East",203,0,0,0,702,0,0,0,584,0,0,171,0,0,78,203,702,833,
"Annandale West",94,0,0,0,460,0,0,0,396,0,0,105,0,0,53,94,460,554,
"Annan West",537,0,0,0,741,0,0,0,302,0,0,66,0,0,17,537,741,386,
"Annan East",552,0,0,0,1096,0,0,0,603,0,0,145,0,0,67,552,1096,815,
"Eastriggs",214,0,0,0,563,0,0,0,445,0,0,97,0,0,51,214,563,588,
"Gretna",367,0,0,0,874,0,0,0,483,0,0,128,0,0,54,367,874,665,
"Westend",583,0,0,0,1240,0,0,0,623,0,0,120,0,0,46,583,1240,791,
"Perth Road",1353,0,0,0,969,0,0,0,293,0,0,59,0,0,20,1353,969,371,
"Logie and Blackness",1479,0,0,0,1238,0,0,0,309,0,0,45,0,0,20,1479,1238,374,
"City Centre",1190,0,0,0,738,0,0,0,201,0,0,50,0,0,3,1190,738,257,
"Docks and Wellgate",1477,0,0,0,1051,0,0,0,250,0,0,24,0,0,7,1477,1051,282,
"Hilltown",962,0,0,0,631,0,0,0,130,0,0,18,0,0,5,962,631,153,
"Clepington",1466,0,0,0,1134,0,0,0,268,0,0,19,0,0,5,1466,1134,295,
"Stobswell",1738,0,0,0,1221,0,0,0,245,0,0,27,0,0,8,1738,1221,283,
"Baxter Park",243,0,0,0,623,0,0,0,359,0,0,101,0,0,21,243,623,478,
"Craigie and Craigiebank",681,0,0,0,973,0,0,0,352,0,0,56,0,0,18,681,973,423,
"Douglas West",847,0,0,0,852,0,0,0,252,0,0,50,0,0,9,847,852,311,
"West Ferry",246,0,0,0,631,0,0,0,389,0,0,73,0,0,32,246,631,494,
"Douglas East",498,0,0,0,536,0,0,0,166,0,0,38,0,0,2,498,536,208,
"Broughty Ferry West",565,0,0,0,1238,0,0,0,565,0,0,117,0,0,30,565,1238,717,
"Broughty Ferry East",312,0,0,0,786,0,0,0,476,0,0,89,0,0,29,312,786,594,
"Barnhill",420,0,0,0,946,0,0,0,582,0,0,110,0,0,35,420,946,727,
"Balgillo",78,0,0,0,487,0,0,0,580,0,0,147,0,0,35,78,487,762,
"West Pitkerro and Balmossie",125,0,0,0,637,0,0,0,469,0,0,107,0,0,30,125,637,605,
"Whitfield",1010,0,0,0,1137,0,0,0,444,0,0,82,0,0,31,1010,1137,552,
"Fintry",499,0,0,0,611,0,0,0,247,0,0,39,0,0,7,499,611,294,
"Claverhouse and North Ballumbie",295,0,0,0,732,0,0,0,591,0,0,139,0,0,39,295,732,765,
"Linlathen and Midcraigie",775,0,0,0,757,0,0,0,287,0,0,64,0,0,12,775,757,363,
"Caird Park",260,0,0,0,486,0,0,0,282,0,0,55,0,0,12,260,486,349,
"Kirkton",451,0,0,0,748,0,0,0,388,0,0,75,0,0,13,451,748,476,
"Downfield",466,0,0,0,1052,0,0,0,517,0,0,100,0,0,29,466,1052,643,
"Fairmuir",421,0,0,0,826,0,0,0,359,0,0,84,0,0,28,421,826,468,
"Law",1820,0,0,0,1535,0,0,0,320,0,0,40,0,0,7,1820,1535,370,
"Balgay",506,0,0,0,829,0,0,0,332,0,0,65,0,0,11,506,829,407,
"Menzieshill",1028,0,0,0,951,0,0,0,230,0,0,35,0,0,7,1028,951,271,
"Charleston",904,0,0,0,847,0,0,0,221,0,0,31,0,0,10,904,847,262,
"Lochee",1170,0,0,0,1095,0,0,0,392,0,0,60,0,0,25,1170,1095,477,
"Ardler and St Marys",996,0,0,0,1198,0,0,0,499,0,0,84,0,0,12,996,1198,599,
"Western Edge",99,0,0,0,765,0,0,0,812,0,0,129,0,0,29,99,765,970,
"Doon Valley South",447,0,0,0,590,0,0,0,242,0,0,71,0,0,26,447,590,335,
"Doon Valley North",401,0,0,0,797,0,0,0,475,0,0,126,0,0,37,401,797,639,
"Mauchline Rural",440,0,0,0,990,0,0,0,615,0,0,178,0,0,79,440,990,872,
"Drongan",403,0,0,0,643,0,0,0,282,0,0,77,0,0,27,403,643,382,
"Mauchline",337,0,0,0,793,0,0,0,468,0,0,121,0,0,35,337,793,621,
"Cumnock Rural",407,0,0,0,869,0,0,0,591,0,0,174,0,0,70,407,869,841,
"New Cumnock",394,0,0,0,586,0,0,0,261,0,0,61,0,0,17,394,586,339,
"Cumnock South and Craigens",612,0,0,0,977,0,0,0,430,0,0,111,0,0,27,612,977,568,
"Cumnock North",398,0,0,0,781,0,0,0,434,0,0,110,0,0,48,398,781,596,
"Auchinleck",503,0,0,0,720,0,0,0,355,0,0,77,0,0,27,503,720,455,
"Northern and Irvine Valley Rural",201,0,0,0,918,0,0,0,1016,0,0,284,0,0,144,201,918,1440,
"Stewarton East",310,0,0,0,831,0,0,0,541,0,0,128,0,0,33,310,831,699,
"Stewarton West",260,0,0,0,521,0,0,0,290,0,0,58,0,0,16,260,521,364,
"Darvel",307,0,0,0,777,0,0,0,418,0,0,133,0,0,39,307,777,590,
"Newmilns",292,0,0,0,577,0,0,0,296,0,0,72,0,0,29,292,577,397,
"Galston",466,0,0,0,954,0,0,0,541,0,0,120,0,0,51,466,954,713,
"Earlston and Hurlford Rural",612,0,0,0,1028,0,0,0,573,0,0,144,0,0,71,612,1028,787,
"Shortlees",693,0,0,0,841,0,0,0,312,0,0,70,0,0,22,693,841,408,
"Bellfield and Kirkstyle",547,0,0,0,999,0,0,0,424,0,0,88,0,0,18,547,999,525,
"Kilmarnock South Central and Caprington",502,0,0,0,663,0,0,0,282,0,0,51,0,0,16,502,663,347,
"Piersland",383,0,0,0,752,0,0,0,370,0,0,72,0,0,40,383,752,482,
"New Farm Loch South",432,0,0,0,596,0,0,0,263,0,0,57,0,0,12,432,596,331,
"Dean and New Farm Loch North",443,0,0,0,710,0,0,0,340,0,0,78,0,0,25,443,710,446,
"Southcraig and Beansburn",150,0,0,0,896,0,0,0,977,0,0,211,0,0,71,150,896,1259,
"Altonhill North and Onthank",726,0,0,0,798,0,0,0,369,0,0,81,0,0,22,726,798,475,
"Altonhill South, Longpark and Hillhead",887,0,0,0,927,0,0,0,431,0,0,59,0,0,17,887,927,510,
"Bonnyton and Town Centre",773,0,0,0,867,0,0,0,288,0,0,62,0,0,19,773,867,373,
"Grange, Howard and Gargieston",293,0,0,0,1022,0,0,0,1015,0,0,211,0,0,85,293,1022,1311,
"Crosshouse, Gatehead and Kilmaurs Rural",298,0,0,0,808,0,0,0,767,0,0,140,0,0,56,298,808,963,
"Kilmaurs",229,0,0,0,579,0,0,0,313,0,0,70,0,0,31,229,579,414,
"West Clober and Mains Estate",63,0,0,0,439,0,0,0,440,0,0,85,0,0,26,63,439,551,
"East Clober and Mains Estate",320,0,0,0,716,0,0,0,384,0,0,75,0,0,15,320,716,473,
"Barloch",219,0,0,0,679,0,0,0,457,0,0,86,0,0,33,219,679,574,
"Keystone and Dougalston",396,0,0,0,871,0,0,0,558,0,0,110,0,0,32,396,871,703,
"Kilmardinny East",128,0,0,0,636,0,0,0,589,0,0,86,0,0,23,128,636,699,
"Kilmardinny West",199,0,0,0,607,0,0,0,558,0,0,118,0,0,37,199,607,713,
"North Castlehill and Thorn",138,0,0,0,682,0,0,0,642,0,0,125,0,0,62,138,682,829,
"South Castlehill and Thorn",150,0,0,0,660,0,0,0,644,0,0,163,0,0,32,150,660,843,
"Westerton West",165,0,0,0,583,0,0,0,332,0,0,76,0,0,19,165,583,427,
"Westerton East",115,0,0,0,708,0,0,0,488,0,0,105,0,0,27,115,708,620,
"Kessington West",154,0,0,0,575,0,0,0,493,0,0,90,0,0,42,154,575,623,
"Kessington East",100,0,0,0,485,0,0,0,431,0,0,81,0,0,33,100,485,545,
"Torrance and Balmore",95,0,0,0,456,0,0,0,443,0,0,122,0,0,46,95,456,611,
"Bishopbriggs North and Kenmure",309,0,0,0,945,0,0,0,692,0,0,150,0,0,37,309,945,879,
"Bishopbriggs West and Cadder",502,0,0,0,1166,0,0,0,738,0,0,137,0,0,41,502,1166,916,
"Auchinairn",697,0,0,0,1132,0,0,0,553,0,0,122,0,0,35,697,1132,710,
"Woodhill East",112,0,0,0,406,0,0,0,341,0,0,74,0,0,15,112,406,428,
"Woodhill West",239,0,0,0,834,0,0,0,532,0,0,106,0,0,20,239,834,659,
"Lenzie North",313,0,0,0,916,0,0,0,687,0,0,163,0,0,46,313,916,896,
"Lenzie South",119,0,0,0,590,0,0,0,538,0,0,109,0,0,35,119,590,678,
"Kirkintilloch South",334,0,0,0,668,0,0,0,376,0,0,96,0,0,33,334,668,502,
"Kirkintilloch West",558,0,0,0,953,0,0,0,518,0,0,103,0,0,39,558,953,654,
"Hillhead",784,0,0,0,818,0,0,0,316,0,0,52,0,0,14,784,818,382,
"Rosebank and Waterside",221,0,0,0,912,0,0,0,899,0,0,142,0,0,45,221,912,1090,
"Twechar and Harestanes East",328,0,0,0,602,0,0,0,380,0,0,83,0,0,29,328,602,491,
"Harestanes",409,0,0,0,703,0,0,0,268,0,0,75,0,0,18,409,703,357,
"Milton of Campsie",242,0,0,0,731,0,0,0,549,0,0,141,0,0,43,242,731,733,
"Lennoxtown",379,0,0,0,856,0,0,0,528,0,0,160,0,0,60,379,856,748,
"Wallyford",346,0,0,0,710,0,0,0,358,0,0,96,0,0,24,346,710,478,
"Whitecraig",201,0,0,0,610,0,0,0,409,0,0,74,0,0,22,201,610,505,
"Musselburgh South",503,0,0,0,1077,0,0,0,462,0,0,78,0,0,29,503,1077,569,
"Musselburgh West",258,0,0,0,587,0,0,0,326,0,0,79,0,0,17,258,587,422,
"Musselburgh North",1018,0,0,0,1201,0,0,0,313,0,0,35,0,0,11,1018,1201,359,
"Musselburgh East",675,0,0,0,1033,0,0,0,411,0,0,68,0,0,17,675,1033,496,
"Pinkie Braes",265,0,0,0,452,0,0,0,214,0,0,41,0,0,13,265,452,268,
"Prestonpans West",609,0,0,0,1089,0,0,0,578,0,0,108,0,0,37,609,1089,723,
"Prestonpans East",409,0,0,0,854,0,0,0,442,0,0,89,0,0,49,409,854,584,
"Cockenzie",398,0,0,0,1110,0,0,0,639,0,0,162,0,0,54,398,1110,855,
"Tranent East",495,0,0,0,809,0,0,0,400,0,0,101,0,0,32,495,809,533,
"Tranent North Blindwells Levenhall",156,0,0,0,519,0,0,0,451,0,0,90,0,0,30,156,519,571,
"Tranent South",462,0,0,0,1096,0,0,0,751,0,0,197,0,0,61,462,1096,1006,
"Ormiston",191,0,0,0,529,0,0,0,361,0,0,83,0,0,35,191,529,479,
"Aberlady",142,0,0,0,513,0,0,0,395,0,0,80,0,0,40,142,513,515,
"Macmerry Longniddry",205,0,0,0,749,0,0,0,595,0,0,135,0,0,45,205,749,776,
"Haddington Rural",64,0,0,0,502,0,0,0,508,0,0,81,0,0,34,64,502,626,
"Humbie Gifford Garvald",166,0,0,0,808,0,0,0,1016,0,0,224,0,0,118,166,808,1358,
"Haddington North",245,0,0,0,853,0,0,0,579,0,0,127,0,0,32,245,853,737,
"Haddington South",620,0,0,0,1132,0,0,0,461,0,0,105,0,0,28,620,1132,597,
"Gullane and Drem",185,0,0,0,880,0,0,0,740,0,0,156,0,0,64,185,880,960,
"North Berwick North",321,0,0,0,715,0,0,0,371,0,0,78,0,0,15,321,715,464,
"North Berwick South",292,0,0,0,1014,0,0,0,719,0,0,152,0,0,38,292,1014,909,
"East Linton and Rural",183,0,0,0,1082,0,0,0,965,0,0,236,0,0,78,183,1082,1280,
"Dunbar West",429,0,0,0,1173,0,0,0,704,0,0,138,0,0,33,429,1173,875,
"Dunbar East",393,0,0,0,927,0,0,0,469,0,0,95,0,0,33,393,927,597,
"Neilston East",356,0,0,0,543,0,0,0,308,0,0,89,0,0,42,356,543,437,
"Neilston West and Uplawmoor",121,0,0,0,650,0,0,0,531,0,0,133,0,0,45,121,650,712,
"Cross Stobbs",221,0,0,0,689,0,0,0,518,0,0,108,0,0,35,221,689,658,
"Dunterlie, East Arthurlie and Dovecothall",1113,0,0,0,1323,0,0,0,490,0,0,103,0,0,34,1113,1323,620,
"West Arthurlie, Gateside and Springhill",365,0,0,0,846,0,0,0,567,0,0,123,0,0,51,365,846,741,
"Auchenback and Barrhead Dams",450,0,0,0,779,0,0,0,415,0,0,76,0,0,29,450,779,519,
"Crookfur East, Fruin and Greenlaw East",216,0,0,0,755,0,0,0,644,0,0,116,0,0,42,216,755,802,
"Crookfur West and Greenlaw West",109,0,0,0,547,0,0,0,614,0,0,126,0,0,30,109,547,771,
"Mearns Village, Westacres and Greenfarm",343,0,0,0,860,0,0,0,778,0,0,196,0,0,58,343,860,1032,
"Whitecraigs and Broom North",82,0,0,0,457,0,0,0,629,0,0,193,0,0,96,82,457,918,
"Kirkhill South and Broom South",166,0,0,0,692,0,0,0,633,0,0,124,0,0,41,166,692,798,
"Mearnskirk and Maidenhill",98,0,0,0,541,0,0,0,701,0,0,157,0,0,59,98,541,917,
"Eaglesham and Waterfoot",235,0,0,0,859,0,0,0,810,0,0,171,0,0,62,235,859,1047,
"Kirkhill North",99,0,0,0,603,0,0,0,559,0,0,98,0,0,25,99,603,682,
"Busby",324,0,0,0,811,0,0,0,381,0,0,75,0,0,14,324,811,474,
"Clarkston and Sheddens",242,0,0,0,962,0,0,0,865,0,0,161,0,0,50,242,962,1076,
"Williamwood",75,0,0,0,499,0,0,0,482,0,0,80,0,0,17,75,499,582,
"Stamperland",183,0,0,0,693,0,0,0,461,0,0,80,0,0,26,183,693,569,
"Netherlee",271,0,0,0,824,0,0,0,630,0,0,99,0,0,32,271,824,761,
"Merrylee and Braidbar",239,0,0,0,908,0,0,0,633,0,0,137,0,0,38,239,908,805,
"Lower Whitecraigs and Giffnock South",113,0,0,0,415,0,0,0,542,0,0,126,0,0,63,113,415,729,
"Giffnock North and Thornliebank North",505,0,0,0,758,0,0,0,388,0,0,61,0,0,21,505,758,470,
"Thornliebank South and Woodfarm",337,0,0,0,744,0,0,0,450,0,0,97,0,0,45,337,744,591,
"Dunipace",370,0,0,0,646,0,0,0,417,0,0,97,0,0,55,370,646,569,
"Fankerton, Stoneywood and Denny Town",414,0,0,0,844,0,0,0,791,0,0,171,0,0,72,414,844,1034,
"Denny - Nethermains",461,0,0,0,785,0,0,0,425,0,0,123,0,0,30,461,785,579,
"Head of Muir and Dennyloanhead",113,0,0,0,456,0,0,0,442,0,0,145,0,0,54,113,456,646,
"Banknock, Haggs and Longcroft",262,0,0,0,692,0,0,0,503,0,0,135,0,0,51,262,692,689,
"Bonnybridge",456,0,0,0,899,0,0,0,578,0,0,170,0,0,47,456,899,797,
"High Bonnybridge and Greenhill",213,0,0,0,562,0,0,0,533,0,0,126,0,0,56,213,562,713,
"Larbert - Inches",117,0,0,0,772,0,0,0,1019,0,0,191,0,0,74,117,772,1287,
"Larbert - North Broomage",225,0,0,0,560,0,0,0,382,0,0,94,0,0,39,225,560,517,
"Larbert - South Broomage and Village",211,0,0,0,665,0,0,0,608,0,0,137,0,0,44,211,665,789,
"Stenhousemuir West",450,0,0,0,630,0,0,0,279,0,0,86,0,0,28,450,630,393,
"Stenhousemuir East",265,0,0,0,688,0,0,0,445,0,0,113,0,0,24,265,688,582,
"Stenhousemuir - Antonshill",157,0,0,0,675,0,0,0,515,0,0,101,0,0,23,157,675,639,
"Carron",151,0,0,0,551,0,0,0,339,0,0,91,0,0,33,151,551,470,
"Carronshore",184,0,0,0,489,0,0,0,321,0,0,90,0,0,25,184,489,435,
"Carse and Grangemouth Old Town",141,0,0,0,485,0,0,0,373,0,0,97,0,0,36,141,485,506,
"Falkirk - Bainsford and Langlees",673,0,0,0,727,0,0,0,265,0,0,59,0,0,18,673,727,342,
"Falkirk - Merchiston and New Carron Village",320,0,0,0,814,0,0,0,584,0,0,143,0,0,45,320,814,776,
"Falkirk - Grahamston",744,0,0,0,883,0,0,0,276,0,0,42,0,0,12,744,883,330,
"Falkirk - Westfield",293,0,0,0,436,0,0,0,184,0,0,38,0,0,9,293,436,235,
"Falkirk - Middlefield",329,0,0,0,578,0,0,0,258,0,0,41,0,0,10,329,578,312,
"Falkirk - Town Centre and Callendar Park",905,0,0,0,951,0,0,0,237,0,0,56,0,0,10,905,951,303,
"Falkirk - Bantaskin",306,0,0,0,729,0,0,0,428,0,0,95,0,0,34,306,729,553,
"Falkirk - Camelon East",669,0,0,0,669,0,0,0,195,0,0,37,0,0,14,669,669,246,
"Falkirk - Camelon West",379,0,0,0,527,0,0,0,242,0,0,50,0,0,13,379,527,305,
"Falkirk - Tamfourhill",428,0,0,0,584,0,0,0,279,0,0,53,0,0,15,428,584,346,
"Falkirk - Lochgreen and Lionthorn",105,0,0,0,556,0,0,0,610,0,0,166,0,0,53,105,556,829,
"Hallglen and Glen Village",396,0,0,0,647,0,0,0,284,0,0,75,0,0,17,396,647,378,
"Shieldhill",143,0,0,0,387,0,0,0,362,0,0,81,0,0,34,143,387,479,
"Braes Villages",309,0,0,0,816,0,0,0,601,0,0,195,0,0,77,309,816,873,
"Reddingmuirhead and Overton",90,0,0,0,584,0,0,0,902,0,0,161,0,0,39,90,584,1100,
"Brightons and Wallacestone",180,0,0,0,742,0,0,0,602,0,0,131,0,0,35,180,742,768,
"Maddiston and Rumford",239,0,0,0,815,0,0,0,773,0,0,154,0,0,46,239,815,969,
"Polmont",200,0,0,0,947,0,0,0,625,0,0,125,0,0,26,200,947,783,
"Redding",257,0,0,0,573,0,0,0,361,0,0,89,0,0,29,257,573,477,
"Laurieston and Westquarter",366,0,0,0,716,0,0,0,341,0,0,78,0,0,16,366,716,435,
"Grangemouth - Newlands",657,0,0,0,1063,0,0,0,480,0,0,98,0,0,46,657,1063,627,
"Grangemouth - Town Centre",536,0,0,0,905,0,0,0,383,0,0,92,0,0,31,536,905,506,
"Grangemouth - Kersiebank",577,0,0,0,942,0,0,0,415,0,0,92,0,0,27,577,942,534,
"Grangemouth - Bowhouse",636,0,0,0,807,0,0,0,307,0,0,73,0,0,15,636,807,395,
"Bo'ness - Kinneil",323,0,0,0,837,0,0,0,581,0,0,134,0,0,53,323,837,768,
"Bo'ness - Newtown",283,0,0,0,641,0,0,0,462,0,0,111,0,0,30,283,641,603,
"Bo'ness - town centre",414,0,0,0,733,0,0,0,318,0,0,77,0,0,16,414,733,411,
"Blackness, Bo'ness - Carriden and Grahamsdyke",398,0,0,0,985,0,0,0,658,0,0,131,0,0,59,398,985,848,
"Kincardine",276,0,0,0,696,0,0,0,411,0,0,95,0,0,43,276,696,549,
"Comrie and Oakley",295,0,0,0,583,0,0,0,324,0,0,94,0,0,32,295,583,447,
"Blairhall Saline and Carnock",199,0,0,0,716,0,0,0,667,0,0,173,0,0,51,199,716,894,
"Valleyfield Culross and Torryburn",361,0,0,0,739,0,0,0,498,0,0,104,0,0,50,361,739,656,
"Cairneyhill and Crombie",121,0,0,0,602,0,0,0,415,0,0,120,0,0,45,121,602,580,
"Crossford Charlestown and Limekilns",189,0,0,0,797,0,0,0,662,0,0,145,0,0,56,189,797,863,
"Dunfermline Milesmark and Wellwood",225,0,0,0,773,0,0,0,640,0,0,121,0,0,37,225,773,798,
"Dunfermline Baldridgeburn",798,0,0,0,926,0,0,0,289,0,0,53,0,0,10,798,926,352,
"Dunfermline Headwell",688,0,0,0,1022,0,0,0,431,0,0,90,0,0,22,688,1022,543,
"Dunfermline Central",531,0,0,0,842,0,0,0,316,0,0,61,0,0,23,531,842,398,
"Dunfermline Brucefield",427,0,0,0,692,0,0,0,281,0,0,60,0,0,21,427,692,362,
"Dunfermline Garvock Hill",147,0,0,0,569,0,0,0,444,0,0,110,0,0,24,147,569,578,
"Townhill and Kingseat",189,0,0,0,541,0,0,0,349,0,0,101,0,0,29,189,541,476,
"Dunfermline Bellyeoman",231,0,0,0,682,0,0,0,394,0,0,79,0,0,27,231,682,500,
