SuperWEB2(tm)

"Household"
"Data Zone (2022) by Type of accomodation - 3 groups, collapsed and Household size - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Type of accomodation - 3 groups, collapsed","Whole house or bungalow",,,,,"Flat, maisonette or apartment",,,,,"Caravan or other mobile or temporary structure",,,,,
"Household size - 5 groups, collapsed","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people","One person","Two people","Three people","Four people","Five or more people",
"Data Zone (2022)",
"S01013561",10,10,4,8,9,268,168,25,13,5,0,0,0,0,0,
"S01013562",1,0,0,0,0,213,137,43,6,2,0,0,0,0,0,
"S01013563",11,8,6,6,0,229,116,15,7,2,0,0,0,0,0,
"S01013564",12,13,2,1,1,295,117,37,14,14,0,0,0,0,0,
"S01013565",10,1,3,2,1,378,99,29,3,0,0,0,0,0,0,
"S01013566",7,5,3,0,1,237,106,15,10,3,0,0,0,0,0,
"S01013567",2,2,3,4,1,251,106,28,5,5,0,0,0,0,0,
"S01013568",6,1,3,2,0,185,119,22,16,4,0,0,0,0,0,
"S01013569",13,8,4,4,7,213,118,23,5,6,0,0,0,0,0,
"S01013570",7,10,11,9,9,175,116,24,6,4,0,0,0,0,0,
"S01013571",23,25,8,18,2,147,105,10,13,2,0,0,0,0,0,
"S01013572",11,21,15,6,1,185,93,15,13,4,0,0,0,0,0,
"S01013573",33,15,6,7,0,216,61,10,4,1,0,0,0,0,0,
"S01013574",25,13,8,12,4,290,141,21,11,3,0,0,0,0,0,
"S01013575",28,37,16,16,7,175,86,16,14,1,0,0,0,0,0,
"S01013576",6,4,3,3,0,278,74,9,5,0,0,0,0,0,0,
"S01013577",57,110,46,40,12,58,39,8,8,4,0,0,0,0,0,
"S01013578",43,32,10,2,1,282,121,21,8,1,0,0,0,0,0,
"S01013579",53,84,35,29,8,257,76,12,10,0,0,0,0,0,0,
"S01013580",73,77,21,27,17,213,58,15,7,3,1,0,0,0,0,
"S01013581",49,88,31,28,6,118,62,16,8,3,0,0,0,0,0,
"S01013582",90,66,20,23,6,47,30,19,10,7,0,0,0,0,0,
"S01013583",82,105,41,24,4,47,27,17,9,3,0,0,0,0,0,
"S01013584",42,42,17,16,6,104,39,22,7,3,0,0,0,0,0,
"S01013585",84,99,33,25,7,67,46,17,10,2,0,1,0,0,0,
"S01013586",61,70,33,31,3,59,41,29,23,13,0,0,0,0,0,
"S01013587",74,143,65,53,11,2,7,0,1,0,1,0,0,0,0,
"S01013588",39,64,54,55,16,52,29,21,7,0,0,0,0,0,0,
"S01013589",54,98,54,47,1,32,28,8,0,0,0,0,0,0,0,
"S01013590",123,116,61,29,10,48,29,13,4,1,0,0,0,0,0,
"S01013591",57,50,24,13,1,40,37,12,5,0,0,0,0,0,0,
"S01013592",89,100,49,32,12,83,36,20,8,3,2,0,0,0,0,
"S01013593",108,131,52,31,11,10,5,4,2,0,0,0,0,0,0,
"S01013594",48,72,27,21,9,44,10,2,0,0,0,0,0,0,0,
"S01013595",77,84,44,39,13,3,0,1,0,0,0,0,0,0,0,
"S01013596",30,91,54,75,17,0,0,0,0,1,0,0,0,0,0,
"S01013597",60,113,35,30,4,66,14,0,0,0,0,0,0,0,0,
"S01013598",94,102,36,31,5,8,10,3,1,1,0,0,0,0,0,
"S01013599",62,94,26,16,0,19,4,1,0,0,0,0,0,0,0,
"S01013600",110,125,60,49,13,31,9,3,2,0,0,0,0,0,0,
"S01013601",110,151,43,31,6,13,3,4,0,0,0,0,0,0,0,
"S01013602",73,77,27,20,6,20,9,1,3,0,0,0,0,0,0,
"S01013603",71,90,36,17,6,52,22,8,4,2,0,0,0,0,0,
"S01013604",18,25,14,13,5,132,111,58,29,6,0,0,0,0,0,
"S01013605",66,72,35,27,10,50,57,17,16,9,0,0,0,0,0,
