SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household tenure - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household tenure - 5 groups, collapsed","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Total",
"Data Zone (2022)",
"S01013641",80,67,9,168,1,328,
"S01013642",24,28,69,101,4,226,
"S01013643",99,39,6,96,2,242,
"S01013644",38,22,126,85,3,270,
"S01013645",56,33,20,123,7,239,
"S01013646",31,33,33,128,1,229,
"S01013647",46,49,57,209,7,368,
"S01013648",39,105,346,113,3,607,
"S01013649",32,17,308,69,5,434,
"S01013650",53,65,83,197,7,409,
"S01013651",61,36,337,145,14,591,
"S01013652",56,72,104,147,7,387,
"S01013653",55,40,45,69,6,212,
"S01013654",34,28,168,100,6,340,
"S01013655",64,46,263,101,9,483,
"S01013656",57,5,210,20,9,302,
"S01013657",14,22,286,19,3,341,
"S01013658",26,29,228,36,2,321,
"S01013659",57,51,332,96,5,544,
"S01013660",36,68,237,27,11,379,
"S01013661",48,73,177,42,4,344,
"S01013662",132,106,33,30,6,307,
"S01013663",42,35,342,18,3,439,
"S01013664",61,145,184,65,3,458,
"S01013665",28,41,274,29,0,376,
"S01013666",42,57,207,50,4,364,
"S01013667",39,53,225,67,9,390,
"S01013668",54,64,164,51,5,341,
"S01013669",74,63,84,41,2,263,
"S01013670",105,99,125,68,4,402,
"S01013671",186,101,165,38,5,495,
"S01013672",157,177,14,179,6,535,
"S01013673",89,81,45,80,6,299,
"S01013674",113,88,32,96,6,338,
"S01013675",146,93,34,63,3,339,
"S01013676",154,129,127,133,4,548,
"S01013677",60,53,373,35,9,530,
"S01013678",100,106,86,20,7,321,
"S01013679",95,80,156,40,1,365,
"S01013680",111,67,168,46,10,399,
"S01013681",62,36,234,61,6,396,
"S01013682",75,54,24,36,4,196,
"S01013683",121,77,129,58,8,393,
"S01013684",60,67,165,17,6,316,
"S01013685",109,120,85,12,2,328,
"S01013686",69,61,127,19,2,280,
"S01013687",46,73,142,12,2,275,
"S01013688",92,122,168,13,9,404,
"S01013689",67,99,94,12,5,273,
"S01013690",52,52,92,13,8,220,
"S01013691",89,111,157,14,4,374,
"S01013692",95,100,205,27,5,435,
"S01013693",124,112,154,19,4,413,
"S01013694",109,112,190,25,7,445,
"S01013695",84,75,73,8,7,248,
"S01013696",100,113,204,24,4,448,
"S01013697",91,91,117,10,0,309,
"S01013698",41,45,111,11,3,212,
"S01013699",71,47,101,12,4,234,
"S01013700",122,113,177,10,3,426,
"S01013701",65,61,100,13,7,246,
"S01013702",99,126,135,14,2,374,
"S01013703",77,71,97,9,3,258,
"S01013704",104,111,107,13,4,338,
"S01013705",82,93,105,16,0,293,
"S01013706",84,103,78,9,1,275,
"S01013707",33,51,227,6,0,314,
"S01013708",72,84,105,1,5,267,
"S01013709",25,28,182,25,2,262,
"S01013710",37,29,385,18,2,469,
"S01013711",70,104,130,22,3,331,
"S01013712",48,41,317,23,1,436,
"S01013713",78,96,78,11,1,266,
"S01013714",75,53,118,8,7,261,
"S01013715",174,127,1,20,1,323,
"S01013716",147,84,7,7,0,243,
"S01013717",122,228,13,39,0,397,
"S01013718",151,141,15,21,0,327,
"S01013719",69,77,7,20,3,174,
"S01013720",29,192,80,62,2,365,
"S01013721",84,61,11,42,1,199,
"S01013722",133,181,4,38,5,355,
"S01013723",51,180,61,22,0,316,
"S01013724",26,141,87,268,2,522,
"S01013725",64,107,75,89,6,341,
"S01013726",32,240,47,39,1,360,
"S01013727",70,233,34,111,4,452,
"S01013728",109,116,81,19,4,329,
"S01013729",127,82,104,16,8,336,
"S01013730",70,70,74,8,2,227,
"S01013731",121,204,61,55,6,440,
"S01013732",93,103,50,38,5,291,
"S01013733",129,83,173,67,6,463,
"S01013734",116,115,123,28,4,387,
"S01013735",156,89,1,7,2,258,
"S01013736",55,136,22,8,3,224,
"S01013737",106,96,185,32,6,425,
"S01013738",106,148,54,52,6,366,
"S01013739",141,133,102,31,4,411,
"S01013740",114,92,55,18,3,284,
"S01013741",72,57,46,15,1,195,
"S01013742",130,88,86,24,2,330,
"S01013743",211,125,60,35,7,446,
"S01013744",222,126,19,24,5,396,
"S01013745",108,115,23,50,0,300,
"S01013746",62,147,4,66,2,280,
"S01013747",151,154,5,29,3,342,
"S01013748",148,118,0,36,3,308,
"S01013749",161,69,3,11,3,247,
"S01013750",106,118,0,31,0,251,
"S01013751",198,96,1,30,6,333,
"S01013752",76,190,10,39,3,317,
"S01013753",227,109,75,13,4,428,
"S01013754",87,206,2,43,3,342,
"S01013755",134,175,2,34,0,347,
"S01013756",111,133,0,23,7,277,
"S01013757",118,101,3,13,1,237,
"S01013758",145,90,25,21,5,285,
"S01013759",130,75,0,6,0,213,
"S01013760",167,152,49,23,4,393,
"S01013761",160,95,1,9,2,269,
"S01013762",82,62,1,5,0,150,
"S01013763",178,139,1,29,1,344,
"S01013764",176,155,7,26,1,365,
"S01013765",136,76,5,5,1,221,
"S01013766",135,187,90,51,6,466,
"S01013767",82,65,124,20,5,296,
"S01013768",170,75,1,11,3,261,
"S01013769",151,82,29,20,2,287,
"S01013770",84,75,82,14,4,258,
"S01013771",93,71,47,16,3,226,
"S01013772",169,89,2,9,7,272,
"S01013773",163,144,30,48,4,392,
"S01013774",150,57,29,12,9,255,
"S01013775",129,100,5,44,5,283,
"S01013776",116,92,0,5,1,217,
"S01013777",154,137,12,24,3,330,
"S01013778",136,95,29,18,2,280,
"S01013779",58,181,51,18,4,310,
"S01013780",67,169,16,25,5,284,
"S01013781",22,232,7,15,0,280,
"S01013782",155,62,22,49,4,291,
"S01013783",206,71,130,38,11,456,
"S01013784",127,48,21,63,30,289,
"S01013785",109,44,8,118,33,312,
"S01013786",125,43,48,41,33,289,
"S01013787",127,71,60,19,7,283,
"S01013788",180,85,34,36,4,337,
"S01013789",127,121,23,6,5,283,
"S01013790",125,73,2,54,21,278,
"S01013791",115,69,8,51,17,260,
"S01013792",159,117,109,31,5,421,
"S01013793",187,108,6,33,8,342,
"S01013794",135,94,3,16,5,252,
"S01013795",31,122,70,10,0,238,
"S01013796",100,102,96,23,0,315,
"S01013797",84,119,7,16,4,233,
"S01013798",131,159,67,51,5,413,
"S01013799",112,89,45,61,18,330,
"S01013800",89,52,5,15,5,169,
"S01013801",185,178,34,65,12,472,
"S01013802",107,103,3,47,12,271,
"S01013803",109,76,114,20,4,318,
"S01013804",99,104,3,11,1,218,
"S01013805",165,114,80,34,7,399,
"S01013806",132,141,6,56,15,344,
"S01013807",78,82,48,13,4,225,
"S01013808",134,139,39,36,9,352,
"S01013809",120,164,57,22,8,369,
"S01013810",179,150,20,11,4,364,
"S01013811",75,93,120,13,4,305,
"S01013812",143,128,49,22,6,348,
"S01013813",90,69,23,23,11,216,
"S01013814",160,106,19,29,13,325,
"S01013815",177,102,8,38,10,334,
"S01013816",91,77,3,14,2,187,
"S01013817",109,73,3,26,7,218,
"S01013818",43,170,22,34,0,270,
"S01013819",32,167,10,28,2,235,
"S01013820",144,113,6,40,9,313,
