SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household tenure - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household tenure - 5 groups, collapsed","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Total",
"Data Zone (2022)",
"S01014879",169,159,20,79,7,434,
"S01014880",126,100,25,35,5,291,
"S01014881",196,136,14,52,3,401,
"S01014882",214,85,16,40,0,357,
"S01014883",141,45,0,22,4,217,
"S01014884",215,151,42,91,4,506,
"S01014885",258,168,4,64,4,494,
"S01014886",196,136,13,48,9,400,
"S01014887",68,137,78,168,2,455,
"S01014888",61,110,60,219,11,461,
"S01014889",86,118,5,80,3,296,
"S01014890",194,183,23,266,6,674,
"S01014891",166,166,40,205,9,587,
"S01014892",184,162,10,144,4,505,
"S01014893",98,136,19,136,2,387,
"S01014894",65,176,6,150,2,406,
"S01014895",86,77,8,149,5,327,
"S01014896",39,64,102,114,4,325,
"S01014897",68,100,22,172,3,365,
"S01014898",151,99,18,239,10,519,
"S01014899",97,73,27,134,3,334,
"S01014900",70,41,5,109,2,227,
"S01014901",166,89,16,130,4,404,
"S01014902",129,65,1,148,4,348,
"S01014903",159,85,14,91,9,358,
"S01014904",172,69,134,194,6,575,
"S01014905",231,94,4,107,16,451,
"S01014906",92,60,5,85,12,256,
"S01014907",191,97,1,191,8,485,
"S01014908",98,49,4,148,5,306,
"S01014909",85,109,5,134,9,342,
"S01014910",86,94,5,184,4,373,
"S01014911",165,99,7,155,8,432,
"S01014912",138,69,1,110,2,326,
"S01014913",158,109,79,306,15,667,
"S01014914",166,129,25,184,4,508,
"S01014915",171,89,2,81,4,347,
"S01014916",143,123,34,247,12,553,
"S01014917",106,108,13,148,7,382,
"S01014918",177,109,5,134,4,429,
"S01014919",136,107,4,121,4,364,
"S01014920",132,107,2,165,3,401,
"S01014921",217,145,2,112,8,487,
"S01014922",173,137,3,126,5,444,
"S01014923",140,118,10,149,7,425,
"S01014924",223,124,2,97,8,455,
"S01014925",198,121,51,168,12,554,
"S01014926",136,103,10,238,8,494,
"S01014927",235,155,50,159,12,611,
"S01014928",180,118,2,113,4,418,
"S01014929",146,133,26,201,3,509,
"S01014930",187,86,3,15,4,295,
"S01014931",112,83,6,31,0,232,
"S01014932",184,145,64,53,7,453,
"S01014933",159,137,25,60,5,387,
"S01014934",133,98,20,32,5,284,
"S01014935",232,94,1,46,1,370,
"S01014936",202,186,2,41,4,430,
"S01014937",225,134,4,19,4,382,
"S01014938",190,91,1,20,4,306,
"S01014939",189,142,1,9,1,339,
"S01014940",236,147,4,101,6,497,
"S01014941",138,93,3,35,0,271,
"S01014942",141,118,0,124,6,389,
"S01014943",193,149,2,91,7,445,
"S01014944",180,144,15,10,2,355,
"S01014945",181,146,2,7,3,342,
"S01014946",240,135,51,97,6,529,
"S01014947",185,150,4,19,1,355,
"S01014948",201,122,22,15,6,366,
"S01014949",160,121,1,18,5,305,
"S01014950",118,114,2,13,0,247,
"S01014951",153,123,0,25,5,305,
"S01014952",198,120,0,11,1,333,
"S01014953",91,100,138,37,2,368,
"S01014954",137,136,75,51,4,403,
"S01014955",116,114,95,33,7,363,
"S01014956",91,145,146,96,8,483,
"S01014957",167,119,122,35,9,455,
"S01014958",73,106,113,125,3,416,
"S01014959",52,80,219,123,4,479,
"S01014960",32,66,177,78,7,360,
"S01014961",17,71,255,57,7,409,
"S01014962",46,91,108,78,6,331,
"S01014963",67,176,63,94,3,403,
"S01014964",113,149,10,70,0,342,
"S01014965",53,103,6,47,2,207,
"S01014966",43,181,3,132,6,365,
"S01014967",59,100,92,93,6,347,
"S01014968",163,171,14,58,9,419,
"S01014969",66,156,6,52,1,285,
"S01014970",142,159,52,25,5,380,
"S01014971",115,82,12,18,0,230,
"S01014972",113,87,268,73,9,547,
"S01014973",30,49,229,31,8,347,
"S01014974",9,17,177,25,1,231,
"S01014975",12,27,182,24,1,247,
"S01014976",39,156,53,77,3,328,
"S01014977",77,133,60,122,0,397,
"S01014978",16,40,169,88,3,313,
"S01014979",52,69,302,57,8,488,
"S01014980",76,108,108,79,6,377,
"S01014981",84,78,220,101,6,493,
"S01014982",28,36,240,34,2,340,
"S01014983",69,91,50,66,4,279,
"S01014984",63,99,48,31,1,243,
"S01014985",27,181,118,142,3,474,
"S01014986",32,107,145,122,6,408,
"S01014987",35,94,384,36,4,551,
"S01014988",17,48,265,44,4,374,
"S01014989",20,75,101,17,2,208,
"S01014990",1,7,221,12,1,245,
"S01014991",36,27,176,30,5,274,
"S01014992",68,136,91,118,6,419,
"S01014993",25,49,183,23,3,283,
"S01014994",77,84,100,66,5,335,
"S01014995",176,144,7,31,6,362,
"S01014996",87,71,0,0,1,159,
"S01014997",201,153,10,56,4,426,
"S01014998",134,128,2,19,0,283,
"S01014999",156,141,3,14,0,314,
"S01015000",162,81,1,4,3,251,
"S01015001",187,148,15,35,6,387,
"S01015002",141,140,3,48,2,331,
"S01015003",200,128,2,13,1,344,
"S01015004",244,160,2,25,1,428,
"S01015005",177,161,0,23,7,370,
"S01015006",302,139,2,19,5,473,
"S01015007",277,159,8,17,2,464,
"S01015008",152,112,20,16,2,299,
"S01015009",131,172,61,23,10,397,
"S01015010",155,183,49,29,7,421,
"S01015011",101,135,125,66,10,436,
"S01015012",77,137,120,78,9,421,
"S01015013",126,143,87,48,10,414,
"S01015014",123,136,159,58,11,486,
"S01015015",130,156,17,46,16,365,
"S01015016",165,188,68,45,3,471,
"S01015017",151,122,94,60,4,429,
"S01015018",100,123,154,67,3,448,
"S01015019",135,145,56,28,1,365,
"S01015020",168,163,10,73,5,426,
"S01015021",160,194,38,53,0,449,
"S01015022",156,125,2,28,3,313,
"S01015023",159,103,2,11,0,279,
"S01015024",199,122,5,22,0,348,
"S01015025",128,73,2,9,3,215,
"S01015026",190,134,15,9,0,348,
"S01015027",143,99,16,12,2,271,
"S01015028",251,162,3,9,5,430,
"S01015029",120,87,2,5,2,210,
"S01015030",52,144,61,42,2,301,
"S01015031",95,96,1,4,1,197,
"S01015032",194,184,19,27,6,429,
"S01015033",232,154,8,42,3,442,
"S01015034",146,117,0,11,0,271,
"S01015035",159,127,3,12,4,305,
"S01015036",191,136,3,60,7,400,
"S01015037",174,132,11,53,3,373,
"S01015038",155,82,103,79,10,436,
"S01015039",116,82,0,12,0,210,
"S01015040",174,65,8,14,3,264,
"S01015041",93,103,6,47,1,252,
"S01015042",85,135,3,85,2,310,
"S01015043",95,128,6,100,0,334,
"S01015044",185,123,2,16,2,331,
"S01015045",110,155,2,88,2,357,
"S01015046",70,123,15,108,4,320,
"S01015047",74,94,3,57,2,230,
"S01015048",139,256,29,99,3,519,
"S01015049",179,142,0,13,2,336,
"S01015050",198,108,3,13,4,325,
"S01015051",177,135,26,140,4,487,
"S01015052",89,145,8,109,2,350,
"S01015053",128,250,41,121,5,546,
"S01015054",163,164,2,56,4,387,
"S01015055",101,76,31,46,7,261,
"S01015056",110,100,75,26,2,313,
"S01015057",155,126,12,31,3,331,
"S01015058",79,90,51,24,4,242,
"S01015059",44,95,13,8,1,162,
"S01015060",48,150,108,29,0,335,
"S01015061",146,138,70,43,5,405,
"S01015062",150,97,8,10,5,271,
"S01015063",48,118,52,17,1,232,
"S01015064",156,103,33,9,2,301,
"S01015065",43,199,4,4,1,251,
"S01015066",37,113,3,26,4,183,
"S01015067",90,78,29,14,0,208,
"S01015068",45,104,71,36,0,257,
"S01015069",55,129,1,14,0,199,
"S01015070",76,116,25,24,3,243,
"S01015071",53,174,56,37,3,323,
"S01015072",37,156,35,33,2,263,
"S01015073",159,166,33,47,7,413,
"S01015074",121,112,14,22,0,271,
"S01015075",119,130,10,32,4,295,
"S01015076",138,130,36,29,4,335,
"S01015077",116,109,38,18,5,285,
"S01015078",199,137,44,54,5,439,
"S01015079",45,91,90,30,3,255,
"S01015080",154,171,22,55,0,405,
"S01015081",145,160,4,10,3,322,
"S01015082",135,130,4,17,2,292,
"S01015083",176,144,9,20,2,348,
"S01015084",131,94,19,20,3,264,
"S01015085",51,51,180,9,1,290,
"S01015086",83,74,318,32,9,516,
"S01015087",82,55,43,14,6,199,
"S01015088",155,171,31,19,10,388,
"S01015089",86,138,10,6,3,246,
"S01015090",94,87,168,24,4,384,
"S01015091",37,31,127,21,3,219,
"S01015092",176,180,15,34,4,405,
"S01015093",87,78,91,27,1,287,
"S01015094",70,84,172,17,2,345,
"S01015095",93,156,16,10,0,281,
"S01015096",91,118,46,24,3,285,
"S01015097",114,90,45,22,3,278,
"S01015098",108,131,47,44,2,332,
"S01015099",208,101,11,12,4,340,
"S01015100",187,113,71,18,7,393,
"S01015101",140,119,119,57,8,445,
"S01015102",120,62,102,24,3,317,
"S01015103",150,112,117,81,18,477,
"S01015104",154,159,50,50,10,422,
"S01015105",85,50,27,36,5,203,
"S01015106",132,63,8,6,1,209,
"S01015107",172,135,61,31,7,409,
"S01015108",185,138,100,42,5,469,
"S01015109",53,50,111,17,2,233,
"S01015110",126,104,54,46,2,332,
"S01015111",52,66,185,50,4,361,
"S01015112",63,44,88,28,2,225,
"S01015113",123,65,116,33,10,343,
"S01015114",142,97,67,32,0,338,
"S01015115",113,83,89,13,0,299,
"S01015116",139,79,5,4,0,229,
"S01015117",134,55,5,7,1,202,
"S01015118",182,109,67,20,7,383,
"S01015119",215,160,36,50,10,476,
"S01015120",133,113,5,17,4,268,
"S01015121",104,69,2,9,2,185,
"S01015122",130,68,6,14,1,219,
"S01015123",221,132,48,32,8,439,
"S01015124",168,98,149,23,4,444,
"S01015125",97,74,141,16,6,335,
"S01015126",127,71,65,19,6,292,
"S01015127",71,215,38,15,1,341,
"S01015128",55,51,70,10,2,184,
"S01015129",70,188,7,9,2,276,
"S01015130",66,63,56,14,2,204,
"S01015131",58,57,225,29,11,377,
"S01015132",59,62,217,45,4,384,
"S01015133",103,140,160,42,5,450,
"S01015134",122,68,21,10,0,223,
"S01015135",144,75,59,12,3,293,
"S01015136",129,82,163,32,6,411,
"S01015137",49,54,194,56,7,361,
"S01015138",105,106,80,70,6,367,
"S01015139",59,49,275,26,8,415,
"S01015140",59,31,215,29,5,339,
"S01015141",52,43,234,42,5,376,
"S01015142",94,63,304,133,7,601,
"S01015143",155,132,148,87,3,521,
"S01015144",156,89,13,37,6,297,
"S01015145",101,168,98,17,0,384,
"S01015146",71,64,147,36,6,324,
"S01015147",72,50,55,14,8,201,
"S01015148",61,84,95,21,4,269,
"S01015149",62,54,87,18,5,224,
"S01015150",108,78,19,12,0,216,
"S01015151",141,163,20,25,4,356,
"S01015152",145,129,50,17,3,348,
"S01015153",106,91,25,15,0,239,
"S01015154",153,171,76,69,4,475,
"S01015155",75,116,35,49,7,284,
"S01015156",126,138,26,32,6,331,
"S01015157",91,37,72,29,8,239,
"S01015158",105,91,63,23,6,290,
"S01015159",93,46,70,54,5,263,
"S01015160",80,41,342,35,7,509,
"S01015161",281,115,19,28,5,447,
"S01015162",127,54,22,31,5,242,
"S01015163",193,67,15,37,19,331,
"S01015164",241,65,40,62,10,418,
"S01015165",118,61,126,106,7,414,
"S01015166",165,130,79,97,13,484,
"S01015167",192,91,61,45,5,394,
"S01015168",165,85,119,44,6,420,
"S01015169",120,127,185,59,8,496,
"S01015170",115,79,43,28,3,264,
"S01015171",137,80,102,43,5,365,
"S01015172",185,101,85,103,21,495,
"S01015173",126,53,54,21,5,259,
"S01015174",186,88,70,57,13,414,
"S01015175",107,20,44,102,11,288,
"S01015176",202,37,43,43,9,334,
"S01015177",226,77,64,84,17,468,
"S01015178",161,48,33,57,12,315,
"S01015179",138,55,28,56,17,295,
"S01015180",162,41,5,47,15,270,
"S01015181",214,66,99,61,17,461,
"S01015182",186,43,36,50,13,331,
"S01015183",164,53,18,34,13,285,
"S01015184",254,62,95,54,22,484,
"S01015185",164,36,134,40,13,389,
"S01015186",150,26,35,32,11,254,
"S01015187",166,85,161,55,6,473,
"S01015188",107,36,42,72,0,257,
"S01015189",156,86,20,33,3,295,
"S01015190",92,47,89,35,6,269,
"S01015191",142,29,36,27,2,235,
"S01015192",130,71,114,37,12,364,
"S01015193",194,61,37,32,14,343,
"S01015194",189,67,33,58,7,354,
"S01015195",124,20,8,48,17,219,
"S01015196",271,78,98,39,13,499,
"S01015197",123,53,11,43,14,247,
"S01015198",221,79,21,50,26,399,
"S01015199",121,64,63,22,3,274,
"S01015200",177,49,99,60,6,394,
"S01015201",244,79,75,30,4,436,
"S01015202",125,59,96,66,4,348,
"S01015203",215,50,24,25,8,319,
"S01015204",124,37,4,69,13,247,
"S01015205",165,33,47,41,25,308,
"S01015206",117,37,22,39,26,245,
"S01015207",96,39,15,30,12,188,
"S01015208",176,84,122,51,11,444,
"S01015209",211,85,153,40,7,496,
"S01015210",169,95,121,109,9,505,
"S01015211",241,86,117,90,6,543,
"S01015212",140,63,13,57,21,294,
"S01015213",201,72,3,31,2,306,
"S01015214",191,102,151,32,3,484,
"S01015215",212,96,31,34,8,380,
"S01015216",180,76,122,60,8,445,
"S01015217",192,109,133,59,8,499,
"S01015218",376,72,8,51,12,520,
"S01015219",201,68,18,56,16,367,
"S01015220",113,60,14,22,18,227,
"S01015221",143,71,17,48,13,297,
"S01015222",134,77,42,35,10,295,
"S01015223",154,65,41,44,26,330,
"S01015224",217,98,73,71,7,466,
"S01015225",194,64,15,51,15,345,
"S01015226",88,56,74,35,9,261,
"S01015227",150,66,233,39,3,489,
"S01015228",69,31,161,15,0,276,
"S01015229",134,55,39,28,9,265,
"S01015230",77,35,107,16,3,241,
"S01015231",140,96,201,29,7,471,
"S01015232",100,57,13,26,14,203,
"S01015233",158,69,9,59,27,319,
"S01015234",213,79,132,51,9,488,
"S01015235",165,69,80,42,10,366,
"S01015236",169,58,55,72,17,364,
"S01015237",178,69,37,71,15,370,
"S01015238",201,117,57,56,10,444,
"S01015239",134,54,22,31,23,264,
"S01015240",128,56,9,39,9,238,
"S01015241",138,58,21,78,10,305,
"S01015242",182,69,11,47,16,325,
"S01015243",184,55,22,77,25,363,
"S01015244",233,109,18,30,6,398,
"S01015245",116,44,4,57,19,238,
"S01015246",89,64,55,24,4,236,
"S01015247",77,93,192,19,2,382,
"S01015248",89,63,220,34,5,407,
"S01015249",42,38,172,17,7,281,
"S01015250",68,47,209,15,3,345,
"S01015251",68,57,215,26,2,368,
"S01015252",53,56,171,22,1,301,
"S01015253",74,55,132,29,8,300,
"S01015254",66,41,92,22,5,226,
"S01015255",64,145,4,29,0,243,
"S01015256",36,114,6,21,2,179,
"S01015257",115,78,174,29,6,401,
"S01015258",74,42,321,100,8,545,
"S01015259",78,56,102,44,6,290,
"S01015260",318,146,33,37,6,540,
"S01015261",146,94,188,49,3,480,
"S01015262",154,79,37,46,6,322,
"S01015263",219,116,22,17,2,372,
"S01015264",171,95,29,105,7,407,
"S01015265",178,87,3,11,8,287,
"S01015266",111,68,42,54,7,279,
"S01015267",67,72,113,104,4,359,
"S01015268",234,130,55,60,5,488,
"S01015269",163,95,36,31,4,327,
"S01015270",223,75,55,80,13,448,
"S01015271",135,33,0,48,7,227,
"S01015272",118,63,8,61,7,257,
"S01015273",140,63,11,47,7,268,
"S01015274",164,110,82,43,6,407,
"S01015275",182,127,43,57,24,433,
"S01015276",102,129,26,60,4,322,
"S01015277",151,89,0,28,2,272,
"S01015278",168,123,0,20,4,315,
"S01015279",251,94,4,25,8,385,
"S01015280",207,119,1,29,6,362,
"S01015281",143,91,11,71,7,322,
"S01015282",156,101,1,10,1,276,
"S01015283",201,123,7,21,4,356,
"S01015284",101,103,175,81,5,462,
"S01015285",57,68,72,43,5,248,
"S01015286",173,92,262,131,7,665,
"S01015287",82,42,96,173,5,401,
"S01015288",57,42,161,90,6,356,
"S01015289",157,99,13,45,6,319,
"S01015290",223,135,13,39,2,409,
"S01015291",214,131,59,89,12,505,
"S01015292",100,87,134,91,5,418,
"S01015293",64,51,72,29,1,221,
"S01015294",66,73,63,25,1,229,
"S01015295",103,88,94,32,4,321,
"S01015296",147,92,15,25,2,281,
"S01015297",147,95,1,31,10,284,
"S01015298",102,57,40,45,8,246,
"S01015299",138,70,9,27,5,247,
"S01015300",120,102,5,28,4,261,
"S01015301",125,73,1,18,6,221,
"S01015302",105,123,6,37,5,270,
"S01015303",120,184,41,15,5,362,
"S01015304",101,290,4,13,3,417,
"S01015305",178,108,29,38,7,364,
"S01015306",148,82,20,31,6,287,
"S01015307",233,108,5,37,9,392,
"S01015308",165,60,8,29,6,271,
"S01015309",226,141,107,40,12,525,
"S01015310",202,100,134,25,8,472,
"S01015311",116,50,12,46,12,236,
"S01015312",217,79,8,26,6,339,
"S01015313",173,104,167,64,10,517,
"S01015314",139,127,105,46,6,423,
"S01015315",140,96,110,72,12,426,
"S01015316",119,93,166,39,7,424,
"S01015317",109,57,33,95,11,306,
"S01015318",164,116,71,38,3,392,
"S01015319",223,85,81,65,8,461,
"S01015320",204,98,70,47,3,422,
"S01015321",195,76,101,24,4,404,
"S01015322",113,43,13,49,6,230,
"S01015323",141,54,12,95,27,332,
"S01015324",162,86,54,50,2,351,
"S01015325",166,69,38,93,8,373,
"S01015326",146,57,64,41,9,323,
"S01015327",208,85,31,77,17,418,
"S01015328",101,60,13,54,7,235,
"S01015329",112,59,46,39,10,266,
"S01015330",204,99,42,29,9,383,
"S01015331",187,90,124,105,18,526,
"S01015332",141,66,15,92,10,324,
"S01015333",129,40,5,156,22,346,
"S01015334",89,40,7,47,6,189,
"S01015335",114,41,6,47,7,213,
"S01015336",166,82,50,49,11,360,
"S01015337",87,50,205,68,1,413,
"S01015338",134,80,98,55,0,368,
"S01015339",188,111,115,75,6,496,
"S01015340",182,98,59,40,6,386,
"S01015341",95,59,91,29,2,277,
"S01015342",109,104,47,42,3,305,
"S01015343",114,48,5,7,3,174,
"S01015344",143,103,15,13,1,276,
"S01015345",139,116,146,56,8,461,
"S01015346",85,61,145,38,2,332,
"S01015347",102,61,209,24,1,401,
"S01015348",136,57,10,22,7,235,
"S01015349",165,73,36,13,7,294,
"S01015350",143,52,10,18,3,232,
"S01015351",183,84,9,35,4,313,
"S01015352",230,135,113,44,8,530,
"S01015353",137,63,11,25,8,244,
"S01015354",137,84,99,28,9,355,
"S01015355",126,65,127,44,3,366,
"S01015356",171,55,137,21,5,389,
"S01015357",197,87,6,23,5,319,
"S01015358",101,56,43,26,6,230,
"S01015359",225,126,6,48,0,399,
"S01015360",128,93,8,79,2,314,
"S01015361",239,96,2,25,4,366,
"S01015362",161,88,4,15,4,271,
"S01015363",168,88,3,51,8,315,
"S01015364",136,110,8,140,6,399,
"S01015365",97,80,79,288,9,551,
"S01015366",42,54,52,147,3,295,
"S01015367",70,49,66,211,5,397,
"S01015368",12,10,96,159,4,279,
"S01015369",67,42,34,207,6,356,
"S01015370",54,54,61,239,2,412,
"S01015371",20,30,76,298,4,425,
"S01015372",36,27,191,275,4,533,
"S01015373",87,63,175,264,6,595,
"S01015374",33,32,106,261,5,439,
"S01015375",97,89,173,262,7,628,
"S01015376",56,68,92,334,8,556,
"S01015377",41,39,91,264,2,437,
"S01015378",188,144,29,64,6,435,
"S01015379",25,16,141,121,5,315,
"S01015380",35,74,46,119,4,281,
"S01015381",120,123,58,85,4,390,
"S01015382",36,42,254,149,7,488,
"S01015383",11,8,18,255,1,295,
"S01015384",22,37,36,326,1,422,
"S01015385",74,114,26,298,4,521,
"S01015386",51,69,141,111,8,380,
"S01015387",41,54,125,97,1,316,
"S01015388",42,48,158,232,9,493,
"S01015389",45,28,186,169,6,433,
"S01015390",72,58,100,204,4,441,
"S01015391",49,38,76,61,2,228,
"S01015392",72,67,113,122,3,377,
"S01015393",34,52,198,86,3,373,
"S01015394",57,47,258,230,6,596,
"S01015395",51,34,143,166,6,400,
"S01015396",141,83,101,84,6,411,
"S01015397",90,136,134,165,6,528,
"S01015398",88,130,256,154,9,637,
"S01015399",74,55,250,139,6,524,
"S01015400",34,32,98,174,4,342,
"S01015401",61,61,139,187,6,454,
"S01015402",69,67,113,234,2,485,
"S01015403",42,63,208,192,0,504,
"S01015404",50,54,138,298,4,543,
"S01015405",63,50,120,280,7,517,
"S01015406",65,61,45,230,2,402,
"S01015407",56,80,127,175,5,443,
"S01015408",51,92,74,124,2,341,
"S01015409",162,134,14,66,3,382,
"S01015410",198,107,23,54,4,387,
"S01015411",180,123,14,35,4,356,
"S01015412",111,74,9,20,5,219,
"S01015413",132,139,90,87,6,450,
"S01015414",163,101,57,52,8,379,
"S01015415",74,50,110,26,2,263,
"S01015416",113,73,23,46,1,256,
"S01015417",97,67,142,48,9,365,
"S01015418",134,88,96,51,3,371,
"S01015419",105,119,136,74,4,436,
"S01015420",68,61,174,47,2,356,
"S01015421",70,72,120,42,7,307,
"S01015422",93,93,126,48,2,366,
"S01015423",60,43,73,31,4,211,
"S01015424",51,56,209,21,3,337,
"S01015425",150,107,4,19,5,284,
"S01015426",241,117,2,17,0,377,
"S01015427",223,74,3,18,7,327,
"S01015428",198,88,59,34,6,385,
"S01015429",59,60,77,24,1,220,
"S01015430",100,87,190,28,2,411,
"S01015431",87,54,168,39,4,352,
"S01015432",95,51,89,26,4,263,
"S01015433",238,100,2,24,2,365,
"S01015434",273,98,13,55,7,445,
"S01015435",166,75,78,240,12,568,
"S01015436",156,89,2,18,4,267,
"S01015437",243,128,4,55,2,432,
"S01015438",161,74,19,183,4,442,
"S01015439",67,52,159,32,6,316,
"S01015440",179,106,3,19,2,313,
"S01015441",170,101,10,15,0,293,
"S01015442",233,122,2,20,0,381,
"S01015443",226,130,2,31,8,396,
"S01015444",149,83,50,83,4,369,
"S01015445",183,107,6,21,2,322,
"S01015446",195,89,7,26,5,318,
"S01015447",137,92,2,7,4,239,
"S01015448",147,113,142,117,7,526,
"S01015449",190,108,6,7,6,316,
"S01015450",80,233,1,12,0,319,
"S01015451",157,152,1,33,2,345,
"S01015452",129,108,6,32,4,280,
"S01015453",40,117,3,3,2,165,
"S01015454",76,124,4,9,1,216,
"S01015455",81,160,3,11,0,256,
"S01015456",174,140,11,30,2,357,
"S01015457",146,176,3,21,1,349,
"S01015458",111,212,57,28,1,407,
"S01015459",39,86,71,94,7,294,
"S01015460",84,74,239,24,10,431,
"S01015461",69,115,60,38,2,285,
"S01015462",25,20,206,16,0,268,
"S01015463",133,68,75,37,4,321,
"S01015464",84,65,94,27,2,276,
"S01015465",8,12,244,11,4,276,
"S01015466",11,37,192,6,0,241,
"S01015467",17,20,268,12,0,310,
"S01015468",137,107,94,28,1,367,
"S01015469",72,73,281,30,5,459,
"S01015470",88,74,94,27,1,284,
"S01015471",70,87,98,36,4,294,
"S01015472",64,173,6,7,2,252,
"S01015473",74,61,34,10,1,181,
"S01015474",86,97,121,30,4,338,
"S01015475",46,66,145,28,4,287,
"S01015476",96,189,20,17,3,325,
"S01015477",52,120,9,14,0,198,
"S01015478",71,132,5,11,1,218,
"S01015479",70,71,191,17,5,353,
"S01015480",62,44,277,32,4,417,
"S01015481",64,107,11,20,0,200,
"S01015482",59,64,309,33,6,474,
"S01015483",20,47,162,19,0,246,
"S01015484",39,57,95,12,2,205,
"S01015485",74,126,80,35,3,317,
"S01015486",220,146,8,10,1,389,
"S01015487",100,126,132,31,3,388,
"S01015488",55,67,105,12,2,241,
"S01015489",45,105,26,11,1,189,
"S01015490",40,46,249,23,3,361,
"S01015491",65,79,120,28,6,298,
"S01015492",97,81,39,17,1,235,
"S01015493",215,107,8,15,3,351,
"S01015494",133,98,6,15,0,252,
"S01015495",98,48,28,28,2,205,
"S01015496",129,130,22,20,3,305,
"S01015497",160,147,37,29,4,378,
"S01015498",169,117,88,30,5,415,
"S01015499",103,84,25,21,3,237,
"S01015500",179,107,67,14,7,375,
"S01015501",134,109,6,20,3,274,
"S01015502",187,129,19,60,4,401,
"S01015503",218,141,54,42,5,463,
"S01015504",39,96,142,13,3,293,
"S01015505",69,107,42,63,3,281,
"S01015506",99,81,195,198,5,573,
"S01015507",102,111,184,170,9,579,
"S01015508",87,63,100,47,2,299,
"S01015509",116,76,192,112,5,500,
"S01015510",56,55,220,162,13,508,
"S01015511",72,84,199,105,3,463,
"S01015512",96,46,111,67,8,324,
"S01015513",169,70,180,53,4,479,
"S01015514",75,78,105,136,2,395,
"S01015515",112,83,65,54,8,320,
"S01015516",135,104,36,35,2,315,
"S01015517",161,88,5,16,1,269,
"S01015518",235,174,5,29,2,443,
"S01015519",78,56,106,48,4,296,
"S01015520",101,100,129,109,9,444,
"S01015521",114,94,113,65,6,392,
"S01015522",51,48,165,69,4,341,
"S01015523",67,63,131,83,3,347,
"S01015524",95,57,168,104,3,427,
"S01015525",73,61,206,47,4,387,
"S01015526",86,116,90,51,7,347,
"S01015527",75,76,181,53,3,387,
"S01015528",65,45,252,51,6,419,
"S01015529",114,105,190,63,2,473,
"S01015530",118,35,104,30,2,289,
"S01015531",177,121,142,35,10,483,
"S01015532",67,47,167,31,2,314,
"S01015533",50,56,274,106,7,493,
"S01015534",28,29,299,28,6,391,
"S01015535",97,78,102,87,3,363,
"S01015536",166,136,62,39,12,411,
"S01015537",37,68,149,17,3,274,
"S01015538",76,110,298,32,7,520,
"S01015539",12,40,201,18,1,272,
"S01015540",22,99,129,17,4,271,
"S01015541",96,71,73,16,2,258,
"S01015542",123,86,78,10,1,301,
"S01015543",82,82,235,25,3,431,
"S01015544",140,133,157,31,5,466,
"S01015545",75,190,6,16,1,288,
"S01015546",76,148,5,13,1,247,
"S01015547",51,108,0,20,1,177,
"S01015548",36,150,2,7,4,203,
"S01015549",20,166,0,12,1,199,
"S01015550",240,108,2,13,2,364,
"S01015551",181,133,3,41,4,362,
"S01015552",47,30,183,6,4,272,
"S01015553",54,19,234,8,5,318,
"S01015554",178,117,69,44,11,419,
"S01015555",98,70,138,39,15,360,
"S01015556",119,105,84,19,0,329,
"S01015557",127,147,97,17,4,392,
"S01015558",120,76,113,21,8,338,
"S01015559",63,37,74,13,2,192,
"S01015560",99,73,143,19,7,341,
"S01015561",120,74,28,20,7,245,
"S01015562",75,57,100,15,2,250,
"S01015563",143,93,9,37,6,288,
"S01015564",189,160,58,51,8,466,
"S01015565",99,76,67,32,7,276,
"S01015566",73,44,195,18,5,338,
"S01015567",156,107,110,52,10,432,
"S01015568",91,86,18,56,6,253,
"S01015569",117,76,231,32,8,464,
"S01015570",79,52,88,19,2,234,
"S01015571",108,80,92,19,1,301,
"S01015572",155,144,87,39,4,431,
"S01015573",179,82,40,28,10,342,
"S01015574",223,146,30,32,1,432,
"S01015575",139,121,84,39,3,384,
"S01015576",112,86,17,24,3,250,
"S01015577",100,71,131,40,3,345,
"S01015578",183,96,15,37,18,350,
"S01015579",102,82,4,12,0,200,
"S01015580",77,31,112,17,2,243,
"S01015581",106,65,134,28,7,336,
"S01015582",108,55,179,13,5,361,
"S01015583",153,58,61,21,4,292,
"S01015584",160,93,13,52,13,330,
"S01015585",54,41,187,17,3,302,
"S01015586",103,46,164,35,2,343,
"S01015587",91,32,115,16,2,252,
"S01015588",193,121,60,43,5,422,
"S01015589",63,73,92,20,0,250,
"S01015590",98,81,151,41,1,376,
"S01015591",103,87,59,40,5,290,
"S01015592",121,119,48,20,3,311,
"S01015593",72,51,141,43,8,311,
"S01015594",68,42,115,28,4,257,
"S01015595",119,81,138,23,0,362,
"S01015596",140,81,113,29,6,371,
"S01015597",137,93,98,38,9,378,
"S01015598",117,102,129,37,8,393,
"S01015599",187,113,7,13,6,326,
"S01015600",135,126,3,36,3,303,
"S01015601",89,69,207,28,3,398,
"S01015602",92,56,193,21,4,368,
"S01015603",207,148,55,42,5,453,
"S01015604",127,91,202,35,5,460,
"S01015605",100,68,1,15,5,186,
