SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household composition - 4 groups, collapsed and Number of cars or vans - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household composition - 4 groups, collapsed","One person household",,,"One family household: Couple family",,,"One family household: Lone parent",,,"Other household types",,,"Total",,,
"Number of cars or vans - 3 groups, collapsed","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans",
"Data Zone (2022)",
"S01013556",83,145,10,19,75,66,7,7,1,4,3,5,116,232,84,
"S01013557",196,196,5,52,92,46,8,12,2,15,6,6,270,307,59,
"S01013558",188,164,0,40,72,30,3,15,1,18,11,8,244,259,39,
"S01013559",107,144,5,17,67,38,5,8,4,3,1,3,137,220,50,
"S01013560",26,94,5,7,74,144,7,13,6,0,4,11,38,188,164,
"S01013561",147,127,4,40,71,29,14,9,1,44,23,4,245,230,44,
"S01013562",104,108,4,29,47,16,15,12,1,35,29,16,177,193,38,
"S01013563",110,124,6,32,56,28,2,7,1,12,17,3,156,204,38,
"S01013564",203,100,5,52,49,15,17,15,0,21,18,7,293,186,28,
"S01013565",269,115,4,46,39,8,1,2,2,26,17,2,344,170,15,
"S01013566",185,54,5,45,35,13,8,7,0,20,10,4,255,110,20,
"S01013567",191,59,4,43,33,16,16,1,1,30,12,1,284,106,22,
"S01013568",128,59,4,27,41,9,13,10,0,43,26,3,209,132,16,
"S01013569",127,94,5,35,63,16,9,3,0,20,20,7,191,180,28,
"S01013570",96,87,2,33,64,25,7,13,0,15,18,12,151,182,41,
"S01013571",46,112,12,21,78,43,3,12,6,4,12,7,75,214,61,
"S01013572",70,120,8,24,63,44,6,4,2,7,8,7,105,196,63,
"S01013573",97,145,10,8,44,24,3,4,0,8,7,5,117,200,36,
"S01013574",97,207,14,27,83,48,10,7,0,12,13,8,146,309,73,
"S01013575",76,124,1,21,79,69,1,10,1,3,8,6,101,221,78,
"S01013576",157,120,7,25,35,11,6,4,0,10,4,5,192,163,19,
"S01013577",28,81,6,16,116,105,1,14,5,0,4,3,45,215,119,
"S01013578",155,159,7,33,73,33,10,8,1,16,13,11,220,253,51,
"S01013579",148,156,4,22,89,90,5,19,5,4,10,6,183,274,104,
"S01013580",136,145,6,19,83,75,5,13,1,10,11,12,163,250,94,
"S01013581",74,88,4,15,102,88,5,18,6,5,3,5,96,212,103,
"S01013582",85,49,3,13,67,60,11,12,3,8,9,1,117,138,67,
"S01013583",62,66,2,16,92,72,11,19,2,3,2,7,92,179,82,
"S01013584",104,43,0,16,48,35,13,20,4,2,8,7,133,119,45,
"S01013585",69,77,8,14,75,90,7,18,6,3,7,4,92,183,110,
"S01013586",53,62,4,23,85,70,13,31,7,4,5,6,93,186,87,
"S01013587",16,54,7,11,80,142,5,12,9,0,5,10,34,151,171,
"S01013588",10,71,10,3,81,127,6,21,1,1,4,2,18,179,144,
"S01013589",8,79,2,5,65,135,5,17,3,2,4,2,19,165,141,
"S01013590",92,77,3,12,101,75,26,26,10,2,6,8,130,210,96,
"S01013591",57,37,3,18,50,21,18,20,5,3,2,1,97,113,30,
"S01013592",90,79,4,26,90,83,19,28,3,2,6,2,137,203,93,
"S01013593",58,65,0,11,85,103,7,16,5,3,4,1,75,170,113,
"S01013594",18,70,4,3,57,70,0,7,2,0,0,4,18,134,78,
"S01013595",15,60,8,1,59,101,0,10,6,0,3,0,15,132,114,
"S01013596",5,23,4,4,57,149,2,12,5,1,0,7,11,89,163,
"S01013597",24,91,10,8,78,92,0,11,8,0,2,3,33,180,112,
"S01013598",35,62,5,9,62,86,5,11,6,5,1,5,52,137,102,
"S01013599",25,48,3,1,57,73,0,10,0,1,3,2,31,113,79,
