SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household tenure - 3 groups, collapsed and Number of cars or vans"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household tenure - 3 groups, collapsed","Owned",,,,,"Social Rented by Council (LA) or Housing Association/ Registered Social Landlord",,,,,"Private rented or living rent free",,,,,
"Number of cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans",
"Data Zone (2022)",
"S01015481",17,79,58,14,3,5,3,0,0,0,5,12,3,1,0,
"S01015482",27,63,30,5,0,192,99,13,2,0,21,11,4,2,0,
"S01015483",6,36,22,3,0,57,81,23,1,0,7,6,1,0,0,
"S01015484",16,40,30,10,2,43,43,7,2,0,5,6,0,1,0,
"S01015485",27,94,67,13,2,36,27,11,6,0,8,20,6,2,1,
"S01015486",46,177,121,21,3,4,3,2,0,0,1,10,0,1,0,
"S01015487",47,101,61,11,6,78,41,7,3,0,12,15,9,0,0,
"S01015488",20,64,34,3,1,49,43,10,0,0,8,2,1,2,0,
"S01015489",16,64,57,7,1,15,5,5,1,0,4,10,0,1,0,
"S01015490",14,38,22,7,1,121,89,32,6,0,8,8,8,0,1,
"S01015491",20,81,38,5,0,65,34,11,3,0,8,15,5,2,0,
"S01015492",36,84,45,11,2,23,13,3,1,1,6,9,0,0,0,
"S01015493",33,158,106,23,5,0,6,2,0,0,0,10,5,2,0,
"S01015494",24,116,77,10,5,2,4,0,0,0,6,8,2,0,0,
"S01015495",29,82,28,3,0,16,9,2,0,0,15,18,2,0,0,
"S01015496",35,118,87,11,6,11,10,2,1,0,6,12,5,0,0,
"S01015497",57,147,77,19,5,9,21,6,1,0,11,14,4,0,0,
"S01015498",54,133,71,25,3,41,32,11,4,0,7,19,9,2,1,
"S01015499",38,104,42,2,0,9,10,6,0,0,7,14,3,0,0,
"S01015500",42,144,76,21,3,38,24,0,0,2,10,9,4,0,0,
"S01015501",31,122,71,16,3,0,4,1,1,0,8,11,3,1,0,
"S01015502",52,155,83,14,9,9,9,1,0,0,20,41,4,1,0,
"S01015503",65,171,87,28,8,39,15,0,0,0,13,31,6,0,0,
"S01015504",11,67,49,8,2,77,50,12,1,2,7,5,0,2,0,
"S01015505",26,105,33,10,0,32,7,0,0,1,28,29,10,0,0,
"S01015506",65,102,11,0,0,149,39,8,0,0,110,81,10,2,0,
"S01015507",66,112,31,3,1,132,47,5,0,0,94,78,10,4,0,
"S01015508",45,71,23,6,2,56,38,6,0,0,17,26,7,0,0,
"S01015509",47,112,27,0,1,139,48,5,0,0,47,61,9,0,0,
"S01015510",54,45,12,2,0,134,74,5,0,0,114,52,8,1,0,
"S01015511",39,81,27,6,1,115,73,8,3,0,46,52,8,2,1,
"S01015512",48,66,23,0,1,65,38,6,0,0,28,39,7,0,1,
"S01015513",57,125,51,7,1,131,46,3,0,0,21,31,4,1,0,
"S01015514",55,76,18,4,0,75,29,2,0,0,65,57,10,1,0,
"S01015515",30,109,42,3,4,41,24,0,0,0,23,23,8,1,0,
"S01015516",63,121,50,7,1,23,7,6,0,0,23,15,0,0,0,
"S01015517",35,128,61,19,4,1,1,0,0,0,1,11,4,3,0,
"S01015518",61,202,118,22,6,2,1,0,0,0,5,14,9,3,0,
"S01015519",29,73,22,7,1,78,24,4,0,0,24,25,5,1,2,
"S01015520",68,107,21,5,0,86,39,6,0,0,43,64,10,1,0,
"S01015521",51,108,45,8,2,64,43,6,2,0,26,36,8,1,0,
"S01015522",23,53,20,2,1,109,48,12,0,0,35,32,8,0,0,
"S01015523",45,62,21,2,0,91,34,5,0,1,44,34,5,0,0,
"S01015524",49,81,19,2,1,114,50,4,0,0,45,48,9,1,1,
"S01015525",40,69,18,5,3,131,62,8,1,0,26,23,2,0,0,
"S01015526",52,107,36,8,0,58,22,9,0,2,18,22,15,0,0,
"S01015527",44,70,27,2,3,115,55,8,1,1,17,27,10,1,0,
"S01015528",40,53,13,3,1,153,90,9,0,0,29,24,5,0,0,
"S01015529",49,123,40,4,0,102,70,16,2,0,31,28,0,1,0,
"S01015530",48,59,37,7,0,36,50,13,4,1,18,12,8,0,1,
"S01015531",68,151,57,13,8,84,52,3,0,0,17,21,4,0,0,
"S01015532",25,61,26,4,1,99,54,13,2,0,18,10,8,0,0,
"S01015533",32,54,13,2,4,205,54,12,0,4,67,40,6,0,0,
"S01015534",15,28,12,3,0,186,82,28,3,0,19,15,0,0,0,
"S01015535",35,89,39,5,3,65,30,7,0,0,40,45,5,0,0,
"S01015536",53,144,85,15,4,31,23,7,2,0,11,24,12,0,1,
"S01015537",15,45,42,7,0,71,64,19,4,0,15,2,4,0,0,
"S01015538",34,91,51,8,1,139,127,21,8,2,22,15,4,0,0,
"S01015539",4,23,21,2,2,90,88,15,4,2,17,4,0,0,0,
"S01015540",3,40,67,10,1,57,51,16,1,2,5,15,3,0,0,
"S01015541",39,78,40,8,2,41,27,4,1,0,9,9,0,0,0,
"S01015542",44,111,44,10,0,39,29,7,4,0,6,7,2,0,0,
"S01015543",37,93,29,5,1,142,72,17,2,0,9,15,4,0,0,
"S01015544",51,140,64,15,2,107,36,14,0,0,10,18,8,0,0,
"S01015545",9,78,150,27,4,1,4,1,0,0,1,7,5,1,1,
"S01015546",9,87,106,23,1,1,5,0,0,0,5,5,3,0,1,
"S01015547",4,58,80,16,3,0,0,0,0,0,2,8,9,0,0,
"S01015548",2,69,103,6,2,0,2,0,0,0,0,3,7,1,1,
"S01015549",2,70,101,9,1,2,1,0,0,0,2,6,4,0,0,
"S01015550",29,185,101,24,9,0,2,0,0,0,3,7,4,0,1,
"S01015551",18,141,125,26,4,1,2,0,0,0,9,19,16,1,0,
"S01015552",11,42,19,0,3,92,70,14,5,2,5,6,2,0,0,
"S01015553",10,35,21,6,2,118,97,10,3,3,9,4,0,0,0,
"S01015554",33,136,87,35,5,41,16,9,0,0,14,33,6,1,1,
"S01015555",23,74,54,12,5,72,45,9,5,0,19,28,7,0,0,
"S01015556",17,104,78,22,3,46,29,9,0,0,5,7,3,1,0,
"S01015557",17,127,107,21,2,37,48,5,5,2,4,10,6,0,0,
"S01015558",21,91,61,17,7,62,43,6,2,0,15,12,1,0,1,
"S01015559",18,44,30,5,2,31,33,6,2,0,13,4,2,0,0,
"S01015560",26,65,59,14,6,60,68,9,6,0,7,13,4,0,2,
"S01015561",5,72,78,31,8,13,7,2,0,0,2,14,9,0,0,
"S01015562",5,47,47,26,10,38,55,6,0,1,2,9,3,0,0,
"S01015563",5,67,104,35,26,4,4,1,0,0,2,28,10,2,2,
"S01015564",34,141,130,36,9,26,25,10,0,0,10,32,7,3,3,
"S01015565",18,86,51,11,6,18,39,8,2,0,11,20,11,0,0,
"S01015566",26,54,31,6,2,96,82,24,1,0,12,12,5,0,0,
"S01015567",30,125,78,17,9,66,36,3,2,0,16,41,4,1,0,
"S01015568",5,56,76,30,14,9,6,2,0,2,11,28,9,8,0,
"S01015569",36,95,48,11,3,102,102,23,3,1,16,21,4,1,0,
"S01015570",19,71,26,12,2,48,34,2,2,0,8,7,4,0,0,
"S01015571",22,82,55,17,8,45,38,7,1,0,0,16,4,0,0,
"S01015572",30,137,92,30,12,63,23,6,0,0,16,17,10,0,0,
"S01015573",33,132,67,25,2,24,18,2,1,0,10,17,7,0,0,
"S01015574",43,158,118,35,11,11,17,2,0,0,8,12,10,2,2,
"S01015575",31,112,89,19,8,25,43,11,4,1,10,17,9,4,0,
"S01015576",20,88,75,13,6,7,11,3,0,0,5,13,6,2,0,
"S01015577",21,86,51,9,3,66,46,15,5,1,18,21,4,0,0,
"S01015578",16,104,100,44,15,7,6,2,0,0,9,23,17,3,3,
"S01015579",7,69,85,16,7,2,1,1,0,0,2,6,2,0,0,
"S01015580",18,43,36,10,1,50,52,9,0,0,8,13,1,0,0,
"S01015581",11,75,54,18,10,72,47,12,3,0,4,13,7,2,2,
"S01015582",27,70,53,11,2,80,72,24,2,1,4,12,3,0,0,
"S01015583",29,112,46,17,6,32,25,4,0,0,6,8,5,1,1,
"S01015584",13,83,106,36,17,3,9,3,0,0,9,29,18,7,2,
"S01015585",14,44,25,9,3,93,77,15,2,0,8,6,3,1,0,
"S01015586",29,74,28,10,1,91,63,9,1,0,14,18,5,0,0,
"S01015587",24,59,29,8,4,42,57,15,0,2,5,9,3,0,0,
"S01015588",34,131,112,30,7,32,19,6,0,0,9,29,10,0,0,
"S01015589",16,60,49,9,4,44,43,6,1,0,1,16,0,1,0,
"S01015590",24,88,47,13,8,73,57,15,6,1,14,16,8,2,0,
"S01015591",16,79,66,22,7,26,24,9,0,0,14,24,7,0,0,
"S01015592",22,122,67,24,5,26,14,5,1,0,8,13,1,0,2,
"S01015593",29,52,27,10,4,92,39,11,1,0,24,22,3,0,0,
"S01015594",16,56,35,3,0,64,47,5,4,0,8,19,3,1,0,
"S01015595",27,111,46,13,3,69,59,8,0,0,4,13,7,0,0,
"S01015596",42,112,55,8,6,62,38,10,2,1,12,19,5,2,0,
"S01015597",45,104,67,13,1,51,37,7,0,0,15,19,13,1,2,
"S01015598",26,91,67,26,9,94,32,4,0,1,16,21,8,0,0,
"S01015599",13,138,98,33,15,3,0,0,0,0,0,15,3,0,0,
"S01015600",8,125,93,24,12,0,0,0,0,0,10,23,5,0,0,
"S01015601",27,69,45,16,1,111,83,9,6,0,11,18,2,0,0,
"S01015602",28,63,44,3,3,98,78,17,0,0,11,11,2,0,0,
"S01015603",44,161,109,21,13,31,17,3,2,0,18,21,12,0,0,
"S01015604",27,100,69,15,7,91,75,25,5,3,10,20,7,4,0,
"S01015605",5,46,72,30,18,0,1,0,0,0,1,7,5,2,2,
"S01015606",0,48,72,23,13,1,0,0,0,0,1,6,8,0,1,
"S01015607",5,83,106,39,30,9,15,3,0,0,5,7,7,1,0,
"S01015608",31,156,130,40,16,14,19,8,1,0,4,14,8,0,0,
"S01015609",10,98,132,21,11,2,1,0,0,0,0,10,3,0,2,
"S01015610",4,72,114,10,2,0,3,0,0,0,0,0,4,0,0,
"S01015611",4,37,82,38,24,19,27,10,3,1,4,11,7,4,0,
"S01015612",6,35,89,26,16,2,5,2,0,0,0,6,4,1,0,
"S01015613",29,139,136,38,6,40,48,5,1,0,5,21,3,1,0,
"S01015614",22,199,149,28,10,6,5,2,0,0,11,13,4,0,1,
"S01015615",25,121,87,23,8,2,4,2,2,0,6,27,12,0,1,
"S01015616",25,70,71,18,2,32,32,5,1,0,7,13,3,0,1,
"S01015617",43,109,45,20,1,52,21,3,0,0,40,57,10,0,0,
"S01015618",29,139,137,37,9,2,2,0,0,0,4,14,12,1,0,
"S01015619",24,175,123,29,8,5,12,2,0,0,6,21,14,2,0,
"S01015620",48,117,56,11,3,44,22,5,1,0,16,29,9,0,0,
"S01015621",39,76,58,13,4,58,57,19,6,0,20,10,6,0,0,
"S01015622",23,166,99,38,12,48,47,14,5,0,21,11,9,2,0,
"S01015623",10,115,87,24,8,4,4,0,0,0,2,5,2,0,0,
"S01015624",6,53,57,14,1,15,15,2,1,0,13,19,13,3,0,
"S01015625",25,122,63,21,11,25,9,2,1,0,25,18,5,1,0,
"S01015626",29,136,55,20,4,47,41,3,4,0,14,19,7,0,0,
"S01015627",20,125,67,15,5,60,32,8,2,0,15,20,9,0,0,
"S01015628",18,72,52,10,10,43,25,7,2,0,19,23,6,0,0,
"S01015629",17,129,84,28,6,10,10,2,1,0,7,15,5,1,0,
"S01015630",21,60,30,8,3,65,57,23,0,0,2,11,7,3,0,
"S01015631",23,115,86,19,7,20,12,1,0,0,11,9,4,0,0,
"S01015632",21,135,124,33,21,7,7,0,1,0,8,23,5,0,3,
"S01015633",27,118,97,25,4,47,40,3,0,0,7,30,4,0,0,
"S01015634",21,98,50,7,1,68,35,6,0,0,21,23,3,1,0,
"S01015635",26,111,85,11,9,56,37,14,1,0,20,17,5,0,0,
"S01015636",16,72,30,12,3,60,59,22,4,2,6,10,4,4,0,
"S01015637",18,75,42,13,2,64,47,28,4,1,12,14,3,0,0,
"S01015638",30,68,52,10,13,34,43,17,6,2,11,8,1,0,2,
"S01015639",40,147,78,18,4,108,68,12,2,0,28,35,8,0,0,
"S01015640",12,59,42,9,4,63,45,7,0,1,14,8,4,0,0,
"S01015641",35,141,76,20,9,24,15,2,0,0,15,10,3,0,0,
"S01015642",33,67,52,13,7,44,47,13,0,0,4,11,0,0,0,
"S01015643",11,85,116,39,19,8,9,4,0,1,0,28,12,5,2,
"S01015644",11,70,43,16,4,32,35,5,0,0,11,21,5,2,0,
"S01015645",11,22,22,3,1,172,136,26,4,1,12,16,4,2,0,
"S01015646",29,87,42,8,4,75,54,17,1,1,16,20,4,0,0,
"S01015647",20,57,29,6,2,56,35,10,0,1,7,9,3,0,1,
"S01015648",27,59,47,14,1,123,91,28,5,2,12,18,6,2,0,
"S01015649",13,33,20,5,4,55,73,6,0,4,7,8,2,0,0,
"S01015650",31,109,71,14,5,45,50,9,6,0,10,33,6,0,0,
"S01015651",29,106,61,12,2,70,54,10,0,0,4,20,4,0,0,
"S01015652",27,141,58,14,3,82,82,16,3,1,10,20,10,1,0,
"S01015653",31,97,68,16,2,92,67,11,0,2,27,42,6,0,0,
"S01015654",37,123,76,10,3,38,39,12,2,2,8,18,8,3,0,
"S01015655",22,157,118,29,14,5,3,0,0,0,2,5,7,0,0,
"S01015656",26,87,30,9,2,79,54,11,0,0,26,27,5,0,0,
"S01015657",40,99,54,8,1,59,31,13,1,1,28,27,4,0,0,
"S01015658",57,86,34,8,2,95,42,2,0,0,59,49,3,0,0,
"S01015659",30,96,58,11,3,12,4,1,0,0,5,22,6,0,0,
"S01015660",42,98,34,5,1,57,20,0,0,0,78,54,11,1,0,
"S01015661",36,156,105,23,9,19,11,4,0,0,19,16,7,0,0,
"S01015662",25,102,67,12,17,19,13,2,0,0,14,21,6,0,0,
"S01015663",15,129,68,16,7,2,0,0,0,0,1,6,0,0,0,
"S01015664",21,87,51,18,3,13,15,1,0,0,5,2,0,0,0,
"S01015665",45,80,41,7,1,136,68,14,1,0,14,18,4,0,0,
"S01015666",29,116,64,15,4,37,21,5,0,0,16,12,10,4,0,
"S01015667",32,108,54,8,2,77,54,12,3,0,8,11,5,1,0,
"S01015668",33,75,48,12,5,26,18,3,0,0,7,8,7,0,0,
"S01015669",44,138,62,14,10,51,21,6,0,1,22,25,3,0,0,
"S01015670",41,94,48,11,1,41,32,7,0,0,9,12,5,0,0,
"S01015671",36,81,40,18,2,48,39,20,1,0,32,36,12,3,0,
"S01015672",20,100,67,20,4,17,11,11,2,0,15,20,4,1,0,
"S01015673",12,138,198,41,12,4,0,0,0,0,4,11,5,1,0,
"S01015674",9,65,92,29,8,0,0,0,0,0,3,8,2,2,0,
"S01015675",24,148,116,21,4,0,1,2,0,0,4,3,0,0,0,
"S01015676",9,77,136,35,15,0,2,0,0,1,0,11,10,2,0,
"S01015677",11,121,138,23,10,0,0,0,0,0,0,4,8,2,0,
"S01015678",22,98,92,19,7,0,0,0,0,0,2,10,4,1,0,
"S01015679",14,93,93,21,2,0,0,1,0,0,1,8,4,0,0,
"S01015680",11,84,65,15,7,9,7,2,0,0,12,8,2,1,0,
"S01015681",24,69,41,6,2,78,50,15,2,0,8,15,2,0,0,
"S01015682",15,66,47,8,3,128,82,18,3,0,12,15,5,1,0,
"S01015683",19,53,21,11,3,183,99,20,0,2,13,11,3,1,0,
"S01015684",15,40,20,7,0,123,92,25,2,1,18,15,1,0,1,
"S01015685",20,61,49,11,4,46,29,7,0,0,7,13,5,0,1,
"S01015686",8,64,83,27,5,9,15,4,1,0,4,15,5,0,0,
"S01015687",5,86,97,14,2,30,38,12,1,0,1,9,5,1,0,
"S01015688",8,30,17,4,1,109,60,11,0,0,4,4,4,0,0,
"S01015689",10,37,10,2,1,73,20,9,0,0,42,30,8,0,1,
"S01015690",7,39,30,6,1,101,71,19,4,1,6,12,2,0,0,
"S01015691",11,47,27,4,3,116,90,30,3,0,18,19,4,0,0,
"S01015692",19,137,105,12,6,91,46,12,0,0,23,21,2,1,0,
"S01015693",38,54,18,4,2,148,47,0,0,0,26,30,6,1,0,
"S01015694",49,86,19,0,2,87,28,3,1,2,99,64,9,3,0,
"S01015695",42,92,38,7,4,66,17,2,1,0,43,36,4,0,1,
"S01015696",25,91,48,11,7,17,14,0,0,0,19,24,2,0,0,
"S01015697",49,146,70,18,2,97,26,6,0,0,52,49,6,4,0,
"S01015698",43,129,64,13,2,59,37,5,1,0,29,33,7,3,0,
"S01015699",36,128,141,34,17,4,2,0,0,0,3,10,2,1,0,
"S01015700",34,125,76,16,6,1,2,0,0,0,13,24,10,0,1,
"S01015701",33,83,84,15,7,8,4,1,0,0,11,11,4,0,0,
"S01015702",28,148,106,23,6,6,11,5,0,0,23,49,9,2,0,
"S01015703",29,113,91,20,6,3,3,1,0,0,13,20,5,1,0,
"S01015704",19,111,135,32,13,2,2,0,0,0,4,9,2,2,0,
"S01015705",15,66,99,27,9,0,1,2,1,0,0,3,3,1,0,
"S01015706",6,49,103,17,5,0,0,0,0,0,1,3,3,0,2,
"S01015707",3,44,124,21,5,0,0,0,0,0,2,6,2,0,0,
"S01015708",28,132,73,16,6,5,1,0,0,0,0,6,5,1,0,
"S01015709",47,121,83,26,6,63,44,12,0,0,18,31,10,2,0,
"S01015710",20,70,40,7,4,30,24,7,1,1,8,20,7,0,0,
"S01015711",16,67,89,19,6,17,15,3,0,0,4,7,2,1,0,
"S01015712",7,99,175,17,5,2,3,0,0,0,3,6,3,0,1,
"S01015713",3,54,119,10,5,0,3,0,0,0,3,6,2,0,0,
"S01015714",10,64,131,38,19,9,20,5,0,0,2,15,4,2,1,
"S01015715",45,164,131,34,11,21,33,5,0,0,6,23,6,0,1,
"S01015716",39,98,54,15,8,57,57,6,4,0,4,14,2,0,0,
"S01015717",19,125,89,17,10,28,44,13,1,0,5,21,7,2,1,
"S01015718",6,80,130,36,13,1,0,0,0,0,0,0,0,2,0,
"S01015719",6,89,118,21,6,0,2,0,0,0,2,12,4,0,0,
"S01015720",19,122,85,10,3,6,4,0,0,0,6,16,3,2,0,
"S01015721",17,108,91,15,4,0,3,1,0,1,0,2,4,0,0,
"S01015722",47,137,67,15,5,49,53,22,4,0,19,15,6,2,0,
"S01015723",35,94,58,19,2,36,62,11,2,1,2,20,2,0,0,
"S01015724",45,98,73,18,1,44,35,12,0,1,9,16,4,0,0,
"S01015725",19,161,119,13,6,8,19,5,0,0,2,8,9,1,0,
"S01015726",56,145,63,11,3,20,9,3,0,0,18,13,9,1,0,
"S01015727",19,101,93,17,11,6,3,0,0,0,10,19,3,2,0,
"S01015728",26,160,149,33,6,4,9,2,0,0,1,10,4,0,1,
"S01015729",54,192,127,23,7,3,2,0,0,0,7,15,6,0,0,
"S01015730",32,154,168,39,11,12,21,7,0,0,0,16,7,0,0,
"S01015731",113,159,41,9,2,95,51,4,4,0,43,34,6,0,0,
"S01015732",30,129,91,12,9,0,0,1,0,0,2,9,2,0,0,
"S01015733",14,100,97,19,3,2,1,4,0,0,2,0,0,0,0,
"S01015734",41,181,129,24,9,3,4,0,0,0,4,7,1,0,0,
"S01015735",10,84,101,21,5,8,5,0,0,0,2,4,3,0,0,
"S01015736",19,146,134,20,6,1,0,0,0,0,1,2,1,0,0,
"S01015737",25,100,114,13,2,11,7,3,0,0,3,6,4,0,0,
"S01015738",13,149,136,23,8,4,1,0,0,0,2,5,4,0,0,
"S01015739",26,118,89,9,3,0,1,0,0,0,3,5,1,0,0,
"S01015740",29,118,99,28,6,34,18,0,1,0,9,24,4,1,0,
"S01015741",14,138,206,38,7,2,1,0,0,0,0,2,3,0,0,
"S01015742",36,132,112,24,10,19,10,0,0,1,9,4,1,0,0,
"S01015743",31,141,132,26,17,16,12,0,0,0,7,13,2,0,0,
"S01015744",7,71,157,39,17,2,1,0,0,0,0,5,2,0,0,
"S01015745",19,110,84,22,11,1,0,2,2,0,1,3,2,0,0,
"S01015746",29,95,98,19,23,0,0,0,0,1,0,7,1,0,0,
"S01015747",29,160,174,29,4,5,8,2,1,0,5,18,10,1,0,
"S01015748",31,197,103,11,7,1,0,0,0,0,2,7,4,0,0,
"S01015749",32,146,141,27,10,1,1,0,0,0,2,12,4,0,0,
"S01015750",19,87,58,15,0,30,43,10,1,1,7,18,2,2,0,
"S01015751",19,120,172,28,11,0,0,0,1,0,1,4,0,0,2,
"S01015752",15,101,148,48,6,0,4,0,0,0,0,1,0,1,0,
"S01015753",24,109,104,38,7,0,2,0,0,0,3,7,2,2,0,
"S01015754",23,193,135,38,3,13,3,0,0,0,2,3,2,0,0,
"S01015755",47,167,100,21,8,5,4,0,0,0,7,12,7,0,0,
"S01015756",53,181,84,16,6,7,14,1,0,0,8,10,2,1,0,
"S01015757",26,141,86,7,4,7,4,0,0,0,8,3,2,0,0,
"S01015758",18,188,80,21,8,3,3,0,0,0,7,28,7,1,0,
"S01015759",10,73,67,19,2,0,4,0,0,0,0,2,1,0,0,
"S01015760",25,159,146,31,7,0,0,0,0,0,1,5,5,0,0,
"S01015761",13,98,98,25,6,0,0,0,0,0,1,4,2,0,0,
"S01015762",41,145,83,13,5,1,2,1,0,0,3,7,5,0,0,
"S01015763",31,156,119,26,9,1,0,0,0,0,5,4,0,0,0,
"S01015764",31,119,120,28,20,2,1,0,0,0,16,13,9,0,0,
"S01015765",23,129,151,23,8,0,1,0,0,0,0,1,2,0,0,
"S01015766",22,116,94,15,8,0,1,0,0,0,2,8,3,0,0,
"S01015767",19,98,78,26,7,1,0,0,0,0,0,2,5,1,0,
"S01015768",23,131,121,17,9,2,4,0,1,1,2,13,6,0,0,
"S01015769",22,102,120,20,8,0,4,1,0,0,0,8,5,2,0,
"S01015770",20,142,123,28,8,13,16,1,1,1,4,10,8,0,0,
"S01015771",11,98,147,42,11,3,2,3,1,0,1,4,5,4,2,
"S01015772",18,140,139,39,16,17,20,7,4,1,1,23,10,0,0,
"S01015773",43,127,116,24,4,0,0,0,0,0,3,1,0,0,0,
"S01015774",65,175,106,14,7,1,1,0,0,0,6,16,7,0,0,
"S01015775",23,115,109,26,6,0,5,0,0,0,4,6,2,0,0,
"S01015776",52,189,137,32,6,4,4,2,0,0,5,8,3,0,0,
"S01015777",43,153,116,26,8,14,1,1,0,0,4,2,5,0,0,
"S01015778",38,136,87,21,6,1,1,0,0,0,4,8,1,0,0,
"S01015779",28,130,116,24,11,4,7,4,0,0,3,4,3,1,0,
"S01015780",63,132,82,9,7,4,0,0,0,0,13,20,5,0,0,
"S01015781",61,150,88,19,9,0,0,1,0,0,2,5,4,0,0,
"S01015782",69,115,73,8,2,0,0,0,0,0,4,8,3,0,0,
"S01015783",25,144,102,13,2,1,1,0,1,0,6,5,0,0,0,
"S01015784",25,101,53,10,4,0,0,0,0,0,1,3,5,1,0,
"S01015785",50,163,109,29,6,29,5,0,0,0,10,6,0,0,0,
"S01015786",74,148,82,25,4,19,7,1,0,0,9,17,5,4,0,
"S01015787",37,117,57,12,3,7,10,3,0,2,7,15,3,0,0,
"S01015788",77,137,46,9,0,71,35,6,0,0,30,31,9,0,1,
"S01015789",47,155,52,8,3,57,41,16,0,0,16,25,6,1,0,
"S01015790",53,150,60,18,4,92,46,7,4,2,26,23,6,0,0,
"S01015791",59,133,45,10,5,56,50,18,0,0,19,15,2,2,0,
"S01015792",7,66,87,29,6,22,20,5,0,0,6,9,2,0,0,
"S01015793",6,51,121,29,9,1,0,1,0,0,0,4,2,1,0,
"S01015794",19,112,112,24,4,0,0,0,0,0,5,10,5,0,0,
"S01015795",37,127,107,30,6,5,1,4,0,0,10,5,4,0,1,
"S01015796",33,140,106,19,4,0,1,0,0,0,3,8,5,0,0,
"S01015797",54,145,97,24,4,4,0,0,0,0,9,8,6,0,2,
"S01015798",43,144,101,15,4,1,2,0,0,0,1,9,6,0,0,
"S01015799",39,200,105,24,2,2,2,2,1,0,5,19,6,1,0,
"S01015800",25,108,89,19,6,1,0,0,0,0,0,10,0,0,0,
"S01015801",41,156,110,20,3,0,2,0,0,0,10,21,6,0,0,
"S01015802",30,155,125,20,5,0,3,0,0,0,2,4,3,0,0,
"S01015803",32,130,106,25,4,13,7,0,0,0,2,8,4,1,0,
"S01015804",43,127,95,26,6,14,15,7,0,0,7,16,6,2,0,
"S01015805",22,78,31,16,1,41,39,10,3,0,8,7,4,0,0,
"S01015806",41,100,75,12,4,25,6,3,0,0,4,16,5,0,0,
"S01015807",11,111,103,20,13,0,0,0,0,0,1,1,0,0,0,
"S01015808",13,87,109,33,9,0,3,0,0,0,1,4,2,0,0,
"S01015809",32,138,163,30,9,0,0,0,0,0,3,9,5,0,0,
"S01015810",28,145,115,25,15,0,1,0,0,0,0,12,4,2,0,
"S01015811",36,132,124,16,6,0,1,0,0,0,11,13,8,1,0,
"S01015812",12,129,113,27,5,1,2,0,0,0,1,6,5,0,0,
"S01015813",13,104,124,27,11,2,1,1,1,0,2,2,1,1,0,
"S01015814",22,140,100,26,11,12,12,2,0,0,4,11,4,1,0,
"S01015815",35,128,54,21,6,64,36,12,4,1,19,25,0,0,0,
"S01015816",77,129,66,12,4,42,51,6,1,0,39,29,5,1,0,
"S01015817",57,92,36,8,0,59,62,11,0,0,32,44,5,0,0,
"S01015818",16,82,89,13,4,4,6,5,0,0,1,3,0,0,0,
"S01015819",27,89,98,21,4,0,0,0,0,0,2,7,0,0,0,
"S01015820",39,85,57,16,5,56,23,3,0,0,24,18,2,1,0,
"S01015821",49,117,49,12,5,24,15,2,0,0,20,38,4,1,1,
"S01015822",24,105,36,9,2,35,19,7,0,0,35,42,9,0,1,
"S01015823",15,77,111,22,12,20,19,0,0,0,4,10,4,0,0,
"S01015824",69,129,64,10,4,39,12,2,1,0,38,35,4,0,0,
"S01015825",23,49,16,4,2,173,108,27,2,0,12,9,2,0,0,
"S01015826",36,65,30,2,3,99,81,24,2,1,17,19,5,0,0,
"S01015827",26,52,28,4,1,69,58,13,5,0,9,2,4,2,0,
"S01015828",26,67,45,10,2,43,32,6,1,0,6,12,2,0,0,
"S01015829",19,44,32,5,4,63,35,7,0,0,18,12,7,0,0,
"S01015830",37,134,102,26,5,1,4,0,0,0,0,2,1,0,0,
"S01015831",23,120,117,17,8,0,1,0,1,0,1,4,1,0,0,
"S01015832",45,134,95,18,8,45,39,14,6,0,16,28,4,1,0,
"S01015833",14,99,135,24,4,5,11,0,0,0,0,20,4,0,0,
"S01015834",9,112,144,15,1,1,1,0,0,0,1,10,3,0,0,
"S01015835",6,53,96,13,8,0,0,1,0,0,0,4,0,0,0,
"S01015836",6,86,102,15,5,0,1,0,0,0,0,1,0,1,0,
"S01015837",3,44,71,5,6,6,10,0,0,0,0,0,2,0,0,
"S01015838",32,144,92,20,6,47,59,18,1,0,6,4,11,0,0,
"S01015839",19,80,87,18,13,42,36,10,1,0,6,5,2,4,0,
"S01015840",41,116,58,10,5,46,29,7,5,0,4,8,4,2,0,
"S01015841",28,97,90,25,4,52,15,4,0,0,8,8,3,0,0,
"S01015842",30,108,71,19,3,25,21,6,3,0,7,14,8,0,0,
"S01015843",55,151,43,19,8,57,39,0,1,1,20,17,4,2,0,
"S01015844",24,90,52,12,3,43,30,3,1,0,13,13,3,0,0,
"S01015845",46,131,66,15,1,71,66,8,4,0,16,26,5,0,0,
