SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household tenure - 5 groups, collapsed and Number of cars or vans - 3 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household tenure - 5 groups, collapsed","Owned: Owned outright",,,"Owned: Owns with a mortgage or loan or shared ownership",,,"Social Rented: Council (LA) or Housing Association/ Registered Social Landlord",,,"Private rented",,,"Living rent free",,,
"Number of cars or vans - 3 groups, collapsed","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two or more cars or vans",
"Data Zone (2022)",
"S01013554",27,71,60,9,71,67,1,0,0,39,47,15,1,4,3,
"S01013555",26,48,32,9,64,56,0,4,0,39,32,11,2,2,0,
"S01013556",15,65,35,18,72,35,5,5,0,80,79,14,0,6,0,
"S01013557",32,78,11,29,100,25,29,9,0,176,114,21,3,3,2,
"S01013558",40,51,8,37,74,13,9,2,0,162,126,20,2,5,0,
"S01013559",17,66,10,19,74,27,7,1,0,90,79,10,2,0,0,
"S01013560",19,95,89,9,59,58,1,1,0,11,31,17,1,6,0,
"S01013561",26,32,6,20,52,17,29,23,1,165,122,20,5,1,0,
"S01013562",25,27,3,24,59,11,8,13,0,118,91,22,0,3,1,
"S01013563",25,46,11,19,46,17,11,5,0,96,106,17,4,4,0,
"S01013564",42,33,4,17,41,8,106,48,4,124,68,12,4,0,0,
"S01013565",31,25,3,29,41,2,30,12,4,247,88,9,7,5,0,
"S01013566",10,17,6,27,24,9,57,27,0,162,41,7,3,2,1,
"S01013567",15,3,2,33,33,16,50,13,2,180,50,7,3,1,0,
"S01013568",15,13,4,9,38,5,54,11,4,131,66,2,0,0,1,
"S01013569",17,32,4,22,49,13,30,7,1,116,88,7,2,2,0,
"S01013570",19,22,5,24,76,18,21,10,0,85,71,18,2,4,0,
"S01013571",13,32,16,14,76,21,2,1,0,45,103,28,1,2,0,
"S01013572",22,49,20,20,73,22,9,4,0,56,66,20,2,5,1,
"S01013573",15,48,6,15,36,12,28,35,4,55,79,12,4,3,0,
"S01013574",31,61,15,22,101,33,16,10,0,71,124,23,6,11,1,
"S01013575",20,58,26,11,75,32,6,5,0,63,79,19,0,5,1,
"S01013576",36,27,6,28,58,8,15,7,0,113,71,13,3,1,0,
"S01013577",28,88,46,4,78,67,0,0,0,13,47,6,0,1,0,
"S01013578",34,69,14,16,72,20,88,34,5,70,73,9,9,3,1,
"S01013579",39,95,31,11,82,55,94,19,1,38,76,17,0,2,0,
"S01013580",37,82,35,15,82,39,56,23,1,54,60,19,1,5,0,
"S01013581",53,109,49,13,70,41,2,0,0,26,26,8,2,3,5,
"S01013582",36,52,18,9,28,38,63,42,7,11,9,3,1,3,1,
"S01013583",32,63,34,11,75,42,40,28,7,9,10,6,3,3,2,
"S01013584",22,27,7,16,39,25,91,47,11,2,12,9,1,0,0,
"S01013585",30,88,47,8,62,56,44,24,2,7,8,4,3,1,1,
"S01013586",40,65,27,11,64,38,36,43,13,4,11,12,1,2,0,
"S01013587",19,86,71,3,48,84,5,9,6,0,7,9,8,2,1,
"S01013588",3,17,13,4,106,119,6,16,4,6,37,8,0,0,0,
"S01013589",5,20,13,6,114,121,3,17,0,4,14,5,0,0,0,
"S01013590",51,75,25,14,67,48,60,58,13,8,8,8,3,2,2,
"S01013591",22,33,7,13,36,16,56,27,6,3,15,1,3,2,0,
"S01013592",41,67,14,13,82,61,72,49,11,8,12,4,4,1,0,
"S01013593",37,82,43,10,70,60,22,10,10,5,6,4,4,0,0,
"S01013594",8,51,34,7,67,41,2,0,0,5,16,3,0,0,0,
"S01013595",8,42,30,4,76,81,1,0,0,3,13,3,0,1,0,
"S01013596",6,38,50,3,48,109,0,0,0,3,8,3,0,2,0,
"S01013597",17,70,41,6,85,68,4,2,0,11,22,4,0,0,0,
"S01013598",27,69,41,3,45,55,17,7,2,5,15,5,1,0,2,
"S01013599",15,74,44,7,35,37,3,5,2,0,7,1,1,0,0,
"S01013600",29,80,49,15,86,88,11,11,4,7,9,4,5,1,0,
"S01013601",27,95,45,3,81,47,21,21,4,2,7,6,4,2,1,
"S01013602",20,56,23,12,53,42,4,11,3,3,6,6,0,0,0,
"S01013603",15,64,37,6,82,62,7,1,4,8,17,6,0,2,0,
"S01013604",21,48,11,13,49,33,81,82,20,17,24,7,1,0,0,
"S01013605",17,64,24,11,34,45,82,35,14,11,15,4,4,4,0,
"S01013606",43,55,19,26,39,25,77,75,14,85,66,18,5,5,2,
"S01013607",28,55,11,11,34,31,31,21,8,14,12,1,4,4,3,
"S01013608",14,30,0,7,35,9,92,44,7,22,11,1,4,4,0,
"S01013609",33,47,7,31,46,14,123,39,6,64,41,4,4,2,0,
"S01013610",36,24,4,40,52,8,96,28,7,161,67,4,2,3,0,
"S01013611",27,25,12,2,30,16,126,70,16,7,5,4,3,5,0,
"S01013612",31,50,9,13,51,22,140,80,21,25,19,5,4,3,2,
"S01013613",17,17,5,17,17,12,150,81,17,22,12,1,3,0,0,
"S01013614",11,20,6,5,20,17,99,61,23,9,5,0,0,3,0,
"S01013615",12,8,5,5,16,7,111,57,7,9,6,1,4,1,0,
"S01013616",18,37,17,8,30,21,71,48,7,11,17,4,8,4,0,
"S01013617",9,12,3,6,18,8,170,126,20,10,4,0,0,1,0,
"S01013618",15,25,9,10,41,9,57,26,2,47,42,10,3,2,0,
"S01013619",36,42,4,26,51,9,105,33,1,139,86,14,8,5,0,
"S01013620",19,32,8,21,29,3,234,50,7,134,63,4,10,2,0,
"S01013621",9,25,7,13,62,16,25,13,3,109,139,45,4,7,0,
"S01013622",29,39,2,29,61,23,81,25,4,167,121,16,3,6,0,
"S01013623",28,31,9,21,41,12,58,12,4,175,81,19,2,9,1,
"S01013624",20,24,9,19,39,7,23,8,1,137,65,17,5,3,0,
"S01013625",19,36,6,22,96,31,44,41,9,152,127,40,11,6,3,
"S01013626",18,21,4,8,14,2,159,50,11,48,21,0,4,1,0,
"S01013627",17,10,2,12,28,5,42,12,0,88,87,5,4,5,0,
"S01013628",14,43,2,7,15,4,99,44,7,58,29,7,2,1,0,
"S01013629",40,35,5,29,56,18,125,33,2,216,78,12,3,1,0,
"S01013630",16,15,3,18,50,11,144,62,9,156,77,15,3,1,0,
"S01013631",21,32,9,14,32,11,42,21,1,119,67,17,2,5,0,
"S01013632",15,19,1,14,12,5,111,24,2,108,34,4,2,1,0,
"S01013633",17,16,4,10,23,10,38,13,4,113,61,21,2,0,0,
"S01013634",18,40,18,10,53,20,19,4,0,43,66,20,2,0,0,
"S01013635",25,43,6,16,46,12,110,70,6,51,59,12,7,5,0,
"S01013636",29,74,22,31,128,60,29,22,1,52,54,11,1,6,1,
"S01013637",23,29,3,28,56,15,70,36,9,109,83,21,4,4,0,
"S01013638",8,15,2,12,28,7,47,35,2,40,43,12,4,0,0,
"S01013639",12,12,1,10,28,11,73,51,9,72,48,10,0,3,1,
"S01013640",13,17,4,8,28,9,81,40,9,112,68,8,2,0,0,
"S01013641",31,45,7,19,40,8,8,2,1,100,55,17,0,1,0,
"S01013642",13,10,1,10,10,8,31,30,8,69,25,7,4,0,0,
"S01013643",26,59,12,4,22,13,0,1,0,53,27,13,0,2,0,
"S01013644",17,16,5,3,15,4,69,43,14,63,16,0,3,0,0,
"S01013645",28,26,6,5,25,4,11,6,3,65,48,10,4,5,0,
"S01013646",9,18,5,6,20,7,16,11,4,81,35,8,2,2,0,
"S01013647",17,14,13,12,28,9,41,14,0,131,56,25,5,2,0,
"S01013648",15,17,7,15,67,23,213,109,20,50,46,20,1,0,0,
"S01013649",15,11,6,6,8,3,188,112,13,41,24,4,5,0,0,
"S01013650",12,31,10,15,37,14,63,15,5,106,72,19,5,1,1,
"S01013651",32,27,6,14,13,6,222,106,9,79,53,13,9,4,1,
"S01013652",25,30,0,16,46,10,71,26,7,74,55,14,4,3,0,
"S01013653",13,29,13,12,21,6,19,24,3,23,31,15,3,0,1,
"S01013654",10,17,7,0,21,9,108,48,12,65,26,6,5,2,0,
"S01013655",14,37,13,11,33,6,153,98,10,56,39,6,5,2,3,
"S01013656",28,19,6,2,2,2,127,72,9,12,7,1,7,2,0,
"S01013657",3,5,2,1,12,7,159,89,38,11,6,1,3,0,0,
"S01013658",9,13,5,6,14,8,141,62,25,13,18,4,2,0,0,
"S01013659",18,28,10,10,35,6,181,123,28,57,34,5,5,0,0,
"S01013660",16,18,6,7,41,20,131,75,31,6,12,6,10,1,0,
"S01013661",13,25,6,8,38,23,85,67,22,12,26,8,4,0,0,
"S01013662",29,79,24,11,56,39,24,12,2,9,12,6,2,4,0,
"S01013663",13,18,7,2,16,17,187,113,42,14,5,2,0,0,0,
"S01013664",11,36,11,10,90,45,133,45,6,10,47,8,2,1,0,
"S01013665",11,13,4,6,32,6,140,111,23,22,7,0,0,0,0,
"S01013666",16,21,9,6,37,14,107,78,21,30,15,8,4,0,0,
"S01013667",11,19,9,11,27,12,134,79,12,36,22,9,4,5,0,
"S01013668",19,31,2,15,41,12,95,54,15,16,24,11,2,3,0,
"S01013669",30,33,11,9,38,15,45,32,7,12,13,8,2,0,0,
"S01013670",45,54,10,17,53,25,65,53,7,30,24,14,3,0,0,
"S01013671",46,94,47,8,61,32,115,45,3,13,17,8,6,1,0,
"S01013672",24,88,45,6,108,66,8,6,0,54,94,30,3,3,0,
"S01013673",31,48,10,7,49,22,24,17,4,28,29,19,4,2,0,
"S01013674",23,60,26,16,52,20,14,19,2,38,44,14,3,4,0,
"S01013675",39,79,28,11,56,33,16,15,3,18,33,11,2,1,0,
"S01013676",51,75,32,14,74,45,66,54,7,56,65,9,1,3,0,
"S01013677",19,31,9,8,30,15,228,121,27,10,18,7,8,1,0,
"S01013678",33,47,20,8,53,47,43,32,11,6,13,2,5,2,1,
"S01013679",26,53,12,10,43,23,95,51,12,16,18,6,0,1,0,
"S01013680",32,48,28,11,36,20,101,64,3,15,26,5,3,8,0,
"S01013681",26,28,8,10,18,7,155,69,7,27,31,3,4,1,0,
"S01013682",19,42,14,6,26,22,10,7,2,17,19,2,2,2,0,
"S01013683",33,64,27,12,43,22,74,51,4,24,27,10,4,2,1,
"S01013684",15,28,17,6,32,26,86,60,17,6,5,6,4,2,0,
"S01013685",36,48,25,8,61,51,40,33,9,4,5,3,0,2,0,
"S01013686",15,36,18,15,33,19,67,47,15,5,9,5,2,0,0,
"S01013687",15,25,6,16,35,18,79,51,12,1,9,1,1,1,0,
"S01013688",31,43,18,13,63,46,93,58,17,11,4,1,7,2,0,
"S01013689",14,38,15,6,53,36,50,32,9,5,6,1,3,1,0,
"S01013690",12,27,13,4,26,25,42,43,8,0,5,5,6,3,0,
"S01013691",28,40,20,15,47,49,81,61,15,6,5,3,4,0,0,
"S01013692",21,60,16,11,51,40,98,81,27,9,15,4,3,2,0,
"S01013693",11,76,34,9,55,47,86,61,7,7,8,4,1,3,0,
"S01013694",25,55,29,12,57,43,116,72,7,5,12,8,4,1,0,
"S01013695",18,46,17,4,38,33,39,20,14,2,5,3,5,2,0,
"S01013696",34,48,17,5,58,48,105,82,17,10,6,8,4,2,2,
"S01013697",18,57,15,7,46,34,76,33,8,0,5,5,0,0,0,
"S01013698",14,14,13,6,21,18,38,52,23,2,5,1,0,3,0,
"S01013699",17,40,14,0,26,20,47,28,22,5,2,5,2,2,0,
"S01013700",26,67,29,7,58,52,94,61,22,5,4,1,1,2,2,
"S01013701",16,41,13,3,32,27,36,42,22,6,6,1,2,5,0,
"S01013702",34,37,27,8,58,60,59,55,25,6,4,4,1,0,1,
"S01013703",19,41,17,7,27,37,43,45,13,3,4,2,1,0,0,
"S01013704",25,49,26,8,37,63,49,45,13,2,7,4,2,1,0,
"S01013705",18,43,21,11,40,38,42,38,22,6,7,5,0,0,0,
"S01013706",18,48,18,6,59,38,37,29,14,4,2,2,1,0,0,
"S01013707",11,15,7,6,21,21,107,72,48,3,3,2,0,0,0,
"S01013708",13,41,18,6,40,41,48,47,10,0,1,0,2,3,0,
"S01013709",12,13,1,4,15,9,86,67,31,11,10,2,2,0,0,
"S01013710",16,14,11,2,17,9,211,130,41,12,6,0,2,1,0,
"S01013711",20,43,7,13,43,46,63,57,18,11,8,2,1,1,1,
"S01013712",10,31,8,7,19,15,167,113,37,5,16,5,1,0,0,
"S01013713",15,44,19,6,43,44,34,37,7,2,7,1,1,4,0,
"S01013714",22,36,13,2,24,25,61,46,7,3,4,1,3,3,1,
"S01013715",7,62,104,1,26,100,0,1,0,2,10,8,0,0,1,
"S01013716",7,66,71,11,38,35,3,3,2,3,2,3,1,0,0,
"S01013717",5,67,54,6,70,149,2,9,2,4,17,20,0,0,0,
"S01013718",18,77,59,3,53,85,4,6,1,5,2,14,2,0,0,
"S01013719",4,21,42,2,12,61,0,4,2,2,11,8,0,2,2,
"S01013720",3,16,9,2,74,116,27,45,8,9,39,15,2,0,0,
"S01013721",4,34,47,3,32,28,0,8,1,3,24,15,0,0,1,
"S01013722",7,57,69,6,66,107,4,1,1,2,20,15,1,3,1,
"S01013723",2,26,18,4,84,92,16,36,9,5,9,8,0,0,0,
