SuperWEB2(tm)

"Household"
"Data Zone (2022) by Number of cars or vans - 3 groups, collapsed and Number of cars or vans"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans - 3 groups, collapsed","Number of cars or vans in household: No cars or vans",,,,,"Number of cars or vans in household: One car or van",,,,,"Number of cars or vans in household: Two or more cars or vans",,,,,"Total",,,,,
"Number of cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans",
"Data Zone (2022)",
"S01014303",21,0,0,0,0,0,123,0,0,0,0,0,135,74,15,21,123,135,74,15,
"S01014304",8,0,0,0,0,0,100,0,0,0,0,0,92,27,19,8,100,92,27,19,
"S01014305",50,0,0,0,0,0,224,0,0,0,0,0,143,37,17,50,224,143,37,17,
"S01014306",49,0,0,0,0,0,177,0,0,0,0,0,149,37,15,49,177,149,37,15,
"S01014307",36,0,0,0,0,0,200,0,0,0,0,0,147,30,19,36,200,147,30,19,
"S01014308",70,0,0,0,0,0,267,0,0,0,0,0,123,26,10,70,267,123,26,10,
"S01014309",43,0,0,0,0,0,152,0,0,0,0,0,88,19,5,43,152,88,19,5,
"S01014310",27,0,0,0,0,0,137,0,0,0,0,0,109,17,10,27,137,109,17,10,
"S01014311",46,0,0,0,0,0,154,0,0,0,0,0,117,28,8,46,154,117,28,8,
"S01014312",105,0,0,0,0,0,209,0,0,0,0,0,97,20,5,105,209,97,20,5,
"S01014313",101,0,0,0,0,0,164,0,0,0,0,0,55,12,2,101,164,55,12,2,
"S01014314",38,0,0,0,0,0,149,0,0,0,0,0,96,17,5,38,149,96,17,5,
"S01014315",99,0,0,0,0,0,131,0,0,0,0,0,57,9,5,99,131,57,9,5,
"S01014316",88,0,0,0,0,0,171,0,0,0,0,0,85,21,10,88,171,85,21,10,
"S01014317",130,0,0,0,0,0,94,0,0,0,0,0,21,2,1,130,94,21,2,1,
"S01014318",162,0,0,0,0,0,177,0,0,0,0,0,31,7,3,162,177,31,7,3,
"S01014319",118,0,0,0,0,0,207,0,0,0,0,0,98,11,4,118,207,98,11,4,
"S01014320",66,0,0,0,0,0,108,0,0,0,0,0,59,13,1,66,108,59,13,1,
"S01014321",115,0,0,0,0,0,190,0,0,0,0,0,62,7,2,115,190,62,7,2,
"S01014322",94,0,0,0,0,0,135,0,0,0,0,0,58,7,6,94,135,58,7,6,
"S01014323",35,0,0,0,0,0,187,0,0,0,0,0,151,43,21,35,187,151,43,21,
"S01014324",38,0,0,0,0,0,134,0,0,0,0,0,129,37,11,38,134,129,37,11,
"S01014325",24,0,0,0,0,0,134,0,0,0,0,0,138,25,14,24,134,138,25,14,
"S01014326",31,0,0,0,0,0,151,0,0,0,0,0,113,21,16,31,151,113,21,16,
"S01014327",80,0,0,0,0,0,208,0,0,0,0,0,113,27,4,80,208,113,27,4,
"S01014328",34,0,0,0,0,0,166,0,0,0,0,0,122,37,7,34,166,122,37,7,
"S01014329",26,0,0,0,0,0,143,0,0,0,0,0,155,50,20,26,143,155,50,20,
"S01014330",27,0,0,0,0,0,182,0,0,0,0,0,128,26,18,27,182,128,26,18,
"S01014331",25,0,0,0,0,0,148,0,0,0,0,0,128,33,10,25,148,128,33,10,
"S01014332",48,0,0,0,0,0,207,0,0,0,0,0,124,31,12,48,207,124,31,12,
"S01014333",57,0,0,0,0,0,183,0,0,0,0,0,77,21,5,57,183,77,21,5,
"S01014334",32,0,0,0,0,0,162,0,0,0,0,0,147,38,14,32,162,147,38,14,
"S01014335",42,0,0,0,0,0,223,0,0,0,0,0,174,43,18,42,223,174,43,18,
"S01014336",19,0,0,0,0,0,106,0,0,0,0,0,98,18,5,19,106,98,18,5,
"S01014337",69,0,0,0,0,0,222,0,0,0,0,0,124,26,4,69,222,124,26,4,
"S01014338",151,0,0,0,0,0,203,0,0,0,0,0,88,15,3,151,203,88,15,3,
"S01014339",81,0,0,0,0,0,181,0,0,0,0,0,65,16,7,81,181,65,16,7,
"S01014340",34,0,0,0,0,0,127,0,0,0,0,0,64,18,4,34,127,64,18,4,
"S01014341",84,0,0,0,0,0,193,0,0,0,0,0,81,28,4,84,193,81,28,4,
"S01014342",25,0,0,0,0,0,156,0,0,0,0,0,149,42,12,25,156,149,42,12,
"S01014343",26,0,0,0,0,0,136,0,0,0,0,0,116,19,18,26,136,116,19,18,
"S01014344",97,0,0,0,0,0,170,0,0,0,0,0,94,11,5,97,170,94,11,5,
"S01014345",55,0,0,0,0,0,114,0,0,0,0,0,55,7,7,55,114,55,7,7,
"S01014346",27,0,0,0,0,0,85,0,0,0,0,0,50,14,7,27,85,50,14,7,
"S01014347",43,0,0,0,0,0,184,0,0,0,0,0,123,37,14,43,184,123,37,14,
"S01014348",32,0,0,0,0,0,152,0,0,0,0,0,130,37,14,32,152,130,37,14,
"S01014349",103,0,0,0,0,0,171,0,0,0,0,0,82,35,13,103,171,82,35,13,
"S01014350",83,0,0,0,0,0,193,0,0,0,0,0,111,12,7,83,193,111,12,7,
"S01014351",50,0,0,0,0,0,147,0,0,0,0,0,140,25,7,50,147,140,25,7,
"S01014352",49,0,0,0,0,0,191,0,0,0,0,0,117,20,8,49,191,117,20,8,
"S01014353",50,0,0,0,0,0,197,0,0,0,0,0,175,40,16,50,197,175,40,16,
"S01014354",24,0,0,0,0,0,88,0,0,0,0,0,88,20,11,24,88,88,20,11,
"S01014355",77,0,0,0,0,0,150,0,0,0,0,0,82,23,6,77,150,82,23,6,
"S01014356",160,0,0,0,0,0,116,0,0,0,0,0,22,8,2,160,116,22,8,2,
"S01014357",149,0,0,0,0,0,195,0,0,0,0,0,59,11,5,149,195,59,11,5,
"S01014358",136,0,0,0,0,0,124,0,0,0,0,0,26,7,3,136,124,26,7,3,
"S01014359",155,0,0,0,0,0,161,0,0,0,0,0,45,9,6,155,161,45,9,6,
"S01014360",54,0,0,0,0,0,128,0,0,0,0,0,69,17,4,54,128,69,17,4,
"S01014361",69,0,0,0,0,0,157,0,0,0,0,0,62,16,9,69,157,62,16,9,
"S01014362",86,0,0,0,0,0,141,0,0,0,0,0,45,12,5,86,141,45,12,5,
"S01014363",89,0,0,0,0,0,185,0,0,0,0,0,76,18,6,89,185,76,18,6,
"S01014364",38,0,0,0,0,0,197,0,0,0,0,0,102,12,10,38,197,102,12,10,
"S01014365",47,0,0,0,0,0,151,0,0,0,0,0,93,22,10,47,151,93,22,10,
"S01014366",84,0,0,0,0,0,113,0,0,0,0,0,29,0,5,84,113,29,0,5,
"S01014367",98,0,0,0,0,0,70,0,0,0,0,0,29,5,2,98,70,29,5,2,
"S01014368",218,0,0,0,0,0,110,0,0,0,0,0,11,2,0,218,110,11,2,0,
"S01014369",181,0,0,0,0,0,175,0,0,0,0,0,44,7,4,181,175,44,7,4,
"S01014370",101,0,0,0,0,0,122,0,0,0,0,0,34,8,2,101,122,34,8,2,
"S01014371",59,0,0,0,0,0,84,0,0,0,0,0,31,12,2,59,84,31,12,2,
"S01014372",165,0,0,0,0,0,125,0,0,0,0,0,26,7,0,165,125,26,7,0,
"S01014373",42,0,0,0,0,0,226,0,0,0,0,0,111,14,9,42,226,111,14,9,
"S01014374",20,0,0,0,0,0,137,0,0,0,0,0,93,26,6,20,137,93,26,6,
"S01014375",14,0,0,0,0,0,102,0,0,0,0,0,77,19,9,14,102,77,19,9,
"S01014376",75,0,0,0,0,0,274,0,0,0,0,0,116,23,8,75,274,116,23,8,
"S01014377",45,0,0,0,0,0,270,0,0,0,0,0,161,30,18,45,270,161,30,18,
"S01014378",50,0,0,0,0,0,168,0,0,0,0,0,90,19,8,50,168,90,19,8,
"S01014379",44,0,0,0,0,0,191,0,0,0,0,0,105,25,11,44,191,105,25,11,
"S01014380",55,0,0,0,0,0,188,0,0,0,0,0,70,11,9,55,188,70,11,9,
"S01014381",43,0,0,0,0,0,142,0,0,0,0,0,84,19,6,43,142,84,19,6,
"S01014382",115,0,0,0,0,0,265,0,0,0,0,0,137,26,7,115,265,137,26,7,
"S01014383",86,0,0,0,0,0,171,0,0,0,0,0,74,13,2,86,171,74,13,2,
"S01014384",81,0,0,0,0,0,164,0,0,0,0,0,70,24,4,81,164,70,24,4,
"S01014385",157,0,0,0,0,0,207,0,0,0,0,0,43,8,1,157,207,43,8,1,
"S01014386",51,0,0,0,0,0,115,0,0,0,0,0,38,12,5,51,115,38,12,5,
"S01014387",124,0,0,0,0,0,110,0,0,0,0,0,38,4,2,124,110,38,4,2,
"S01014388",110,0,0,0,0,0,129,0,0,0,0,0,35,11,3,110,129,35,11,3,
"S01014389",89,0,0,0,0,0,98,0,0,0,0,0,43,10,2,89,98,43,10,2,
"S01014390",106,0,0,0,0,0,166,0,0,0,0,0,75,14,5,106,166,75,14,5,
"S01014391",121,0,0,0,0,0,166,0,0,0,0,0,65,8,4,121,166,65,8,4,
"S01014392",80,0,0,0,0,0,147,0,0,0,0,0,68,18,5,80,147,68,18,5,
"S01014393",83,0,0,0,0,0,191,0,0,0,0,0,105,25,6,83,191,105,25,6,
"S01014394",15,0,0,0,0,0,119,0,0,0,0,0,88,29,7,15,119,88,29,7,
"S01014395",25,0,0,0,0,0,95,0,0,0,0,0,56,28,7,25,95,56,28,7,
"S01014396",17,0,0,0,0,0,101,0,0,0,0,0,70,12,6,17,101,70,12,6,
"S01014397",94,0,0,0,0,0,179,0,0,0,0,0,74,16,5,94,179,74,16,5,
"S01014398",15,0,0,0,0,0,90,0,0,0,0,0,112,38,8,15,90,112,38,8,
"S01014399",69,0,0,0,0,0,125,0,0,0,0,0,62,9,4,69,125,62,9,4,
"S01014400",51,0,0,0,0,0,155,0,0,0,0,0,114,29,10,51,155,114,29,10,
"S01014401",8,0,0,0,0,0,84,0,0,0,0,0,92,16,13,8,84,92,16,13,
"S01014402",29,0,0,0,0,0,131,0,0,0,0,0,104,14,11,29,131,104,14,11,
"S01014403",51,0,0,0,0,0,165,0,0,0,0,0,94,25,7,51,165,94,25,7,
"S01014404",50,0,0,0,0,0,203,0,0,0,0,0,143,31,4,50,203,143,31,4,
"S01014405",79,0,0,0,0,0,200,0,0,0,0,0,103,23,6,79,200,103,23,6,
"S01014406",23,0,0,0,0,0,133,0,0,0,0,0,138,36,10,23,133,138,36,10,
"S01014407",22,0,0,0,0,0,109,0,0,0,0,0,128,43,11,22,109,128,43,11,
"S01014408",17,0,0,0,0,0,108,0,0,0,0,0,98,23,8,17,108,98,23,8,
"S01014409",24,0,0,0,0,0,96,0,0,0,0,0,59,9,1,24,96,59,9,1,
"S01014410",34,0,0,0,0,0,82,0,0,0,0,0,57,5,5,34,82,57,5,5,
"S01014411",13,0,0,0,0,0,88,0,0,0,0,0,86,27,8,13,88,86,27,8,
"S01014412",18,0,0,0,0,0,90,0,0,0,0,0,74,19,7,18,90,74,19,7,
"S01014413",56,0,0,0,0,0,138,0,0,0,0,0,98,11,8,56,138,98,11,8,
"S01014414",79,0,0,0,0,0,183,0,0,0,0,0,57,24,5,79,183,57,24,5,
"S01014415",285,0,0,0,0,0,232,0,0,0,0,0,58,10,5,285,232,58,10,5,
"S01014416",168,0,0,0,0,0,216,0,0,0,0,0,40,5,4,168,216,40,5,4,
"S01014417",107,0,0,0,0,0,238,0,0,0,0,0,105,28,9,107,238,105,28,9,
"S01014418",101,0,0,0,0,0,114,0,0,0,0,0,44,15,6,101,114,44,15,6,
"S01014419",121,0,0,0,0,0,88,0,0,0,0,0,33,13,2,121,88,33,13,2,
"S01014420",102,0,0,0,0,0,180,0,0,0,0,0,83,18,2,102,180,83,18,2,
"S01014421",44,0,0,0,0,0,165,0,0,0,0,0,96,18,3,44,165,96,18,3,
"S01014422",33,0,0,0,0,0,131,0,0,0,0,0,74,21,2,33,131,74,21,2,
"S01014423",26,0,0,0,0,0,94,0,0,0,0,0,60,14,4,26,94,60,14,4,
"S01014424",11,0,0,0,0,0,81,0,0,0,0,0,72,15,7,11,81,72,15,7,
"S01014425",50,0,0,0,0,0,146,0,0,0,0,0,132,23,9,50,146,132,23,9,
"S01014426",22,0,0,0,0,0,90,0,0,0,0,0,102,24,17,22,90,102,24,17,
"S01014427",13,0,0,0,0,0,66,0,0,0,0,0,85,22,15,13,66,85,22,15,
"S01014428",18,0,0,0,0,0,111,0,0,0,0,0,96,24,10,18,111,96,24,10,
"S01014429",31,0,0,0,0,0,169,0,0,0,0,0,147,45,7,31,169,147,45,7,
"S01014430",45,0,0,0,0,0,128,0,0,0,0,0,60,11,4,45,128,60,11,4,
"S01014431",36,0,0,0,0,0,134,0,0,0,0,0,115,25,6,36,134,115,25,6,
"S01014432",48,0,0,0,0,0,141,0,0,0,0,0,82,23,10,48,141,82,23,10,
"S01014433",26,0,0,0,0,0,76,0,0,0,0,0,61,18,5,26,76,61,18,5,
"S01014434",21,0,0,0,0,0,89,0,0,0,0,0,60,13,1,21,89,60,13,1,
"S01014435",102,0,0,0,0,0,195,0,0,0,0,0,88,23,4,102,195,88,23,4,
"S01014436",37,0,0,0,0,0,80,0,0,0,0,0,92,17,2,37,80,92,17,2,
"S01014437",18,0,0,0,0,0,87,0,0,0,0,0,129,30,9,18,87,129,30,9,
"S01014438",9,0,0,0,0,0,63,0,0,0,0,0,85,13,10,9,63,85,13,10,
"S01014439",24,0,0,0,0,0,134,0,0,0,0,0,135,32,12,24,134,135,32,12,
"S01014440",25,0,0,0,0,0,136,0,0,0,0,0,106,13,1,25,136,106,13,1,
"S01014441",14,0,0,0,0,0,109,0,0,0,0,0,84,13,5,14,109,84,13,5,
"S01014442",39,0,0,0,0,0,100,0,0,0,0,0,64,15,6,39,100,64,15,6,
"S01014443",63,0,0,0,0,0,130,0,0,0,0,0,65,9,5,63,130,65,9,5,
"S01014444",27,0,0,0,0,0,197,0,0,0,0,0,137,28,5,27,197,137,28,5,
"S01014445",91,0,0,0,0,0,178,0,0,0,0,0,70,12,6,91,178,70,12,6,
"S01014446",62,0,0,0,0,0,193,0,0,0,0,0,119,21,5,62,193,119,21,5,
"S01014447",66,0,0,0,0,0,180,0,0,0,0,0,130,12,9,66,180,130,12,9,
"S01014448",45,0,0,0,0,0,164,0,0,0,0,0,106,26,10,45,164,106,26,10,
"S01014449",44,0,0,0,0,0,138,0,0,0,0,0,96,16,7,44,138,96,16,7,
"S01014450",50,0,0,0,0,0,173,0,0,0,0,0,97,16,6,50,173,97,16,6,
"S01014451",27,0,0,0,0,0,165,0,0,0,0,0,98,20,9,27,165,98,20,9,
"S01014452",24,0,0,0,0,0,164,0,0,0,0,0,88,23,5,24,164,88,23,5,
"S01014453",80,0,0,0,0,0,220,0,0,0,0,0,104,17,4,80,220,104,17,4,
"S01014454",101,0,0,0,0,0,168,0,0,0,0,0,85,11,4,101,168,85,11,4,
"S01014455",17,0,0,0,0,0,113,0,0,0,0,0,95,16,6,17,113,95,16,6,
"S01014456",31,0,0,0,0,0,182,0,0,0,0,0,170,33,13,31,182,170,33,13,
"S01014457",36,0,0,0,0,0,189,0,0,0,0,0,168,34,6,36,189,168,34,6,
"S01014458",15,0,0,0,0,0,86,0,0,0,0,0,73,11,3,15,86,73,11,3,
"S01014459",41,0,0,0,0,0,174,0,0,0,0,0,89,15,4,41,174,89,15,4,
"S01014460",24,0,0,0,0,0,118,0,0,0,0,0,97,17,7,24,118,97,17,7,
"S01014461",34,0,0,0,0,0,115,0,0,0,0,0,76,11,4,34,115,76,11,4,
"S01014462",153,0,0,0,0,0,175,0,0,0,0,0,73,10,2,153,175,73,10,2,
"S01014463",28,0,0,0,0,0,167,0,0,0,0,0,139,26,6,28,167,139,26,6,
"S01014464",18,0,0,0,0,0,128,0,0,0,0,0,113,23,4,18,128,113,23,4,
"S01014465",38,0,0,0,0,0,150,0,0,0,0,0,113,11,5,38,150,113,11,5,
"S01014466",167,0,0,0,0,0,132,0,0,0,0,0,30,8,0,167,132,30,8,0,
"S01014467",124,0,0,0,0,0,65,0,0,0,0,0,24,5,3,124,65,24,5,3,
"S01014468",154,0,0,0,0,0,87,0,0,0,0,0,25,4,0,154,87,25,4,0,
"S01014469",120,0,0,0,0,0,89,0,0,0,0,0,22,5,1,120,89,22,5,1,
"S01014470",137,0,0,0,0,0,176,0,0,0,0,0,65,4,0,137,176,65,4,0,
"S01014471",176,0,0,0,0,0,164,0,0,0,0,0,34,6,2,176,164,34,6,2,
"S01014472",301,0,0,0,0,0,152,0,0,0,0,0,24,6,1,301,152,24,6,1,
"S01014473",299,0,0,0,0,0,137,0,0,0,0,0,22,5,3,299,137,22,5,3,
"S01014474",244,0,0,0,0,0,91,0,0,0,0,0,19,3,0,244,91,19,3,0,
"S01014475",140,0,0,0,0,0,202,0,0,0,0,0,62,10,4,140,202,62,10,4,
"S01014476",212,0,0,0,0,0,118,0,0,0,0,0,31,6,2,212,118,31,6,2,
"S01014477",231,0,0,0,0,0,105,0,0,0,0,0,22,4,2,231,105,22,4,2,
"S01014478",299,0,0,0,0,0,141,0,0,0,0,0,26,3,0,299,141,26,3,0,
"S01014479",210,0,0,0,0,0,93,0,0,0,0,0,10,3,0,210,93,10,3,0,
"S01014480",187,0,0,0,0,0,85,0,0,0,0,0,16,3,0,187,85,16,3,0,
"S01014481",153,0,0,0,0,0,187,0,0,0,0,0,47,9,0,153,187,47,9,0,
"S01014482",131,0,0,0,0,0,161,0,0,0,0,0,50,2,4,131,161,50,2,4,
"S01014483",102,0,0,0,0,0,151,0,0,0,0,0,41,7,4,102,151,41,7,4,
"S01014484",100,0,0,0,0,0,161,0,0,0,0,0,40,5,2,100,161,40,5,2,
"S01014485",167,0,0,0,0,0,174,0,0,0,0,0,82,18,1,167,174,82,18,1,
"S01014486",91,0,0,0,0,0,156,0,0,0,0,0,60,7,0,91,156,60,7,0,
"S01014487",137,0,0,0,0,0,107,0,0,0,0,0,39,5,1,137,107,39,5,1,
"S01014488",173,0,0,0,0,0,118,0,0,0,0,0,35,4,0,173,118,35,4,0,
"S01014489",116,0,0,0,0,0,105,0,0,0,0,0,36,6,0,116,105,36,6,0,
"S01014490",119,0,0,0,0,0,101,0,0,0,0,0,29,5,4,119,101,29,5,4,
"S01014491",245,0,0,0,0,0,164,0,0,0,0,0,22,4,0,245,164,22,4,0,
"S01014492",157,0,0,0,0,0,129,0,0,0,0,0,26,5,0,157,129,26,5,0,
"S01014493",212,0,0,0,0,0,150,0,0,0,0,0,34,3,0,212,150,34,3,0,
"S01014494",255,0,0,0,0,0,165,0,0,0,0,0,15,4,1,255,165,15,4,1,
"S01014495",341,0,0,0,0,0,204,0,0,0,0,0,38,2,1,341,204,38,2,1,
"S01014496",188,0,0,0,0,0,163,0,0,0,0,0,35,6,4,188,163,35,6,4,
"S01014497",149,0,0,0,0,0,102,0,0,0,0,0,19,3,1,149,102,19,3,1,
"S01014498",91,0,0,0,0,0,137,0,0,0,0,0,37,8,4,91,137,37,8,4,
"S01014499",65,0,0,0,0,0,103,0,0,0,0,0,38,10,6,65,103,38,10,6,
"S01014500",125,0,0,0,0,0,121,0,0,0,0,0,33,0,3,125,121,33,0,3,
"S01014501",117,0,0,0,0,0,130,0,0,0,0,0,55,6,1,117,130,55,6,1,
"S01014502",75,0,0,0,0,0,145,0,0,0,0,0,68,12,5,75,145,68,12,5,
"S01014503",125,0,0,0,0,0,236,0,0,0,0,0,84,14,1,125,236,84,14,1,
"S01014504",203,0,0,0,0,0,186,0,0,0,0,0,60,10,2,203,186,60,10,2,
"S01014505",198,0,0,0,0,0,266,0,0,0,0,0,64,3,0,198,266,64,3,0,
"S01014506",195,0,0,0,0,0,205,0,0,0,0,0,37,8,0,195,205,37,8,0,
"S01014507",150,0,0,0,0,0,157,0,0,0,0,0,25,5,3,150,157,25,5,3,
"S01014508",233,0,0,0,0,0,208,0,0,0,0,0,38,5,0,233,208,38,5,0,
"S01014509",245,0,0,0,0,0,218,0,0,0,0,0,29,1,1,245,218,29,1,1,
"S01014510",191,0,0,0,0,0,136,0,0,0,0,0,25,3,1,191,136,25,3,1,
"S01014511",142,0,0,0,0,0,151,0,0,0,0,0,31,2,0,142,151,31,2,0,
"S01014512",151,0,0,0,0,0,124,0,0,0,0,0,24,4,2,151,124,24,4,2,
"S01014513",196,0,0,0,0,0,109,0,0,0,0,0,20,4,1,196,109,20,4,1,
"S01014514",396,0,0,0,0,0,167,0,0,0,0,0,23,2,2,396,167,23,2,2,
"S01014515",407,0,0,0,0,0,198,0,0,0,0,0,6,3,0,407,198,6,3,0,
"S01014516",390,0,0,0,0,0,208,0,0,0,0,0,18,3,0,390,208,18,3,0,
"S01014517",389,0,0,0,0,0,168,0,0,0,0,0,12,0,1,389,168,12,0,1,
"S01014518",349,0,0,0,0,0,156,0,0,0,0,0,12,3,0,349,156,12,3,0,
"S01014519",373,0,0,0,0,0,161,0,0,0,0,0,15,4,0,373,161,15,4,0,
"S01014520",145,0,0,0,0,0,74,0,0,0,0,0,11,2,0,145,74,11,2,0,
"S01014521",168,0,0,0,0,0,122,0,0,0,0,0,20,2,2,168,122,20,2,2,
"S01014522",210,0,0,0,0,0,158,0,0,0,0,0,23,1,0,210,158,23,1,0,
"S01014523",161,0,0,0,0,0,232,0,0,0,0,0,37,3,0,161,232,37,3,0,
"S01014524",192,0,0,0,0,0,274,0,0,0,0,0,64,9,1,192,274,64,9,1,
"S01014525",121,0,0,0,0,0,175,0,0,0,0,0,28,2,1,121,175,28,2,1,
"S01014526",177,0,0,0,0,0,256,0,0,0,0,0,54,2,2,177,256,54,2,2,
"S01014527",177,0,0,0,0,0,230,0,0,0,0,0,45,4,1,177,230,45,4,1,
"S01014528",58,0,0,0,0,0,181,0,0,0,0,0,70,13,4,58,181,70,13,4,
"S01014529",116,0,0,0,0,0,292,0,0,0,0,0,109,14,5,116,292,109,14,5,
"S01014530",69,0,0,0,0,0,203,0,0,0,0,0,104,13,2,69,203,104,13,2,
"S01014531",36,0,0,0,0,0,174,0,0,0,0,0,115,24,10,36,174,115,24,10,
"S01014532",17,0,0,0,0,0,97,0,0,0,0,0,73,14,5,17,97,73,14,5,
"S01014533",19,0,0,0,0,0,100,0,0,0,0,0,110,18,0,19,100,110,18,0,
"S01014534",109,0,0,0,0,0,213,0,0,0,0,0,104,6,0,109,213,104,6,0,
"S01014535",56,0,0,0,0,0,182,0,0,0,0,0,86,9,1,56,182,86,9,1,
"S01014536",320,0,0,0,0,0,261,0,0,0,0,0,46,4,0,320,261,46,4,0,
"S01014537",201,0,0,0,0,0,167,0,0,0,0,0,42,4,0,201,167,42,4,0,
"S01014538",94,0,0,0,0,0,208,0,0,0,0,0,60,13,2,94,208,60,13,2,
"S01014539",66,0,0,0,0,0,168,0,0,0,0,0,88,3,4,66,168,88,3,4,
"S01014540",45,0,0,0,0,0,192,0,0,0,0,0,146,31,12,45,192,146,31,12,
"S01014541",24,0,0,0,0,0,176,0,0,0,0,0,127,14,2,24,176,127,14,2,
"S01014542",28,0,0,0,0,0,131,0,0,0,0,0,74,18,2,28,131,74,18,2,
"S01014543",49,0,0,0,0,0,246,0,0,0,0,0,136,25,1,49,246,136,25,1,
"S01014544",236,0,0,0,0,0,182,0,0,0,0,0,42,5,4,236,182,42,5,4,
"S01014545",181,0,0,0,0,0,183,0,0,0,0,0,36,4,3,181,183,36,4,3,
"S01014546",158,0,0,0,0,0,234,0,0,0,0,0,43,7,1,158,234,43,7,1,
"S01014547",121,0,0,0,0,0,152,0,0,0,0,0,48,6,4,121,152,48,6,4,
"S01014548",86,0,0,0,0,0,159,0,0,0,0,0,48,6,3,86,159,48,6,3,
"S01014549",119,0,0,0,0,0,171,0,0,0,0,0,61,18,3,119,171,61,18,3,
"S01014550",216,0,0,0,0,0,141,0,0,0,0,0,29,2,1,216,141,29,2,1,
"S01014551",192,0,0,0,0,0,160,0,0,0,0,0,29,8,3,192,160,29,8,3,
"S01014552",87,0,0,0,0,0,97,0,0,0,0,0,24,1,1,87,97,24,1,1,
"S01014553",21,0,0,0,0,0,91,0,0,0,0,0,43,3,0,21,91,43,3,0,
"S01014554",35,0,0,0,0,0,125,0,0,0,0,0,88,11,5,35,125,88,11,5,
"S01014555",30,0,0,0,0,0,145,0,0,0,0,0,87,20,1,30,145,87,20,1,
"S01014556",63,0,0,0,0,0,108,0,0,0,0,0,73,14,4,63,108,73,14,4,
"S01014557",22,0,0,0,0,0,124,0,0,0,0,0,115,14,3,22,124,115,14,3,
"S01014558",22,0,0,0,0,0,98,0,0,0,0,0,94,25,3,22,98,94,25,3,
"S01014559",44,0,0,0,0,0,169,0,0,0,0,0,102,25,3,44,169,102,25,3,
"S01014560",39,0,0,0,0,0,199,0,0,0,0,0,122,8,6,39,199,122,8,6,
"S01014561",33,0,0,0,0,0,188,0,0,0,0,0,92,11,5,33,188,92,11,5,
"S01014562",16,0,0,0,0,0,98,0,0,0,0,0,68,10,1,16,98,68,10,1,
"S01014563",12,0,0,0,0,0,81,0,0,0,0,0,88,13,3,12,81,88,13,3,
"S01014564",20,0,0,0,0,0,115,0,0,0,0,0,72,8,0,20,115,72,8,0,
"S01014565",13,0,0,0,0,0,139,0,0,0,0,0,86,18,3,13,139,86,18,3,
"S01014566",8,0,0,0,0,0,74,0,0,0,0,0,109,17,6,8,74,109,17,6,
"S01014567",14,0,0,0,0,0,141,0,0,0,0,0,151,23,2,14,141,151,23,2,
"S01014568",27,0,0,0,0,0,134,0,0,0,0,0,152,18,7,27,134,152,18,7,
"S01014569",55,0,0,0,0,0,232,0,0,0,0,0,143,23,5,55,232,143,23,5,
"S01014570",26,0,0,0,0,0,139,0,0,0,0,0,103,14,1,26,139,103,14,1,
"S01014571",78,0,0,0,0,0,147,0,0,0,0,0,52,10,7,78,147,52,10,7,
"S01014572",25,0,0,0,0,0,92,0,0,0,0,0,97,13,2,25,92,97,13,2,
"S01014573",50,0,0,0,0,0,112,0,0,0,0,0,73,11,2,50,112,73,11,2,
"S01014574",108,0,0,0,0,0,149,0,0,0,0,0,49,10,5,108,149,49,10,5,
"S01014575",13,0,0,0,0,0,147,0,0,0,0,0,77,5,0,13,147,77,5,0,
"S01014576",38,0,0,0,0,0,148,0,0,0,0,0,65,7,0,38,148,65,7,0,
"S01014577",32,0,0,0,0,0,172,0,0,0,0,0,93,15,5,32,172,93,15,5,
"S01014578",40,0,0,0,0,0,126,0,0,0,0,0,81,13,2,40,126,81,13,2,
"S01014579",74,0,0,0,0,0,150,0,0,0,0,0,71,12,0,74,150,71,12,0,
"S01014580",47,0,0,0,0,0,164,0,0,0,0,0,107,20,4,47,164,107,20,4,
"S01014581",125,0,0,0,0,0,294,0,0,0,0,0,68,12,4,125,294,68,12,4,
"S01014582",62,0,0,0,0,0,226,0,0,0,0,0,76,17,3,62,226,76,17,3,
"S01014583",121,0,0,0,0,0,142,0,0,0,0,0,46,20,1,121,142,46,20,1,
"S01014584",111,0,0,0,0,0,156,0,0,0,0,0,68,18,4,111,156,68,18,4,
"S01014585",219,0,0,0,0,0,185,0,0,0,0,0,34,13,3,219,185,34,13,3,
"S01014586",164,0,0,0,0,0,159,0,0,0,0,0,33,7,0,164,159,33,7,0,
"S01014587",145,0,0,0,0,0,163,0,0,0,0,0,39,6,0,145,163,39,6,0,
