SuperWEB2(tm)

"Household"
"Data Zone (2022) by Number of cars or vans - 3 groups, collapsed and Number of cars or vans"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans - 3 groups, collapsed","Number of cars or vans in household: No cars or vans",,,,,"Number of cars or vans in household: One car or van",,,,,"Number of cars or vans in household: Two or more cars or vans",,,,,"Total",,,,,
"Number of cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans",
"Data Zone (2022)",
"S01013537",132,0,0,0,0,0,161,0,0,0,0,0,48,5,3,132,161,48,5,3,
"S01013538",48,0,0,0,0,0,133,0,0,0,0,0,61,10,4,48,133,61,10,4,
"S01013539",93,0,0,0,0,0,228,0,0,0,0,0,111,20,3,93,228,111,20,3,
"S01013540",32,0,0,0,0,0,183,0,0,0,0,0,104,11,2,32,183,104,11,2,
"S01013541",78,0,0,0,0,0,188,0,0,0,0,0,128,24,0,78,188,128,24,0,
"S01013542",102,0,0,0,0,0,210,0,0,0,0,0,90,11,3,102,210,90,11,3,
"S01013543",397,0,0,0,0,0,218,0,0,0,0,0,29,3,0,397,218,29,3,0,
"S01013544",373,0,0,0,0,0,195,0,0,0,0,0,26,3,0,373,195,26,3,0,
"S01013545",167,0,0,0,0,0,237,0,0,0,0,0,50,8,0,167,237,50,8,0,
"S01013546",308,0,0,0,0,0,147,0,0,0,0,0,30,0,0,308,147,30,0,0,
"S01013547",290,0,0,0,0,0,263,0,0,0,0,0,49,4,1,290,263,49,4,1,
"S01013548",108,0,0,0,0,0,145,0,0,0,0,0,26,7,0,108,145,26,7,0,
"S01013549",67,0,0,0,0,0,201,0,0,0,0,0,73,13,5,67,201,73,13,5,
"S01013550",130,0,0,0,0,0,275,0,0,0,0,0,108,11,0,130,275,108,11,0,
"S01013551",29,0,0,0,0,0,170,0,0,0,0,0,135,26,14,29,170,135,26,14,
"S01013552",17,0,0,0,0,0,144,0,0,0,0,0,105,21,4,17,144,105,21,4,
"S01013553",43,0,0,0,0,0,186,0,0,0,0,0,151,27,24,43,186,151,27,24,
"S01013554",77,0,0,0,0,0,192,0,0,0,0,0,123,12,6,77,192,123,12,6,
"S01013555",76,0,0,0,0,0,151,0,0,0,0,0,84,7,3,76,151,84,7,3,
"S01013556",116,0,0,0,0,0,232,0,0,0,0,0,68,15,1,116,232,68,15,1,
"S01013557",270,0,0,0,0,0,307,0,0,0,0,0,58,1,0,270,307,58,1,0,
"S01013558",244,0,0,0,0,0,259,0,0,0,0,0,35,3,0,244,259,35,3,0,
"S01013559",137,0,0,0,0,0,220,0,0,0,0,0,39,8,3,137,220,39,8,3,
"S01013560",38,0,0,0,0,0,188,0,0,0,0,0,130,22,12,38,188,130,22,12,
"S01013561",245,0,0,0,0,0,230,0,0,0,0,0,41,3,0,245,230,41,3,0,
"S01013562",177,0,0,0,0,0,193,0,0,0,0,0,34,1,0,177,193,34,1,0,
"S01013563",156,0,0,0,0,0,204,0,0,0,0,0,33,3,0,156,204,33,3,0,
"S01013564",293,0,0,0,0,0,186,0,0,0,0,0,25,1,1,293,186,25,1,1,
"S01013565",344,0,0,0,0,0,170,0,0,0,0,0,11,2,2,344,170,11,2,2,
"S01013566",255,0,0,0,0,0,110,0,0,0,0,0,23,5,0,255,110,23,5,0,
"S01013567",284,0,0,0,0,0,106,0,0,0,0,0,18,3,1,284,106,18,3,1,
"S01013568",209,0,0,0,0,0,132,0,0,0,0,0,12,0,0,209,132,12,0,0,
"S01013569",191,0,0,0,0,0,180,0,0,0,0,0,22,3,1,191,180,22,3,1,
"S01013570",151,0,0,0,0,0,182,0,0,0,0,0,35,4,0,151,182,35,4,0,
"S01013571",75,0,0,0,0,0,214,0,0,0,0,0,60,5,0,75,214,60,5,0,
"S01013572",105,0,0,0,0,0,196,0,0,0,0,0,53,8,2,105,196,53,8,2,
"S01013573",117,0,0,0,0,0,200,0,0,0,0,0,30,5,2,117,200,30,5,2,
"S01013574",146,0,0,0,0,0,309,0,0,0,0,0,66,5,2,146,309,66,5,2,
"S01013575",101,0,0,0,0,0,221,0,0,0,0,0,73,3,2,101,221,73,3,2,
"S01013576",192,0,0,0,0,0,163,0,0,0,0,0,17,1,1,192,163,17,1,1,
"S01013577",45,0,0,0,0,0,215,0,0,0,0,0,100,10,5,45,215,100,10,5,
"S01013578",220,0,0,0,0,0,253,0,0,0,0,0,42,8,1,220,253,42,8,1,
"S01013579",183,0,0,0,0,0,274,0,0,0,0,0,84,17,3,183,274,84,17,3,
"S01013580",163,0,0,0,0,0,250,0,0,0,0,0,75,13,6,163,250,75,13,6,
"S01013581",96,0,0,0,0,0,212,0,0,0,0,0,87,15,1,96,212,87,15,1,
"S01013582",117,0,0,0,0,0,138,0,0,0,0,0,54,12,1,117,138,54,12,1,
"S01013583",92,0,0,0,0,0,179,0,0,0,0,0,69,14,3,92,179,69,14,3,
"S01013584",133,0,0,0,0,0,119,0,0,0,0,0,35,11,1,133,119,35,11,1,
"S01013585",92,0,0,0,0,0,183,0,0,0,0,0,91,16,6,92,183,91,16,6,
"S01013586",93,0,0,0,0,0,186,0,0,0,0,0,71,13,3,93,186,71,13,3,
"S01013587",34,0,0,0,0,0,151,0,0,0,0,0,130,27,14,34,151,130,27,14,
"S01013588",18,0,0,0,0,0,179,0,0,0,0,0,132,10,2,18,179,132,10,2,
"S01013589",19,0,0,0,0,0,165,0,0,0,0,0,131,7,1,19,165,131,7,1,
"S01013590",130,0,0,0,0,0,210,0,0,0,0,0,78,13,2,130,210,78,13,2,
"S01013591",97,0,0,0,0,0,113,0,0,0,0,0,21,6,0,97,113,21,6,0,
"S01013592",137,0,0,0,0,0,203,0,0,0,0,0,84,7,3,137,203,84,7,3,
"S01013593",75,0,0,0,0,0,170,0,0,0,0,0,83,24,6,75,170,83,24,6,
"S01013594",18,0,0,0,0,0,134,0,0,0,0,0,59,18,0,18,134,59,18,0,
"S01013595",15,0,0,0,0,0,132,0,0,0,0,0,87,21,6,15,132,87,21,6,
"S01013596",11,0,0,0,0,0,89,0,0,0,0,0,127,33,6,11,89,127,33,6,
"S01013597",33,0,0,0,0,0,180,0,0,0,0,0,91,14,7,33,180,91,14,7,
"S01013598",52,0,0,0,0,0,137,0,0,0,0,0,81,17,5,52,137,81,17,5,
"S01013599",31,0,0,0,0,0,113,0,0,0,0,0,62,11,6,31,113,62,11,6,
"S01013600",68,0,0,0,0,0,192,0,0,0,0,0,115,24,4,68,192,115,24,4,
"S01013601",57,0,0,0,0,0,206,0,0,0,0,0,89,15,4,57,206,89,15,4,
"S01013602",36,0,0,0,0,0,123,0,0,0,0,0,68,4,2,36,123,68,4,2,
"S01013603",35,0,0,0,0,0,166,0,0,0,0,0,83,16,4,35,166,83,16,4,
"S01013604",133,0,0,0,0,0,201,0,0,0,0,0,60,10,0,133,201,60,10,0,
"S01013605",126,0,0,0,0,0,148,0,0,0,0,0,73,6,2,126,148,73,6,2,
"S01013606",232,0,0,0,0,0,240,0,0,0,0,0,71,4,1,232,240,71,4,1,
"S01013607",88,0,0,0,0,0,124,0,0,0,0,0,45,10,0,88,124,45,10,0,
"S01013608",139,0,0,0,0,0,125,0,0,0,0,0,16,1,0,139,125,16,1,0,
"S01013609",257,0,0,0,0,0,170,0,0,0,0,0,22,7,1,257,170,22,7,1,
"S01013610",335,0,0,0,0,0,174,0,0,0,0,0,19,1,0,335,174,19,1,0,
"S01013611",165,0,0,0,0,0,131,0,0,0,0,0,42,5,2,165,131,42,5,2,
"S01013612",211,0,0,0,0,0,204,0,0,0,0,0,54,4,1,211,204,54,4,1,
"S01013613",206,0,0,0,0,0,131,0,0,0,0,0,34,3,1,206,131,34,3,1,
"S01013614",124,0,0,0,0,0,109,0,0,0,0,0,38,8,2,124,109,38,8,2,
"S01013615",141,0,0,0,0,0,91,0,0,0,0,0,16,1,0,141,91,16,1,0,
"S01013616",120,0,0,0,0,0,134,0,0,0,0,0,36,6,0,120,134,36,6,0,
"S01013617",195,0,0,0,0,0,161,0,0,0,0,0,24,9,0,195,161,24,9,0,
"S01013618",133,0,0,0,0,0,137,0,0,0,0,0,26,4,1,133,137,26,4,1,
"S01013619",315,0,0,0,0,0,217,0,0,0,0,0,29,2,3,315,217,29,2,3,
"S01013620",415,0,0,0,0,0,177,0,0,0,0,0,21,0,1,415,177,21,0,1,
"S01013621",157,0,0,0,0,0,246,0,0,0,0,0,66,5,3,157,246,66,5,3,
"S01013622",309,0,0,0,0,0,244,0,0,0,0,0,44,1,0,309,244,44,1,0,
"S01013623",283,0,0,0,0,0,173,0,0,0,0,0,37,4,0,283,173,37,4,0,
"S01013624",202,0,0,0,0,0,139,0,0,0,0,0,31,5,0,202,139,31,5,0,
"S01013625",249,0,0,0,0,0,302,0,0,0,0,0,79,4,3,249,302,79,4,3,
"S01013626",236,0,0,0,0,0,105,0,0,0,0,0,16,0,0,236,105,16,0,0,
"S01013627",165,0,0,0,0,0,142,0,0,0,0,0,12,0,0,165,142,12,0,0,
"S01013628",180,0,0,0,0,0,132,0,0,0,0,0,20,2,0,180,132,20,2,0,
"S01013629",413,0,0,0,0,0,204,0,0,0,0,0,37,2,1,413,204,37,2,1,
"S01013630",334,0,0,0,0,0,213,0,0,0,0,0,38,2,0,334,213,38,2,0,
"S01013631",198,0,0,0,0,0,157,0,0,0,0,0,33,4,1,198,157,33,4,1,
"S01013632",245,0,0,0,0,0,90,0,0,0,0,0,10,1,0,245,90,10,1,0,
"S01013633",177,0,0,0,0,0,113,0,0,0,0,0,35,4,0,177,113,35,4,0,
"S01013634",91,0,0,0,0,0,163,0,0,0,0,0,50,5,3,91,163,50,5,3,
"S01013635",207,0,0,0,0,0,221,0,0,0,0,0,35,4,0,207,221,35,4,0,
"S01013636",142,0,0,0,0,0,284,0,0,0,0,0,93,6,0,142,284,93,6,0,
"S01013637",234,0,0,0,0,0,205,0,0,0,0,0,46,3,0,234,205,46,3,0,
"S01013638",113,0,0,0,0,0,121,0,0,0,0,0,18,3,1,113,121,18,3,1,
"S01013639",170,0,0,0,0,0,144,0,0,0,0,0,25,5,0,170,144,25,5,0,
"S01013640",216,0,0,0,0,0,153,0,0,0,0,0,27,3,1,216,153,27,3,1,
"S01013641",152,0,0,0,0,0,143,0,0,0,0,0,25,6,0,152,143,25,6,0,
"S01013642",127,0,0,0,0,0,75,0,0,0,0,0,19,3,2,127,75,19,3,2,
"S01013643",89,0,0,0,0,0,113,0,0,0,0,0,38,2,0,89,113,38,2,0,
"S01013644",157,0,0,0,0,0,89,0,0,0,0,0,18,4,0,157,89,18,4,0,
"S01013645",109,0,0,0,0,0,108,0,0,0,0,0,17,3,2,109,108,17,3,2,
"S01013646",114,0,0,0,0,0,87,0,0,0,0,0,20,6,0,114,87,20,6,0,
"S01013647",203,0,0,0,0,0,116,0,0,0,0,0,35,11,3,203,116,35,11,3,
"S01013648",289,0,0,0,0,0,245,0,0,0,0,0,64,6,2,289,245,64,6,2,
"S01013649",257,0,0,0,0,0,153,0,0,0,0,0,21,5,0,257,153,21,5,0,
"S01013650",200,0,0,0,0,0,156,0,0,0,0,0,41,7,1,200,156,41,7,1,
"S01013651",352,0,0,0,0,0,206,0,0,0,0,0,30,4,1,352,206,30,4,1,
"S01013652",190,0,0,0,0,0,169,0,0,0,0,0,31,0,0,190,169,31,0,0,
"S01013653",70,0,0,0,0,0,108,0,0,0,0,0,38,2,1,70,108,38,2,1,
"S01013654",190,0,0,0,0,0,116,0,0,0,0,0,30,4,0,190,116,30,4,0,
"S01013655",241,0,0,0,0,0,205,0,0,0,0,0,33,2,2,241,205,33,2,2,
"S01013656",176,0,0,0,0,0,105,0,0,0,0,0,18,2,0,176,105,18,2,0,
"S01013657",177,0,0,0,0,0,112,0,0,0,0,0,48,4,0,177,112,48,4,0,
"S01013658",173,0,0,0,0,0,108,0,0,0,0,0,38,4,2,173,108,38,4,2,
"S01013659",272,0,0,0,0,0,220,0,0,0,0,0,43,6,0,272,220,43,6,0,
"S01013660",171,0,0,0,0,0,145,0,0,0,0,0,54,8,4,171,145,54,8,4,
"S01013661",130,0,0,0,0,0,156,0,0,0,0,0,57,2,3,130,156,57,2,3,
"S01013662",76,0,0,0,0,0,162,0,0,0,0,0,67,4,1,76,162,67,4,1,
"S01013663",215,0,0,0,0,0,157,0,0,0,0,0,60,6,1,215,157,60,6,1,
"S01013664",169,0,0,0,0,0,219,0,0,0,0,0,66,3,1,169,219,66,3,1,
