SuperWEB2(tm)

"Household"
"Data Zone (2022) by Number of cars or vans"
"Counting: Households"

Filters:
"Default Summation","Households"

"Number of cars or vans","Number of cars or vans in household: No cars or vans","Number of cars or vans in household: One car or van","Number of cars or vans in household: Two cars or vans","Number of cars or vans in household: Three cars or vans","Number of cars or vans in household: Four or more cars or vans","Total",
"Data Zone (2022)",
"S01015101",107,212,102,21,6,445,
"S01015102",77,147,76,9,6,317,
"S01015103",154,218,83,18,4,477,
"S01015104",66,202,131,18,5,422,
"S01015105",39,96,54,12,5,203,
"S01015106",19,92,75,23,3,209,
"S01015107",61,165,144,26,15,409,
"S01015108",58,202,150,42,17,469,
"S01015109",83,101,36,8,5,233,
"S01015110",74,160,74,19,5,332,
"S01015111",139,151,64,6,0,361,
"S01015112",80,82,46,12,2,225,
"S01015113",112,155,62,8,8,343,
"S01015114",80,183,60,12,3,338,
"S01015115",58,135,80,18,5,299,
"S01015116",12,92,94,25,6,229,
"S01015117",7,89,83,14,9,202,
"S01015118",53,152,137,33,7,383,
"S01015119",59,205,168,39,14,476,
"S01015120",10,101,127,26,4,268,
"S01015121",5,48,99,24,15,185,
"S01015122",13,75,81,30,20,219,
"S01015123",38,171,172,38,20,439,
"S01015124",91,213,107,27,7,444,
"S01015125",91,155,74,14,4,335,
"S01015126",58,135,71,22,6,292,
"S01015127",18,135,148,32,9,341,
"S01015128",37,70,52,16,5,184,
"S01015129",11,68,157,25,12,276,
"S01015130",33,87,62,19,8,204,
"S01015131",122,161,70,17,7,377,
"S01015132",151,158,62,14,2,384,
"S01015133",110,187,105,37,11,450,
"S01015134",24,93,68,27,9,223,
"S01015135",50,135,82,19,7,293,
"S01015136",123,179,84,18,7,411,
"S01015137",163,143,39,10,6,361,
"S01015138",96,155,91,20,5,367,
"S01015139",171,151,79,13,1,415,
"S01015140",148,141,43,9,0,339,
"S01015141",163,142,60,10,1,376,
"S01015142",315,231,45,6,1,601,
"S01015143",157,254,88,17,9,521,
"S01015144",37,159,76,16,7,297,
"S01015145",58,167,124,29,6,384,
"S01015146",120,137,51,10,6,324,
"S01015147",44,85,53,14,5,201,
"S01015148",62,136,52,13,6,269,
"S01015149",70,101,46,7,1,224,
"S01015150",20,90,75,22,7,216,
"S01015151",38,139,146,27,6,356,
"S01015152",44,164,101,30,9,348,
"S01015153",40,109,66,15,9,239,
"S01015154",103,222,122,28,4,475,
"S01015155",45,147,72,15,6,284,
"S01015156",45,156,102,21,7,331,
"S01015157",66,123,41,6,4,239,
"S01015158",55,138,73,19,1,290,
"S01015159",112,86,50,8,7,263,
"S01015160",239,218,46,8,4,509,
"S01015161",58,215,132,28,11,447,
"S01015162",26,104,81,20,9,242,
"S01015163",22,125,128,34,24,331,
"S01015164",54,204,129,21,10,418,
"S01015165",199,157,49,9,1,414,
"S01015166",144,226,85,22,7,484,
"S01015167",84,181,102,22,5,394,
"S01015168",117,212,68,19,7,420,
"S01015169",146,226,98,19,7,496,
"S01015170",40,136,75,11,3,264,
"S01015171",75,186,86,17,2,365,
"S01015172",70,227,144,37,13,495,
"S01015173",48,137,54,15,5,259,
"S01015174",50,178,134,29,16,414,
"S01015175",48,140,72,22,12,288,
"S01015176",46,153,109,23,7,334,
"S01015177",79,203,142,25,18,468,
"S01015178",39,136,97,31,11,315,
"S01015179",17,134,104,26,15,295,
"S01015180",21,127,79,28,19,270,
"S01015181",105,240,84,17,13,461,
"S01015182",45,149,96,29,12,331,
"S01015183",20,110,109,34,8,285,
"S01015184",59,235,137,31,19,484,
"S01015185",99,175,91,18,6,389,
"S01015186",25,123,75,25,6,254,
"S01015187",121,226,98,17,7,473,
"S01015188",80,114,50,9,6,257,
"S01015189",30,149,91,21,4,295,
"S01015190",76,122,50,17,4,269,
"S01015191",38,126,51,13,3,235,
"S01015192",98,162,81,16,7,364,
"S01015193",28,149,128,33,11,343,
"S01015194",47,194,83,24,6,354,
"S01015195",21,84,77,23,12,219,
"S01015196",88,251,121,28,11,499,
"S01015197",17,97,85,25,21,247,
"S01015198",25,156,149,50,15,399,
"S01015199",36,130,81,21,6,274,
"S01015200",120,216,50,6,2,394,
"S01015201",72,228,99,26,7,436,
"S01015202",98,158,72,13,8,348,
"S01015203",43,150,97,21,8,319,
"S01015204",17,96,94,27,9,247,
"S01015205",31,131,90,40,15,308,
"S01015206",18,109,87,22,9,245,
"S01015207",17,81,61,21,11,188,
"S01015208",101,199,110,22,11,444,
"S01015209",101,232,120,31,15,496,
"S01015210",100,254,113,29,9,505,
"S01015211",122,262,130,22,9,543,
"S01015212",21,115,111,32,16,294,
"S01015213",35,140,83,29,16,306,
"S01015214",134,216,104,20,10,484,
"S01015215",73,171,98,30,8,380,
"S01015216",110,207,104,13,8,445,
"S01015217",124,220,118,30,4,499,
"S01015218",33,213,184,50,36,520,
"S01015219",34,127,143,38,22,367,
"S01015220",17,85,91,24,15,227,
"S01015221",21,132,106,22,15,297,
"S01015222",29,123,101,27,18,295,
"S01015223",39,123,118,39,11,330,
"S01015224",61,226,126,42,11,466,
"S01015225",16,162,116,27,21,345,
"S01015226",80,94,68,12,8,261,
"S01015227",163,236,65,13,11,489,
"S01015228",105,121,40,5,5,276,
"S01015229",46,124,66,22,6,265,
"S01015230",83,108,36,11,3,241,
"S01015231",131,214,98,23,11,471,
"S01015232",24,96,60,20,11,203,
"S01015233",20,139,113,31,20,319,
"S01015234",96,239,109,32,12,488,
"S01015235",85,172,82,21,6,366,
"S01015236",41,148,124,34,13,364,
"S01015237",45,163,120,25,13,370,
"S01015238",34,191,140,50,29,444,
"S01015239",17,94,108,32,14,264,
"S01015240",10,68,110,33,17,238,
"S01015241",23,129,108,31,12,305,
"S01015242",18,132,129,38,13,325,
"S01015243",19,158,130,39,16,363,
"S01015244",43,136,152,44,23,398,
"S01015245",18,85,93,35,10,238,
"S01015246",63,111,50,13,4,236,
"S01015247",98,189,77,10,5,382,
"S01015248",202,151,46,5,3,407,
"S01015249",158,95,20,4,1,281,
"S01015250",174,120,39,10,3,345,
"S01015251",161,162,37,8,2,368,
"S01015252",118,132,45,5,1,301,
"S01015253",107,134,50,7,2,300,
"S01015254",70,104,39,5,6,226,
"S01015255",10,100,107,22,3,243,
"S01015256",12,61,78,24,2,179,
"S01015257",147,170,68,9,3,401,
"S01015258",281,214,40,7,0,545,
"S01015259",107,112,49,16,3,290,
"S01015260",95,270,119,45,10,540,
"S01015261",185,201,81,10,3,480,
"S01015262",77,147,74,18,8,322,
"S01015263",52,155,126,33,10,372,
"S01015264",99,210,89,9,0,407,
"S01015265",42,130,83,27,5,287,
"S01015266",61,143,66,8,2,279,
"S01015267",113,187,44,15,0,359,
"S01015268",74,237,140,26,14,488,
"S01015269",44,121,107,37,14,327,
"S01015270",58,167,158,48,17,448,
"S01015271",32,101,68,18,8,227,
"S01015272",14,84,109,36,16,257,
"S01015273",23,108,95,29,13,268,
"S01015274",66,193,115,27,4,407,
"S01015275",108,188,99,27,11,433,
"S01015276",64,154,78,20,5,322,
"S01015277",32,135,79,25,1,272,
"S01015278",35,120,121,31,12,315,
"S01015279",50,175,123,31,6,385,
"S01015280",26,183,117,32,8,362,
"S01015281",49,168,86,15,3,322,
"S01015282",29,146,78,15,5,276,
"S01015283",34,171,119,25,7,356,
"S01015284",143,221,73,17,4,462,
"S01015285",84,101,51,7,3,248,
"S01015286",342,271,35,8,5,665,
"S01015287",191,166,39,1,0,401,
"S01015288",190,125,35,1,3,356,
"S01015289",55,145,100,17,4,319,
"S01015290",41,193,138,25,9,409,
"S01015291",109,256,116,20,4,505,
"S01015292",172,192,43,11,0,418,
"S01015293",52,105,52,7,6,221,
"S01015294",58,103,52,12,5,229,
"S01015295",97,140,64,16,4,321,
"S01015296",33,138,89,19,4,281,
"S01015297",28,149,89,9,5,284,
"S01015298",53,116,55,14,8,246,
"S01015299",26,112,81,21,7,247,
"S01015300",27,120,81,28,4,261,
"S01015301",25,111,71,14,4,221,
"S01015302",20,120,108,13,7,270,
"S01015303",19,147,163,28,5,362,
"S01015304",13,178,197,25,6,417,
"S01015305",66,155,109,19,13,364,
"S01015306",30,95,102,36,20,287,
"S01015307",21,133,160,58,21,392,
"S01015308",14,110,105,28,14,271,
"S01015309",89,252,128,41,12,525,
"S01015310",74,218,135,34,11,472,
"S01015311",21,82,86,32,17,236,
"S01015312",31,179,94,31,10,339,
"S01015313",148,243,100,25,2,517,
"S01015314",95,191,101,25,10,423,
"S01015315",117,193,97,14,6,426,
"S01015316",110,191,95,21,7,424,
"S01015317",22,128,106,31,21,306,
"S01015318",55,166,127,33,13,392,
"S01015319",91,241,100,21,9,461,
"S01015320",82,222,90,24,4,422,
"S01015321",86,201,89,27,2,404,
"S01015322",18,82,90,30,13,230,
"S01015323",30,138,109,36,15,332,
"S01015324",75,170,83,13,8,351,
"S01015325",78,186,87,21,4,373,
"S01015326",70,170,67,12,4,323,
"S01015327",42,186,118,53,19,418,
"S01015328",18,79,91,35,16,235,
"S01015329",32,116,84,29,12,266,
"S01015330",38,136,165,34,9,383,
"S01015331",98,250,124,35,23,526,
"S01015332",24,125,120,38,21,324,
"S01015333",23,128,137,40,18,346,
"S01015334",7,91,59,22,10,189,
"S01015335",16,94,74,16,13,213,
"S01015336",48,147,126,27,12,360,
"S01015337",165,193,52,8,1,413,
"S01015338",123,150,72,21,2,368,
"S01015339",157,230,78,22,12,496,
"S01015340",96,168,101,16,6,386,
"S01015341",102,120,40,12,3,277,
"S01015342",65,138,79,17,6,305,
"S01015343",10,82,61,14,7,174,
"S01015344",25,123,94,23,11,276,
"S01015345",134,215,91,14,8,461,
"S01015346",97,149,58,17,13,332,
"S01015347",112,190,82,13,2,401,
"S01015348",12,77,94,35,17,235,
"S01015349",36,117,110,22,6,294,
"S01015350",15,89,86,26,15,232,
"S01015351",49,131,103,23,10,313,
"S01015352",114,223,149,27,17,530,
"S01015353",22,84,85,35,19,244,
"S01015354",54,154,114,22,12,355,
"S01015355",127,155,58,15,7,366,
"S01015356",89,210,67,18,5,389,
"S01015357",30,156,102,24,9,319,
"S01015358",46,116,59,10,3,230,
"S01015359",54,197,120,21,10,399,
"S01015360",69,140,82,12,6,314,
"S01015361",33,181,123,24,8,366,
"S01015362",33,118,92,23,7,271,
"S01015363",70,160,74,7,8,315,
"S01015364",106,201,73,15,3,399,
"S01015365",219,247,66,18,3,551,
"S01015366",133,123,32,5,2,295,
"S01015367",184,147,51,17,2,397,
"S01015368",191,67,15,7,0,279,
"S01015369",155,137,47,14,3,356,
"S01015370",178,167,53,5,9,412,
"S01015371",250,133,35,4,1,425,
"S01015372",266,195,57,13,2,533,
"S01015373",295,256,38,4,2,595,
"S01015374",273,124,31,4,5,439,
"S01015375",281,295,44,6,2,628,
"S01015376",303,187,56,8,2,556,
"S01015377",234,168,28,6,0,437,
"S01015378",93,207,110,17,8,435,
"S01015379",198,95,21,3,1,315,
"S01015380",121,116,35,7,0,281,
"S01015381",125,186,62,15,2,390,
"S01015382",291,154,33,5,2,488,
"S01015383",189,84,16,9,2,295,
"S01015384",268,106,37,11,0,422,
"S01015385",155,279,84,3,1,521,
"S01015386",194,149,31,6,1,380,
"S01015387",186,111,22,0,0,316,
"S01015388",290,162,37,2,1,493,
"S01015389",288,120,23,4,2,433,
"S01015390",260,147,29,5,0,441,
"S01015391",112,83,28,4,2,228,
"S01015392",191,133,42,9,2,377,
"S01015393",177,158,32,3,4,373,
"S01015394",366,196,29,5,0,596,
"S01015395",226,144,27,2,1,400,
"S01015396",147,186,70,6,0,411,
"S01015397",238,224,55,5,3,528,
"S01015398",319,263,51,4,1,637,
"S01015399",287,191,44,0,1,524,
"S01015400",215,109,17,1,0,342,
"S01015401",260,161,28,1,2,454,
"S01015402",279,169,31,4,3,485,
"S01015403",297,170,30,6,6,504,
"S01015404",322,178,35,4,1,543,
"S01015405",272,204,39,0,0,517,
"S01015406",207,172,21,2,0,402,
"S01015407",203,194,42,6,0,443,
"S01015408",158,141,41,1,1,341,
"S01015409",80,158,106,29,2,382,
"S01015410",77,182,104,22,4,387,
"S01015411",43,183,94,31,5,356,
"S01015412",43,93,48,19,10,219,
"S01015413",133,231,71,10,5,450,
"S01015414",99,190,70,15,4,379,
"S01015415",120,93,43,4,4,263,
"S01015416",64,129,53,9,1,256,
"S01015417",147,158,45,13,0,365,
"S01015418",118,172,71,8,2,371,
"S01015419",171,189,60,13,3,436,
"S01015420",176,139,39,3,0,356,
"S01015421",133,133,32,8,1,307,
"S01015422",133,160,56,15,4,366,
"S01015423",70,98,39,4,0,211,
"S01015424",164,138,27,7,1,337,
"S01015425",31,144,85,16,6,284,
"S01015426",39,181,118,25,12,377,
"S01015427",43,139,115,20,13,327,
"S01015428",128,169,72,12,6,385,
"S01015429",71,99,41,9,0,220,
"S01015430",170,175,47,14,3,411,
"S01015431",161,139,40,8,0,352,
"S01015432",96,123,34,9,1,263,
"S01015433",39,175,117,30,6,365,
"S01015434",84,208,124,22,7,445,
"S01015435",203,286,70,8,0,568,
"S01015436",36,119,78,25,9,267,
"S01015437",61,211,130,26,4,432,
"S01015438",144,239,50,9,4,442,
"S01015439",132,140,36,7,1,316,
"S01015440",37,135,111,22,6,313,
"S01015441",46,147,82,18,4,293,
"S01015442",39,181,131,22,5,381,
"S01015443",63,183,117,20,13,396,
"S01015444",100,181,72,13,3,369,
"S01015445",40,127,118,26,9,322,
"S01015446",46,137,108,18,11,318,
"S01015447",22,99,94,18,6,239,
"S01015448",188,242,81,11,5,526,
"S01015449",28,153,104,22,2,316,
"S01015450",8,102,172,35,6,319,
"S01015451",34,170,105,24,8,345,
"S01015452",27,106,102,31,14,280,
"S01015453",5,34,91,33,6,165,
"S01015454",5,75,106,28,0,216,
"S01015455",3,100,116,32,5,256,
"S01015456",49,185,106,21,3,357,
"S01015457",31,152,120,33,8,349,
"S01015458",44,200,131,24,10,407,
"S01015459",111,120,49,12,2,294,
"S01015460",198,154,68,12,3,431,
"S01015461",53,132,86,6,4,285,
"S01015462",132,107,19,8,1,268,
"S01015463",108,149,49,10,2,321,
"S01015464",85,123,52,7,3,276,
"S01015465",116,112,41,7,0,276,
"S01015466",59,120,41,14,5,241,
"S01015467",146,124,33,4,9,310,
"S01015468",105,172,80,9,5,367,
"S01015469",218,179,50,12,0,459,
"S01015470",88,123,61,11,1,284,
"S01015471",91,137,54,10,2,294,
"S01015472",14,92,121,19,6,252,
"S01015473",49,85,38,6,3,181,
"S01015474",89,153,77,19,2,338,
"S01015475",91,126,53,12,2,287,
"S01015476",28,131,122,30,11,325,
"S01015477",8,56,95,29,9,198,
"S01015478",16,87,85,24,6,218,
"S01015479",155,133,47,14,4,353,
"S01015480",221,139,44,7,4,417,
"S01015481",27,95,60,16,3,200,
"S01015482",243,173,47,10,0,474,
"S01015483",68,126,46,6,0,246,
"S01015484",61,89,43,11,2,205,
"S01015485",71,141,83,20,3,317,
"S01015486",50,190,122,22,3,389,
"S01015487",137,155,77,13,6,388,
"S01015488",77,110,52,5,1,241,
"S01015489",35,84,62,10,1,189,
"S01015490",143,140,62,13,2,361,
"S01015491",100,134,54,10,0,298,
"S01015492",64,106,49,15,3,235,
"S01015493",34,174,113,25,5,351,
"S01015494",33,128,76,10,5,252,
"S01015495",52,110,35,3,0,205,
"S01015496",50,147,94,12,6,305,
"S01015497",80,181,93,24,5,378,
"S01015498",106,184,88,31,4,415,
"S01015499",54,128,51,2,0,237,
"S01015500",94,177,78,21,4,375,
"S01015501",39,137,73,18,3,274,
"S01015502",81,205,91,15,9,401,
"S01015503",117,217,93,28,8,463,
"S01015504",95,125,59,10,4,293,
"S01015505",86,138,43,13,1,281,
"S01015506",324,222,28,2,0,573,
"S01015507",290,235,46,7,1,579,
"S01015508",119,136,32,6,2,299,
"S01015509",233,218,44,0,1,500,
"S01015510",306,171,28,3,0,508,
"S01015511",200,206,45,10,0,463,
"S01015512",142,143,34,0,2,324,
"S01015513",208,202,58,5,1,479,
"S01015514",195,166,29,5,0,395,
"S01015515",98,160,55,7,4,320,
"S01015516",110,145,55,7,1,315,
"S01015517",39,145,66,20,4,269,
"S01015518",68,217,127,25,6,443,
"S01015519",131,124,31,11,1,296,
"S01015520",199,208,37,4,0,444,
"S01015521",140,180,61,12,2,392,
"S01015522",165,129,40,2,1,341,
"S01015523",180,133,31,2,1,347,
"S01015524",211,179,32,3,1,427,
"S01015525",197,154,28,5,3,387,
"S01015526",131,151,60,8,2,347,
"S01015527",176,152,49,5,5,387,
"S01015528",221,169,30,3,1,419,
"S01015529",182,223,58,12,0,473,
"S01015530",98,121,53,15,5,289,
"S01015531",169,224,67,13,8,483,
"S01015532",141,122,44,6,1,314,
"S01015533",307,148,31,5,4,493,
"S01015534",220,125,40,6,0,391,
"S01015535",140,164,54,5,3,363,
"S01015536",95,191,104,16,5,411,
"S01015537",90,112,63,9,0,274,
"S01015538",193,232,77,15,3,520,
"S01015539",111,115,40,6,4,272,
"S01015540",63,105,82,12,5,271,
"S01015541",89,114,44,9,2,258,
"S01015542",89,146,54,12,0,301,
"S01015543",191,180,53,9,1,431,
"S01015544",168,194,86,15,2,466,
"S01015545",9,91,156,27,4,288,
"S01015546",11,95,110,23,2,247,
"S01015547",6,66,89,16,3,177,
"S01015548",2,75,110,7,5,203,
"S01015549",4,80,105,9,1,199,
"S01015550",33,193,104,24,10,364,
"S01015551",28,165,138,27,4,362,
"S01015552",105,118,35,8,5,272,
"S01015553",138,136,35,6,4,318,
"S01015554",90,183,102,39,6,419,
"S01015555",114,151,72,18,5,360,
"S01015556",69,146,90,23,2,329,
"S01015557",59,188,118,26,4,392,
"S01015558",98,146,67,19,5,338,
"S01015559",61,81,40,7,2,192,
"S01015560",93,146,72,20,10,341,
"S01015561",22,93,88,31,8,245,
"S01015562",48,115,53,26,11,250,
"S01015563",11,99,110,39,29,288,
"S01015564",69,205,149,38,11,466,
"S01015565",47,145,70,15,6,276,
"S01015566",129,138,56,7,2,338,
"S01015567",112,199,88,20,9,432,
"S01015568",25,89,87,34,14,253,
"S01015569",154,218,73,15,4,464,
"S01015570",74,112,34,14,2,234,
"S01015571",69,136,70,18,9,301,
"S01015572",107,177,105,30,12,431,
"S01015573",70,167,75,28,2,342,
"S01015574",62,191,130,37,12,432,
"S01015575",66,172,109,30,7,384,
"S01015576",29,112,84,15,7,250,
"S01015577",107,153,70,8,4,345,
"S01015578",32,133,118,48,18,350,
"S01015579",12,76,88,16,8,200,
"S01015580",76,108,46,11,1,243,
"S01015581",87,136,73,29,11,336,
"S01015582",111,154,80,13,3,361,
"S01015583",67,145,56,20,7,292,
"S01015584",22,117,130,46,22,330,
"S01015585",112,130,42,9,3,302,
"S01015586",134,155,42,11,1,343,
"S01015587",67,122,49,8,8,252,
"S01015588",78,179,128,30,7,422,
"S01015589",61,119,60,11,4,250,
"S01015590",111,163,73,20,9,376,
"S01015591",57,127,82,22,7,290,
"S01015592",56,151,74,26,6,311,
"S01015593",145,113,43,10,4,311,
"S01015594",85,119,44,6,0,257,
"S01015595",100,184,61,14,3,362,
"S01015596",116,169,68,11,8,371,
"S01015597",111,163,90,14,3,378,
"S01015598",136,144,77,26,11,393,
"S01015599",16,155,104,33,18,326,
"S01015600",19,150,99,24,12,303,
"S01015601",149,170,54,22,1,398,
"S01015602",137,154,71,3,3,368,
"S01015603",86,202,129,23,13,453,
"S01015604",131,195,102,22,10,460,
"S01015605",3,54,77,29,20,186,
"S01015606",0,54,80,25,14,175,
"S01015607",18,109,116,40,30,315,
"S01015608",49,183,150,41,17,437,
"S01015609",12,107,135,24,12,290,
"S01015610",5,74,118,10,2,210,
"S01015611",27,75,100,43,27,270,
"S01015612",8,47,96,28,17,196,
"S01015613",76,215,144,40,6,481,
"S01015614",38,217,155,28,10,450,
"S01015615",37,150,101,24,9,319,
"S01015616",63,119,75,20,3,280,
"S01015617",135,183,55,20,1,401,
"S01015618",38,158,149,32,9,390,
"S01015619",35,208,137,31,8,418,
"S01015620",111,171,70,10,3,364,
"S01015621",117,142,83,16,4,362,
"S01015622",93,224,122,44,12,495,
"S01015623",16,125,89,24,8,266,
"S01015624",36,87,72,18,1,213,
"S01015625",76,145,70,24,11,321,
"S01015626",90,196,65,24,4,375,
"S01015627",95,178,84,17,5,379,
"S01015628",78,120,65,14,10,288,
"S01015629",34,154,91,30,6,318,
"S01015630",85,122,56,11,4,281,
"S01015631",54,136,93,19,7,309,
"S01015632",36,168,131,31,24,390,
"S01015633",83,191,98,27,4,407,
"S01015634",109,156,55,12,4,339,
"S01015635",102,161,104,12,9,392,
"S01015636",79,138,52,15,5,296,
"S01015637",94,136,73,20,3,324,
"S01015638",75,119,70,16,17,297,
"S01015639",176,250,95,26,4,547,
"S01015640",89,112,53,6,5,268,
"S01015641",74,166,81,21,9,351,
"S01015642",85,123,66,14,7,295,
"S01015643",16,122,135,48,22,339,
"S01015644",54,126,51,17,4,252,
"S01015645",198,174,52,6,2,435,
"S01015646",121,157,63,7,5,356,
"S01015647",83,102,39,8,4,236,
"S01015648",162,168,82,21,2,435,
"S01015649",75,117,29,5,5,232,
"S01015650",90,193,85,20,5,393,
"S01015651",100,184,75,12,1,370,
"S01015652",118,243,84,18,2,469,
"S01015653",146,206,84,17,3,461,
"S01015654",86,180,96,17,5,377,
"S01015655",29,165,125,29,14,357,
"S01015656",135,168,46,9,2,360,
"S01015657",129,157,71,10,0,367,
"S01015658",211,173,43,8,2,432,
"S01015659",55,123,65,11,3,259,
"S01015660",177,178,45,7,1,405,
"S01015661",75,178,116,23,9,405,
"S01015662",62,136,78,12,16,300,
"S01015663",18,137,70,16,7,248,
"S01015664",39,104,52,18,3,213,
"S01015665",191,171,59,12,1,439,
"S01015666",81,145,76,17,4,326,
"S01015667",117,173,75,13,2,381,
"S01015668",66,103,61,12,5,247,
"S01015669",117,184,71,14,11,396,
"S01015670",91,139,60,11,1,301,
"S01015671",118,152,69,21,2,362,
"S01015672",51,132,82,21,4,290,
"S01015673",16,147,203,42,12,426,
"S01015674",13,76,97,30,8,224,
"S01015675",26,156,119,21,4,328,
"S01015676",9,90,146,36,16,297,
"S01015677",14,121,146,22,10,314,
"S01015678",24,108,96,20,7,255,
"S01015679",15,103,98,21,2,239,
"S01015680",32,99,72,16,7,229,
"S01015681",108,134,57,8,2,310,
"S01015682",157,158,70,12,3,398,
"S01015683",215,163,44,10,5,441,
"S01015684",155,147,44,8,2,356,
"S01015685",71,103,61,11,6,252,
"S01015686",21,94,92,28,5,240,
"S01015687",36,132,114,18,2,300,
"S01015688",121,98,32,4,1,252,
"S01015689",125,91,24,2,2,247,
"S01015690",115,121,51,10,2,298,
"S01015691",144,156,61,7,3,372,
"S01015692",133,201,120,15,6,475,
"S01015693",212,134,26,5,2,381,
"S01015694",235,173,31,6,4,449,
"S01015695",147,146,44,8,5,349,
"S01015696",62,129,54,11,7,260,
"S01015697",199,221,87,20,2,532,
"S01015698",131,199,76,17,2,425,
"S01015699",43,143,144,35,17,379,
"S01015700",48,152,86,16,7,311,
"S01015701",55,96,90,15,7,263,
"S01015702",57,208,118,25,9,419,
"S01015703",45,134,96,21,6,304,
"S01015704",24,119,140,36,13,331,
"S01015705",15,70,103,29,9,227,
"S01015706",6,53,106,17,6,188,
"S01015707",8,48,126,21,5,207,
"S01015708",33,139,78,17,6,275,
"S01015709",127,196,105,28,6,461,
"S01015710",58,112,58,10,5,239,
"S01015711",37,91,91,18,6,243,
"S01015712",12,108,178,17,6,321,
"S01015713",6,63,121,11,5,206,
"S01015714",25,99,140,40,20,324,
"S01015715",72,220,142,34,12,478,
"S01015716",105,165,62,19,8,363,
"S01015717",52,190,109,19,12,381,
"S01015718",7,81,130,37,13,264,
"S01015719",8,103,122,21,6,259,
"S01015720",31,142,88,12,3,280,
"S01015721",17,113,96,15,5,246,
"S01015722",115,205,92,20,5,437,
"S01015723",78,173,71,21,3,349,
"S01015724",98,147,90,20,2,357,
"S01015725",29,188,131,10,6,367,
"S01015726",90,169,75,14,3,351,
"S01015727",33,123,96,20,11,285,
"S01015728",31,179,153,33,10,406,
"S01015729",66,208,134,23,7,430,
"S01015730",45,195,182,39,11,472,
"S01015731",254,247,51,12,2,564,
"S01015732",33,140,94,12,9,288,
"S01015733",17,98,101,19,3,242,
"S01015734",49,190,130,24,9,401,
"S01015735",14,99,101,21,5,242,
"S01015736",18,148,135,20,6,331,
"S01015737",38,113,121,13,2,287,
"S01015738",21,155,140,23,8,346,
"S01015739",29,125,90,9,3,257,
"S01015740",69,157,103,30,6,365,
"S01015741",15,141,209,38,7,410,
"S01015742",64,143,113,24,11,355,
"S01015743",54,166,133,26,17,392,
"S01015744",9,77,162,39,17,307,
"S01015745",21,110,89,23,11,257,
"S01015746",31,102,99,19,24,275,
"S01015747",39,186,183,31,4,443,
"S01015748",38,204,107,11,7,367,
"S01015749",35,159,145,27,10,376,
"S01015750",56,151,67,17,1,295,
"S01015751",17,124,174,30,12,353,
"S01015752",15,108,148,49,6,326,
"S01015753",27,121,107,40,7,301,
"S01015754",38,200,138,38,2,418,
"S01015755",59,178,107,21,8,374,
"S01015756",68,205,87,17,6,383,
"S01015757",38,150,88,7,4,290,
"S01015758",28,219,87,24,8,364,
"S01015759",10,76,66,19,2,174,
"S01015760",26,163,148,31,7,375,
"S01015761",14,100,99,25,6,244,
"S01015762",45,153,89,13,5,305,
"S01015763",37,161,120,26,9,353,
"S01015764",49,133,130,28,20,360,
"S01015765",23,131,154,23,8,339,
"S01015766",31,125,97,15,8,276,
"S01015767",19,101,83,27,7,238,
"S01015768",27,147,125,18,10,330,
"S01015769",22,114,126,21,8,289,
"S01015770",41,168,132,32,9,386,
"S01015771",18,105,155,47,16,341,
"S01015772",36,183,160,43,19,439,
"S01015773",46,130,119,24,4,329,
"S01015774",77,190,113,15,7,399,
"S01015775",25,125,110,26,6,294,
"S01015776",61,202,142,34,6,445,
"S01015777",61,153,120,26,8,368,
"S01015778",43,145,88,21,6,301,
"S01015779",32,138,123,25,11,332,
"S01015780",78,153,88,9,7,328,
"S01015781",62,155,91,19,9,335,
"S01015782",73,123,76,8,2,286,
"S01015783",34,150,102,14,2,302,
"S01015784",27,106,54,9,4,201,
"S01015785",89,173,109,29,6,404,
"S01015786",104,174,88,27,4,396,
"S01015787",54,142,63,17,5,277,
"S01015788",178,203,60,9,1,451,
"S01015789",120,218,72,9,3,422,
"S01015790",171,219,74,20,6,490,
"S01015791",130,198,69,11,5,414,
"S01015792",31,96,94,30,6,257,
"S01015793",7,56,124,30,9,226,
"S01015794",26,122,117,24,4,293,
"S01015795",48,133,113,30,7,333,
"S01015796",36,151,111,19,4,320,
"S01015797",67,153,103,24,5,352,
"S01015798",47,155,108,15,4,328,
"S01015799",46,221,113,26,2,409,
"S01015800",26,118,89,19,6,259,
"S01015801",53,187,120,20,3,383,
"S01015802",32,161,128,22,5,348,
"S01015803",50,145,111,26,4,336,
"S01015804",63,162,108,28,7,369,
"S01015805",71,118,45,22,1,254,
"S01015806",70,122,81,12,4,289,
"S01015807",12,112,103,20,13,263,
"S01015808",14,96,111,33,9,266,
"S01015809",35,151,168,30,9,394,
"S01015810",28,158,119,28,15,344,
"S01015811",46,150,128,17,6,351,
"S01015812",14,136,119,27,5,301,
"S01015813",17,107,126,29,11,290,
"S01015814",38,163,106,27,11,345,
"S01015815",119,185,68,23,10,406,
"S01015816",160,209,76,17,4,466,
"S01015817",156,198,50,8,0,412,
"S01015818",22,93,90,13,6,224,
"S01015819",29,99,98,21,4,246,
"S01015820",118,124,59,17,5,324,
"S01015821",96,170,53,12,6,337,
"S01015822",98,166,56,9,1,331,
"S01015823",39,106,116,22,12,294,
"S01015824",146,180,70,13,4,413,
"S01015825",212,159,45,5,2,426,
"S01015826",152,158,58,4,4,380,
"S01015827",104,116,44,11,1,272,
