SuperWEB2(tm)

"Household"
"Data Zone (2022) by Type of accomodation"
"Counting: Households"

Filters:
"Default Summation","Households"

"Type of accomodation","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Total",
"Data Zone (2022)",
"S01013610",4,9,12,476,22,9,2,529,
"S01013611",10,75,12,243,8,0,0,348,
"S01013612",19,73,56,307,20,0,0,477,
"S01013613",9,12,7,343,1,0,0,372,
"S01013614",14,60,75,120,11,0,0,280,
"S01013615",11,32,39,152,7,1,1,246,
"S01013616",12,28,58,188,11,1,0,298,
"S01013617",8,18,39,318,7,0,0,388,
"S01013618",9,11,56,217,5,0,0,299,
"S01013619",3,11,11,506,31,0,0,562,
"S01013620",6,16,26,542,11,10,0,614,
"S01013621",5,4,12,455,3,0,0,477,
"S01013622",3,5,25,551,18,1,0,602,
"S01013623",5,10,9,453,16,3,0,495,
"S01013624",8,1,7,352,7,0,0,372,
"S01013625",4,4,4,619,3,0,0,634,
"S01013626",2,4,4,346,4,5,0,361,
"S01013627",3,1,0,296,6,14,0,319,
"S01013628",7,6,9,305,2,4,0,333,
"S01013629",1,12,6,597,22,18,0,652,
"S01013630",4,8,9,552,11,2,0,586,
"S01013631",9,23,23,304,33,0,0,393,
"S01013632",3,7,7,312,14,5,0,348,
"S01013633",0,7,12,295,9,5,0,327,
"S01013634",12,54,29,198,20,0,0,313,
"S01013635",13,14,22,412,8,0,1,467,
"S01013636",9,15,117,364,19,1,0,524,
"S01013637",13,10,19,404,42,2,0,490,
"S01013638",4,5,11,218,17,1,0,256,
"S01013639",3,8,8,317,9,0,0,348,
"S01013640",4,6,9,357,28,0,0,399,
"S01013641",7,65,25,163,74,0,0,328,
"S01013642",0,3,5,200,15,0,2,226,
"S01013643",5,48,64,100,25,0,0,242,
"S01013644",3,13,24,221,9,0,0,270,
"S01013645",14,20,48,128,28,1,0,239,
"S01013646",12,20,21,156,16,3,1,229,
"S01013647",14,37,17,271,29,2,0,368,
"S01013648",5,14,9,572,5,1,0,607,
"S01013649",4,6,2,416,3,3,0,434,
"S01013650",3,1,5,387,8,2,0,409,
"S01013651",27,38,27,473,26,2,0,591,
"S01013652",0,6,5,363,9,3,0,387,
"S01013653",22,16,18,150,4,1,0,212,
"S01013654",7,31,17,267,15,0,0,340,
"S01013655",31,17,10,414,7,5,0,483,
"S01013656",6,4,2,289,3,0,0,302,
"S01013657",3,17,16,304,4,0,0,341,
"S01013658",1,36,46,235,0,0,0,321,
"S01013659",6,35,66,425,5,4,0,544,
"S01013660",11,31,57,278,1,0,0,379,
"S01013661",10,47,98,186,5,4,0,344,
"S01013662",33,135,66,67,6,0,0,307,
"S01013663",4,16,36,380,4,0,0,439,
"S01013664",17,38,52,352,3,0,0,458,
"S01013665",6,18,15,327,6,0,0,376,
"S01013666",11,33,14,289,16,2,0,364,
"S01013667",17,30,16,299,20,7,0,390,
"S01013668",5,7,5,320,0,1,0,341,
"S01013669",2,7,6,242,6,0,0,263,
"S01013670",3,7,5,386,0,0,0,402,
"S01013671",26,160,55,251,4,1,0,495,
"S01013672",45,63,83,327,16,0,1,535,
"S01013673",4,19,29,234,12,2,0,299,
"S01013674",35,55,15,212,21,0,0,338,
"S01013675",25,119,43,127,25,0,0,339,
"S01013676",39,38,32,385,54,0,0,548,
"S01013677",12,16,76,421,3,2,0,530,
"S01013678",18,87,137,80,1,0,0,321,
"S01013679",5,27,135,193,4,0,0,365,
"S01013680",28,61,98,212,0,0,0,399,
"S01013681",3,20,49,321,3,1,0,396,
"S01013682",4,79,22,86,0,0,0,196,
"S01013683",62,39,75,217,0,0,0,393,
"S01013684",7,47,119,137,2,0,0,316,
"S01013685",6,105,202,12,0,0,0,328,
"S01013686",7,57,113,101,2,0,0,280,
"S01013687",5,26,98,145,2,0,0,275,
"S01013688",5,68,212,119,0,0,0,404,
"S01013689",3,60,146,57,3,1,0,273,
"S01013690",8,38,120,55,0,0,0,220,
"S01013691",7,105,201,54,5,1,0,374,
"S01013692",11,130,155,136,0,0,1,435,
"S01013693",16,115,245,36,4,0,1,413,
"S01013694",12,97,227,107,4,0,0,445,
"S01013695",11,75,150,9,3,0,0,248,
"S01013696",15,107,224,100,2,0,0,448,
"S01013697",19,123,90,77,0,0,0,309,
"S01013698",5,72,85,51,3,0,0,212,
"S01013699",11,119,80,28,1,1,0,234,
"S01013700",8,104,260,51,1,3,0,426,
"S01013701",10,183,37,16,2,0,0,246,
"S01013702",11,155,184,19,2,0,0,374,
"S01013703",6,92,145,10,3,4,0,258,
"S01013704",14,122,173,26,3,0,0,338,
"S01013705",7,87,167,32,0,0,0,293,
"S01013706",9,107,149,4,5,0,0,275,
"S01013707",6,74,60,169,4,0,0,314,
"S01013708",6,93,141,28,2,0,0,267,
"S01013709",6,50,14,188,3,1,0,262,
"S01013710",14,81,64,307,4,0,0,469,
"S01013711",8,104,116,104,1,1,0,331,
"S01013712",8,113,24,286,5,0,0,436,
"S01013713",9,51,158,42,2,0,0,266,
"S01013714",5,37,132,86,2,0,0,261,
"S01013715",252,63,4,4,0,0,0,323,
"S01013716",178,36,22,6,1,0,0,243,
"S01013717",206,167,16,7,1,0,0,397,
"S01013718",172,108,38,9,0,0,0,327,
"S01013719",133,22,4,15,1,2,1,174,
"S01013720",77,58,62,166,0,0,0,365,
"S01013721",102,32,55,8,0,1,0,199,
"S01013722",201,128,9,17,0,0,0,355,
"S01013723",77,90,120,29,2,0,0,316,
"S01013724",5,43,92,375,7,0,1,522,
