SuperWEB2(tm)

"Household"
"Data Zone (2022) by Type of accomodation"
"Counting: Households"

Filters:
"Default Summation","Households"

"Type of accomodation","Whole house or bungalow: Detached","Whole house or bungalow: Semi-detached","Whole house or bungalow: Terraced (including end-terrace)","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building","Caravan or other mobile or temporary structure","Total",
"Data Zone (2022)",
"S01015054",82,148,93,62,1,0,0,387,
"S01015055",25,74,21,139,2,0,0,261,
"S01015056",37,136,93,50,2,0,0,313,
"S01015057",118,147,18,35,10,0,3,331,
"S01015058",44,59,122,15,2,0,0,242,
"S01015059",100,14,32,15,0,0,1,162,
"S01015060",64,140,95,33,3,0,0,335,
"S01015061",94,109,96,96,8,2,0,405,
"S01015062",42,196,7,22,0,0,0,271,
"S01015063",100,63,34,33,2,0,0,232,
"S01015064",176,87,2,35,1,0,0,301,
"S01015065",184,37,29,4,0,0,0,251,
"S01015066",122,18,31,7,1,0,0,183,
"S01015067",46,49,98,13,1,0,0,208,
"S01015068",83,60,52,62,1,0,0,257,
"S01015069",149,14,33,3,0,0,0,199,
"S01015070",94,69,59,19,2,0,0,243,
"S01015071",95,21,48,158,0,0,0,323,
"S01015072",90,33,38,99,3,0,0,263,
"S01015073",171,61,90,68,20,3,0,413,
"S01015074",22,40,180,28,1,0,0,271,
"S01015075",16,40,192,55,0,0,0,295,
"S01015076",40,72,142,79,2,0,0,335,
"S01015077",8,59,188,32,1,0,0,285,
"S01015078",146,70,32,163,17,8,0,439,
"S01015079",7,20,19,198,10,0,0,255,
"S01015080",66,150,101,87,1,0,0,405,
"S01015081",135,120,55,10,0,0,0,322,
"S01015082",76,140,63,12,0,0,0,292,
"S01015083",99,93,137,20,3,0,0,348,
"S01015084",49,142,16,57,0,0,0,264,
"S01015085",18,92,155,23,0,0,0,290,
"S01015086",28,120,140,219,6,2,0,516,
"S01015087",31,88,59,21,0,0,0,199,
"S01015088",129,147,9,89,8,2,1,388,
"S01015089",205,30,8,3,0,0,0,246,
"S01015090",28,169,137,52,0,0,0,384,
"S01015091",9,104,97,6,0,0,0,219,
"S01015092",301,45,20,35,1,0,0,405,
"S01015093",17,125,105,40,0,0,0,287,
"S01015094",38,92,77,137,0,2,0,345,
"S01015095",155,78,35,9,0,0,6,281,
"S01015096",133,47,42,67,0,0,0,285,
"S01015097",86,45,50,89,3,1,0,278,
"S01015098",100,70,113,41,2,1,0,332,
"S01015099",132,124,82,4,0,0,0,340,
"S01015100",121,158,46,65,2,0,0,393,
"S01015101",84,104,89,153,9,6,0,445,
"S01015102",20,99,113,79,4,4,0,317,
"S01015103",65,99,100,187,14,11,1,477,
"S01015104",131,85,53,142,12,0,0,422,
"S01015105",60,69,30,34,8,2,0,203,
"S01015106",134,69,1,0,1,0,0,209,
"S01015107",131,74,143,55,2,2,1,409,
"S01015108",163,218,63,24,2,0,0,469,
"S01015109",13,47,67,96,7,0,0,233,
"S01015110",66,93,56,110,4,3,0,332,
"S01015111",23,40,68,215,15,3,0,361,
"S01015112",44,36,32,96,15,4,0,225,
"S01015113",35,91,104,110,2,1,0,343,
"S01015114",59,98,70,100,11,3,0,338,
"S01015115",52,87,122,39,3,0,0,299,
"S01015116",134,77,16,1,1,0,0,229,
"S01015117",147,45,6,2,0,2,0,202,
"S01015118",189,133,31,22,4,2,0,383,
"S01015119",183,135,61,67,20,9,0,476,
"S01015120",189,71,6,0,0,0,0,268,
"S01015121",134,21,19,5,8,0,0,185,
"S01015122",159,48,10,1,0,1,0,219,
"S01015123",231,136,42,31,0,1,0,439,
"S01015124",113,119,94,109,4,5,0,444,
"S01015125",42,152,101,25,8,7,0,335,
"S01015126",67,58,143,29,0,0,0,292,
"S01015127",136,100,25,81,0,0,0,341,
"S01015128",42,94,29,17,0,2,0,184,
"S01015129",202,41,22,10,0,0,0,276,
"S01015130",27,116,51,10,0,0,0,204,
"S01015131",45,162,119,50,3,0,1,377,
"S01015132",20,38,54,272,0,1,0,384,
"S01015133",122,135,54,136,3,1,0,450,
"S01015134",62,136,14,5,1,0,0,223,
"S01015135",102,102,81,6,1,0,0,293,
"S01015136",61,129,78,132,4,0,2,411,
"S01015137",13,45,81,216,7,0,0,361,
"S01015138",30,102,64,157,13,0,0,367,
"S01015139",43,186,144,40,2,0,0,415,
"S01015140",21,77,195,43,3,0,0,339,
"S01015141",37,102,153,78,4,1,0,376,
"S01015142",22,43,105,347,18,66,0,601,
"S01015143",64,131,80,233,10,2,0,521,
"S01015144",74,156,19,51,0,0,0,297,
"S01015145",74,96,168,42,3,0,0,384,
"S01015146",29,68,15,206,1,4,0,324,
"S01015147",43,85,54,19,0,0,0,201,
"S01015148",6,110,133,19,0,0,0,269,
"S01015149",28,32,99,66,2,0,0,224,
"S01015150",125,51,27,16,0,0,0,216,
"S01015151",194,78,42,38,0,0,0,356,
"S01015152",121,138,67,17,3,0,0,348,
"S01015153",57,93,17,55,16,0,0,239,
"S01015154",77,87,67,206,39,3,0,475,
"S01015155",54,70,15,135,8,0,0,284,
"S01015156",117,84,40,88,2,0,0,331,
"S01015157",90,34,34,79,1,1,0,239,
"S01015158",34,168,66,22,3,0,0,290,
"S01015159",52,46,45,111,5,0,0,263,
"S01015160",47,146,87,223,5,2,0,509,
"S01015161",333,80,14,16,0,0,0,447,
"S01015162",123,66,44,3,3,1,0,242,
"S01015163",249,71,6,1,0,1,1,331,
"S01015164",220,94,63,35,8,4,1,418,
"S01015165",40,38,124,151,27,33,0,414,
"S01015166",41,93,239,85,8,19,0,484,
"S01015167",114,93,142,38,7,0,0,394,
"S01015168",61,179,146,32,0,0,0,420,
"S01015169",107,204,105,81,1,2,0,496,
"S01015170",72,151,30,6,2,0,0,264,
"S01015171",93,222,34,14,1,2,0,365,
"S01015172",217,176,83,6,7,2,2,495,
"S01015173",45,192,20,2,0,0,0,259,
"S01015174",170,153,75,9,0,0,4,414,
"S01015175",135,92,45,9,1,0,0,288,
"S01015176",168,86,53,25,0,2,0,334,
"S01015177",216,135,54,41,17,1,3,468,
"S01015178",185,88,41,2,0,0,0,315,
"S01015179",195,70,21,4,3,1,1,295,
"S01015180",191,45,24,1,3,4,1,270,
"S01015181",117,151,127,54,7,4,0,461,
"S01015182",165,92,53,17,1,3,0,331,
"S01015183",183,63,40,1,0,1,0,285,
"S01015184",227,144,85,26,3,0,1,484,
"S01015185",100,130,128,22,7,3,0,389,
"S01015186",145,51,44,15,0,2,0,254,
"S01015187",107,212,77,70,5,1,0,473,
"S01015188",52,66,61,53,8,17,0,257,
"S01015189",195,56,23,16,4,1,0,295,
"S01015190",36,132,68,27,8,1,0,269,
"S01015191",119,47,37,33,4,0,0,235,
"S01015192",100,168,74,21,1,0,0,364,
"S01015193",212,76,45,5,2,2,3,343,
"S01015194",121,102,115,4,9,3,0,354,
"S01015195",169,33,7,2,1,2,0,219,
"S01015196",162,124,178,26,5,5,1,499,
"S01015197",164,51,26,2,1,0,0,247,
"S01015198",238,103,32,16,4,1,0,399,
"S01015199",65,153,51,4,1,0,0,274,
"S01015200",42,96,128,97,18,14,0,394,
"S01015201",199,111,95,24,2,1,0,436,
"S01015202",43,110,93,78,12,10,1,348,
"S01015203",232,46,16,21,2,0,0,319,
"S01015204",180,53,12,1,1,0,1,247,
"S01015205",175,93,27,5,5,3,0,308,
"S01015206",129,68,41,6,2,2,1,245,
"S01015207",114,43,28,2,4,0,0,188,
"S01015208",91,188,91,63,10,0,1,444,
"S01015209",239,95,39,122,4,0,0,496,
"S01015210",58,224,136,65,10,12,0,505,
"S01015211",180,105,96,137,8,19,0,543,
"S01015212",183,83,19,8,2,0,0,294,
"S01015213",185,50,56,11,4,2,0,306,
"S01015214",112,120,168,72,9,4,0,484,
"S01015215",156,152,60,6,2,4,0,380,
"S01015216",59,124,129,125,10,1,0,445,
"S01015217",81,204,191,21,0,0,0,499,
"S01015218",438,48,17,8,5,2,4,520,
"S01015219",232,99,20,4,0,1,9,367,
"S01015220",167,49,10,0,0,0,1,227,
"S01015221",177,78,35,1,4,1,0,297,
"S01015222",127,116,55,1,2,0,0,295,
"S01015223",188,97,34,3,1,3,0,330,
"S01015224",189,124,127,11,7,7,0,466,
"S01015225",247,68,16,5,1,3,3,345,
"S01015226",60,46,115,33,1,5,0,261,
"S01015227",57,228,156,35,2,9,0,489,
"S01015228",20,189,62,7,2,0,0,276,
"S01015229",124,98,33,1,1,1,0,265,
"S01015230",28,67,68,66,5,6,0,241,
"S01015231",31,273,96,72,4,0,0,471,
"S01015232",101,54,49,4,0,0,0,203,
"S01015233",189,80,45,2,1,2,0,319,
"S01015234",124,185,134,31,6,8,0,488,
"S01015235",86,155,118,9,0,1,0,366,
"S01015236",180,126,51,4,1,0,0,364,
"S01015237",172,117,72,3,2,4,0,370,
"S01015238",227,146,62,4,5,0,0,444,
"S01015239",139,101,18,2,0,1,0,264,
"S01015240",178,51,3,2,1,1,0,238,
"S01015241",185,81,35,2,4,1,1,305,
"S01015242",224,70,26,0,1,0,4,325,
"S01015243",211,91,41,1,0,2,24,363,
"S01015244",273,75,42,7,1,0,0,398,
"S01015245",181,45,10,1,1,0,0,238,
"S01015246",41,46,145,3,0,0,1,236,
"S01015247",27,196,157,6,0,0,0,382,
"S01015248",15,65,191,135,0,1,0,407,
"S01015249",12,78,81,109,2,0,0,281,
"S01015250",16,83,101,144,0,1,0,345,
"S01015251",16,96,127,128,2,0,0,368,
"S01015252",16,88,117,75,1,2,0,301,
"S01015253",13,106,87,92,0,2,0,300,
"S01015254",13,84,60,73,0,0,0,226,
"S01015255",157,72,12,2,0,0,0,243,
"S01015256",114,54,4,2,2,0,0,179,
"S01015257",29,170,110,90,2,0,0,401,
"S01015258",19,66,46,400,6,8,0,545,
"S01015259",21,90,80,89,4,0,0,290,
"S01015260",310,177,32,20,1,0,0,540,
"S01015261",47,156,137,140,3,0,0,480,
"S01015262",79,88,73,66,18,2,0,322,
"S01015263",161,152,51,5,5,0,0,372,
"S01015264",87,73,55,181,9,0,0,407,
"S01015265",89,166,18,5,9,0,0,287,
"S01015266",61,75,56,85,4,0,0,279,
"S01015267",21,92,32,209,5,1,0,359,
"S01015268",206,168,70,45,2,1,0,488,
"S01015269",132,147,48,1,0,0,0,327,
"S01015270",260,128,54,6,1,2,0,448,
"S01015271",145,40,31,2,7,2,2,227,
"S01015272",188,58,7,2,0,0,0,257,
"S01015273",166,53,40,3,3,0,0,268,
"S01015274",132,123,129,19,0,0,1,407,
"S01015275",154,90,31,148,6,1,0,433,
"S01015276",75,97,99,44,4,0,0,322,
"S01015277",111,134,15,13,1,0,0,272,
"S01015278",211,80,24,0,0,0,0,315,
"S01015279",266,105,7,6,0,2,0,385,
"S01015280",182,166,11,3,0,0,0,362,
"S01015281",78,166,11,59,8,0,0,322,
"S01015282",87,181,4,1,0,0,0,276,
"S01015283",119,217,5,10,0,0,0,356,
"S01015284",36,86,85,246,4,1,0,462,
"S01015285",25,72,40,95,8,5,0,248,
"S01015286",28,70,78,459,21,6,0,665,
"S01015287",8,16,44,250,33,44,0,401,
"S01015288",13,28,73,197,32,11,0,356,
"S01015289",95,78,71,52,24,0,0,319,
"S01015290",212,116,42,32,10,0,0,409,
"S01015291",125,158,54,142,23,0,0,505,
"S01015292",24,71,37,259,19,5,0,418,
"S01015293",32,50,114,25,0,0,0,221,
"S01015294",11,69,146,3,0,0,0,229,
"S01015295",28,89,176,27,2,1,0,321,
"S01015296",65,184,19,12,5,0,0,281,
"S01015297",37,192,55,0,0,0,0,284,
"S01015298",73,114,57,2,0,0,0,246,
"S01015299",152,61,30,4,0,0,0,247,
"S01015300",76,108,75,0,2,0,0,261,
"S01015301",125,92,4,0,0,0,0,221,
"S01015302",99,164,5,2,0,0,0,270,
"S01015303",246,59,47,9,0,2,0,362,
"S01015304",248,88,57,22,0,0,0,417,
"S01015305",189,96,27,47,5,0,0,364,
"S01015306",165,98,16,3,4,1,3,287,
"S01015307",266,96,14,4,0,0,12,392,
"S01015308",209,45,15,1,0,0,1,271,
"S01015309",201,124,161,29,10,5,2,525,
"S01015310",144,116,175,32,5,0,0,472,
"S01015311",152,54,27,3,0,0,0,236,
"S01015312",262,51,23,2,1,0,0,339,
"S01015313",115,143,109,136,6,12,0,517,
"S01015314",56,101,225,41,0,1,2,423,
"S01015315",72,86,118,135,18,0,0,426,
"S01015316",133,86,179,26,0,1,1,424,
"S01015317",185,100,15,5,0,0,1,306,
"S01015318",168,154,65,2,2,0,0,392,
"S01015319",148,90,97,81,27,16,2,461,
"S01015320",124,107,117,45,22,5,1,422,
"S01015321",179,123,58,31,12,1,0,404,
"S01015322",166,43,15,1,0,0,2,230,
"S01015323",209,77,28,11,5,0,0,332,
"S01015324",87,63,100,75,16,7,0,351,
"S01015325",43,50,185,68,16,11,0,373,
"S01015326",51,72,159,31,6,0,0,323,
"S01015327",214,94,102,5,4,2,0,418,
"S01015328",153,63,16,0,0,0,2,235,
"S01015329",138,73,24,18,2,2,13,266,
"S01015330",218,118,37,7,2,2,1,383,
"S01015331",176,141,135,44,11,1,10,526,
"S01015332",237,68,17,1,3,0,0,324,
"S01015333",247,76,15,2,1,0,0,346,
"S01015334",106,64,14,1,1,1,0,189,
"S01015335",114,61,37,1,1,0,0,213,
"S01015336",180,98,73,7,2,1,0,360,
"S01015337",24,139,176,71,3,0,0,413,
"S01015338",57,96,88,106,10,7,0,368,
"S01015339",70,120,193,107,5,1,0,496,
"S01015340",105,125,150,7,0,0,0,386,
"S01015341",11,103,103,56,1,0,0,277,
"S01015342",63,107,125,8,1,1,0,305,
"S01015343",131,43,4,0,0,0,0,174,
"S01015344",138,120,18,4,1,0,0,276,
"S01015345",24,203,201,36,2,0,0,461,
"S01015346",67,75,123,64,0,0,0,332,
"S01015347",86,202,83,24,4,0,0,401,
"S01015348",168,48,16,1,0,0,0,235,
"S01015349",216,55,13,4,1,1,0,294,
"S01015350",125,56,39,6,1,0,0,232,
"S01015351",89,97,118,7,2,0,0,313,
"S01015352",148,167,191,26,0,0,0,530,
"S01015353",166,55,17,4,0,0,1,244,
"S01015354",158,108,72,12,4,0,1,355,
"S01015355",64,125,144,24,0,7,1,366,
"S01015356",136,77,114,20,2,2,38,389,
"S01015357",80,224,12,2,0,1,0,319,
"S01015358",65,68,96,2,0,0,0,230,
"S01015359",174,119,20,26,60,0,0,399,
"S01015360",109,99,27,62,12,0,0,314,
"S01015361",189,107,14,31,27,0,0,366,
"S01015362",84,67,47,29,44,0,0,271,
"S01015363",99,96,25,63,30,0,0,315,
"S01015364",53,46,68,173,58,0,0,399,
"S01015365",26,42,37,417,24,1,0,551,
"S01015366",12,11,25,214,37,0,0,295,
"S01015367",22,27,34,272,37,1,0,397,
"S01015368",2,4,3,248,11,12,0,279,
"S01015369",4,17,29,271,32,3,0,356,
"S01015370",17,40,22,323,10,4,0,412,
"S01015371",5,13,10,384,10,4,0,425,
"S01015372",17,67,58,374,14,4,0,533,
"S01015373",13,26,7,541,10,2,0,595,
"S01015374",7,37,21,356,12,1,2,439,
"S01015375",7,28,30,549,12,0,0,628,
"S01015376",12,27,51,441,25,0,0,556,
"S01015377",8,28,22,367,5,1,0,437,
"S01015378",100,140,25,95,75,0,0,435,
"S01015379",3,7,7,285,12,1,0,315,
"S01015380",6,42,4,188,37,4,0,281,
"S01015381",25,63,24,239,35,0,0,390,
"S01015382",9,11,11,437,3,8,0,488,
"S01015383",5,7,2,228,13,40,0,295,
"S01015384",1,6,7,342,11,55,0,422,
"S01015385",6,23,71,419,1,2,0,521,
"S01015386",8,21,54,295,8,1,0,380,
"S01015387",4,17,45,233,9,8,0,316,
"S01015388",2,7,6,434,20,25,0,493,
"S01015389",4,27,44,324,8,25,1,433,
"S01015390",10,20,26,366,25,0,0,441,
"S01015391",12,27,30,142,13,3,0,228,
"S01015392",1,67,70,233,5,0,2,377,
"S01015393",12,81,48,223,8,1,0,373,
"S01015394",7,39,46,482,19,2,0,596,
"S01015395",15,46,24,304,10,7,0,400,
"S01015396",34,24,37,316,0,0,0,411,
"S01015397",37,51,36,402,2,0,0,528,
"S01015398",29,40,36,530,2,1,0,637,
"S01015399",7,4,4,506,2,0,0,524,
"S01015400",4,21,21,295,1,0,0,342,
"S01015401",1,2,5,446,0,0,0,454,
"S01015402",13,31,41,395,6,4,0,485,
"S01015403",14,42,36,407,7,0,0,504,
"S01015404",8,19,14,487,11,4,0,543,
"S01015405",10,26,19,456,4,2,0,517,
"S01015406",2,7,5,385,1,1,0,402,
"S01015407",3,20,25,384,4,1,0,443,
"S01015408",5,14,40,274,4,3,0,341,
"S01015409",52,129,74,97,28,1,0,382,
"S01015410",121,158,14,78,15,0,0,387,
"S01015411",103,195,15,28,14,0,0,356,
"S01015412",57,79,9,59,16,0,0,219,
"S01015413",76,38,45,278,13,0,0,450,
"S01015414",47,169,51,107,2,0,0,379,
"S01015415",45,49,48,125,2,0,0,263,
"S01015416",50,63,46,97,3,0,0,256,
"S01015417",53,43,105,157,5,0,0,365,
"S01015418",37,107,27,194,8,0,0,371,
"S01015419",20,105,85,229,0,1,0,436,
"S01015420",7,105,59,184,1,0,0,356,
"S01015421",6,71,57,171,1,0,0,307,
"S01015422",4,128,110,121,0,0,0,366,
"S01015423",2,81,75,52,0,0,0,211,
"S01015424",8,73,60,194,2,0,0,337,
"S01015425",95,171,6,8,6,0,0,284,
"S01015426",198,135,10,20,16,0,0,377,
"S01015427",175,75,1,46,23,1,0,327,
"S01015428",102,89,11,144,38,1,0,385,
"S01015429",7,77,82,54,0,0,0,220,
"S01015430",8,165,143,90,0,0,0,411,
"S01015431",16,129,111,95,5,0,0,352,
"S01015432",5,100,116,41,1,0,0,263,
"S01015433",150,207,4,2,0,0,0,365,
"S01015434",150,77,44,128,42,3,0,445,
"S01015435",36,44,57,389,33,9,0,568,
"S01015436",102,74,15,51,23,0,0,267,
"S01015437",96,116,57,99,63,1,0,432,
"S01015438",40,38,37,285,33,8,0,442,
"S01015439",18,50,30,212,5,1,0,316,
"S01015440",106,179,9,8,5,0,0,313,
"S01015441",105,155,13,18,3,0,0,293,
"S01015442",144,220,7,10,0,0,0,381,
"S01015443",150,196,21,27,3,0,0,396,
"S01015444",50,53,56,178,31,0,1,369,
"S01015445",156,102,15,32,15,0,0,322,
"S01015446",164,85,16,42,11,0,0,318,
"S01015447",122,100,6,9,2,0,0,239,
"S01015448",45,107,160,211,3,0,0,526,
"S01015449",151,155,4,6,0,0,0,316,
"S01015450",263,49,9,2,0,0,0,319,
"S01015451",170,129,24,23,1,0,0,345,
"S01015452",178,37,4,57,1,0,0,280,
"S01015453",139,13,18,3,0,0,0,165,
"S01015454",150,37,19,9,0,0,0,216,
"S01015455",194,16,26,18,0,0,0,256,
"S01015456",76,203,40,31,4,0,0,357,
"S01015457",97,212,8,29,1,0,0,349,
"S01015458",72,269,37,26,2,0,0,407,
"S01015459",10,92,53,141,0,0,0,294,
"S01015460",24,199,140,67,1,0,0,431,
"S01015461",22,150,61,50,2,0,0,285,
"S01015462",14,79,37,135,5,0,0,268,
"S01015463",8,176,120,12,3,0,0,321,
"S01015464",6,137,88,41,0,0,0,276,
"S01015465",13,97,52,114,0,0,0,276,
"S01015466",9,134,74,24,0,0,0,241,
"S01015467",9,84,17,201,2,1,0,310,
"S01015468",11,177,167,12,0,0,0,367,
"S01015469",14,105,60,269,8,0,0,459,
"S01015470",3,88,35,161,0,0,0,284,
"S01015471",7,130,93,62,2,0,0,294,
"S01015472",76,155,18,3,0,0,0,252,
"S01015473",4,58,51,68,0,1,0,181,
"S01015474",43,118,97,78,3,0,1,338,
"S01015475",23,133,105,25,1,0,0,287,
"S01015476",126,100,76,18,4,1,0,325,
"S01015477",135,37,9,16,0,0,0,198,
"S01015478",76,86,40,15,5,0,0,218,
"S01015479",12,242,43,55,2,0,0,353,
"S01015480",12,213,20,164,8,0,0,417,
"S01015481",6,147,34,8,2,0,0,200,
"S01015482",30,162,107,154,8,10,0,474,
"S01015483",16,156,42,31,1,0,0,246,
"S01015484",21,136,45,5,1,0,0,205,
"S01015485",43,166,90,18,1,0,0,317,
"S01015486",43,288,48,8,2,0,0,389,
"S01015487",52,185,106,44,2,0,0,388,
"S01015488",11,149,74,6,1,0,0,241,
"S01015489",48,68,69,2,2,0,0,189,
"S01015490",21,235,85,16,4,0,0,361,
"S01015491",20,173,65,36,3,1,0,298,
"S01015492",12,120,73,27,3,0,0,235,
"S01015493",133,195,18,2,1,0,0,351,
"S01015494",57,116,73,5,0,0,1,252,
"S01015495",4,123,69,5,1,0,0,205,
"S01015496",59,109,93,34,6,0,0,305,
"S01015497",60,210,82,23,5,1,0,378,
"S01015498",41,258,41,61,15,2,0,415,
"S01015499",30,107,26,71,6,0,0,237,
"S01015500",51,206,56,60,0,0,0,375,
"S01015501",35,161,30,38,6,0,0,274,
"S01015502",99,108,93,87,11,3,0,401,
"S01015503",75,162,31,180,12,2,0,463,
"S01015504",24,153,26,78,12,0,0,293,
"S01015505",18,62,39,144,14,2,0,281,
"S01015506",1,7,12,548,4,3,0,573,
"S01015507",15,28,56,465,12,0,0,579,
"S01015508",24,19,16,244,4,0,0,299,
"S01015509",14,42,60,376,5,0,0,500,
"S01015510",11,29,14,446,6,2,0,508,
"S01015511",17,54,52,339,3,1,0,463,
"S01015512",12,43,19,251,0,1,0,324,
"S01015513",49,75,28,323,4,1,0,479,
"S01015514",4,32,15,340,3,0,1,395,
"S01015515",41,77,34,162,3,0,0,320,
"S01015516",51,109,28,118,7,0,0,315,
"S01015517",52,201,5,8,2,0,0,269,
"S01015518",119,279,19,24,1,0,0,443,
"S01015519",37,50,90,110,9,0,0,296,
"S01015520",7,45,71,327,0,0,0,444,
"S01015521",31,103,75,180,2,0,0,392,
"S01015522",11,53,48,225,2,1,0,341,
"S01015523",14,32,57,236,4,1,0,347,
"S01015524",7,57,64,296,3,0,0,427,
"S01015525",4,127,64,187,2,1,0,387,
"S01015526",6,179,102,57,0,0,0,347,
"S01015527",5,118,109,154,1,0,0,387,
"S01015528",3,77,77,260,2,0,0,419,
"S01015529",15,141,91,223,2,2,0,473,
"S01015530",5,185,85,14,0,0,0,289,
"S01015531",57,218,65,138,2,1,0,483,
"S01015532",6,61,47,198,2,1,0,314,
"S01015533",15,29,19,408,8,10,5,493,
"S01015534",9,35,28,308,11,2,1,391,
"S01015535",29,82,36,193,15,7,0,363,
"S01015536",41,144,170,53,0,3,0,411,
"S01015537",45,106,73,50,0,0,0,274,
"S01015538",62,263,96,96,1,0,0,520,
"S01015539",27,167,28,53,1,0,0,272,
"S01015540",92,133,23,23,0,0,0,271,
"S01015541",9,161,82,5,2,0,0,258,
"S01015542",6,237,37,20,0,0,0,301,
"S01015543",6,122,70,231,2,0,0,431,
"S01015544",16,134,186,124,2,0,0,466,
"S01015545",234,42,5,5,4,0,0,288,
"S01015546",139,101,4,1,0,0,0,247,
"S01015547",77,30,42,22,10,0,0,177,
"S01015548",133,38,8,12,0,0,0,203,
"S01015549",73,51,17,61,0,0,0,199,
"S01015550",143,207,4,8,2,1,0,364,
"S01015551",226,100,5,25,5,2,0,362,
"S01015552",12,110,131,22,2,0,0,272,
"S01015553",8,80,127,105,1,0,0,318,
"S01015554",112,148,63,83,10,5,0,419,
"S01015555",50,53,74,173,1,5,0,360,
"S01015556",52,135,136,5,0,2,0,329,
"S01015557",117,136,113,25,0,0,0,392,
"S01015558",61,171,67,37,1,1,0,338,
"S01015559",26,64,71,30,1,0,0,192,
"S01015560",28,179,120,12,2,0,0,341,
"S01015561",144,41,32,28,0,0,0,245,
"S01015562",64,76,34,76,2,0,3,250,
"S01015563",211,46,22,6,4,0,0,288,
"S01015564",149,124,97,89,7,0,0,466,
"S01015565",33,90,133,20,0,0,0,276,
"S01015566",24,93,72,143,5,1,0,338,
"S01015567",96,69,121,135,7,6,0,432,
"S01015568",167,42,33,9,2,0,0,253,
"S01015569",25,163,258,20,0,0,0,464,
"S01015570",11,78,139,6,0,1,0,234,
"S01015571",85,133,67,15,0,1,0,301,
"S01015572",124,160,81,66,0,0,0,431,
"S01015573",188,40,44,66,1,2,0,342,
"S01015574",251,116,51,12,3,0,0,432,
"S01015575",33,154,167,24,6,0,0,384,
"S01015576",124,46,52,25,2,1,0,250,
"S01015577",13,98,74,153,6,0,0,345,
"S01015578",257,68,17,4,0,0,3,350,
"S01015579",142,31,5,20,0,0,0,200,
"S01015580",21,167,48,9,0,0,0,243,
"S01015581",69,118,140,6,2,0,0,336,
"S01015582",25,214,112,9,1,0,0,361,
"S01015583",91,76,71,56,0,4,0,292,
"S01015584",209,57,37,23,7,1,0,330,
"S01015585",13,155,111,22,1,0,0,302,
"S01015586",28,131,55,130,2,1,0,343,
"S01015587",17,173,50,12,0,0,0,252,
"S01015588",166,114,44,95,1,1,0,422,
"S01015589",11,75,146,18,0,0,0,250,
"S01015590",36,104,97,138,0,0,0,376,
"S01015591",99,64,29,95,1,4,0,290,
"S01015592",54,175,45,39,0,0,0,311,
"S01015593",8,91,43,163,3,0,0,311,
"S01015594",18,55,149,35,0,0,0,257,
"S01015595",18,105,203,35,1,0,0,362,
"S01015596",70,166,51,83,0,1,0,371,
"S01015597",23,102,180,73,0,0,0,378,
"S01015598",66,142,45,120,15,5,0,393,
"S01015599",283,26,9,4,2,0,0,326,
"S01015600",196,86,12,8,0,0,1,303,
"S01015601",25,139,201,20,11,2,0,398,
"S01015602",16,143,97,110,2,0,0,368,
"S01015603",116,174,115,38,7,2,0,453,
"S01015604",91,126,122,117,2,0,0,460,
"S01015605",152,21,8,0,4,0,0,186,
"S01015606",124,34,17,2,0,1,0,175,
"S01015607",201,64,26,15,8,1,1,315,
"S01015608",243,89,80,21,5,0,0,437,
"S01015609",155,75,40,6,13,0,0,290,
"S01015610",164,15,27,2,1,0,0,210,
"S01015611",157,59,40,9,5,0,0,270,
"S01015612",131,38,25,3,0,0,0,196,
"S01015613",191,103,128,50,13,0,0,481,
"S01015614",225,130,37,51,5,0,0,450,
"S01015615",83,63,153,17,1,1,0,319,
"S01015616",99,73,89,22,0,1,0,280,
"S01015617",46,33,69,216,20,20,0,401,
"S01015618",222,71,51,43,2,0,0,390,
"S01015619",214,133,38,34,0,0,0,418,
"S01015620",57,51,112,141,2,0,0,364,
"S01015621",28,132,177,25,0,0,0,362,
"S01015622",104,182,99,105,5,1,0,495,
"S01015623",110,111,27,8,3,0,0,266,
"S01015624",25,83,48,50,4,3,0,213,
"S01015625",91,51,118,57,5,4,0,321,
"S01015626",93,121,73,89,3,1,0,375,
"S01015627",63,93,100,96,29,2,0,379,
"S01015628",58,47,83,88,8,4,0,288,
"S01015629",93,114,79,30,2,0,0,318,
"S01015630",19,102,63,95,2,0,0,281,
"S01015631",43,169,30,64,2,0,0,309,
"S01015632",192,102,52,36,8,0,0,390,
"S01015633",101,124,71,100,8,3,0,407,
"S01015634",34,73,67,144,4,12,0,339,
"S01015635",21,134,131,103,1,2,0,392,
"S01015636",7,84,95,109,0,0,0,296,
"S01015637",8,115,184,14,0,0,0,324,
"S01015638",11,118,155,7,1,0,0,297,
"S01015639",58,145,162,167,6,8,0,547,
"S01015640",46,37,27,156,1,0,0,268,
"S01015641",65,167,72,31,10,4,0,351,
"S01015642",33,114,110,40,0,0,0,295,
"S01015643",205,63,51,14,3,2,1,339,
"S01015644",11,159,46,36,0,0,0,252,
"S01015645",21,169,45,194,6,0,0,435,
"S01015646",15,194,61,86,0,0,0,356,
"S01015647",10,112,23,86,3,0,0,236,
"S01015648",50,234,101,43,2,0,0,435,
"S01015649",12,153,36,22,2,0,0,232,
"S01015650",3,154,176,59,1,0,0,393,
"S01015651",16,169,88,97,0,0,0,370,
