SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household tenure - 3 groups, collapsed and Household tenure - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household tenure - 3 groups, collapsed","Owned",,,,,"Social Rented by Council (LA) or Housing Association/ Registered Social Landlord",,,,,"Private rented or living rent free",,,,,
"Household tenure - 5 groups, collapsed","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free","Owned: Owned outright","Owned: Owns with a mortgage or loan or shared ownership","Social Rented: Council (LA) or Housing Association/ Registered Social Landlord","Private rented","Living rent free",
"Data Zone (2022)",
"S01013557",122,151,0,0,0,0,0,40,0,0,0,0,0,314,9,
"S01013558",98,127,0,0,0,0,0,5,0,0,0,0,0,308,9,
"S01013559",97,118,0,0,0,0,0,10,0,0,0,0,0,178,2,
"S01013560",201,126,0,0,0,0,0,2,0,0,0,0,0,56,6,
"S01013561",64,89,0,0,0,0,0,53,0,0,0,0,0,307,6,
"S01013562",55,91,0,0,0,0,0,22,0,0,0,0,0,228,5,
"S01013563",79,83,0,0,0,0,0,16,0,0,0,0,0,212,5,
"S01013564",81,66,0,0,0,0,0,154,0,0,0,0,0,205,4,
"S01013565",58,71,0,0,0,0,0,44,0,0,0,0,0,348,11,
"S01013566",32,59,0,0,0,0,0,85,0,0,0,0,0,210,4,
"S01013567",22,78,0,0,0,0,0,65,0,0,0,0,0,237,4,
"S01013568",33,53,0,0,0,0,0,73,0,0,0,0,0,199,2,
"S01013569",53,83,0,0,0,0,0,38,0,0,0,0,0,221,4,
"S01013570",44,118,0,0,0,0,0,33,0,0,0,0,0,174,5,
"S01013571",61,111,0,0,0,0,0,3,0,0,0,0,0,176,3,
