SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household size - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household size - 5 groups, collapsed","One person","Two people","Three people","Four people","Five or more people","Total",
"Data Zone (2022)",
"S01015055",120,79,34,24,4,261,
"S01015056",101,106,56,39,16,313,
"S01015057",84,137,58,46,6,331,
"S01015058",73,86,46,27,10,242,
"S01015059",26,44,37,44,11,162,
"S01015060",83,102,50,59,38,335,
"S01015061",145,155,54,40,8,405,
"S01015062",80,119,38,28,7,271,
"S01015063",36,74,47,57,18,232,
"S01015064",86,97,54,52,18,301,
"S01015065",13,44,69,101,24,251,
"S01015066",23,50,53,48,12,183,
"S01015067",64,80,34,21,14,208,
"S01015068",46,86,59,50,16,257,
"S01015069",19,60,41,71,11,199,
"S01015070",53,87,43,52,10,243,
"S01015071",77,120,56,53,17,323,
"S01015072",79,99,43,29,13,263,
"S01015073",112,143,72,64,19,413,
"S01015074",82,99,41,33,13,271,
"S01015075",107,97,43,39,11,295,
"S01015076",86,130,59,46,14,335,
"S01015077",75,96,50,48,16,285,
"S01015078",146,186,55,39,13,439,
"S01015079",131,64,27,23,10,255,
"S01015080",101,146,76,70,12,405,
"S01015081",56,119,64,64,12,322,
"S01015082",65,121,41,54,11,292,
"S01015083",86,147,59,46,8,348,
"S01015084",91,99,36,28,8,264,
"S01015085",98,93,46,32,21,290,
"S01015086",279,124,62,35,12,516,
"S01015087",58,84,27,22,5,199,
"S01015088",104,156,61,47,17,388,
"S01015089",27,94,54,55,16,246,
"S01015090",109,142,61,43,26,384,
"S01015091",51,77,49,21,21,219,
"S01015092",75,185,62,70,17,405,
"S01015093",91,108,39,34,19,287,
"S01015094",88,100,73,64,24,345,
"S01015095",41,96,65,60,18,281,
"S01015096",84,89,53,48,16,285,
"S01015097",105,94,39,24,12,278,
"S01015098",97,100,50,63,14,332,
"S01015099",85,153,49,39,12,340,
"S01015100",127,157,61,38,12,393,
"S01015101",200,147,51,31,16,445,
"S01015102",136,125,33,19,4,317,
"S01015103",244,151,49,26,10,477,
"S01015104",161,146,62,40,16,422,
"S01015105",89,79,15,12,6,203,
"S01015106",54,95,40,20,0,209,
"S01015107",118,174,64,34,13,409,
"S01015108",136,191,70,52,20,469,
"S01015109",101,72,36,21,3,233,
"S01015110",153,103,36,29,12,332,
"S01015111",196,101,45,13,9,361,
"S01015112",121,63,18,16,7,225,
"S01015113",171,107,40,19,6,343,
"S01015114",135,133,36,19,12,338,
"S01015115",112,104,42,34,7,299,
"S01015116",60,106,39,17,3,229,
"S01015117",40,116,31,11,4,202,
"S01015118",126,144,52,49,12,383,
"S01015119",160,167,70,56,23,476,
"S01015120",54,116,52,38,8,268,
"S01015121",27,92,27,28,11,185,
"S01015122",61,95,26,28,9,219,
"S01015123",118,196,81,36,12,439,
"S01015124",172,172,57,26,17,444,
"S01015125",143,101,50,21,17,335,
"S01015126",116,112,32,20,8,292,
"S01015127",74,122,70,64,14,341,
"S01015128",56,66,27,15,21,184,
"S01015129",25,91,69,72,19,276,
"S01015130",44,73,30,28,26,204,
"S01015131",133,109,70,46,16,377,
"S01015132",168,126,56,30,9,384,
"S01015133",172,157,66,39,17,450,
"S01015134",65,96,28,25,4,223,
"S01015135",92,134,43,20,4,293,
"S01015136",184,155,35,27,13,411,
"S01015137",203,92,31,25,9,361,
"S01015138",165,116,48,28,10,367,
"S01015139",128,122,52,66,47,415,
"S01015140",158,99,49,27,10,339,
"S01015141",176,111,45,29,19,376,
"S01015142",394,127,51,18,8,601,
"S01015143",259,157,60,33,12,521,
"S01015144",115,134,25,19,3,297,
"S01015145",105,138,83,38,19,384,
"S01015146",146,101,35,31,11,324,
"S01015147",66,72,40,21,3,201,
"S01015148",98,89,42,31,12,269,
"S01015149",103,81,26,15,0,224,
"S01015150",50,101,31,24,8,216,
"S01015151",108,124,60,47,13,356,
"S01015152",114,133,56,35,10,348,
"S01015153",96,89,18,22,11,239,
"S01015154",210,150,67,38,10,475,
"S01015155",120,88,45,23,8,284,
"S01015156",128,110,40,48,8,331,
"S01015157",118,76,25,12,8,239,
"S01015158",109,84,44,42,15,290,
"S01015159",137,81,23,15,10,263,
"S01015160",221,155,75,40,14,509,
"S01015161",156,188,46,44,13,447,
"S01015162",73,105,25,20,15,242,
"S01015163",88,137,44,48,14,331,
"S01015164",152,197,31,25,9,418,
"S01015165",267,77,37,19,14,414,
"S01015166",219,153,51,45,17,484,
"S01015167",152,145,56,28,13,394,
"S01015168",161,132,63,45,19,420,
"S01015169",181,150,70,69,24,496,
"S01015170",93,105,37,22,7,264,
"S01015171",145,134,56,26,6,365,
"S01015172",190,184,67,40,15,495,
"S01015173",105,98,31,19,8,259,
"S01015174",142,165,52,32,18,414,
"S01015175",117,120,27,12,13,288,
"S01015176",116,150,37,17,14,334,
"S01015177",182,173,63,33,17,468,
"S01015178",126,132,27,18,11,315,
"S01015179",94,146,25,15,16,295,
"S01015180",99,110,28,23,10,270,
"S01015181",211,156,45,30,15,461,
"S01015182",126,134,36,22,13,331,
"S01015183",84,143,28,22,11,285,
"S01015184",175,214,39,31,21,484,
"S01015185",164,149,46,17,11,389,
"S01015186",114,96,15,21,12,254,
"S01015187",200,156,59,45,9,473,
"S01015188",122,75,32,19,8,257,
"S01015189",88,121,34,36,16,295,
"S01015190",112,75,33,30,16,269,
"S01015191",103,99,17,12,4,235,
"S01015192",149,116,40,43,15,364,
"S01015193",121,168,26,18,10,343,
"S01015194",118,168,35,27,9,354,
"S01015195",63,105,22,19,7,219,
"S01015196",202,196,53,39,13,499,
"S01015197",70,100,33,29,10,247,
"S01015198",109,182,48,35,24,399,
"S01015199",92,102,34,34,9,274,
"S01015200",228,103,37,22,7,394,
"S01015201",173,182,32,33,12,436,
"S01015202",178,100,36,24,12,348,
"S01015203",127,133,25,28,4,319,
"S01015204",74,106,31,22,15,247,
"S01015205",96,153,36,15,8,308,
"S01015206",83,101,26,31,9,245,
"S01015207",65,71,25,17,10,188,
"S01015208",165,170,59,31,26,444,
"S01015209",188,192,56,38,20,496,
"S01015210",204,150,64,65,22,505,
"S01015211",243,208,42,31,17,543,
"S01015212",86,131,32,33,9,294,
"S01015213",104,123,35,32,12,306,
"S01015214",229,162,49,37,7,484,
"S01015215",149,150,40,34,10,380,
"S01015216",208,143,47,37,10,445,
"S01015217",198,179,73,37,12,499,
"S01015218",172,257,48,31,10,520,
"S01015219",111,157,52,37,12,367,
"S01015220",64,93,29,28,13,227,
"S01015221",91,130,37,31,7,297,
"S01015222",88,116,48,35,12,295,
"S01015223",95,153,37,28,19,330,
"S01015224",178,200,41,28,17,466,
"S01015225",109,153,42,30,14,345,
"S01015226",127,83,25,30,7,261,
"S01015227",170,172,62,63,21,489,
"S01015228",115,98,26,28,13,276,
"S01015229",88,115,27,26,8,265,
"S01015230",126,63,29,16,8,241,
"S01015231",135,192,73,51,17,471,
"S01015232",81,76,24,18,8,203,
"S01015233",100,139,34,33,10,319,
"S01015234",209,169,55,40,13,488,
"S01015235",162,116,48,25,13,366,
"S01015236",117,150,47,32,18,364,
"S01015237",133,146,46,28,13,370,
"S01015238",117,193,70,41,23,444,
"S01015239",58,128,39,27,13,264,
"S01015240",45,115,44,22,10,238,
"S01015241",90,133,52,24,7,305,
"S01015242",93,149,36,39,8,325,
"S01015243",96,176,42,34,12,363,
"S01015244",109,194,54,32,9,398,
"S01015245",69,107,19,29,11,238,
"S01015246",71,100,28,27,10,236,
"S01015247",111,130,69,50,25,382,
"S01015248",245,119,25,18,2,407,
"S01015249",144,75,29,18,19,281,
"S01015250",149,94,56,25,15,345,
"S01015251",186,93,46,38,5,368,
"S01015252",134,86,42,30,6,301,
"S01015253",96,83,53,38,30,300,
"S01015254",69,81,43,18,15,226,
"S01015255",43,71,65,44,21,243,
"S01015256",29,53,42,38,12,179,
"S01015257",159,142,60,34,7,401,
"S01015258",290,137,74,32,12,545,
"S01015259",111,99,36,27,17,290,
"S01015260",203,207,63,52,15,540,
"S01015261",209,151,78,35,9,480,
"S01015262",142,112,35,21,12,322,
"S01015263",106,156,59,43,11,372,
"S01015264",206,141,33,20,5,407,
"S01015265",98,101,44,37,11,287,
"S01015266",117,100,37,18,9,279,
"S01015267",202,91,37,18,8,359,
"S01015268",160,188,64,57,19,488,
"S01015269",91,144,34,44,12,327,
"S01015270",147,191,50,41,19,448,
"S01015271",89,98,23,9,8,227,
"S01015272",58,136,34,20,9,257,
"S01015273",74,123,30,28,9,268,
"S01015274",127,157,67,32,19,407,
"S01015275",207,141,48,27,10,433,
"S01015276",137,102,46,30,4,322,
"S01015277",82,108,50,23,10,272,
"S01015278",73,137,38,55,14,315,
"S01015279",111,182,53,32,6,385,
"S01015280",108,154,56,36,8,362,
"S01015281",148,109,28,32,5,322,
"S01015282",82,106,53,30,6,276,
"S01015283",98,150,50,48,9,356,
"S01015284",189,148,68,45,12,462,
"S01015285",102,85,33,18,5,248,
"S01015286",471,122,47,14,9,665,
"S01015287",259,88,33,14,4,401,
"S01015288",228,74,25,18,12,356,
"S01015289",122,117,36,28,17,319,
"S01015290",134,170,48,41,19,409,
"S01015291",225,166,65,35,13,505,
"S01015292",252,111,35,12,8,418,
"S01015293",71,87,41,22,2,221,
"S01015294",85,79,41,13,11,229,
"S01015295",130,109,36,32,14,321,
"S01015296",98,128,27,19,12,281,
"S01015297",84,135,32,32,2,284,
"S01015298",89,87,34,27,9,246,
"S01015299",61,104,37,40,8,247,
"S01015300",69,105,50,29,7,261,
"S01015301",68,96,27,26,4,221,
"S01015302",84,97,45,38,5,270,
"S01015303",66,130,70,73,21,362,
"S01015304",97,152,76,71,23,417,
"S01015305",139,134,47,33,11,364,
"S01015306",72,127,37,37,10,287,
"S01015307",107,168,66,36,15,392,
"S01015308",74,126,35,23,11,271,
"S01015309",183,216,61,51,15,525,
"S01015310",162,171,72,53,16,472,
"S01015311",65,106,33,23,9,236,
"S01015312",106,156,43,21,13,339,
"S01015313",251,164,38,51,11,517,
"S01015314",152,126,66,61,14,423,
"S01015315",196,149,48,28,9,426,
"S01015316",138,153,65,45,20,424,
"S01015317",96,129,37,33,14,306,
"S01015318",125,154,50,45,18,392,
"S01015319",221,174,27,29,6,461,
"S01015320",161,162,46,34,18,422,
"S01015321",156,156,55,27,10,404,
"S01015322",69,97,26,22,12,230,
"S01015323",101,157,41,27,3,332,
"S01015324",145,129,40,27,6,351,
"S01015325",157,137,33,39,7,373,
"S01015326",130,119,37,29,13,323,
"S01015327",141,178,57,24,18,418,
"S01015328",60,96,35,28,16,235,
"S01015329",92,100,48,22,7,266,
"S01015330",118,172,51,34,10,383,
"S01015331",207,191,69,40,19,526,
"S01015332",92,133,45,40,14,324,
"S01015333",107,137,40,47,15,346,
"S01015334",62,77,28,15,7,189,
"S01015335",62,101,21,15,10,213,
"S01015336",114,157,43,31,14,360,
"S01015337",186,132,44,38,13,413,
"S01015338",178,115,35,35,7,368,
"S01015339",266,147,48,28,7,496,
"S01015340",150,138,47,44,11,386,
"S01015341",133,81,31,23,9,277,
"S01015342",85,114,51,43,12,305,
"S01015343",43,81,24,23,5,174,
"S01015344",70,120,34,40,12,276,
"S01015345",181,161,64,45,14,461,
"S01015346",120,100,61,30,20,332,
"S01015347",136,148,50,45,15,401,
"S01015348",64,106,31,23,11,235,
"S01015349",64,148,35,34,16,294,
"S01015350",53,115,34,14,12,232,
"S01015351",101,135,40,27,10,313,
"S01015352",188,206,78,47,11,530,
"S01015353",76,98,35,19,16,244,
"S01015354",73,155,52,51,24,355,
"S01015355",175,111,40,24,14,366,
"S01015356",151,159,52,21,8,389,
"S01015357",94,143,37,33,12,319,
"S01015358",100,84,18,25,3,230,
"S01015359",136,141,58,43,17,399,
"S01015360",100,113,41,26,27,314,
"S01015361",110,168,43,35,12,366,
"S01015362",75,106,44,28,18,271,
"S01015363",109,121,36,36,11,315,
"S01015364",151,139,46,42,25,399,
"S01015365",266,182,55,29,19,551,
"S01015366",159,84,24,21,7,295,
"S01015367",180,113,55,24,25,397,
"S01015368",127,93,32,11,12,279,
"S01015369",134,117,59,25,21,356,
"S01015370",170,138,51,34,22,412,
"S01015371",224,135,37,14,12,425,
"S01015372",238,155,55,44,41,533,
"S01015373",376,157,35,17,6,595,
"S01015374",234,112,41,40,12,439,
"S01015375",360,197,45,19,8,628,
"S01015376",313,147,34,32,30,556,
"S01015377",228,127,45,23,14,437,
"S01015378",139,176,56,48,16,435,
"S01015379",164,100,22,23,4,315,
"S01015380",127,89,39,14,13,281,
"S01015381",154,128,66,22,20,390,
"S01015382",263,97,49,42,26,488,
"S01015383",86,89,70,27,17,295,
"S01015384",121,178,62,41,17,422,
"S01015385",209,220,44,23,25,521,
"S01015386",230,84,20,22,24,380,
"S01015387",175,87,29,14,10,316,
"S01015388",221,177,51,29,13,493,
"S01015389",215,119,43,32,24,433,
"S01015390",203,141,64,18,17,441,
"S01015391",103,63,26,25,11,228,
"S01015392",196,94,57,22,8,377,
"S01015393",153,84,52,50,34,373,
"S01015394",390,135,32,22,21,596,
"S01015395",225,106,40,25,5,400,
"S01015396",197,133,40,28,13,411,
"S01015397",297,156,40,27,7,528,
"S01015398",371,148,63,38,17,637,
"S01015399",302,137,40,23,22,524,
"S01015400",202,79,36,20,5,342,
"S01015401",284,109,35,21,7,454,
"S01015402",305,97,32,23,26,485,
"S01015403",280,123,46,34,21,504,
"S01015404",305,132,49,34,24,543,
"S01015405",276,154,45,32,12,517,
"S01015406",250,125,23,2,4,402,
"S01015407",225,148,39,23,8,443,
"S01015408",160,105,38,31,10,341,
"S01015409",112,143,45,47,35,382,
"S01015410",109,174,56,32,15,387,
"S01015411",129,130,39,37,20,356,
"S01015412",64,70,30,18,31,219,
"S01015413",192,159,45,37,17,450,
"S01015414",151,131,44,33,11,379,
"S01015415",133,98,21,11,3,263,
"S01015416",102,86,30,28,6,256,
"S01015417",209,101,27,14,12,365,
"S01015418",172,125,44,20,9,371,
"S01015419",202,135,57,36,10,436,
"S01015420",164,100,46,30,17,356,
"S01015421",165,69,44,14,15,307,
"S01015422",140,112,57,45,14,366,
"S01015423",76,71,40,20,4,211,
"S01015424",172,80,57,27,7,337,
"S01015425",75,119,44,32,21,284,
"S01015426",113,162,53,33,16,377,
"S01015427",107,141,37,25,17,327,
"S01015428",196,120,32,19,16,385,
"S01015429",67,78,33,31,11,220,
"S01015430",157,122,71,38,20,411,
"S01015431",158,100,51,36,11,352,
"S01015432",113,88,23,29,9,263,
"S01015433",93,153,54,46,9,365,
"S01015434",161,187,52,32,15,445,
"S01015435",348,149,45,16,10,568,
"S01015436",84,105,26,36,16,267,
"S01015437",137,193,51,39,8,432,
"S01015438",259,123,33,22,7,442,
"S01015439",179,77,33,22,5,316,
"S01015440",83,121,60,37,8,313,
"S01015441",89,116,45,33,10,293,
"S01015442",112,147,58,46,14,381,
"S01015443",116,172,53,42,13,396,
"S01015444",187,111,33,30,5,369,
"S01015445",91,150,39,32,18,322,
"S01015446",90,140,43,31,14,318,
"S01015447",59,90,46,33,12,239,
"S01015448",284,149,53,30,7,526,
"S01015449",77,144,56,32,7,316,
"S01015450",32,88,89,90,24,319,
"S01015451",107,114,69,46,9,345,
"S01015452",71,100,50,45,15,280,
"S01015453",7,45,34,55,23,165,
"S01015454",33,76,47,52,15,216,
"S01015455",28,92,49,64,23,256,
"S01015456",116,153,46,32,9,357,
"S01015457",94,133,69,41,14,349,
"S01015458",112,137,92,47,19,407,
"S01015459",110,72,52,43,17,294,
"S01015460",183,123,66,43,16,431,
"S01015461",92,90,60,40,7,285,
"S01015462",112,86,45,23,6,268,
"S01015463",116,114,46,37,6,321,
"S01015464",64,109,46,38,15,276,
"S01015465",74,69,61,43,28,276,
"S01015466",75,61,44,34,25,241,
"S01015467",92,98,56,42,26,310,
"S01015468",109,129,58,47,20,367,
"S01015469",198,119,69,50,23,459,
"S01015470",74,81,60,45,21,284,
"S01015471",78,98,64,41,10,294,
"S01015472",39,113,57,32,9,252,
"S01015473",38,74,26,28,15,181,
"S01015474",103,103,67,42,22,338,
"S01015475",92,65,51,50,27,287,
"S01015476",65,117,56,62,28,325,
"S01015477",23,51,40,60,23,198,
"S01015478",29,88,44,39,18,218,
"S01015479",100,106,63,55,29,353,
"S01015480",184,99,48,42,44,417,
"S01015481",46,65,42,25,22,200,
"S01015482",238,117,57,37,25,474,
"S01015483",62,86,39,30,29,246,
"S01015484",52,54,41,35,25,205,
"S01015485",61,107,68,44,44,317,
"S01015486",105,175,57,42,10,389,
"S01015487",128,121,57,40,38,388,
"S01015488",48,76,53,39,26,241,
"S01015489",37,63,42,28,19,189,
"S01015490",96,104,70,42,49,361,
"S01015491",85,89,48,45,28,298,
"S01015492",67,79,42,31,16,235,
"S01015493",93,163,49,34,13,351,
"S01015494",64,107,46,26,9,252,
"S01015495",61,92,28,14,9,205,
"S01015496",93,120,41,38,13,305,
"S01015497",113,134,63,47,17,378,
"S01015498",145,134,59,43,29,415,
"S01015499",89,86,30,23,6,237,
"S01015500",154,139,42,29,10,375,
"S01015501",89,97,43,28,13,274,
"S01015502",141,162,46,41,11,401,
"S01015503",190,181,48,26,18,463,
"S01015504",101,83,57,39,13,293,
"S01015505",130,98,25,16,12,281,
"S01015506",396,129,18,23,5,573,
"S01015507",370,144,40,18,7,579,
"S01015508",165,101,20,8,4,299,
"S01015509",276,151,35,12,23,500,
"S01015510",309,136,32,21,11,508,
"S01015511",224,146,48,27,20,463,
"S01015512",173,96,36,15,2,324,
"S01015513",270,149,29,20,9,479,
"S01015514",203,113,43,25,11,395,
"S01015515",127,106,41,29,15,320,
"S01015516",159,102,27,17,10,315,
"S01015517",82,110,36,34,11,269,
"S01015518",121,156,78,67,21,443,
"S01015519",149,84,22,26,9,296,
"S01015520",231,134,53,22,8,444,
"S01015521",159,129,64,26,12,392,
"S01015522",158,74,50,36,25,341,
"S01015523",162,104,35,31,13,347,
"S01015524",233,112,45,23,10,427,
"S01015525",184,94,46,43,18,387,
"S01015526",113,125,59,28,22,347,
"S01015527",158,104,58,38,26,387,
"S01015528",221,125,35,27,14,419,
"S01015529",172,150,84,45,23,473,
"S01015530",75,89,54,47,24,289,
"S01015531",226,148,63,33,14,483,
"S01015532",164,74,38,30,9,314,
"S01015533",306,109,38,26,14,493,
"S01015534",207,87,43,31,20,391,
"S01015535",161,126,33,29,17,363,
"S01015536",122,135,63,65,28,411,
"S01015537",95,89,48,36,6,274,
"S01015538",232,160,73,38,13,520,
"S01015539",97,65,41,45,22,272,
"S01015540",70,71,64,39,27,271,
"S01015541",74,78,58,32,16,258,
"S01015542",86,114,47,41,13,301,
"S01015543",182,122,63,45,18,431,
"S01015544",216,126,65,44,15,466,
"S01015545",23,88,73,83,21,288,
"S01015546",35,95,65,40,9,247,
"S01015547",38,52,42,34,11,177,
"S01015548",37,71,42,35,14,203,
"S01015549",48,78,30,31,14,199,
"S01015550",78,200,43,31,12,364,
"S01015551",77,140,63,65,21,362,
"S01015552",88,88,39,28,25,272,
"S01015553",131,99,55,27,13,318,
"S01015554",150,155,63,40,11,419,
"S01015555",159,132,38,27,4,360,
"S01015556",101,123,60,41,12,329,
"S01015557",127,142,54,45,20,392,
"S01015558",122,125,46,31,14,338,
"S01015559",86,59,21,20,8,192,
"S01015560",95,118,71,44,13,341,
"S01015561",86,98,40,17,3,245,
"S01015562",96,78,41,21,16,250,
"S01015563",54,126,48,43,17,288,
"S01015564",159,169,76,51,15,466,
"S01015565",78,110,58,23,7,276,
"S01015566",147,101,49,31,10,338,
"S01015567",200,133,53,31,17,432,
"S01015568",76,95,35,35,9,253,
"S01015569",170,148,75,45,29,464,
"S01015570",107,80,28,18,3,234,
"S01015571",96,106,44,37,17,301,
"S01015572",158,135,69,41,28,431,
"S01015573",141,128,40,23,10,342,
"S01015574",137,174,64,47,7,432,
"S01015575",108,150,61,53,12,384,
"S01015576",69,98,32,41,10,250,
"S01015577",144,111,52,31,7,345,
"S01015578",95,135,48,55,19,350,
"S01015579",49,77,35,29,10,200,
"S01015580",70,78,44,33,17,243,
"S01015581",125,104,56,40,11,336,
"S01015582",126,118,63,38,16,361,
"S01015583",120,125,31,15,1,292,
"S01015584",76,157,57,28,16,330,
"S01015585",123,96,47,29,9,302,
"S01015586",157,129,37,18,3,343,
"S01015587",91,87,28,27,16,252,
"S01015588",151,160,63,37,11,422,
"S01015589",80,79,53,27,13,250,
"S01015590",106,116,72,60,22,376,
"S01015591",91,98,49,38,14,290,
"S01015592",98,107,44,42,17,311,
"S01015593",149,95,35,28,4,311,
"S01015594",99,82,47,18,13,257,
"S01015595",144,111,51,39,19,362,
"S01015596",174,111,40,34,14,371,
"S01015597",147,134,62,32,2,378,
"S01015598",167,119,66,29,16,393,
"S01015599",73,137,51,44,22,326,
"S01015600",75,123,50,35,20,303,
"S01015601",157,132,61,37,14,398,
"S01015602",147,125,52,29,21,368,
"S01015603",149,182,49,47,28,453,
"S01015604",166,117,95,54,29,460,
"S01015605",35,88,25,24,11,186,
"S01015606",32,83,26,28,10,175,
"S01015607",72,121,52,39,31,315,
"S01015608",153,160,64,47,20,437,
"S01015609",51,119,57,42,18,290,
"S01015610",24,61,45,68,15,210,
"S01015611",55,109,47,35,24,270,
"S01015612",36,91,30,25,14,196,
"S01015613",144,165,82,73,17,481,
"S01015614",125,194,66,51,14,450,
"S01015615",74,106,83,30,22,319,
"S01015616",91,87,56,38,7,280,
"S01015617",225,110,38,21,10,401,
"S01015618",91,144,65,74,16,390,
"S01015619",118,162,71,53,11,418,
"S01015620",156,121,40,40,9,364,
"S01015621",122,113,64,41,22,362,
"S01015622",183,186,64,43,26,495,
"S01015623",57,127,39,26,13,266,
"S01015624",65,46,32,46,21,213,
"S01015625",123,123,41,21,13,321,
"S01015626",143,151,41,30,10,375,
"S01015627",172,132,44,21,10,379,
"S01015628",128,94,29,31,9,288,
"S01015629",101,135,37,33,15,318,
"S01015630",104,103,37,24,15,281,
"S01015631",111,127,40,24,8,309,
"S01015632",109,153,58,56,14,390,
"S01015633",135,146,63,47,16,407,
"S01015634",164,115,40,13,7,339,
"S01015635",131,132,67,45,17,392,
"S01015636",102,90,53,31,17,296,
"S01015637",90,114,58,39,23,324,
"S01015638",98,93,50,46,11,297,
"S01015639",276,172,58,30,11,547,
"S01015640",134,87,23,18,6,268,
"S01015641",148,136,41,23,1,351,
"S01015642",103,106,42,30,14,295,
"S01015643",83,163,43,26,24,339,
"S01015644",90,82,29,35,13,252,
"S01015645",149,123,72,64,34,435,
"S01015646",123,126,58,31,22,356,
"S01015647",95,72,39,24,6,236,
"S01015648",140,144,66,51,35,435,
"S01015649",69,81,43,23,12,232,
"S01015650",116,156,54,45,20,393,
"S01015651",141,114,68,35,10,370,
"S01015652",174,142,80,49,24,469,
"S01015653",217,140,43,39,18,461,
"S01015654",134,134,63,37,9,377,
"S01015655",95,168,53,33,5,357,
"S01015656",193,101,44,18,4,360,
"S01015657",168,118,45,31,5,367,
"S01015658",287,108,27,10,1,432,
"S01015659",89,96,41,25,6,259,
"S01015660",273,99,24,9,2,405,
"S01015661",132,146,51,60,20,405,
"S01015662",127,89,47,26,12,300,
"S01015663",74,114,29,24,7,248,
"S01015664",63,89,33,21,7,213,
"S01015665",208,125,60,36,10,439,
"S01015666",127,97,56,36,13,326,
"S01015667",103,139,76,48,12,381,
"S01015668",68,99,50,25,8,247,
"S01015669",139,150,61,41,12,396,
"S01015670",92,117,51,35,9,301,
"S01015671",98,117,90,52,12,362,
"S01015672",72,110,50,36,23,290,
"S01015673",72,157,96,81,17,426,
"S01015674",44,73,52,40,15,224,
"S01015675",76,160,45,36,6,328,
"S01015676",35,91,62,78,31,297,
"S01015677",54,119,61,66,13,314,
"S01015678",61,125,24,31,14,255,
"S01015679",63,97,31,30,18,239,
"S01015680",71,91,27,34,6,229,
"S01015681",129,78,53,40,12,310,
"S01015682",145,132,66,41,14,398,
"S01015683",201,106,59,51,23,441,
"S01015684",154,89,59,42,15,356,
"S01015685",87,66,44,42,13,252,
"S01015686",42,79,55,55,12,240,
"S01015687",65,96,72,48,19,300,
"S01015688",89,73,43,35,10,252,
"S01015689",125,74,28,11,13,247,
"S01015690",112,90,48,34,18,298,
"S01015691",158,94,53,45,22,372,
"S01015692",202,161,63,28,21,475,
"S01015693",275,73,19,8,5,381,
"S01015694",327,83,31,9,3,449,
"S01015695",219,84,19,18,5,349,
"S01015696",120,100,23,10,8,260,
"S01015697",291,143,56,33,9,532,
"S01015698",226,110,52,37,5,425,
"S01015699",91,170,58,46,19,379,
"S01015700",122,141,19,19,4,311,
"S01015701",85,100,32,35,7,263,
"S01015702",166,136,55,44,18,419,
"S01015703",116,111,36,29,9,304,
"S01015704",76,117,54,58,26,331,
"S01015705",31,81,60,50,6,227,
"S01015706",22,47,47,63,12,188,
"S01015707",25,55,46,66,15,207,
"S01015708",82,133,38,18,4,275,
"S01015709",176,170,62,38,16,461,
"S01015710",74,85,36,37,9,239,
"S01015711",62,87,45,40,9,243,
"S01015712",51,120,69,64,21,321,
"S01015713",27,53,43,62,21,206,
"S01015714",78,138,53,43,12,324,
"S01015715",164,201,62,39,12,478,
"S01015716",147,123,45,28,19,363,
"S01015717",121,145,48,52,12,381,
"S01015718",37,86,53,76,16,264,
"S01015719",51,87,50,61,12,259,
"S01015720",98,114,34,25,9,280,
"S01015721",49,95,40,55,7,246,
"S01015722",164,124,68,53,28,437,
"S01015723",92,107,74,54,22,349,
"S01015724",123,107,62,60,9,357,
"S01015725",99,137,61,56,15,367,
"S01015726",154,109,34,45,6,351,
"S01015727",92,114,41,31,7,285,
"S01015728",86,144,78,75,23,406,
"S01015729",149,166,54,50,11,430,
"S01015730",137,157,80,66,32,472,
"S01015731",377,126,26,26,9,564,
"S01015732",84,118,44,33,9,288,
"S01015733",58,97,32,40,15,242,
"S01015734",122,144,61,55,17,401,
"S01015735",53,90,31,57,15,242,
"S01015736",76,97,60,82,16,331,
"S01015737",76,77,57,57,16,287,
"S01015738",59,144,59,71,10,346,
"S01015739",65,94,47,38,12,257,
"S01015740",141,132,31,40,19,365,
"S01015741",56,151,74,106,23,410,
"S01015742",122,107,46,57,23,355,
"S01015743",127,111,58,75,19,392,
"S01015744",46,107,64,63,32,307,
"S01015745",54,99,45,41,15,257,
"S01015746",53,109,52,45,16,275,
"S01015747",129,102,78,117,17,443,
"S01015748",107,124,61,51,17,367,
"S01015749",95,121,66,73,20,376,
"S01015750",99,95,51,29,19,295,
"S01015751",58,137,55,80,25,353,
"S01015752",38,141,46,84,17,326,
"S01015753",69,111,55,43,18,301,
"S01015754",102,153,82,66,15,418,
"S01015755",98,131,66,63,14,374,
"S01015756",92,155,71,52,13,383,
"S01015757",57,113,58,47,12,290,
"S01015758",154,118,45,33,11,364,
"S01015759",31,80,25,33,7,174,
"S01015760",61,141,74,81,18,375,
"S01015761",49,99,47,39,11,244,
"S01015762",117,126,27,31,4,305,
"S01015763",97,129,52,50,25,353,
"S01015764",96,111,59,70,22,360,
"S01015765",65,156,47,52,23,339,
"S01015766",60,98,52,39,22,276,
"S01015767",58,80,40,46,14,238,
"S01015768",85,121,49,56,15,330,
"S01015769",44,105,43,73,24,289,
"S01015770",88,149,73,61,12,386,
"S01015771",60,139,58,67,22,341,
"S01015772",108,167,72,67,25,439,
"S01015773",86,105,55,60,20,329,
"S01015774",139,142,50,64,2,399,
"S01015775",57,101,58,58,23,294,
"S01015776",110,164,74,79,18,445,
"S01015777",99,139,53,60,17,368,
"S01015778",83,99,56,52,13,301,
"S01015779",74,111,57,68,26,332,
"S01015780",112,119,55,33,14,328,
"S01015781",93,129,48,47,18,335,
"S01015782",109,96,35,31,11,286,
"S01015783",67,118,55,50,12,302,
"S01015784",52,74,30,32,15,201,
