SuperWEB2(tm)

"Household"
"Data Zone (2022) by Household size - 5 groups, collapsed"
"Counting: Households"

Filters:
"Default Summation","Households"

"Household size - 5 groups, collapsed","One person","Two people","Three people","Four people","Five or more people","Total",
"Data Zone (2022)",
"S01013644",110,59,59,19,26,270,
"S01013645",106,70,29,17,17,239,
"S01013646",102,84,17,16,7,229,
"S01013647",205,105,34,16,11,368,
"S01013648",344,182,58,19,3,607,
"S01013649",285,101,28,15,5,434,
"S01013650",198,156,33,11,8,409,
"S01013651",377,154,41,15,6,591,
"S01013652",247,118,14,5,2,387,
"S01013653",96,80,27,10,2,212,
"S01013654",171,91,39,25,14,340,
"S01013655",261,149,43,29,7,483,
"S01013656",201,68,23,8,2,302,
"S01013657",119,97,61,44,20,341,
"S01013658",165,85,48,21,6,321,
"S01013659",264,169,63,31,17,544,
"S01013660",149,118,64,31,17,379,
"S01013661",141,90,58,37,18,344,
"S01013662",125,131,33,16,2,307,
"S01013663",207,106,65,53,9,439,
"S01013664",286,115,31,16,9,458,
"S01013665",149,88,51,55,33,376,
"S01013666",130,94,61,46,33,364,
"S01013667",241,94,27,21,8,390,
"S01013668",200,93,30,9,1,341,
"S01013669",127,92,28,12,4,263,
"S01013670",188,147,37,27,3,402,
"S01013671",269,147,39,28,12,495,
"S01013672",219,177,69,46,24,535,
"S01013673",139,87,45,20,6,299,
"S01013674",152,120,42,15,13,338,
"S01013675",143,131,24,24,13,339,
"S01013676",274,162,62,34,22,548,
"S01013677",311,137,45,29,8,530,
"S01013678",120,106,41,37,17,321,
"S01013679",163,100,51,34,16,365,
"S01013680",176,141,45,24,13,399,
"S01013681",248,90,33,18,7,396,
"S01013682",73,74,19,22,7,196,
"S01013683",192,126,26,36,13,393,
"S01013684",129,109,53,21,7,316,
"S01013685",106,131,40,33,15,328,
"S01013686",110,90,47,28,8,280,
"S01013687",131,86,31,21,6,275,
"S01013688",171,122,68,36,4,404,
"S01013689",104,75,59,24,10,273,
"S01013690",73,88,33,24,1,220,
"S01013691",147,116,66,37,10,374,
"S01013692",199,127,55,40,18,435,
"S01013693",154,164,67,22,9,413,
"S01013694",217,127,52,41,4,445,
"S01013695",89,103,32,18,7,248,
"S01013696",174,156,65,43,12,448,
"S01013697",129,93,39,34,16,309,
"S01013698",40,62,56,36,18,212,
"S01013699",70,74,46,29,15,234,
"S01013700",162,139,58,55,12,426,
"S01013701",54,97,53,26,13,246,
"S01013702",87,128,69,67,20,374,
"S01013703",78,96,41,23,20,258,
"S01013704",106,124,56,38,14,338,
"S01013705",90,103,48,42,14,293,
"S01013706",98,90,43,36,7,275,
"S01013707",70,92,66,60,23,314,
"S01013708",79,88,40,45,15,267,
"S01013709",68,75,73,30,16,262,
"S01013710",188,117,88,43,33,469,
"S01013711",97,122,63,40,12,331,
"S01013712",149,110,75,55,47,436,
"S01013713",53,101,60,34,18,266,
"S01013714",121,76,34,24,6,261,
"S01013715",50,124,62,65,19,323,
"S01013716",77,103,26,30,7,243,
"S01013717",73,114,104,89,16,397,
"S01013718",72,151,53,45,6,327,
"S01013719",29,69,28,41,10,174,
"S01013720",126,137,54,36,12,365,
"S01013721",76,91,16,15,3,199,
"S01013722",86,107,65,78,12,355,
"S01013723",70,106,60,60,20,316,
"S01013724",253,163,50,41,20,522,
"S01013725",175,102,33,28,7,341,
"S01013726",125,93,65,50,24,360,
"S01013727",178,149,62,50,15,452,
"S01013728",133,99,53,32,13,329,
"S01013729",153,102,41,31,5,336,
"S01013730",108,61,29,23,6,227,
"S01013731",191,154,46,39,14,440,
"S01013732",141,103,30,13,2,291,
"S01013733",210,142,73,30,5,463,
"S01013734",139,133,62,45,11,387,
"S01013735",79,104,41,30,7,258,
"S01013736",51,66,51,44,16,224,
"S01013737",226,113,47,25,14,425,
"S01013738",110,146,62,35,16,366,
"S01013739",143,150,59,37,17,411,
"S01013740",88,119,39,26,12,284,
"S01013741",69,72,25,24,2,195,
"S01013742",137,104,47,24,13,330,
"S01013743",168,159,51,51,14,446,
"S01013744",131,167,48,42,7,396,
"S01013745",86,106,50,48,14,300,
"S01013746",103,72,38,42,25,280,
"S01013747",127,124,46,38,4,342,
"S01013748",114,130,29,26,8,308,
"S01013749",89,96,26,29,5,247,
"S01013750",105,94,29,14,2,251,
"S01013751",112,162,34,22,3,333,
"S01013752",74,98,56,65,21,317,
"S01013753",173,172,40,39,4,428,
"S01013754",91,116,63,50,21,342,
"S01013755",140,118,46,36,7,347,
"S01013756",122,86,33,24,12,277,
"S01013757",59,97,31,36,10,237,
"S01013758",87,105,45,34,14,285,
"S01013759",21,99,47,34,10,213,
"S01013760",114,156,54,55,13,393,
"S01013761",67,124,34,27,13,269,
"S01013762",28,55,30,27,10,150,
"S01013763",133,139,34,31,10,344,
"S01013764",93,136,62,57,17,365,
"S01013765",43,102,41,29,9,221,
"S01013766",210,128,67,50,17,466,
"S01013767",158,93,20,18,6,296,
"S01013768",60,128,29,35,11,261,
"S01013769",100,120,39,23,4,287,
"S01013770",105,81,41,24,7,258,
"S01013771",81,82,35,20,8,226,
"S01013772",84,108,43,27,10,272,
"S01013773",146,142,47,44,12,392,
"S01013774",103,108,23,19,0,255,
"S01013775",118,105,31,25,10,283,
"S01013776",45,88,46,29,5,217,
"S01013777",85,131,53,44,14,330,
"S01013778",86,120,35,25,13,280,
"S01013779",99,83,52,58,17,310,
"S01013780",65,95,57,50,15,284,
"S01013781",59,78,61,61,17,280,
"S01013782",110,125,31,21,4,291,
"S01013783",212,170,42,23,9,456,
"S01013784",96,119,31,33,10,289,
"S01013785",91,137,47,27,13,312,
"S01013786",112,111,23,34,10,289,
"S01013787",116,100,29,23,11,283,
"S01013788",110,125,36,53,13,337,
"S01013789",47,106,51,55,21,283,
"S01013790",60,134,41,28,15,278,
"S01013791",49,124,39,38,10,260,
"S01013792",175,144,47,41,17,421,
"S01013793",60,153,52,54,22,342,
"S01013794",64,105,38,36,11,252,
"S01013795",46,79,46,53,14,238,
"S01013796",132,113,30,25,16,315,
"S01013797",52,90,42,41,8,233,
"S01013798",122,139,73,55,28,413,
"S01013799",103,116,31,52,28,330,
"S01013800",30,83,17,28,15,169,
"S01013801",108,207,63,72,22,472,
"S01013802",65,106,33,44,23,271,
"S01013803",102,128,43,27,23,318,
"S01013804",43,79,40,39,17,218,
"S01013805",127,155,58,45,18,399,
"S01013806",72,138,60,51,27,344,
"S01013807",52,77,45,41,13,225,
"S01013808",80,128,54,73,18,352,
"S01013809",123,122,53,51,23,369,
"S01013810",81,153,51,61,19,364,
"S01013811",136,89,41,30,9,305,
"S01013812",126,117,50,37,20,348,
"S01013813",55,74,37,28,22,216,
"S01013814",67,139,44,62,13,325,
"S01013815",72,133,57,56,14,334,
"S01013816",57,75,26,30,2,187,
"S01013817",53,83,37,39,7,218,
"S01013818",70,93,61,40,6,270,
"S01013819",32,63,55,61,23,235,
"S01013820",50,130,66,50,15,313,
"S01013821",117,115,43,27,7,310,
"S01013822",141,111,62,42,19,382,
"S01013823",117,162,78,63,19,442,
"S01013824",89,138,71,46,11,358,
"S01013825",196,106,62,34,10,408,
"S01013826",229,153,38,30,4,457,
"S01013827",22,40,25,40,12,141,
"S01013828",98,136,39,29,10,311,
"S01013829",61,106,27,22,4,219,
"S01013830",153,163,62,51,6,436,
"S01013831",45,87,22,25,12,191,
"S01013832",36,81,60,68,24,269,
"S01013833",301,116,38,26,4,485,
"S01013834",77,77,27,41,11,234,
"S01013835",58,85,47,33,5,229,
"S01013836",56,106,33,49,7,251,
"S01013837",137,168,47,29,12,397,
"S01013838",56,102,68,77,10,310,
"S01013839",39,101,34,56,17,249,
"S01013840",78,129,82,67,10,366,
"S01013841",74,134,46,40,11,305,
"S01013842",60,149,54,43,10,316,
"S01013843",147,129,14,25,6,325,
"S01013844",105,142,59,52,13,371,
"S01013845",98,94,25,20,5,242,
"S01013846",53,103,43,38,11,245,
"S01013847",60,85,42,55,8,251,
"S01013848",43,85,46,48,9,231,
"S01013849",27,47,51,34,16,179,
"S01013850",9,44,48,77,32,209,
"S01013851",29,57,45,48,32,215,
"S01013852",10,41,40,52,19,166,
"S01013853",94,125,76,50,24,370,
"S01013854",116,118,63,29,14,337,
"S01013855",49,97,25,40,14,230,
"S01013856",69,152,60,54,37,372,
"S01013857",113,185,57,61,23,434,
"S01013858",57,146,55,45,27,330,
"S01013859",67,107,48,56,17,295,
"S01013860",107,173,66,74,31,453,
"S01013861",46,102,51,29,23,251,
"S01013862",104,179,53,61,13,414,
"S01013863",116,76,30,9,3,234,
"S01013864",34,81,41,84,19,258,
"S01013865",124,133,41,39,8,345,
"S01013866",127,91,41,36,8,306,
"S01013867",77,83,60,81,35,332,
"S01013868",204,171,46,44,17,480,
"S01013869",50,99,26,28,15,218,
"S01013870",87,141,43,30,7,308,
"S01013871",134,165,83,59,27,465,
"S01013872",68,117,38,27,6,256,
"S01013873",78,101,62,50,12,303,
"S01013874",34,96,46,42,14,232,
"S01013875",163,187,47,60,16,478,
"S01013876",99,139,48,53,16,356,
"S01013877",131,116,30,44,15,335,
"S01013878",121,165,50,66,23,421,
"S01013879",101,204,67,59,27,458,
"S01013880",131,112,40,35,12,330,
"S01013881",83,112,29,28,19,268,
"S01013882",47,115,53,60,11,286,
"S01013883",53,113,23,33,17,237,
"S01013884",151,123,37,25,8,345,
"S01013885",89,97,22,41,2,249,
"S01013886",86,95,58,60,21,320,
"S01013887",98,181,75,59,19,435,
"S01013888",127,111,45,57,13,351,
"S01013889",38,100,27,34,11,211,
"S01013890",68,118,50,57,21,310,
"S01013891",117,117,64,29,17,347,
"S01013892",115,130,56,37,13,352,
"S01013893",125,141,80,75,24,443,
"S01013894",121,109,47,40,12,336,
"S01013895",60,90,34,33,12,228,
"S01013896",192,192,35,43,10,470,
"S01013897",143,95,34,27,8,306,
"S01013898",161,127,49,36,9,383,
"S01013899",89,124,42,30,7,298,
"S01013900",119,148,51,31,7,357,
"S01013901",65,95,40,29,11,240,
"S01013902",61,108,30,20,4,221,
"S01013903",122,95,33,21,9,277,
"S01013904",127,105,25,25,17,297,
"S01013905",140,139,66,41,16,396,
"S01013906",149,155,58,29,18,406,
"S01013907",132,124,40,23,6,317,
"S01013908",238,127,34,30,10,437,
"S01013909",227,139,28,16,7,417,
"S01013910",232,131,37,25,15,435,
"S01013911",41,100,34,31,12,220,
"S01013912",61,125,70,93,12,361,
"S01013913",81,147,63,97,31,419,
"S01013914",44,82,51,48,6,231,
"S01013915",45,67,52,83,19,261,
"S01013916",23,61,55,61,16,213,
"S01013917",40,70,62,63,16,254,
"S01013918",59,125,34,24,10,246,
