LSOA_code,LSOA_name,Subjective_wellbeing_Likert_score,Subjective_wellbeing_Caseness_score,Physical_Component_Summary,Mental_Component_Summary,Household_net_income_monthly
E01006330,Wigan 031C,11.11570881,1.683524904,49.70787739,48.81174713,3491.977724
E01006331,Wigan 031D,11.33992674,1.707692308,50.41736264,48.25271062,3506.75853
E01006332,Wigan 031E,11.45789474,1.812865497,49.27508772,47.97363743,3061.993999
E01006333,Wigan 030B,11.7724359,2.006410256,49.02132051,46.86623718,2940.562647
E01006334,Wigan 030C,12.26523546,2.288781163,49.14381579,46.25727147,2813.657295
E01006335,Wigan 034E,11.98196844,2.146506386,49.66057851,46.8884598,3009.354857
E01006336,Wigan 027D,13.44392885,2.935808198,45.89305491,44.65320959,2498.723838
E01006337,Wigan 027E,11.39451637,1.880426504,48.69667936,48.20699924,3289.9687
E01006338,Wigan 030D,11.79237947,2.034214619,49.37678849,47.18952566,2934.563629
E01006339,Wigan 039A,10.6235708,1.403693931,50.04034301,49.46061566,3605.555385
E01006340,Wigan 039B,12.11111111,2.261843239,48.19657192,46.58424634,2848.891548
E01006341,Wigan 040D,12.20766284,2.274329502,48.15479693,46.78482759,3029.377257
E01006342,Wigan 038C,12.36908517,2.347003155,47.78897476,46.9705836,2845.685748
E01006343,Wigan 039C,10.7958153,1.48989899,51.52006494,48.95784271,4029.253957
E01006344,Wigan 038D,12.31561181,2.375527426,46.92798312,46.52411814,2912.323503
E01006345,Wigan 039D,11.32975207,1.766942149,49.14822314,48.61868595,3489.143448
E01006346,Wigan 038E,11.59654018,1.935825893,49.82523438,47.87832031,3180.734112
E01006347,Wigan 040E,10.90551776,1.519274376,50.07108088,49.34172336,3549.531067
E01006348,Wigan 039E,10.83495146,1.496440129,49.89125566,49.37850485,3709.625806
E01006349,Wigan 015A,12.14116985,2.168166479,50.54394263,46.62419573,3254.431787
E01006350,Wigan 010A,13.19525802,2.883542538,46.84286611,44.46406555,2704.589674
E01006351,Wigan 010B,13.64434889,3.047297297,47.05885749,44.04286241,2459.437049
E01006352,Wigan 015B,12.15731786,2.201160542,49.04309478,46.50781431,3033.514704
E01006353,Wigan 014A,11.46788991,1.882262997,49.28274465,48.18465596,3184.064015
E01006354,Wigan 014B,12.18117647,2.290980392,47.23896471,47.03398431,2802.111405
E01006355,Wigan 014C,11.70023791,1.899286281,49.40403648,47.7593973,3095.436145
E01006356,Wigan 011A,12.5794621,2.511817441,47.84744091,45.93411573,2969.524633
E01006357,Wigan 010C,13.50927247,2.979315264,45.95348787,44.08035663,2639.38735
E01006358,Wigan 014D,11.98716453,2.131271879,47.95511669,47.3364294,2922.563474
E01006359,Wigan 014E,12.11177988,2.219260533,47.86274291,47.11579536,3048.572523
E01006360,Wigan 010D,13.55376737,3.029261156,46.40098756,44.63395757,2615.964012
E01006361,Wigan 010E,13.05144193,2.72954014,46.55082619,45.09654716,2674.745363
E01006362,Wigan 018A,11.12117086,1.673247107,49.8442614,48.90518039,3444.872875
E01006363,Wigan 018B,10.89806548,1.569940476,48.13824405,49.69604911,3247.193141
E01006364,Wigan 018C,11.81724347,2.004250152,49.18675167,47.38564663,3387.821259
E01006365,Wigan 018D,11.06375646,1.663411832,51.18241815,48.50858702,3754.697549
E01006366,Wigan 018E,11.52979699,1.896529142,48.32200393,48.04850688,3108.843247
E01006367,Wigan 018F,10.99927798,1.57400722,49.57904693,49.0474657,3529.577689
E01006368,Wigan 018G,11.28826356,1.729581332,49.24201098,48.86066575,3313.557586
E01006369,Wigan 008C,12.33630748,2.391214825,48.942814,45.98464653,2787.434543
E01006370,Wigan 006A,11.88243527,2.044086774,49.37285514,47.12963611,2954.248174
E01006371,Wigan 008D,11.80533752,1.991365777,49.51667975,47.93623234,3260.728013
E01006372,Wigan 006B,10.81309686,1.53478854,50.6261869,49.27674625,3967.483418
E01006373,Wigan 006C,11.02321857,1.602882306,50.55085669,48.85541233,3602.691899
E01006374,Wigan 006D,10.9009009,1.528528529,50.06208709,49.3528003,3650.668552
E01006375,Wigan 008E,11.29708029,1.776642336,50.28540876,48.44867883,3436.315673
E01006376,Wigan 028A,12.28014706,2.294852941,48.27234559,46.48796324,3124.291938
E01006377,Wigan 025D,11.13145217,1.692360633,49.83891259,48.5284033,3587.415382
E01006378,Wigan 025E,11.02859619,1.621317158,49.26574523,48.87772964,3455.889037
E01006379,Wigan 029C,10.89300412,1.563786008,49.66082305,49.19988477,3358.098213
E01006380,Wigan 029D,12.45435244,2.361641897,47.50642604,46.24374381,2901.221167
E01006381,Wigan 028B,10.99939136,1.655508217,51.57780889,48.53410834,3789.147939
E01006382,Wigan 028C,10.55435759,1.356693621,51.24501348,49.65663073,3764.634156
E01006383,Wigan 028D,11.61915709,1.884291188,50.97380077,47.52826054,3476.659695
E01006384,Wigan 028E,11.09130435,1.565217391,50.22153043,49.0696087,3539.768983
E01006385,Wigan 029E,11.0217938,1.658005029,51.05021794,49.0623135,3749.991854
E01006386,Wigan 009C,13.54813047,3.007955449,43.28819411,44.48415274,2153.585218
E01006387,Wigan 009D,11.57260049,1.942575882,48.93091879,48.18853979,3265.380589
E01006388,Wigan 007B,12.26788432,2.270928463,48.20462709,46.81386606,2955.416297
E01006389,Wigan 007C,11.40446169,1.742967992,49.73780795,48.0971193,3548.389073
E01006390,Wigan 006E,11.71907601,2.020864382,48.04020119,47.92272727,3049.922712
E01006391,Wigan 007D,11.19423929,1.64254062,48.42301329,48.77939439,3162.259889
E01006392,Wigan 009E,13.07385399,2.715619694,48.07255518,45.04842954,2710.091632
E01006393,Wigan 021A,11.04491525,1.651694915,50.53245763,48.82987288,3519.7505
E01006394,Wigan 021B,10.90742158,1.534812548,50.13639633,49.55928845,3753.064048
E01006395,Wigan 021C,10.99367704,1.583171206,52.18518482,48.67230058,3993.966653
E01006396,Wigan 011B,11,1.571428571,49.849701,48.88359635,3407.17414
E01006397,Wigan 011C,12.04994571,2.196525516,47.42715527,47.13679696,2597.330901
E01006398,Wigan 011D,12.29058824,2.265882353,48.08594118,46.31169412,2905.543545
E01006399,Wigan 011E,11.99678973,2.116372392,48.71074639,46.94901284,3075.311691
E01006400,Wigan 021D,11.1209564,1.64978903,51.28040788,48.63611814,3807.970309
E01006401,Wigan 021E,10.86056106,1.553630363,50.22766502,49.24158416,3800.643493
E01006402,Wigan 021F,10.78387097,1.433333333,50.04024731,49.82402151,3786.216432
E01006403,Wigan 021G,10.86775106,1.581329562,49.61945545,48.86807638,3545.762392
E01006404,Wigan 015C,11.95467626,2.151079137,48.64579856,46.97615827,2904.026374
E01006405,Wigan 015D,12.39967897,2.402889246,47.4664687,46.53865971,2757.532276
E01006406,Wigan 020A,11.32850242,1.749597424,48.05979066,48.69544283,3266.23447
E01006407,Wigan 020B,11.07959023,1.619385343,50.63202522,48.66089835,3701.141504
E01006408,Wigan 020C,12.25388601,2.313101406,48.80198372,46.46184308,2994.37684
E01006409,Wigan 020D,10.94453782,1.571428571,48.84394118,48.84826891,3369.595127
E01006410,Wigan 020E,10.80667838,1.473637961,50.1251406,49.35407733,3705.629489
E01006411,Wigan 015E,12.8213141,2.601762821,46.73072917,45.31950321,2561.428588
E01007317,Barnsley 018A,12.51246776,2.460877042,46.67438521,46.07713672,2848.276188
E01007318,Barnsley 018B,12.97803092,2.659886086,47.20504475,45.06343369,2859.75834
E01007319,Barnsley 015A,11.20853859,1.765188834,49.54799672,48.79848112,3346.441318
E01007320,Barnsley 018C,12.84441301,2.628005658,47.80236209,45.3275389,2805.722671
E01007321,Barnsley 015B,10.97272019,1.601714731,48.72559626,49.33052221,3375.707709
E01007322,Barnsley 015C,11.95516878,2.119725738,50.27816983,46.93477321,3167.700981
E01007323,Barnsley 007A,12.64180264,2.477078477,48.64319347,46.2093007,3146.915682
E01007324,Barnsley 007B,12.65569077,2.579098067,47.23935576,46.07269864,2726.425834
E01007325,Barnsley 007C,12.91955017,2.711072664,47.75957612,45.31943772,2768.188078
E01007326,Barnsley 007D,12.55334395,2.433917197,47.6818551,46.28546178,2842.310183
E01007327,Barnsley 007E,12.56570625,2.406886859,45.51786367,46.36322558,2624.152879
E01007328,Barnsley 006A,12.70668397,2.541855938,47.52070084,45.50736535,2789.73281
E01007329,Barnsley 003A,12.16543027,2.255934718,48.18179525,46.96290801,3150.990521
E01007330,Barnsley 006B,11.75150301,2.025384102,48.96877756,47.23346693,3294.371696
E01007331,Barnsley 003B,11.70033223,1.942192691,48.79061794,47.6174485,3197.174744
E01007332,Barnsley 006C,12.40966921,2.349109415,48.26088041,45.94868193,3026.743313
E01007333,Barnsley 006D,12.41171404,2.437553833,48.55773471,46.02986219,3049.322521
E01007334,Barnsley 009A,10.90123457,1.530864198,50.2432716,48.96422399,3343.300816
E01007335,Barnsley 009B,11.09992194,1.743950039,49.5782982,48.704879,3374.634226
E01007336,Barnsley 013A,11.95477032,2.132155477,49.59780919,46.72893286,2892.885069
E01007337,Barnsley 015D,12.04497843,2.16327788,50.2963894,46.43928527,3071.478267
E01007338,Barnsley 017A,12.9183223,2.609271523,43.8758131,45.84874172,2310.863061
E01007339,Barnsley 017B,12.39008142,2.387860844,49.61703923,46.07829756,2965.568066
E01007340,Barnsley 013B,11.93504974,2.097717964,50.47690462,47.01039204,3216.126368
E01007341,Barnsley 008A,13.10372608,2.823766365,47.40839879,44.30466264,2795.944842
E01007342,Barnsley 003C,11.62672414,1.994827586,48.9455,47.65653448,3203.070934
E01007343,Barnsley 003D,11.83833922,2.115724382,46.95880742,47.2394258,2715.227392
E01007344,Barnsley 011A,11.9255112,2.06134372,50.26267283,47.11012658,3382.876898
E01007345,Barnsley 008B,11.81781701,2.007223114,49.175626,47.12585875,3058.638974
E01007346,Barnsley 008C,12.01033386,2.09618442,49.35329094,46.64165342,3042.537381
E01007347,Barnsley 008D,11.21638331,1.70633694,50.02013138,48.51348532,3181.276261
E01007348,Barnsley 020A,12.23600345,2.281653747,46.50233419,46.61329888,2850.102859
E01007349,Barnsley 020B,12.16439394,2.301515152,47.737,47.07596212,3052.246003
E01007350,Barnsley 020C,11.08862034,1.695871098,47.19878147,49.39416918,3321.933504
E01007351,Barnsley 020D,11.7093949,2.021496815,49.00271497,47.63973726,3114.450085
E01007352,Barnsley 020E,12.83882149,2.57712305,47.27245234,45.43885615,2746.18967
E01007353,Barnsley 020F,11.59451659,1.860750361,49.53507215,47.55539683,3292.642097
E01007354,Barnsley 020G,11.77849928,2.009379509,48.91559885,46.9683189,3169.486374
E01007355,Barnsley 005A,10.81898632,1.536604988,50.1834111,49.20684634,3732.497545
E01007356,Barnsley 004A,10.7688172,1.483870968,48.35533794,49.90973886,3639.408156
E01007357,Barnsley 004B,11.97177074,2.143712575,48.65895637,47.22218991,3089.458995
E01007358,Barnsley 005B,11.36909528,1.763811049,50.49453963,48.54678943,3649.766965
E01007359,Barnsley 005C,11.55400982,1.923895254,48.55247954,47.90645663,2974.666008
E01007360,Barnsley 005D,11.74375,2.059375,47.70066406,47.66279688,3126.903028
E01007361,Barnsley 004C,11.31743666,1.721311475,49.82563338,48.11352459,3316.770398
E01007362,Barnsley 004D,11.15074024,1.639300135,49.88656124,48.84315612,3514.077896
E01007363,Barnsley 004E,12.10785033,2.254585473,47.14060895,46.69861335,2870.905745
E01007364,Barnsley 025A,12.59982563,2.501307759,46.88486486,46.07292066,2815.530026
E01007365,Barnsley 025B,12.17938144,2.254639175,47.26116495,46.47315464,2837.12505
E01007366,Barnsley 025C,11.33057395,1.779249448,50.1493819,48.19724062,3458.165462
E01007367,Barnsley 025D,11.82997763,2.060402685,48.90324385,47.33513423,3011.233208
E01007368,Barnsley 025E,11.80574452,2.009070295,48.27315193,47.42535147,2972.337731
E01007369,Barnsley 022A,12.43915344,2.369614512,48.51229025,45.63560847,2978.270681
E01007370,Barnsley 022B,12.51056911,2.424390244,47.9826748,45.5079187,2810.872349
E01007371,Barnsley 022C,12.3365019,2.342839037,48.40455006,46.49820659,2984.182598
E01007372,Barnsley 014A,13.08167142,2.798670465,47.37754036,44.80077873,2752.838268
E01007373,Barnsley 014B,12.71274131,2.563706564,47.62678764,44.91266409,2813.155975
E01007374,Barnsley 014C,11.51342282,1.879194631,47.56312081,48.05171141,3084.38662
E01007375,Barnsley 014D,11.68707941,1.966352624,48.05707268,47.7020996,3071.315387
E01007376,Barnsley 022D,12.19877408,2.229422067,48.0080648,46.65234676,2837.267328
E01007377,Barnsley 014E,12.61006289,2.568134172,47.9539413,45.57728512,2939.387069
E01007378,Barnsley 014F,12.63895487,2.594615994,45.74472684,45.54666667,2624.978692
E01007379,Barnsley 012A,11.04089219,1.604460967,48.99081041,48.9296803,3345.564529
E01007380,Barnsley 012B,11.0557567,1.650977552,50.40414917,49.08986966,3816.533306
E01007381,Barnsley 012C,11.17810118,1.735273735,50.00516979,48.74094941,3384.499584
E01007382,Barnsley 019A,11.78549383,2.051697531,48.43252315,47.39058642,3079.685674
E01007383,Barnsley 019B,11.25929284,1.797824116,50.87929284,48.01960109,3717.837376
E01007384,Barnsley 019C,11.32990398,1.793552812,48.97078189,48.43631001,3406.199922
E01007385,Barnsley 019D,12.23467742,2.321774194,46.5926129,47.27179839,2722.704482
E01007386,Barnsley 005E,10.87975952,1.543754175,49.20671343,49.72955912,3481.801686
E01007387,Barnsley 012D,11.4944206,1.84806867,48.96518455,48.23412876,3191.380968
E01007388,Barnsley 029A,11.602537,1.911909796,49.62926709,47.7019098,3371.900668
E01007389,Barnsley 030A,10.93269992,1.598574822,48.00611243,49.31599367,3191.814743
E01007390,Barnsley 030B,11.4375,1.772151899,49.09907437,47.87629747,3198.015484
E01007391,Barnsley 030C,12.42349304,2.417310665,47.44003864,46.33496136,2966.776748
E01007392,Barnsley 030D,12.67993501,2.498781478,47.72670999,46.0004143,2906.974783
E01007393,Barnsley 029B,11.95206391,2.046604527,48.71456059,47.08652463,3034.542046
E01007394,Barnsley 029C,12.46532847,2.395985401,48.23141423,46.11822993,2858.157398
E01007395,Barnsley 030E,12.48209877,2.452469136,48.28215432,46.03995062,2852.055481
E01007396,Barnsley 028A,11.85909091,2.077272727,48.4925303,47.16911364,3072.481121
E01007397,Barnsley 028B,11.59296875,1.92734375,46.81864063,48.41389844,2861.752554
E01007398,Barnsley 028C,11.24746744,1.759768452,47.39845876,48.92700434,2955.656846
E01007399,Barnsley 028D,11.51446154,1.878153846,50.55111385,47.82346462,3279.116509
E01007400,Barnsley 009C,11.45382883,1.841779279,49.626875,48.36392455,3289.867648
E01007402,Barnsley 011B,12.96969697,2.687103594,47.16310078,45.1424031,2952.558336
E01007403,Barnsley 011C,12.8531746,2.634920635,47.13181746,45.45910317,2774.164246
E01007404,Barnsley 009D,11.19141631,1.658369099,48.1791073,49.21821459,3229.877113
E01007405,Barnsley 011D,12.08674863,2.253415301,47.27108607,47.20176913,2926.411893
E01007406,Barnsley 009E,12.41455274,2.38518024,46.69002003,46.01834446,2732.241639
E01007408,Barnsley 010C,11.63968872,1.93618677,49.10993774,47.87080934,3271.140074
E01007409,Barnsley 010D,10.82302158,1.560431655,50.39671223,49.07600719,3503.216648
E01007410,Barnsley 010E,12.23833819,2.317784257,47.68421283,46.64324344,2636.512676
E01007411,Barnsley 007F,13.57643885,3.038669065,46.8295054,43.84926259,2478.54272
E01007413,Barnsley 017C,13.03080986,2.792253521,47.66796655,44.59986796,2704.225949
E01007414,Barnsley 017D,12.03734671,2.157190635,48.51610368,46.4951728,3051.129191
E01007415,Barnsley 013C,11.83119109,1.999143102,49.14210797,47.32504713,3225.312541
E01007416,Barnsley 018D,12.64251208,2.606763285,47.26086957,45.67142029,2834.501313
E01007417,Barnsley 013D,11.94901961,2.081045752,50.67752941,47.07328105,3083.820286
E01007418,Barnsley 016A,10.81903945,1.460548885,49.34295883,49.64878216,3548.394019
E01007419,Barnsley 016B,11.20086083,1.727403156,49.73190818,49.02878766,3518.696574
E01007420,Barnsley 016C,11.22613065,1.697654941,48.66609715,48.90222781,3514.074692
E01007421,Barnsley 027A,10.9057508,1.563897764,50.003123,49.33511981,3794.602806
E01007422,Barnsley 027B,10.78622328,1.501979414,50.06428345,49.49671417,3719.169417
E01007423,Barnsley 027C,11.17163121,1.687943262,49.19123404,48.81358865,3398.409493
E01007424,Barnsley 028E,11.5620438,1.931652289,49.55422694,48.14011281,3408.534347
E01007425,Barnsley 016D,10.7679558,1.503453039,50.58320442,49.59343232,4006.400895
E01007426,Barnsley 027D,11.61107449,1.929466051,49.16150956,48.08636124,3793.511016
E01007427,Barnsley 024A,11.47212421,1.803810868,49.63649259,48.2943331,3390.736844
E01007428,Barnsley 024B,10.79505027,1.497293117,49.98432328,49.25123743,3514.748138
