England and Wales Code,England and Wales,Household size (5 categories) Code,Household size (5 categories),Tenure of household (5 categories) Code,Tenure of household (5 categories),Household composition (15 categories) Code,Household composition (15 categories),Accommodation type (5 categories) Code,Accommodation type (5 categories),Observation
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,7,Single family household: Cohabiting couple family: No children,2,Whole house or bungalow: Semi-detached,250601
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,7,Single family household: Cohabiting couple family: No children,3,Whole house or bungalow: Terraced,196241
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,7,Single family household: Cohabiting couple family: No children,4,"Flat, maisonette or apartment",100488
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,7,Single family household: Cohabiting couple family: No children,5,A caravan or other mobile or temporary structure,316
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,8,Single family household: Cohabiting couple family: With dependent children,1,Whole house or bungalow: Detached,0
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,8,Single family household: Cohabiting couple family: With dependent children,2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,8,Single family household: Cohabiting couple family: With dependent children,3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,8,Single family household: Cohabiting couple family: With dependent children,4,"Flat, maisonette or apartment",0
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,8,Single family household: Cohabiting couple family: With dependent children,5,A caravan or other mobile or temporary structure,0
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,9,Single family household: Cohabiting couple family: All children non-dependent,1,Whole house or bungalow: Detached,0
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,9,Single family household: Cohabiting couple family: All children non-dependent,2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,9,Single family household: Cohabiting couple family: All children non-dependent,3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,9,Single family household: Cohabiting couple family: All children non-dependent,4,"Flat, maisonette or apartment",0
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,9,Single family household: Cohabiting couple family: All children non-dependent,5,A caravan or other mobile or temporary structure,0
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,10,Single family household: Lone parent family: With dependent children,1,Whole house or bungalow: Detached,24083
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,10,Single family household: Lone parent family: With dependent children,2,Whole house or bungalow: Semi-detached,58751
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,10,Single family household: Lone parent family: With dependent children,3,Whole house or bungalow: Terraced,53592
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,10,Single family household: Lone parent family: With dependent children,4,"Flat, maisonette or apartment",16828
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,10,Single family household: Lone parent family: With dependent children,5,A caravan or other mobile or temporary structure,38
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,11,Single family household: Lone parent family: All children non-dependent,1,Whole house or bungalow: Detached,28654
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,11,Single family household: Lone parent family: All children non-dependent,2,Whole house or bungalow: Semi-detached,64767
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,11,Single family household: Lone parent family: All children non-dependent,3,Whole house or bungalow: Terraced,54381
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,11,Single family household: Lone parent family: All children non-dependent,4,"Flat, maisonette or apartment",13629
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,11,Single family household: Lone parent family: All children non-dependent,5,A caravan or other mobile or temporary structure,80
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,12,Other household types: Other related household: Other family composition,1,Whole house or bungalow: Detached,3130
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,12,Other household types: Other related household: Other family composition,2,Whole house or bungalow: Semi-detached,9042
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,12,Other household types: Other related household: Other family composition,3,Whole house or bungalow: Terraced,9318
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,12,Other household types: Other related household: Other family composition,4,"Flat, maisonette or apartment",8192
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,12,Other household types: Other related household: Other family composition,5,A caravan or other mobile or temporary structure,19
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,13,Other household types: With dependent children,1,Whole house or bungalow: Detached,229
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,13,Other household types: With dependent children,2,Whole house or bungalow: Semi-detached,436
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,13,Other household types: With dependent children,3,Whole house or bungalow: Terraced,433
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,13,Other household types: With dependent children,4,"Flat, maisonette or apartment",122
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,13,Other household types: With dependent children,5,A caravan or other mobile or temporary structure,2
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,14,"Other household types: Other, including all full-time students and all aged 66 years and over",1,Whole house or bungalow: Detached,5872
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,14,"Other household types: Other, including all full-time students and all aged 66 years and over",2,Whole house or bungalow: Semi-detached,14271
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,14,"Other household types: Other, including all full-time students and all aged 66 years and over",3,Whole house or bungalow: Terraced,18281
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,14,"Other household types: Other, including all full-time students and all aged 66 years and over",4,"Flat, maisonette or apartment",17057
K04000001,England and Wales,2,2 people in household,1,Owned: Owns with a mortgage or loan or shared ownership,14,"Other household types: Other, including all full-time students and all aged 66 years and over",5,A caravan or other mobile or temporary structure,34
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,-8,Does not apply,1,Whole house or bungalow: Detached,0
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,-8,Does not apply,2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,-8,Does not apply,3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,-8,Does not apply,4,"Flat, maisonette or apartment",0
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,-8,Does not apply,5,A caravan or other mobile or temporary structure,0
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,1,One-person household: Aged 66 years and over,1,Whole house or bungalow: Detached,0
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,1,One-person household: Aged 66 years and over,2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,1,One-person household: Aged 66 years and over,3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,1,One-person household: Aged 66 years and over,4,"Flat, maisonette or apartment",0
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,1,One-person household: Aged 66 years and over,5,A caravan or other mobile or temporary structure,0
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,2,One-person household: Other,1,Whole house or bungalow: Detached,0
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,2,One-person household: Other,2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,2,One-person household: Other,3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,2,One-person household: Other,4,"Flat, maisonette or apartment",0
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,2,One-person household: Other,5,A caravan or other mobile or temporary structure,0
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,3,Single family household: All aged 66 years and over,1,Whole house or bungalow: Detached,6914
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,3,Single family household: All aged 66 years and over,2,Whole house or bungalow: Semi-detached,59494
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,3,Single family household: All aged 66 years and over,3,Whole house or bungalow: Terraced,41970
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,3,Single family household: All aged 66 years and over,4,"Flat, maisonette or apartment",48504
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,3,Single family household: All aged 66 years and over,5,A caravan or other mobile or temporary structure,117
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,4,Single family household: Married or civil partnership couple: No children,1,Whole house or bungalow: Detached,7398
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,4,Single family household: Married or civil partnership couple: No children,2,Whole house or bungalow: Semi-detached,66247
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,4,Single family household: Married or civil partnership couple: No children,3,Whole house or bungalow: Terraced,48542
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,4,Single family household: Married or civil partnership couple: No children,4,"Flat, maisonette or apartment",61440
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,4,Single family household: Married or civil partnership couple: No children,5,A caravan or other mobile or temporary structure,209
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,5,Single family household: Married or civil partnership couple: Dependent children,1,Whole house or bungalow: Detached,0
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,5,Single family household: Married or civil partnership couple: Dependent children,2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,5,Single family household: Married or civil partnership couple: Dependent children,3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,5,Single family household: Married or civil partnership couple: Dependent children,4,"Flat, maisonette or apartment",0
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,5,Single family household: Married or civil partnership couple: Dependent children,5,A caravan or other mobile or temporary structure,0
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,6,Single family household: Married or civil partnership couple: All children non-dependent,1,Whole house or bungalow: Detached,0
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,6,Single family household: Married or civil partnership couple: All children non-dependent,2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,6,Single family household: Married or civil partnership couple: All children non-dependent,3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,6,Single family household: Married or civil partnership couple: All children non-dependent,4,"Flat, maisonette or apartment",0
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,6,Single family household: Married or civil partnership couple: All children non-dependent,5,A caravan or other mobile or temporary structure,0
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,7,Single family household: Cohabiting couple family: No children,1,Whole house or bungalow: Detached,3393
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,7,Single family household: Cohabiting couple family: No children,2,Whole house or bungalow: Semi-detached,29128
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,7,Single family household: Cohabiting couple family: No children,3,Whole house or bungalow: Terraced,22869
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,7,Single family household: Cohabiting couple family: No children,4,"Flat, maisonette or apartment",56547
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,7,Single family household: Cohabiting couple family: No children,5,A caravan or other mobile or temporary structure,144
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,8,Single family household: Cohabiting couple family: With dependent children,1,Whole house or bungalow: Detached,0
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,8,Single family household: Cohabiting couple family: With dependent children,2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,8,Single family household: Cohabiting couple family: With dependent children,3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,8,Single family household: Cohabiting couple family: With dependent children,4,"Flat, maisonette or apartment",0
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,8,Single family household: Cohabiting couple family: With dependent children,5,A caravan or other mobile or temporary structure,0
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,9,Single family household: Cohabiting couple family: All children non-dependent,1,Whole house or bungalow: Detached,0
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,9,Single family household: Cohabiting couple family: All children non-dependent,2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,9,Single family household: Cohabiting couple family: All children non-dependent,3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,9,Single family household: Cohabiting couple family: All children non-dependent,4,"Flat, maisonette or apartment",0
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,9,Single family household: Cohabiting couple family: All children non-dependent,5,A caravan or other mobile or temporary structure,0
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,10,Single family household: Lone parent family: With dependent children,1,Whole house or bungalow: Detached,8183
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,10,Single family household: Lone parent family: With dependent children,2,Whole house or bungalow: Semi-detached,76160
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,10,Single family household: Lone parent family: With dependent children,3,Whole house or bungalow: Terraced,64759
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,10,Single family household: Lone parent family: With dependent children,4,"Flat, maisonette or apartment",122765
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,10,Single family household: Lone parent family: With dependent children,5,A caravan or other mobile or temporary structure,513
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,11,Single family household: Lone parent family: All children non-dependent,1,Whole house or bungalow: Detached,8982
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,11,Single family household: Lone parent family: All children non-dependent,2,Whole house or bungalow: Semi-detached,83780
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,11,Single family household: Lone parent family: All children non-dependent,3,Whole house or bungalow: Terraced,71474
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,11,Single family household: Lone parent family: All children non-dependent,4,"Flat, maisonette or apartment",79424
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,11,Single family household: Lone parent family: All children non-dependent,5,A caravan or other mobile or temporary structure,131
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,12,Other household types: Other related household: Other family composition,1,Whole house or bungalow: Detached,1276
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,12,Other household types: Other related household: Other family composition,2,Whole house or bungalow: Semi-detached,7397
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,12,Other household types: Other related household: Other family composition,3,Whole house or bungalow: Terraced,5664
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,12,Other household types: Other related household: Other family composition,4,"Flat, maisonette or apartment",15101
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,12,Other household types: Other related household: Other family composition,5,A caravan or other mobile or temporary structure,49
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,13,Other household types: With dependent children,1,Whole house or bungalow: Detached,49
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,13,Other household types: With dependent children,2,Whole house or bungalow: Semi-detached,335
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,13,Other household types: With dependent children,3,Whole house or bungalow: Terraced,312
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,13,Other household types: With dependent children,4,"Flat, maisonette or apartment",382
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,13,Other household types: With dependent children,5,A caravan or other mobile or temporary structure,7
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,14,"Other household types: Other, including all full-time students and all aged 66 years and over",1,Whole house or bungalow: Detached,1873
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,14,"Other household types: Other, including all full-time students and all aged 66 years and over",2,Whole house or bungalow: Semi-detached,6849
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,14,"Other household types: Other, including all full-time students and all aged 66 years and over",3,Whole house or bungalow: Terraced,6053
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,14,"Other household types: Other, including all full-time students and all aged 66 years and over",4,"Flat, maisonette or apartment",14321
K04000001,England and Wales,2,2 people in household,2,Rented: Social rented,14,"Other household types: Other, including all full-time students and all aged 66 years and over",5,A caravan or other mobile or temporary structure,24
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,-8,Does not apply,1,Whole house or bungalow: Detached,0
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,-8,Does not apply,2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,-8,Does not apply,3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,-8,Does not apply,4,"Flat, maisonette or apartment",0
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,-8,Does not apply,5,A caravan or other mobile or temporary structure,0
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,1,One-person household: Aged 66 years and over,1,Whole house or bungalow: Detached,0
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,1,One-person household: Aged 66 years and over,2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,1,One-person household: Aged 66 years and over,3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,1,One-person household: Aged 66 years and over,4,"Flat, maisonette or apartment",0
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,1,One-person household: Aged 66 years and over,5,A caravan or other mobile or temporary structure,0
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,2,One-person household: Other,1,Whole house or bungalow: Detached,0
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,2,One-person household: Other,2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,2,One-person household: Other,3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,2,One-person household: Other,4,"Flat, maisonette or apartment",0
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,2,One-person household: Other,5,A caravan or other mobile or temporary structure,0
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,3,Single family household: All aged 66 years and over,1,Whole house or bungalow: Detached,23883
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,3,Single family household: All aged 66 years and over,2,Whole house or bungalow: Semi-detached,27121
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,3,Single family household: All aged 66 years and over,3,Whole house or bungalow: Terraced,17215
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,3,Single family household: All aged 66 years and over,4,"Flat, maisonette or apartment",20189
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,3,Single family household: All aged 66 years and over,5,A caravan or other mobile or temporary structure,600
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,4,Single family household: Married or civil partnership couple: No children,1,Whole house or bungalow: Detached,46910
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,4,Single family household: Married or civil partnership couple: No children,2,Whole house or bungalow: Semi-detached,69008
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,4,Single family household: Married or civil partnership couple: No children,3,Whole house or bungalow: Terraced,65371
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,4,Single family household: Married or civil partnership couple: No children,4,"Flat, maisonette or apartment",140467
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,4,Single family household: Married or civil partnership couple: No children,5,A caravan or other mobile or temporary structure,1286
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,5,Single family household: Married or civil partnership couple: Dependent children,1,Whole house or bungalow: Detached,0
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,5,Single family household: Married or civil partnership couple: Dependent children,2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,5,Single family household: Married or civil partnership couple: Dependent children,3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,5,Single family household: Married or civil partnership couple: Dependent children,4,"Flat, maisonette or apartment",0
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,5,Single family household: Married or civil partnership couple: Dependent children,5,A caravan or other mobile or temporary structure,0
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,6,Single family household: Married or civil partnership couple: All children non-dependent,1,Whole house or bungalow: Detached,0
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,6,Single family household: Married or civil partnership couple: All children non-dependent,2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,6,Single family household: Married or civil partnership couple: All children non-dependent,3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,6,Single family household: Married or civil partnership couple: All children non-dependent,4,"Flat, maisonette or apartment",0
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,6,Single family household: Married or civil partnership couple: All children non-dependent,5,A caravan or other mobile or temporary structure,0
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,7,Single family household: Cohabiting couple family: No children,1,Whole house or bungalow: Detached,34743
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,7,Single family household: Cohabiting couple family: No children,2,Whole house or bungalow: Semi-detached,91909
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,7,Single family household: Cohabiting couple family: No children,3,Whole house or bungalow: Terraced,122836
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,7,Single family household: Cohabiting couple family: No children,4,"Flat, maisonette or apartment",302341
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,7,Single family household: Cohabiting couple family: No children,5,A caravan or other mobile or temporary structure,1261
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,8,Single family household: Cohabiting couple family: With dependent children,1,Whole house or bungalow: Detached,0
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,8,Single family household: Cohabiting couple family: With dependent children,2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,8,Single family household: Cohabiting couple family: With dependent children,3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,8,Single family household: Cohabiting couple family: With dependent children,4,"Flat, maisonette or apartment",0
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,8,Single family household: Cohabiting couple family: With dependent children,5,A caravan or other mobile or temporary structure,0
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,9,Single family household: Cohabiting couple family: All children non-dependent,1,Whole house or bungalow: Detached,0
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,9,Single family household: Cohabiting couple family: All children non-dependent,2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,9,Single family household: Cohabiting couple family: All children non-dependent,3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,9,Single family household: Cohabiting couple family: All children non-dependent,4,"Flat, maisonette or apartment",0
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,9,Single family household: Cohabiting couple family: All children non-dependent,5,A caravan or other mobile or temporary structure,0
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,10,Single family household: Lone parent family: With dependent children,1,Whole house or bungalow: Detached,16927
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,10,Single family household: Lone parent family: With dependent children,2,Whole house or bungalow: Semi-detached,62464
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,10,Single family household: Lone parent family: With dependent children,3,Whole house or bungalow: Terraced,87178
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,10,Single family household: Lone parent family: With dependent children,4,"Flat, maisonette or apartment",90731
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,10,Single family household: Lone parent family: With dependent children,5,A caravan or other mobile or temporary structure,526
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,11,Single family household: Lone parent family: All children non-dependent,1,Whole house or bungalow: Detached,11497
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,11,Single family household: Lone parent family: All children non-dependent,2,Whole house or bungalow: Semi-detached,28984
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,11,Single family household: Lone parent family: All children non-dependent,3,Whole house or bungalow: Terraced,35257
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,11,Single family household: Lone parent family: All children non-dependent,4,"Flat, maisonette or apartment",35940
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,11,Single family household: Lone parent family: All children non-dependent,5,A caravan or other mobile or temporary structure,312
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,12,Other household types: Other related household: Other family composition,1,Whole house or bungalow: Detached,4367
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,12,Other household types: Other related household: Other family composition,2,Whole house or bungalow: Semi-detached,9602
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,12,Other household types: Other related household: Other family composition,3,Whole house or bungalow: Terraced,12130
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,12,Other household types: Other related household: Other family composition,4,"Flat, maisonette or apartment",40110
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,12,Other household types: Other related household: Other family composition,5,A caravan or other mobile or temporary structure,166
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,13,Other household types: With dependent children,1,Whole house or bungalow: Detached,223
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,13,Other household types: With dependent children,2,Whole house or bungalow: Semi-detached,345
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,13,Other household types: With dependent children,3,Whole house or bungalow: Terraced,424
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,13,Other household types: With dependent children,4,"Flat, maisonette or apartment",443
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,13,Other household types: With dependent children,5,A caravan or other mobile or temporary structure,5
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,14,"Other household types: Other, including all full-time students and all aged 66 years and over",1,Whole house or bungalow: Detached,7603
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,14,"Other household types: Other, including all full-time students and all aged 66 years and over",2,Whole house or bungalow: Semi-detached,19202
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,14,"Other household types: Other, including all full-time students and all aged 66 years and over",3,Whole house or bungalow: Terraced,32261
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,14,"Other household types: Other, including all full-time students and all aged 66 years and over",4,"Flat, maisonette or apartment",109710
K04000001,England and Wales,2,2 people in household,3,Private rented or lives rent free,14,"Other household types: Other, including all full-time students and all aged 66 years and over",5,A caravan or other mobile or temporary structure,266
K04000001,England and Wales,3,3 people in household,-8,Does not apply,-8,Does not apply,1,Whole house or bungalow: Detached,0
