England and Wales Code,England and Wales,Household size (5 categories) Code,Household size (5 categories),Tenure of household (5 categories) Code,Tenure of household (5 categories),Household composition (15 categories) Code,Household composition (15 categories),Accommodation type (5 categories) Code,Accommodation type (5 categories),Observation
K04000001,England and Wales,0,0 people in household,0,Owned: Owns outright,2,One-person household: Other,5,A caravan or other mobile or temporary structure,0
K04000001,England and Wales,0,0 people in household,0,Owned: Owns outright,3,Single family household: All aged 66 years and over,1,Whole house or bungalow: Detached,0
K04000001,England and Wales,0,0 people in household,0,Owned: Owns outright,3,Single family household: All aged 66 years and over,2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,0,0 people in household,0,Owned: Owns outright,3,Single family household: All aged 66 years and over,3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,0,0 people in household,0,Owned: Owns outright,3,Single family household: All aged 66 years and over,4,"Flat, maisonette or apartment",0
K04000001,England and Wales,0,0 people in household,0,Owned: Owns outright,3,Single family household: All aged 66 years and over,5,A caravan or other mobile or temporary structure,0
K04000001,England and Wales,0,0 people in household,0,Owned: Owns outright,4,Single family household: Married or civil partnership couple: No children,1,Whole house or bungalow: Detached,0
K04000001,England and Wales,0,0 people in household,0,Owned: Owns outright,4,Single family household: Married or civil partnership couple: No children,2,Whole house or bungalow: Semi-detached,0
K04000001,England and Wales,0,0 people in household,0,Owned: Owns outright,4,Single family household: Married or civil partnership couple: No children,3,Whole house or bungalow: Terraced,0
K04000001,England and Wales,0,0 people in household,0,Owned: Owns outright,4,Single family household: Married or civil partnership couple: No children,4,"Flat, maisonette or apartment",0
K04000001,England and Wales,0,0 people in household,0,Owned: Owns outright,4,Single family household: Married or civil partnership couple: No children,5,A caravan or other mobile or temporary structure,0
K04000001,England and Wales,0,0 people in household,0,Owned: Owns outright,5,Single family household: Married or civil partnership couple: Dependent children,1,Whole house or bungalow: Detached,0
K04000001,England and Wales,0,0 people in household,0,Owned: Owns outright,5,Single family household: Married or civil partnership couple: Dependent children,2,Whole house or bungalow: Semi-detached,0
