England and Wales Code,England and Wales,National Statistics Socio-economic Classification (NS-SeC) (10 categories) Code,National Statistics Socio-economic Classification (NS-SeC) (10 categories),Household size (5 categories) Code,Household size (5 categories),Car or van availability (5 categories) Code,Car or van availability (5 categories),Accommodation type (5 categories) Code,Accommodation type (5 categories),Tenure of household (5 categories) Code,Tenure of household (5 categories),Observation
K04000001,England and Wales,-8,Does not apply,0,0 people in household,0,No cars or vans in household,3,Whole house or bungalow: Terraced,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,0,No cars or vans in household,3,Whole house or bungalow: Terraced,2,Rented: Social rented,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,0,No cars or vans in household,3,Whole house or bungalow: Terraced,3,Private rented or lives rent free,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,0,No cars or vans in household,4,"Flat, maisonette or apartment",-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,0,No cars or vans in household,4,"Flat, maisonette or apartment",0,Owned: Owns outright,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,0,No cars or vans in household,4,"Flat, maisonette or apartment",1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,0,No cars or vans in household,4,"Flat, maisonette or apartment",2,Rented: Social rented,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,0,No cars or vans in household,4,"Flat, maisonette or apartment",3,Private rented or lives rent free,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,0,No cars or vans in household,5,A caravan or other mobile or temporary structure,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,0,No cars or vans in household,5,A caravan or other mobile or temporary structure,0,Owned: Owns outright,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,0,No cars or vans in household,5,A caravan or other mobile or temporary structure,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,0,No cars or vans in household,5,A caravan or other mobile or temporary structure,2,Rented: Social rented,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,0,No cars or vans in household,5,A caravan or other mobile or temporary structure,3,Private rented or lives rent free,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,1,1 car or van in household,1,Whole house or bungalow: Detached,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,1,1 car or van in household,1,Whole house or bungalow: Detached,0,Owned: Owns outright,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,1,1 car or van in household,1,Whole house or bungalow: Detached,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,1,1 car or van in household,1,Whole house or bungalow: Detached,2,Rented: Social rented,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,1,1 car or van in household,1,Whole house or bungalow: Detached,3,Private rented or lives rent free,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,1,1 car or van in household,2,Whole house or bungalow: Semi-detached,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,1,1 car or van in household,2,Whole house or bungalow: Semi-detached,0,Owned: Owns outright,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,1,1 car or van in household,2,Whole house or bungalow: Semi-detached,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,1,1 car or van in household,2,Whole house or bungalow: Semi-detached,2,Rented: Social rented,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,1,1 car or van in household,2,Whole house or bungalow: Semi-detached,3,Private rented or lives rent free,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,1,1 car or van in household,3,Whole house or bungalow: Terraced,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,1,1 car or van in household,3,Whole house or bungalow: Terraced,0,Owned: Owns outright,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,1,1 car or van in household,3,Whole house or bungalow: Terraced,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,1,1 car or van in household,3,Whole house or bungalow: Terraced,2,Rented: Social rented,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,1,1 car or van in household,3,Whole house or bungalow: Terraced,3,Private rented or lives rent free,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,1,1 car or van in household,4,"Flat, maisonette or apartment",-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,1,1 car or van in household,4,"Flat, maisonette or apartment",0,Owned: Owns outright,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,1,1 car or van in household,4,"Flat, maisonette or apartment",1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,1,1 car or van in household,4,"Flat, maisonette or apartment",2,Rented: Social rented,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,1,1 car or van in household,4,"Flat, maisonette or apartment",3,Private rented or lives rent free,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,1,1 car or van in household,5,A caravan or other mobile or temporary structure,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,1,1 car or van in household,5,A caravan or other mobile or temporary structure,0,Owned: Owns outright,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,1,1 car or van in household,5,A caravan or other mobile or temporary structure,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,1,1 car or van in household,5,A caravan or other mobile or temporary structure,2,Rented: Social rented,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,1,1 car or van in household,5,A caravan or other mobile or temporary structure,3,Private rented or lives rent free,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,2,2 cars or vans in household,1,Whole house or bungalow: Detached,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,2,2 cars or vans in household,1,Whole house or bungalow: Detached,0,Owned: Owns outright,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,2,2 cars or vans in household,1,Whole house or bungalow: Detached,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,2,2 cars or vans in household,1,Whole house or bungalow: Detached,2,Rented: Social rented,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,2,2 cars or vans in household,1,Whole house or bungalow: Detached,3,Private rented or lives rent free,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,2,2 cars or vans in household,2,Whole house or bungalow: Semi-detached,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,2,2 cars or vans in household,2,Whole house or bungalow: Semi-detached,0,Owned: Owns outright,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,2,2 cars or vans in household,2,Whole house or bungalow: Semi-detached,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,2,2 cars or vans in household,2,Whole house or bungalow: Semi-detached,2,Rented: Social rented,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,2,2 cars or vans in household,2,Whole house or bungalow: Semi-detached,3,Private rented or lives rent free,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,2,2 cars or vans in household,3,Whole house or bungalow: Terraced,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,2,2 cars or vans in household,3,Whole house or bungalow: Terraced,0,Owned: Owns outright,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,2,2 cars or vans in household,3,Whole house or bungalow: Terraced,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,2,2 cars or vans in household,3,Whole house or bungalow: Terraced,2,Rented: Social rented,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,2,2 cars or vans in household,3,Whole house or bungalow: Terraced,3,Private rented or lives rent free,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,2,2 cars or vans in household,4,"Flat, maisonette or apartment",-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,2,2 cars or vans in household,4,"Flat, maisonette or apartment",0,Owned: Owns outright,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,2,2 cars or vans in household,4,"Flat, maisonette or apartment",1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,2,2 cars or vans in household,4,"Flat, maisonette or apartment",2,Rented: Social rented,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,2,2 cars or vans in household,4,"Flat, maisonette or apartment",3,Private rented or lives rent free,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,2,2 cars or vans in household,5,A caravan or other mobile or temporary structure,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,2,2 cars or vans in household,5,A caravan or other mobile or temporary structure,0,Owned: Owns outright,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,2,2 cars or vans in household,5,A caravan or other mobile or temporary structure,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,2,2 cars or vans in household,5,A caravan or other mobile or temporary structure,2,Rented: Social rented,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,2,2 cars or vans in household,5,A caravan or other mobile or temporary structure,3,Private rented or lives rent free,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,3,3 or more cars or vans in household,1,Whole house or bungalow: Detached,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,3,3 or more cars or vans in household,1,Whole house or bungalow: Detached,0,Owned: Owns outright,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,3,3 or more cars or vans in household,1,Whole house or bungalow: Detached,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,3,3 or more cars or vans in household,1,Whole house or bungalow: Detached,2,Rented: Social rented,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,3,3 or more cars or vans in household,1,Whole house or bungalow: Detached,3,Private rented or lives rent free,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,3,3 or more cars or vans in household,2,Whole house or bungalow: Semi-detached,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,3,3 or more cars or vans in household,2,Whole house or bungalow: Semi-detached,0,Owned: Owns outright,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,3,3 or more cars or vans in household,2,Whole house or bungalow: Semi-detached,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,3,3 or more cars or vans in household,2,Whole house or bungalow: Semi-detached,2,Rented: Social rented,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,3,3 or more cars or vans in household,2,Whole house or bungalow: Semi-detached,3,Private rented or lives rent free,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,3,3 or more cars or vans in household,3,Whole house or bungalow: Terraced,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,3,3 or more cars or vans in household,3,Whole house or bungalow: Terraced,0,Owned: Owns outright,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,3,3 or more cars or vans in household,3,Whole house or bungalow: Terraced,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,3,3 or more cars or vans in household,3,Whole house or bungalow: Terraced,2,Rented: Social rented,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,3,3 or more cars or vans in household,3,Whole house or bungalow: Terraced,3,Private rented or lives rent free,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,3,3 or more cars or vans in household,4,"Flat, maisonette or apartment",-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,3,3 or more cars or vans in household,4,"Flat, maisonette or apartment",0,Owned: Owns outright,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,3,3 or more cars or vans in household,4,"Flat, maisonette or apartment",1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,3,3 or more cars or vans in household,4,"Flat, maisonette or apartment",2,Rented: Social rented,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,3,3 or more cars or vans in household,4,"Flat, maisonette or apartment",3,Private rented or lives rent free,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,3,3 or more cars or vans in household,5,A caravan or other mobile or temporary structure,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,3,3 or more cars or vans in household,5,A caravan or other mobile or temporary structure,0,Owned: Owns outright,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,3,3 or more cars or vans in household,5,A caravan or other mobile or temporary structure,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,3,3 or more cars or vans in household,5,A caravan or other mobile or temporary structure,2,Rented: Social rented,0
K04000001,England and Wales,-8,Does not apply,0,0 people in household,3,3 or more cars or vans in household,5,A caravan or other mobile or temporary structure,3,Private rented or lives rent free,0
K04000001,England and Wales,-8,Does not apply,1,1 person in household,-8,Does not apply,1,Whole house or bungalow: Detached,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,1,1 person in household,-8,Does not apply,1,Whole house or bungalow: Detached,0,Owned: Owns outright,0
K04000001,England and Wales,-8,Does not apply,1,1 person in household,-8,Does not apply,1,Whole house or bungalow: Detached,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,-8,Does not apply,1,1 person in household,-8,Does not apply,1,Whole house or bungalow: Detached,2,Rented: Social rented,0
K04000001,England and Wales,-8,Does not apply,1,1 person in household,-8,Does not apply,1,Whole house or bungalow: Detached,3,Private rented or lives rent free,0
K04000001,England and Wales,-8,Does not apply,1,1 person in household,-8,Does not apply,2,Whole house or bungalow: Semi-detached,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,1,1 person in household,-8,Does not apply,2,Whole house or bungalow: Semi-detached,0,Owned: Owns outright,0
K04000001,England and Wales,-8,Does not apply,1,1 person in household,-8,Does not apply,2,Whole house or bungalow: Semi-detached,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,-8,Does not apply,1,1 person in household,-8,Does not apply,2,Whole house or bungalow: Semi-detached,2,Rented: Social rented,0
K04000001,England and Wales,-8,Does not apply,1,1 person in household,-8,Does not apply,2,Whole house or bungalow: Semi-detached,3,Private rented or lives rent free,0
K04000001,England and Wales,-8,Does not apply,1,1 person in household,-8,Does not apply,3,Whole house or bungalow: Terraced,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,1,1 person in household,-8,Does not apply,3,Whole house or bungalow: Terraced,0,Owned: Owns outright,0
K04000001,England and Wales,-8,Does not apply,1,1 person in household,-8,Does not apply,3,Whole house or bungalow: Terraced,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,-8,Does not apply,1,1 person in household,-8,Does not apply,3,Whole house or bungalow: Terraced,2,Rented: Social rented,0
K04000001,England and Wales,-8,Does not apply,1,1 person in household,-8,Does not apply,3,Whole house or bungalow: Terraced,3,Private rented or lives rent free,0
K04000001,England and Wales,-8,Does not apply,1,1 person in household,-8,Does not apply,4,"Flat, maisonette or apartment",-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,1,1 person in household,-8,Does not apply,4,"Flat, maisonette or apartment",0,Owned: Owns outright,0
K04000001,England and Wales,-8,Does not apply,1,1 person in household,-8,Does not apply,4,"Flat, maisonette or apartment",1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,-8,Does not apply,1,1 person in household,-8,Does not apply,4,"Flat, maisonette or apartment",2,Rented: Social rented,0
K04000001,England and Wales,-8,Does not apply,1,1 person in household,-8,Does not apply,4,"Flat, maisonette or apartment",3,Private rented or lives rent free,0
K04000001,England and Wales,-8,Does not apply,1,1 person in household,-8,Does not apply,5,A caravan or other mobile or temporary structure,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,1,1 person in household,-8,Does not apply,5,A caravan or other mobile or temporary structure,0,Owned: Owns outright,0
K04000001,England and Wales,-8,Does not apply,1,1 person in household,-8,Does not apply,5,A caravan or other mobile or temporary structure,1,Owned: Owns with a mortgage or loan or shared ownership,0
K04000001,England and Wales,-8,Does not apply,1,1 person in household,-8,Does not apply,5,A caravan or other mobile or temporary structure,2,Rented: Social rented,0
K04000001,England and Wales,-8,Does not apply,1,1 person in household,-8,Does not apply,5,A caravan or other mobile or temporary structure,3,Private rented or lives rent free,0
K04000001,England and Wales,-8,Does not apply,1,1 person in household,0,No cars or vans in household,1,Whole house or bungalow: Detached,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,1,1 person in household,0,No cars or vans in household,1,Whole house or bungalow: Detached,0,Owned: Owns outright,52
K04000001,England and Wales,-8,Does not apply,1,1 person in household,0,No cars or vans in household,1,Whole house or bungalow: Detached,1,Owned: Owns with a mortgage or loan or shared ownership,9
K04000001,England and Wales,-8,Does not apply,1,1 person in household,0,No cars or vans in household,1,Whole house or bungalow: Detached,2,Rented: Social rented,19
K04000001,England and Wales,-8,Does not apply,1,1 person in household,0,No cars or vans in household,1,Whole house or bungalow: Detached,3,Private rented or lives rent free,117
K04000001,England and Wales,-8,Does not apply,1,1 person in household,0,No cars or vans in household,2,Whole house or bungalow: Semi-detached,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,1,1 person in household,0,No cars or vans in household,2,Whole house or bungalow: Semi-detached,0,Owned: Owns outright,62
K04000001,England and Wales,-8,Does not apply,1,1 person in household,0,No cars or vans in household,2,Whole house or bungalow: Semi-detached,1,Owned: Owns with a mortgage or loan or shared ownership,10
K04000001,England and Wales,-8,Does not apply,1,1 person in household,0,No cars or vans in household,2,Whole house or bungalow: Semi-detached,2,Rented: Social rented,77
K04000001,England and Wales,-8,Does not apply,1,1 person in household,0,No cars or vans in household,2,Whole house or bungalow: Semi-detached,3,Private rented or lives rent free,72
K04000001,England and Wales,-8,Does not apply,1,1 person in household,0,No cars or vans in household,3,Whole house or bungalow: Terraced,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,1,1 person in household,0,No cars or vans in household,3,Whole house or bungalow: Terraced,0,Owned: Owns outright,60
K04000001,England and Wales,-8,Does not apply,1,1 person in household,0,No cars or vans in household,3,Whole house or bungalow: Terraced,1,Owned: Owns with a mortgage or loan or shared ownership,42
K04000001,England and Wales,-8,Does not apply,1,1 person in household,0,No cars or vans in household,3,Whole house or bungalow: Terraced,2,Rented: Social rented,185
K04000001,England and Wales,-8,Does not apply,1,1 person in household,0,No cars or vans in household,3,Whole house or bungalow: Terraced,3,Private rented or lives rent free,219
K04000001,England and Wales,-8,Does not apply,1,1 person in household,0,No cars or vans in household,4,"Flat, maisonette or apartment",-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,1,1 person in household,0,No cars or vans in household,4,"Flat, maisonette or apartment",0,Owned: Owns outright,98
K04000001,England and Wales,-8,Does not apply,1,1 person in household,0,No cars or vans in household,4,"Flat, maisonette or apartment",1,Owned: Owns with a mortgage or loan or shared ownership,30
K04000001,England and Wales,-8,Does not apply,1,1 person in household,0,No cars or vans in household,4,"Flat, maisonette or apartment",2,Rented: Social rented,224
K04000001,England and Wales,-8,Does not apply,1,1 person in household,0,No cars or vans in household,4,"Flat, maisonette or apartment",3,Private rented or lives rent free,383
K04000001,England and Wales,-8,Does not apply,1,1 person in household,0,No cars or vans in household,5,A caravan or other mobile or temporary structure,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,1,1 person in household,0,No cars or vans in household,5,A caravan or other mobile or temporary structure,0,Owned: Owns outright,0
K04000001,England and Wales,-8,Does not apply,1,1 person in household,0,No cars or vans in household,5,A caravan or other mobile or temporary structure,1,Owned: Owns with a mortgage or loan or shared ownership,1
K04000001,England and Wales,-8,Does not apply,1,1 person in household,0,No cars or vans in household,5,A caravan or other mobile or temporary structure,2,Rented: Social rented,4
K04000001,England and Wales,-8,Does not apply,1,1 person in household,0,No cars or vans in household,5,A caravan or other mobile or temporary structure,3,Private rented or lives rent free,7
K04000001,England and Wales,-8,Does not apply,1,1 person in household,1,1 car or van in household,1,Whole house or bungalow: Detached,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,1,1 person in household,1,1 car or van in household,1,Whole house or bungalow: Detached,0,Owned: Owns outright,148
K04000001,England and Wales,-8,Does not apply,1,1 person in household,1,1 car or van in household,1,Whole house or bungalow: Detached,1,Owned: Owns with a mortgage or loan or shared ownership,106
K04000001,England and Wales,-8,Does not apply,1,1 person in household,1,1 car or van in household,1,Whole house or bungalow: Detached,2,Rented: Social rented,14
K04000001,England and Wales,-8,Does not apply,1,1 person in household,1,1 car or van in household,1,Whole house or bungalow: Detached,3,Private rented or lives rent free,162
K04000001,England and Wales,-8,Does not apply,1,1 person in household,1,1 car or van in household,2,Whole house or bungalow: Semi-detached,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,1,1 person in household,1,1 car or van in household,2,Whole house or bungalow: Semi-detached,0,Owned: Owns outright,101
K04000001,England and Wales,-8,Does not apply,1,1 person in household,1,1 car or van in household,2,Whole house or bungalow: Semi-detached,1,Owned: Owns with a mortgage or loan or shared ownership,51
K04000001,England and Wales,-8,Does not apply,1,1 person in household,1,1 car or van in household,2,Whole house or bungalow: Semi-detached,2,Rented: Social rented,64
K04000001,England and Wales,-8,Does not apply,1,1 person in household,1,1 car or van in household,2,Whole house or bungalow: Semi-detached,3,Private rented or lives rent free,100
K04000001,England and Wales,-8,Does not apply,1,1 person in household,1,1 car or van in household,3,Whole house or bungalow: Terraced,-8,Does not apply,0
K04000001,England and Wales,-8,Does not apply,1,1 person in household,1,1 car or van in household,3,Whole house or bungalow: Terraced,0,Owned: Owns outright,65
K04000001,England and Wales,-8,Does not apply,1,1 person in household,1,1 car or van in household,3,Whole house or bungalow: Terraced,1,Owned: Owns with a mortgage or loan or shared ownership,80
K04000001,England and Wales,-8,Does not apply,1,1 person in household,1,1 car or van in household,3,Whole house or bungalow: Terraced,2,Rented: Social rented,54
