groupname,categoryname,classname,count,workplace,measure_access
Retail,"Household, Office, Leisure and Garden",Travel Agencies,5370,TRUE,TRUE
Retail,"Household, Office, Leisure and Garden",Gifts and Cards,5476,TRUE,TRUE
Retail,"Household, Office, Leisure and Garden","Carpets, Rugs, Soft Furnishings and Needlecraft",7730,TRUE,TRUE
Retail,"Household, Office, Leisure and Garden","Hobby, Sports and Pastime Products",8757,TRUE,TRUE
Retail,"Household, Office, Leisure and Garden",Charity Shops,9344,TRUE,TRUE
Retail,"Household, Office, Leisure and Garden",Post Offices,10826,TRUE,TRUE
Retail,"Household, Office, Leisure and Garden",Diy and Home Improvement,22333,TRUE,TRUE
Retail,Motoring,Vehicle Auctions,90,TRUE,FALSE
Retail,Motoring,Secondhand Vehicles,5699,TRUE,TRUE
Retail,Motoring,New Vehicles,6730,TRUE,TRUE
Retail,Motoring,Vehicle Parts and Accessories,8399,TRUE,TRUE
Sport and Entertainment,Gambling,Casinos,259,TRUE,TRUE
Sport and Entertainment,Gambling,Bingo Halls,374,TRUE,TRUE
Sport and Entertainment,Gambling,Amusement Parks and Arcades,2517,TRUE,TRUE
Sport and Entertainment,Gambling,Bookmakers,7699,TRUE,TRUE
Sport and Entertainment,Outdoor Pursuits,Parachuting and Bungee Jumping,21,TRUE,FALSE
Sport and Entertainment,Outdoor Pursuits,Hot Air Ballooning,27,TRUE,FALSE
Sport and Entertainment,Outdoor Pursuits,Paragliding and Hang Gliding,35,TRUE,FALSE
Sport and Entertainment,Outdoor Pursuits,"Combat, Laser and Paintball Games",434,TRUE,TRUE
Sport and Entertainment,Outdoor Pursuits,Angling and Sports Fishing,548,FALSE,TRUE
Sport and Entertainment,Outdoor Pursuits,Watersports,569,TRUE,TRUE
Sport and Entertainment,Outdoor Pursuits,Outdoor Pursuit Organisers and Equipment,802,TRUE,TRUE
Sport and Entertainment,Outdoor Pursuits,"Riding Schools, Livery Stables and Equestrian Centres",1692,TRUE,TRUE
Sport and Entertainment,Sport and Entertainment Support Services,Funfair Services,12,TRUE,FALSE
Sport and Entertainment,Sport and Entertainment Support Services,Firework Related Services,69,TRUE,FALSE
Sport and Entertainment,Sport and Entertainment Support Services,Motorsport Services,389,TRUE,TRUE
Sport and Entertainment,Sport and Entertainment Support Services,Children'S Activity Centres,1110,TRUE,TRUE
Sport and Entertainment,Sport and Entertainment Support Services,Mobile Discos,1231,TRUE,TRUE
Sport and Entertainment,Sport and Entertainment Support Services,Entertainment Services,6486,TRUE,TRUE
Sport and Entertainment,Sports Complex,Velodromes,20,TRUE,FALSE
Sport and Entertainment,Sports Complex,Ice Rinks,82,TRUE,FALSE
Sport and Entertainment,Sports Complex,Climbing Facilities,124,TRUE,TRUE
Sport and Entertainment,Sports Complex,Ski Infrastructure and Aerial Cableways,181,TRUE,TRUE
Sport and Entertainment,Sports Complex,Racecourses and Greyhound Tracks,256,TRUE,TRUE
Sport and Entertainment,Sports Complex,Squash Courts,379,TRUE,TRUE
Sport and Entertainment,Sports Complex,Motorsport Venues,532,TRUE,TRUE
Sport and Entertainment,Sports Complex,Snooker and Pool Halls,558,TRUE,TRUE
Sport and Entertainment,Sports Complex,Athletics Facilities,670,TRUE,TRUE
Sport and Entertainment,Sports Complex,Swimming Pools,1674,TRUE,TRUE
Sport and Entertainment,Sports Complex,"Golf Ranges, Courses, Clubs and Professionals",2605,TRUE,TRUE
Sport and Entertainment,Sports Complex,Bowling Facilities,6052,TRUE,TRUE
Sport and Entertainment,Sports Complex,Shooting Facilities,8251,TRUE,TRUE
Sport and Entertainment,Sports Complex,Tennis Facilities,17350,TRUE,TRUE
Sport and Entertainment,Sports Complex,"Sports Grounds, Stadia and Pitches",23049,TRUE,TRUE
Sport and Entertainment,Sports Complex,"Gymnasiums, Sports Halls and Leisure Centres",25833,TRUE,TRUE
Sport and Entertainment,"Venues, Stage and Screen",Adult Venues,99,TRUE,TRUE
Sport and Entertainment,"Venues, Stage and Screen",Conference and Exhibition Centres,630,TRUE,TRUE
Sport and Entertainment,"Venues, Stage and Screen",Cinemas,841,TRUE,TRUE
Sport and Entertainment,"Venues, Stage and Screen",Nightclubs,1296,TRUE,TRUE
Sport and Entertainment,"Venues, Stage and Screen",Theatres and Concert Halls,1466,TRUE,TRUE
Sport and Entertainment,"Venues, Stage and Screen",Social Clubs,6555,TRUE,TRUE
Transport,Air,Airports and Landing Strips,598,TRUE,FALSE
Transport,Air,Helipads,745,TRUE,FALSE
Transport,Bus Transport,Hail and Ride Zones,12195,FALSE,TRUE
Transport,Bus Transport,Bus Stops,361472,FALSE,TRUE
Transport,"Public Transport, Stations and Infrastructure",Underground Network Stations,273,FALSE,TRUE
Transport,"Public Transport, Stations and Infrastructure","Tram, Metro and Light Railway Stations and Stops",472,FALSE,TRUE
Transport,"Public Transport, Stations and Infrastructure",London Underground Entrances,609,FALSE,TRUE
Transport,"Public Transport, Stations and Infrastructure",Taxi Ranks,874,FALSE,TRUE
Transport,"Public Transport, Stations and Infrastructure","Bus and Coach Stations, Depots and Companies",1325,FALSE,TRUE
Transport,"Public Transport, Stations and Infrastructure","Railway Stations, Junctions and Halts",2605,FALSE,TRUE
Transport,Road and Rail,Motorway Service Stations,112,TRUE,FALSE
Transport,Road and Rail,Signalling Facilities,984,FALSE,FALSE
Transport,Road and Rail,Viaducts,1217,FALSE,FALSE
Transport,Road and Rail,Petrol and Fuel Stations,6511,FALSE,TRUE
Transport,Road and Rail,Weighbridges,9926,FALSE,FALSE
Transport,Road and Rail,Cattle Grids,42919,FALSE,FALSE
Transport,Road and Rail,Parking,47306,FALSE,FALSE
Transport,Road and Rail,Fords and Level Crossings,50732,FALSE,FALSE
Transport,Road and Rail,Bridges,82917,FALSE,FALSE
Transport,Walking,Footbridges,169181,FALSE,FALSE
Transport,Water,Rivers and Canal Organisations and Infrastructure,76,FALSE,FALSE
Transport,Water,Aqueducts,591,FALSE,FALSE
Transport,Water,Ferries and Ferry Terminals,811,FALSE,FALSE
Transport,Water,Locks,2061,FALSE,FALSE
Transport,Water,Moorings and Unloading Facilities,16003,FALSE,FALSE
Transport,Water,"Weirs, Sluices and Dams",39847,FALSE,FALSE
